cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
132,120,0.85,0.01,10,132,5.82701e-07,6.64728e-07,9.17756e-30,13.8507,0.876601,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.47093,-1.18337e-29,2.83358e-13,26218.8,40619,2.53947,35.1734,2.2363,30.9743,-0.183392,0.0066,1.2129,6.683e-06 
133,120,0.85,0.01,10,133,5.81945e-07,6.6037e-07,9.1174e-30,13.7599,0.881242,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.48586,-1.19383e-29,1.74143e-13,25706.5,39900.6,2.55389,35.1413,2.24938,30.9513,-0.197832,0.0066,1.1947,6.683e-06 
134,120,0.85,0.01,10,134,5.83361e-07,6.78964e-07,9.37411e-30,14.1473,0.859193,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.41434,-1.13913e-29,-7.45174e-14,27939.7,41922.6,2.48524,35.1595,2.18757,30.9482,-0.128765,0.0066,1.23283,6.683e-06 
135,120,0.85,10,0.01,135,6.54266e-07,6.48658e-07,8.9557e-30,13.5159,1.00865,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.87,-1.68919e-29,1.50565e-13,24362.9,38270.9,2.95059,39.8797,2.62362,35.4604,-0.569865,0.0066,1.1836,6.683e-06 
136,120,0.85,10,0.01,136,6.619e-07,6.52836e-07,9.01338e-30,13.6029,1.01388,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.88484,-1.72247e-29,2.40284e-13,24836.7,39647.6,2.96687,40.358,2.63961,35.9064,-0.584292,0.0066,1.19647,6.683e-06 
137,120,0.85,0.01,10,137,5.9694e-07,6.01697e-07,8.30733e-30,12.5373,0.992094,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.82264,-1.50216e-29,3.38433e-13,19445.3,30831.3,2.89913,36.3474,2.57339,32.2634,-0.523869,0.0066,1.19428,6.683e-06 
138,120,0.85,10,0.01,138,6.90946e-07,6.22446e-07,8.5938e-30,12.9697,1.11005,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.14571,-2.04691e-29,-1.70238e-13,21527.2,33624,3.26489,42.3446,2.94149,38.1502,-0.838505,0.0066,1.12799,6.683e-06 
139,120,0.85,0.01,10,139,5.55852e-07,5.91969e-07,8.17303e-30,12.3347,0.938987,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.66577,-1.27838e-29,6.75873e-13,18517.4,30011.9,2.73378,33.7202,2.41545,29.7937,-0.371814,0.0066,1.2144,6.683e-06 
140,140,0.75,0.01,10,140,6.17928e-07,6.14699e-07,8.48684e-30,12.8083,1.00525,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.86034,-1.58714e-29,-1.62447e-13,20733.3,31878,2.94004,37.6568,2.61328,33.4716,-0.560487,0.0066,1.1905,6.683e-06 
141,140,0.75,10,0.01,141,6.49464e-07,6.62073e-07,9.14092e-30,13.7954,0.980954,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.79037,-1.60539e-29,4.53003e-13,25906,41803.9,2.86448,39.5166,2.53985,35.0382,-0.492547,0.0066,1.16031,6.683e-06 
142,140,0.75,10,0.01,142,6.51566e-07,6.47447e-07,8.93898e-30,13.4906,1.00636,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.8635,-1.67638e-29,-3.0456e-13,24226.7,36902.4,2.94349,39.7095,2.61666,35.3003,-0.563555,0.0066,1.15876,6.683e-06 
143,140,0.75,10,0.01,143,6.69477e-07,6.63386e-07,9.15904e-30,13.8227,1.00918,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.87152,-1.72987e-29,2.44685e-13,26060.3,41455,2.95226,40.8082,2.62525,36.2882,-0.571346,0.0066,1.2002,6.683e-06 
144,140,0.75,10,0.01,144,6.52123e-07,6.40389e-07,8.84153e-30,13.3436,1.01832,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.89737,-1.7083e-29,3.94886e-13,23443,38113.3,2.98066,39.7725,2.6532,35.4032,-0.596468,0.0066,1.1733,6.683e-06 
145,140,0.75,0.01,10,145,5.82147e-07,6.45271e-07,8.90893e-30,13.4453,0.902175,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.55232,-1.24766e-29,1.67333e-13,23983.2,36819.5,2.61898,35.2129,2.30889,31.0437,-0.262115,0.0066,1.24108,6.683e-06 
146,140,0.75,0.01,10,146,5.94824e-07,6.86204e-07,9.47408e-30,14.2982,0.866833,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.43928,-1.182e-29,1.70254e-14,28843.1,43838.9,2.5091,35.8756,2.20889,31.5831,-0.152808,0.0066,1.25733,6.683e-06 
147,140,0.75,10,0.01,147,6.5665e-07,6.50393e-07,8.97966e-30,13.552,1.00962,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.87276,-1.69785e-29,-1.46259e-13,24558.9,38643.8,2.95361,40.0274,2.62659,35.5955,-0.572551,0.0066,1.13539,6.683e-06 
148,140,0.75,10,0.01,148,6.92725e-07,6.54801e-07,9.04052e-30,13.6439,1.05792,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.00694,-1.91946e-29,-5.34047e-13,25061.7,37676.1,3.10351,42.3438,2.7759,37.8741,-0.703119,0.0066,1.20062,6.683e-06 
149,140,0.75,0.01,10,149,5.90933e-07,6.61484e-07,9.13278e-30,13.7831,0.893344,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.52445,-1.24376e-29,-1.36946e-13,25836.9,38797.5,2.59152,35.7192,2.28369,31.4764,-0.235156,0.0066,1.23446,6.683e-06 
150,140,0.75,0.01,10,150,6.12897e-07,6.47644e-07,8.94169e-30,13.4947,0.946349,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.68798,-1.42836e-29,-2.19316e-14,24248.8,36440.4,2.75672,37.2012,2.43704,32.8872,-0.393312,0.0066,1.25534,6.683e-06 
151,140,0.75,10,0.01,151,6.97963e-07,6.86801e-07,9.48232e-30,14.3106,1.01625,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.89153,-1.82276e-29,-3.45828e-13,28918.4,43897.2,2.97422,42.563,2.64686,37.8782,-0.590791,0.0066,1.19847,6.683e-06 
152,140,0.75,0.01,10,152,6.01645e-07,6.36339e-07,8.78562e-30,13.2592,0.945478,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.68536,-1.39996e-29,3.60296e-13,23001.1,36170.9,2.75401,36.5158,2.43448,32.2792,-0.390776,0.0066,1.20581,6.683e-06 
153,140,0.75,0.01,10,153,5.81623e-07,6.4266e-07,8.87289e-30,13.3909,0.905024,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.56126,-1.25372e-29,-3.52632e-13,23693.3,35869,2.62783,35.1889,2.31705,31.0274,-0.270771,0.0066,1.18487,6.683e-06 
154,140,0.75,0.01,10,154,6.32409e-07,6.16143e-07,8.50677e-30,12.8383,1.0264,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.92003,-1.67645e-29,-5.52098e-13,20879.7,31905.9,3.00574,38.5887,2.67802,34.3813,-0.618506,0.0066,1.11203,6.683e-06 
155,140,0.75,10,0.01,155,6.45401e-07,6.29117e-07,8.6859e-30,13.1087,1.02588,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.91858,-1.7096e-29,5.22097e-13,22226.7,36009.7,3.00413,39.3802,2.67643,35.0844,-0.617101,0.0066,1.18085,6.683e-06 
156,140,0.75,10,0.01,156,7.37098e-07,6.25489e-07,8.63582e-30,13.0331,1.17843,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.31898,-2.35997e-29,-8.50605e-13,21844.5,33615.7,3.47599,45.3029,3.16546,41.2558,-1.00802,0.0066,1.07734,6.683e-06 
157,140,0.75,0.01,10,157,5.87178e-07,5.93579e-07,8.19524e-30,12.3682,0.989217,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.81433,-1.47086e-29,1.69812e-13,18668.8,29365.4,2.89018,35.7463,2.5647,31.7207,-0.515806,0.0066,1.15127,6.683e-06 
158,140,0.75,10,0.01,158,6.53891e-07,6.27355e-07,8.66158e-30,13.072,1.0423,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.96417,-1.77324e-29,-3.29807e-13,22040.5,34020.3,3.05508,39.9359,2.72719,35.6497,-0.661459,0.0066,1.14357,6.683e-06 
159,140,0.75,0.01,10,159,6.17564e-07,6.3197e-07,8.7253e-30,13.1681,0.977205,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.77943,-1.51722e-29,-1.44006e-13,22530.5,33503.7,2.85281,37.5662,2.52861,33.2971,-0.481939,0.0066,1.22564,6.683e-06 
