cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
18,6,1.8,10,0.01,18,4.43872e-07,7.76898e-07,1.07262e-29,16.1879,0.571338,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.297106,-1.82076e-30,5.17862e-13,41857.5,62474.7,1.58382,25.6388,1.46684,23.7451,0.934948,0.0066,1.38093,3.7 
19,6,1.8,0.01,10,19,4.26922e-07,7.46048e-07,1.03003e-29,15.5451,0.572245,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.301339,-1.77618e-30,1.1268e-12,37066.5,57434.9,1.58661,24.6641,1.46884,22.8333,0.930934,0.0066,1.36906,3.7 
20,8,1.8,10,0.01,20,4.66785e-07,7.82203e-07,1.07995e-29,16.2985,0.596757,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.413382,-2.66411e-30,1.09805e-12,42720.9,65171.7,1.66269,27.0993,1.52365,24.8333,0.824931,0.0066,1.37009,3.7 
21,8,1.8,0.01,10,21,4.22655e-07,7.72033e-07,1.06591e-29,16.0866,0.547458,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.183175,-1.0689e-30,1.83549e-13,41076.1,59433,1.51079,24.3034,1.41475,22.7586,1.04333,0.0066,1.41405,3.7 
22,8,1.8,10,0.01,22,4.85457e-07,7.72726e-07,1.06687e-29,16.101,0.628239,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.551277,-3.69491e-30,8.00135e-13,41186.9,63673.2,1.7613,28.3588,1.59595,25.6964,0.694749,0.0066,1.33796,3.7 
23,8,1.8,0.01,10,23,4.1343e-07,7.7329e-07,1.06764e-29,16.1128,0.534638,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.119936,-6.84595e-31,6.20263e-13,41277,61114.7,1.47209,23.7194,1.38732,22.3535,1.10381,0.0066,1.42123,3.7 
24,8,1.8,10,0.01,24,4.71198e-07,7.16208e-07,9.88833e-30,14.9234,0.657906,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.675876,-4.39697e-30,8.01766e-13,32794.3,50998.2,1.8546,27.6769,1.66599,24.8621,0.576987,0.0066,1.30976,3.7 
25,8,1.8,10,0.01,25,4.70636e-07,7.8819e-07,1.08821e-29,16.4232,0.59711,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.414964,-2.69637e-30,8.32659e-13,43709.3,66962.5,1.66379,27.3248,1.52445,25.0365,0.823437,0.0066,1.34217,3.7 
26,8,1.8,10,0.01,26,5.10965e-07,6.52751e-07,9.01221e-30,13.6011,0.782787,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-1.15323,-8.13563e-30,5.7859e-13,24827,38751.8,2.24708,30.5629,1.98035,26.935,0.122599,0.0066,1.30897,3.7 
27,8,1.8,0.01,10,27,4.37293e-07,7.01899e-07,9.69077e-30,14.6252,0.623014,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.52882,-3.19274e-30,9.24218e-13,30867.8,48384.2,1.7449,25.5196,1.5838,23.1635,0.715956,0.0066,1.33389,3.7 
28,8,1.8,10,0.01,28,4.84134e-07,7.30278e-07,1.00826e-29,15.2165,0.662945,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.696553,-4.6559e-30,7.31283e-13,34765.3,53583,1.87046,28.462,1.67806,25.5343,0.557423,0.0066,1.33142,3.7 
29,8,1.8,10,0.01,29,5.07131e-07,6.67714e-07,9.21879e-30,13.9129,0.759504,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-1.06938,-7.48747e-30,2.81717e-13,26573.7,41642.5,2.17409,30.2479,1.91941,26.7045,0.202852,0.0066,1.26658,3.7 
30,8,1.8,0.01,10,30,4.36284e-07,6.90828e-07,9.53793e-30,14.3945,0.631537,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.565371,-3.40554e-30,1.26956e-12,29430.1,45981,1.77168,25.5025,1.60364,23.0837,0.681447,0.0066,1.41315,3.7 
31,8,1.8,0.01,10,31,4.55044e-07,6.44138e-07,8.8933e-30,13.4217,0.706438,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.86979,-5.46451e-30,6.51687e-13,23857.2,37914.4,2.00736,26.9422,1.78446,23.9505,0.393111,0.0066,1.28903,3.7 
32,8,1.8,0.01,10,32,4.22016e-07,7.49203e-07,1.03439e-29,15.6109,0.563287,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.259233,-1.51044e-30,7.49554e-13,37538.7,56136.2,1.55907,24.3384,1.44914,22.6223,0.970902,0.0066,1.41839,3.7 
33,8,1.8,10,0.01,33,4.67627e-07,7.45032e-07,1.02863e-29,15.524,0.62766,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.548797,-3.54319e-30,1.08434e-12,36915.3,57495.9,1.75949,27.3143,1.5946,24.7545,0.697095,0.0066,1.3512,3.7 
34,8,1.8,0.01,10,34,4.35721e-07,7.5419e-07,1.04127e-29,15.7148,0.577734,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.326821,-1.96609e-30,7.40313e-13,38293.4,58152.7,1.60357,25.1997,1.481,23.2736,0.906785,0.0066,1.38039,3.7 
35,8,1.8,0.01,10,35,4.30428e-07,7.38477e-07,1.01958e-29,15.3874,0.582859,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.350401,-2.08233e-30,8.88224e-13,35949.5,55198.3,1.61944,24.9189,1.49241,22.9644,0.884463,0.0066,1.35849,3.7 
36,8,1.8,10,0.01,36,4.77008e-07,7.71801e-07,1.06559e-29,16.0817,0.618045,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.507307,-3.34103e-30,7.67714e-13,41039,62090.2,1.72932,27.8104,1.57231,25.2855,0.736267,0.0066,1.38134,3.7 
37,8,1.8,0.01,10,37,4.12971e-07,7.51948e-07,1.03818e-29,15.6681,0.549202,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.191666,-1.09282e-30,1.18653e-12,37952.9,58075.6,1.51608,23.7541,1.41852,22.2254,1.03523,0.0066,1.38967,3.7 
38,8,1.8,10,0.01,38,4.89857e-07,7.15114e-07,9.87322e-30,14.9006,0.685006,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.785568,-5.31297e-30,4.68998e-13,32644.3,50200.5,1.93994,28.9062,1.73155,25.8011,0.473099,0.0066,1.3158,3.7 
39,8,1.8,0.01,10,39,4.31278e-07,7.49035e-07,1.03416e-29,15.6074,0.575778,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.317769,-1.89214e-30,7.97539e-13,37513.6,56825.5,1.59752,24.9331,1.47666,23.0468,0.91536,0.0066,1.38753,3.7 
40,12,1,10,0.01,40,4.85502e-07,7.00349e-07,9.66938e-30,14.5929,0.693229,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.818149,-5.48413e-30,1.7036e-13,30663.8,46474.7,1.96579,28.6866,1.75174,25.5631,0.44216,0.0066,1.30803,3.7 
41,12,1,0.01,10,41,4.03799e-07,7.57902e-07,1.0464e-29,15.7921,0.532785,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.110664,-6.16959e-31,1.47959e-12,38861.6,60322.6,1.46653,23.1596,1.38338,21.8466,1.1127,0.0066,1.3857,3.7 
42,12,1,10,0.01,42,4.8371e-07,7.83312e-07,1.08148e-29,16.3216,0.617519,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.505018,-3.37268e-30,6.96824e-13,42902.8,65501.4,1.72766,28.1981,1.57109,25.6427,0.738424,0.0066,1.35117,3.7 
43,12,1,0.01,10,43,4.32849e-07,7.14269e-07,9.86155e-30,14.883,0.606003,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.454532,-2.71634e-30,8.26194e-13,32528.7,49858,1.69158,25.1757,1.54467,22.9892,0.786078,0.0066,1.38159,3.7 
44,12,1,10,0.01,44,4.73065e-07,6.98322e-07,9.64138e-30,14.5507,0.677432,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.755292,-4.9331e-30,8.0601e-13,30398.3,46895.8,1.91607,27.8801,1.71308,24.9264,0.501787,0.0066,1.34489,3.7 
45,12,1,10,0.01,45,4.76383e-07,7.03012e-07,9.70613e-30,14.6484,0.677631,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.756091,-4.97295e-30,5.19216e-13,31014.8,48075.2,1.9167,28.0765,1.71356,25.1009,0.50103,0.0066,1.29206,3.7 
46,12,1,10,0.01,46,4.65333e-07,7.4786e-07,1.03253e-29,15.5829,0.622219,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.525375,-3.37534e-30,5.42536e-13,37337.3,56389,1.74242,27.152,1.58196,24.6515,0.719219,0.0066,1.34481,3.7 
47,12,1,0.01,10,47,4.59903e-07,6.73229e-07,9.29494e-30,14.0278,0.68313,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.778103,-4.94069e-30,6.34144e-13,27237.7,42760.8,1.93401,27.1299,1.72697,24.2256,0.480162,0.0066,1.32867,3.7 
48,12,1,10,0.01,48,4.7253e-07,7.65812e-07,1.05732e-29,15.957,0.617031,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.502896,-3.28089e-30,7.84759e-13,40091.2,61661.9,1.72613,27.5438,1.56997,25.0519,0.740427,0.0066,1.34217,3.7 
49,12,1,10,0.01,49,4.54321e-07,7.41257e-07,1.02342e-29,15.4453,0.612906,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.484897,-3.04155e-30,7.94369e-13,36356.9,55250.7,1.7132,26.4608,1.56047,24.102,0.757416,0.0066,1.37874,3.7 
50,12,1,0.01,10,50,4.28087e-07,7.17433e-07,9.90524e-30,14.9489,0.596694,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.413097,-2.44156e-30,6.3529e-13,32962.9,49671.2,1.66249,24.8523,1.52351,22.7748,0.8252,0.0066,1.38362,3.7 
51,12,1,0.01,10,51,4.64712e-07,6.486e-07,8.95489e-30,13.5146,0.716485,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.908528,-5.82915e-30,9.78928e-13,24356.3,39298.2,2.03896,27.5558,1.80958,24.4559,0.356264,0.0066,1.29379,3.7 
52,12,1,0.01,10,52,4.37848e-07,7.47641e-07,1.03223e-29,15.5783,0.585639,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.363111,-2.19506e-30,6.44965e-13,37304.5,56619.9,1.62807,25.3626,1.49863,23.3462,0.872439,0.0066,1.36574,3.7 
53,12,1,10,0.01,53,4.47654e-07,7.42738e-07,1.02546e-29,15.4762,0.602708,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.439933,-2.71902e-30,9.15054e-13,36575.3,55694.4,1.68127,26.0197,1.53716,23.7893,0.79986,0.0066,1.38023,3.7 
54,12,1,0.01,10,54,4.23855e-07,7.61581e-07,1.05148e-29,15.8688,0.556547,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.227111,-1.32904e-30,6.44734e-13,39430.3,58962.3,1.53845,24.4133,1.43443,22.7627,1.00145,0.0066,1.38969,3.7 
55,12,1,0.01,10,55,4.19967e-07,6.86858e-07,9.48311e-30,14.3118,0.611431,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.478439,-2.77412e-30,1.15856e-12,28925.6,45445.7,1.70857,24.4528,1.55709,22.2848,0.76351,0.0066,1.37665,3.7 
56,12,1,10,0.01,56,4.8325e-07,7.09065e-07,9.78971e-30,14.7745,0.681531,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.771736,-5.14902e-30,9.59041e-13,31823,50718.8,1.92896,28.4995,1.72306,25.4574,0.486189,0.0066,1.30234,3.7 
57,12,1,0.01,10,57,4.09644e-07,7.68317e-07,1.06078e-29,16.0091,0.533171,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.112595,-6.36812e-31,1.18757e-12,40485.8,61564.7,1.46768,23.4964,1.3842,22.1599,1.11085,0.0066,1.40653,3.7 
58,12,1,10,0.01,58,4.66232e-07,7.69731e-07,1.06273e-29,16.0386,0.605707,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.453228,-2.91744e-30,4.55399e-13,40709.7,61352.9,1.69066,27.1158,1.54399,24.7635,0.787308,0.0066,1.3569,3.7 
59,12,1,0.01,10,59,4.2955e-07,7.03238e-07,9.70925e-30,14.6531,0.610818,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.475745,-2.82145e-30,9.3892e-13,31044.8,48536.2,1.70666,25.0078,1.55568,22.7956,0.766055,0.0066,1.3439,3.7 
60,14,0.8,10,0.01,60,4.57387e-07,8.04048e-07,1.11011e-29,16.7537,0.568856,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.285484,-1.80281e-30,1.04125e-12,46401,71378.9,1.57617,26.4066,1.46137,24.4832,0.94597,0.0066,1.35538,3.7 
61,14,0.8,0.01,10,61,4.13458e-07,7.86089e-07,1.08531e-29,16.3795,0.525968,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0762778,-4.35425e-31,8.42269e-13,43360.8,64601,1.44612,23.6867,1.36898,22.4231,1.1457,0.0066,1.41083,3.7 
62,14,0.8,10,0.01,62,4.61328e-07,7.98774e-07,1.10283e-29,16.6438,0.577545,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.325949,-2.07607e-30,1.08212e-12,45493.9,69375.1,1.60298,26.6797,1.48058,24.6425,0.907611,0.0066,1.38361,3.7 
63,14,0.8,0.01,10,63,4.1176e-07,7.77405e-07,1.07333e-29,16.1985,0.529659,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0949479,-5.39776e-31,9.74041e-13,41939.6,62683.5,1.45716,23.6038,1.37676,22.3015,1.12777,0.0066,1.42931,3.7 
64,14,0.8,10,0.01,64,4.60823e-07,7.56183e-07,1.04402e-29,15.7563,0.609407,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.469543,-2.9874e-30,8.2403e-13,38597.7,59335,1.70224,26.821,1.55245,24.4609,0.771909,0.0066,1.35647,3.7 
65,14,0.8,10,0.01,65,4.54764e-07,8.09517e-07,1.11766e-29,16.8676,0.561772,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.252051,-1.58255e-30,8.31545e-13,47354.4,71235.8,1.55443,26.2195,1.44582,24.3876,0.977728,0.0066,1.37865,3.7 
66,14,0.8,10,0.01,66,4.54049e-07,7.85867e-07,1.08501e-29,16.3748,0.577769,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.326982,-2.04979e-30,1.12423e-12,43324,66266.6,1.60367,26.2599,1.48108,24.2524,0.906633,0.0066,1.37835,3.7 
67,14,0.8,0.01,10,67,4.2553e-07,7.67026e-07,1.059e-29,15.9823,0.55478,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.218628,-1.28446e-30,9.07387e-13,40282.1,61375.8,1.53305,24.5017,1.43059,22.864,1.00953,0.0066,1.3948,3.7 
68,14,0.8,10,0.01,68,4.72242e-07,7.6497e-07,1.05616e-29,15.9394,0.617335,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.504218,-3.28751e-30,1.05947e-12,39959,62586.5,1.72708,27.5287,1.57067,25.0355,0.739178,0.0066,1.33182,3.7 
69,14,0.8,10,0.01,69,4.59134e-07,8.01534e-07,1.10664e-29,16.7013,0.572819,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.304024,-1.92722e-30,1.03503e-12,45967.1,70573.2,1.58836,26.5277,1.47011,24.5527,0.928372,0.0066,1.353,3.7 
70,14,0.8,0.01,10,70,4.33994e-07,7.73741e-07,1.06827e-29,16.1222,0.560903,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.247916,-1.4855e-30,5.79114e-13,41349.4,61743.6,1.55176,25.0178,1.44392,23.2792,0.981659,0.0066,1.39147,3.7 
71,14,0.8,0.01,10,71,4.2485e-07,7.93774e-07,1.09592e-29,16.5396,0.535228,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.122874,-7.20743e-31,6.62212e-13,44644.9,66359.7,1.47386,24.377,1.38857,22.9664,1.101,0.0066,1.38381,3.7 
72,14,0.8,0.01,10,72,4.39575e-07,7.34963e-07,1.01473e-29,15.3142,0.598092,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.419359,-2.54509e-30,6.9318e-13,35438.7,54158,1.66685,25.5265,1.52668,23.3798,0.819286,0.0066,1.3751,3.7 
73,14,0.8,10,0.01,73,4.57785e-07,7.20198e-07,9.94342e-30,15.0065,0.635637,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.582808,-3.68358e-30,1.11149e-12,33345.6,52687.5,1.78456,26.7801,1.61324,24.2091,0.664977,0.0066,1.32817,3.7 
74,14,0.8,0.01,10,74,4.36267e-07,7.2569e-07,1.00192e-29,15.1209,0.601176,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.433119,-2.60882e-30,1.45535e-13,34114.1,50408.7,1.67648,25.35,1.53367,23.1906,0.806292,0.0066,1.36681,3.7 
75,14,0.8,0.01,10,75,4.10636e-07,7.43742e-07,1.02685e-29,15.4971,0.552122,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.205813,-1.16685e-30,4.60994e-13,36723.8,53923.9,1.52496,23.6324,1.42483,22.0807,1.02174,0.0066,1.40957,3.7 
76,14,0.8,10,0.01,76,4.78457e-07,7.15086e-07,9.87283e-30,14.9,0.66909,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.721604,-4.76679e-30,2.62942e-13,32640.4,50007.6,1.88981,28.1581,1.69286,25.2236,0.533702,0.0066,1.29374,3.7 
77,14,0.8,0.01,10,77,4.29437e-07,6.55253e-07,9.04675e-30,13.6533,0.655376,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.665436,-3.94539e-30,7.75819e-13,25113.6,39501.5,1.84664,25.2127,1.65994,22.6636,0.586868,0.0066,1.31556,3.7 
78,14,0.8,10,0.01,78,4.63412e-07,7.03109e-07,9.70748e-30,14.6504,0.65909,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.680741,-4.35545e-30,6.47836e-13,31027.7,48439.6,1.85833,27.2254,1.66882,24.4489,0.572388,0.0066,1.29747,3.7 
79,14,0.8,0.01,10,79,4.3318e-07,7.81187e-07,1.07855e-29,16.2773,0.554515,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.217354,-1.29993e-30,5.8017e-13,42554.6,63184.5,1.53225,24.9409,1.43002,23.2768,1.01074,0.0066,1.40289,3.7 
80,16,0.7,10,0.01,80,4.61033e-07,8.00963e-07,1.10585e-29,16.6894,0.575598,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.316918,-2.01726e-30,8.20028e-13,45868.9,69154,1.59699,26.6528,1.47626,24.6379,0.916187,0.0066,1.37771,3.7 
81,16,0.7,0.01,10,81,4.21092e-07,7.91419e-07,1.09267e-29,16.4905,0.532072,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.107088,-6.2259e-31,7.73197e-13,44248.7,66179.7,1.46439,24.1485,1.38187,22.7878,1.11613,0.0066,1.40654,3.7 
82,16,0.7,10,0.01,82,4.60302e-07,8.00318e-07,1.10496e-29,16.6759,0.575149,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.314836,-2.00084e-30,9.22426e-13,45758.3,69785.1,1.59559,26.608,1.47527,24.6015,0.918152,0.0066,1.35946,3.7 
83,16,0.7,0.01,10,83,4.18376e-07,7.80548e-07,1.07766e-29,16.264,0.536003,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.126733,-7.32049e-31,7.68061e-13,42450.3,64204.3,1.47619,24.0088,1.39022,22.6106,1.0973,0.0066,1.39587,3.7 
84,16,0.7,10,0.01,84,4.62953e-07,7.743e-07,1.06904e-29,16.1338,0.597898,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.418491,-2.6749e-30,1.16441e-12,41439,64172.9,1.66625,26.8829,1.52624,24.624,0.820105,0.0066,1.3722,3.7 
85,16,0.7,10,0.01,85,4.69056e-07,7.22237e-07,9.97156e-30,15.049,0.649449,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.640845,-4.15013e-30,9.45944e-13,33629.5,52437.9,1.828,27.5095,1.64583,24.7681,0.610127,0.0066,1.35123,3.7 
86,16,0.7,10,0.01,86,4.77777e-07,8.13715e-07,1.12346e-29,16.9551,0.587155,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.370017,-2.44079e-30,1.37663e-12,48094.8,74877.6,1.63278,27.6839,1.50203,25.467,0.865909,0.0066,1.35995,3.7 
87,16,0.7,0.01,10,87,4.17862e-07,7.87029e-07,1.08661e-29,16.399,0.530936,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.101371,-5.84828e-31,8.77124e-13,43516.4,64752.7,1.46099,23.9589,1.37947,22.6219,1.12162,0.0066,1.41756,3.7 
88,16,0.7,10,0.01,88,4.63927e-07,8.18617e-07,1.13022e-29,17.0572,0.56672,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.275452,-1.76433e-30,1.09463e-12,48969.4,75628.6,1.56963,26.7736,1.45667,24.8468,0.955517,0.0066,1.35025,3.7 
89,16,0.7,10,0.01,89,4.60382e-07,7.67916e-07,1.06022e-29,16.0008,0.599522,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.425744,-2.70614e-30,5.76032e-13,40422.4,61321.7,1.67132,26.7424,1.52992,24.4799,0.813256,0.0066,1.35156,3.7 
