cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,4.99,0.01,23,14658.1,0,5,101,125,0,5,135,-8.54976,-9.26626,-21.1165,-7.54669,-9.36898,358.804,-42.2973,28349.5,-54.5591,16439.4,-9.93611,-10.6526,-23.8892,-8.93303,-10.7553,0.627698,-63.2658,26776.9,-75.5276,0.411087,-0.00135194,1.00153,-153.899,573.744,594.651,0.53312,39057.8,9.01262e-07,0.648095,111.376,87.3946,26.4886,26.731,0.990931,637.799,661.674,0.720797 
24,1.49,3.51,24,17281.7,0,5,101,125,0,5,135,-5.30634,-7.80923,-29.3042,-8.89631,-5.70003,325.625,-2.59454,29816.9,-51.0686,16439.4,-6.56449,-9.06738,-31.8205,-10.1545,-6.95818,0.507156,-21.6241,28389.7,-70.0981,0.204499,-0.000435439,1.00134,-105.742,498.03,509.229,0.421484,39964.5,9.08182e-07,0.554512,111.324,86.3305,25.6224,25.6919,0.997291,596.765,611.232,0.665015 
25,2.99,2.01,25,16254.3,0,5,101,125,0,5,135,-5.09615,-9.46855,-23.9629,-9.79653,-10.3079,326.926,-16.3051,28897.7,-34.4432,16439.4,-6.35933,-10.7317,-26.4892,-11.0597,-11.5711,0.599928,-35.4106,27464.8,-53.5488,0.355282,-0.00073729,1.00106,-99.6691,517.558,545.196,0.453708,38960.4,9.00512e-07,0.589883,111.615,87.0152,25.7962,26.2422,0.983004,604.889,637.694,0.689691 
26,4.49,0.51,26,17879.9,0,5,101,125,0,5,135,-4.36806,-6.72382,-22.5005,-2.08098,-11.5845,402.994,-29.31,31269.8,-38.5344,16439.4,-5.92515,-8.28091,-25.6147,-3.63807,-13.1416,0.547447,-52.861,29503.5,-62.0854,0.41504,-0.00102487,1.00114,-127.363,545.173,566.522,0.453229,42102.1,9.24095e-07,0.601394,111.598,86.5359,26.4798,26.7467,0.990022,637.377,662.45,0.703167 
27,3.49,1.51,27,15985.1,0,5,101,125,0,5,135,-5.73513,-6.84971,-13.8358,-9.2617,-12.4284,338.061,-27.6904,29676.6,-53.655,16439.4,-7.04133,-8.15591,-16.4482,-10.5679,-13.7346,0.706009,-47.4466,28194.9,-73.4113,0.350056,-0.00096253,1.00142,-135.54,562.371,577.264,0.558693,40290,9.10642e-07,0.625678,111.296,86.6891,26.0682,26.1848,0.995546,617.713,634.907,0.687703 
28,3.99,1.01,28,17399.9,0,5,101,125,0,5,135,-7.43593,-7.8436,-15.4901,-11.1509,-13.536,325.104,-28.0394,30098.4,-45.6248,16439.4,-8.69207,-9.09973,-18.0024,-12.4071,-14.7921,0.714218,-47.0384,28673.5,-64.6239,0.377555,-0.0009383,1.00122,-124.587,581.844,613.841,0.696226,40888.3,9.15127e-07,0.653055,111.553,86.1437,25.9809,26.4411,0.982593,613.583,647.4,0.688719 
29,0.49,4.51,29,16528.7,0,5,101,125,0,5,135,-6.57478,-12.0346,-16.2299,-12.525,-5.84227,333.894,-28.6517,28999.5,-60.3517,16439.4,-7.86488,-13.3247,-18.8101,-13.8151,-7.13237,0.691371,-48.1645,27536,-79.8644,0.334471,-0.00100051,1.00158,-144.002,514.732,509.194,0.459998,38882.6,8.99912e-07,0.568895,111.158,86.8033,25.6511,25.2948,1.01409,598.105,592.48,0.661493 
30,0.99,4.01,30,14267.8,0,5,101,125,0,5,135,-5.95997,-7.09019,-9.97064,-9.33673,-7.75603,333.388,-24.408,27519,-34.2702,16439.4,-7.24812,-8.37833,-12.5469,-10.6249,-9.04418,0.737745,-43.8912,26057.8,-53.7534,0.404918,-0.000963431,1.00112,-108.395,522.649,535.785,0.538952,37599.1,8.899e-07,0.594647,111.28,87.1525,25.2275,25.3244,0.996177,578.515,593.867,0.658659 
31,0.01,4.99,31,15715.6,0,5,101,125,0,5,135,-8.56973,-8.26386,-10.8356,-9.57937,-10.6879,340.397,-10.8528,28761.2,-65.4474,16439.4,-9.88496,-9.57909,-13.4661,-10.8946,-12.0031,0.758793,-30.7456,27269.3,-85.3402,0.230903,-0.000644691,1.0017,-133.154,511.639,519.252,0.535871,38842.6,8.99603e-07,0.572954,110.998,86.9654,24.9693,24.9448,1.00098,566.731,576.2,0.63522 
32,1.99,3.01,32,19310.1,0,5,101,125,0,5,135,-12.1851,-9.45279,-21.0744,-7.59581,-8.23668,400.969,-29.4476,32753.3,-41.1344,16439.4,-13.7344,-11.0021,-24.173,-9.14507,-9.78595,0.643679,-52.8803,30995.8,-64.5671,0.405646,-0.000975835,1.00113,-130.361,554.931,570.136,0.549298,44091.7,9.38428e-07,0.599388,111.751,85.9472,25.9554,26.0656,0.995772,612.38,629.141,0.66143 
