cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,1,2,10,22,23847.7,-0.277412,43.4516,12.6455,118.611,0.192681,-91.0961,24.0823,-6.41384,-7.68724,-9.68593,-3.56013,-4.17624,-205.06,12854,34.8784,11818.3,18458.4,-5.12263,-6.39603,-7.10351,-2.26892,-2.88504,0.701233,13017.3,49.7273,11981.6,0.520715,0.993359,0.00758729,24998.9,-0.0012435,1.23567,12.8656,10.1974,118.11,87.609,1.05163,12.5434,11.1746,117.994,136.895,0.115808,-49.286 
23,9,10,10,23,19487.9,-0.0492452,35.8566,12.5309,118.504,-0.0441424,40.9207,500,-5.86197,-5.2688,-7.91832,-3.58699,-7.74848,-180.037,10085.8,16.7513,10345.8,14685.5,-4.72833,-4.13515,-5.65104,-2.45335,-6.61484,0.760374,10229.2,29.7882,10489.2,0.493725,0.99493,0.00520414,20718.4,-0.00132825,0.978117,12.7184,10.2525,117.944,87.4361,0.898408,12.7245,11.3476,117.946,136.762,-0.0017801,-49.3255 
24,30,31,10,24,17966.3,-0.273218,31.617,-13.3232,118.717,0.0530643,330.882,34.0613,-5.28042,-2.60418,-7.66444,-4.96193,-1.53152,-225.571,8985.5,32.8758,9866.03,14284.3,-3.86006,-1.18383,-4.82372,-3.54157,-0.111159,0.643225,9165.17,49.2099,10045.7,0.477082,0.990691,0.00894304,19210.9,-0.00127393,0.763677,13.6953,10.9356,118.196,87.7152,0.788897,13.177,11.8796,117.995,137.006,0.20045,-49.2908 
25,25,26,10,25,15839.4,-0.0213774,28.2556,12.8527,118.553,-0.0223149,-7.65224,500,-1.515,-3.71389,-2.49254,-2.05911,-4.29436,-147.402,7711,9.31523,8952.86,11827.6,-0.586848,-2.78574,-0.63624,-1.13096,-3.36621,0.925201,7828.41,19.9889,9070.27,0.463256,0.995551,0.00404319,16898.7,-0.00120702,0.705174,13.2994,10.4421,117.889,87.1418,0.745187,13.0907,11.5777,117.842,136.418,0.0464387,-49.2765 
26,20,21,10,26,15703.7,-0.278873,28.5876,13.0383,118.492,0.1958,-66.1676,87.8529,-2.99104,-3.10864,-6.15547,-6.10231,-3.63837,-155.213,7861.55,16.275,8764.67,12555.5,-2.01371,-2.13131,-4.2008,-5.12497,-2.66103,0.739595,7985.18,27.5143,8888.3,0.473238,0.994006,0.00567003,16873.5,-0.00132928,0.711071,13.2341,10.623,117.959,87.5797,0.715197,13.15,11.7959,117.871,136.918,0.0874085,-49.3384 
27,6,7,10,27,22412.7,-0.221592,39.9728,12.8079,118.516,0.351484,-129.225,421.246,-5.8199,-2.50907,0.808182,-2.3124,-1.26809,-176.16,11291.1,27.0007,11609.3,18144.8,-4.71067,-1.39984,3.02664,-1.20317,-0.158862,1.68077,11431.5,39.7569,11749.6,0.493137,0.993951,0.00619446,23181.1,-0.000890401,1.05942,12.9435,10.3662,117.94,87.4502,1.00056,12.674,11.4251,117.923,136.658,0.0176372,-49.2078 
28,8,9,10,28,20547.6,-0.0885601,37.531,-12.5029,118.65,0.0261004,10.571,500,-5.48477,-1.28598,-5.44857,-6.44051,-4.13275,-131.594,10477.9,26.1256,10750.3,15284.5,-4.65615,-0.457364,-3.79134,-5.61189,-3.30414,0.787253,10582.8,35.6546,10855.1,0.493648,0.994139,0.00601418,21437.9,-0.00102422,1.00762,12.699,10.2899,118.128,87.5511,0.934646,12.5712,11.4357,118.079,136.711,0.0496902,-49.1595 
29,10,11,10,29,18829,0.00590374,34.0371,12.7265,118.595,-0.0231018,-6.12479,1.75559e-12,-2.26474,-3.22024,-8.15585,-4.16949,-5.90882,-181.263,10103.4,22.7227,9636.83,14105.8,-1.12337,-2.07888,-5.87312,-3.02813,-4.76745,0.65188,10247.8,35.8484,9781.22,0.511647,0.993915,0.00670608,20029,-0.0012232,0.935,13.0209,10.4422,118.09,86.7766,0.83434,12.8283,11.268,117.951,135.903,0.138452,-49.1266 
30,18,19,10,30,16608,-0.217661,29.4257,13.0985,118.623,-0.230909,212.383,499.369,-6.96351,-6.11285,-3.7949,-4.46995,-4.77126,-163.826,8415.89,11.1287,8763.98,14143.6,-5.93194,-5.08128,-1.73176,-3.43838,-3.73969,0.913077,8546.38,22.9917,8894.48,0.490021,0.995314,0.00473917,17440.9,-0.00102662,0.749121,13.4143,10.6665,118.017,87.7421,0.723126,13.1241,11.6536,118.004,137.292,0.0138782,-49.55 
31,12,13,10,31,17586.6,0.0125658,32.4109,-12.5789,118.731,-0.00992875,-17.9594,500,-5.78316,-0.273782,-9.25119,-8.68682,-4.59279,-198.788,9182.53,-0.989614,9499.18,13277.6,-4.53144,0.977932,-6.74776,-7.43511,-3.34108,0.679859,9340.88,13.4051,9657.52,0.491667,0.997495,0.00255041,18998.4,-0.00143423,0.87238,12.8951,10.3353,118.223,87.0097,0.83215,12.8398,11.1534,118.056,136.22,0.167464,-49.2106 
