cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,7,22,10332.3,0.0421953,13.0552,16.8245,95.0328,0.0939861,-115.911,184.872,-1.7711,-1.1272,5.45071,0.782289,-0.415073,-75.9817,1447.05,102.009,7737.46,7504.88,-1.29267,-0.648768,6.40759,1.26073,0.0633641,-0.106618,1553.62,109.903,7844.04,0.183722,0.889843,0.0251603,8456.38,1610.52,1362.96,38177.5,0.00146445,0.062537,16.1226,15.009,95.7157,72.8975,0.372827,15.9971,15.7557,94.8484,126.158,0.86729,-53.2608 
23,8,23,10693.8,0.0236091,13.6702,16.7962,95.0227,0.00414224,1.18508,67.5262,1.03792,0.629755,1.02998,1.18645,1.6753,-62.1806,1461.52,94.3593,7974.63,7474.66,1.42945,1.02129,1.81305,1.57798,2.06684,0.77075,1548.74,100.82,8061.84,0.179186,0.897729,0.0225182,8643.16,1672.23,1410.07,39475.8,0.00151715,0.0642442,16.0232,14.9333,95.8362,72.5042,0.371543,16.0555,16.3493,94.9386,125.575,0.897541,-53.0708 
24,9,24,9981.07,0.0341017,12.1818,17.4798,94.7231,0.0646526,-6.28981,488.644,-1.18032,-0.460118,-0.48263,-0.130084,1.35657,-98.5402,1523.67,94.1452,7165.94,6945.03,-0.559839,0.160363,0.758333,0.490397,1.97706,0.731688,1661.89,104.383,7304.15,0.205436,0.900968,0.0256501,8089.54,1344.21,1511.89,31032.9,0.00146346,0.0666579,16.8362,14.7092,95.1568,72.2748,0.32195,16.551,16.5713,94.4963,124.716,0.660542,-52.4409 
25,10,25,11120.9,0.00149278,14.0983,17.2027,94.7829,-0.000716813,9.67713,1.7453e-11,-1.03787,2.01646,2.51698,-0.29354,1.3588,-60.8074,1705.84,101.785,8207.3,7895.35,-0.654985,2.39935,3.28275,0.0893478,1.74169,0.521335,1791.13,108.103,8292.58,0.197074,0.90447,0.0234507,9088.61,1751.76,1812.65,41199,0.00137196,0.0728619,16.62,15.3606,95.5445,72.6453,0.375132,16.4977,16.3636,94.622,126.434,0.922532,-53.7891 
26,0,26,10368.7,0.0323428,13.9083,15.9297,94.7912,-0.127087,97.2599,12.8963,2.54998,2.59062,5.04811,2.93465,3.21906,-68.5657,399.906,61.689,8955.15,7614.73,2.98172,3.02236,5.91159,3.36639,3.6508,0.68776,496.077,68.8127,9051.32,0.0586293,0.804668,0.0138112,8461.24,2239.68,299.219,55469.1,0.00140187,0.0125447,16.2352,12.9209,101.864,62.9909,0.475172,15.1881,14.9183,94.6436,126.164,7.22043,-63.1733 
27,2,27,11010.7,0.0547164,14.7206,15.8257,94.9221,-0.0152326,98.4066,103.161,0.249215,2.13827,4.88191,-2.17948,2.35224,-57.1784,519.009,69.569,9307.17,7632.55,0.609252,2.49831,5.60199,-1.81944,2.71228,0.416604,599.207,75.5096,9387.37,0.0676299,0.819318,0.0146011,8860.09,2452.96,354.679,60887.8,0.00169226,0.0190831,12.084,16.0404,96.7262,68.4087,0.505683,15.0499,14.5839,94.7981,125.347,1.9281,-56.9388 
28,4,28,11719.3,0.0425527,15.0591,16.5837,94.9189,0.00986488,-34.8564,118.429,0.711862,0.590342,3.52024,0.620704,-0.473476,-81.5658,1004.06,83.0955,9432.19,8140.92,1.22546,1.10394,4.54744,1.1343,0.0401221,0.435189,1118.47,91.5698,9546.59,0.117492,0.874681,0.0173625,9519.47,2373.48,718.801,58455.9,0.00170866,0.0385153,15.0619,16.6855,96.1492,71.7554,0.47359,15.763,15.2037,94.7604,126.105,1.38871,-54.3497 
29,6,29,10807.6,0.00781384,13.7846,16.7236,94.8623,-0.0081247,6.98442,1.99604e-11,0.312234,2.6213,3.16233,3.32382,1.45251,-59.8487,1224.47,91.9929,8302.2,7506.29,0.689085,2.99815,3.91603,3.70067,1.82936,0.701824,1308.41,98.2109,8386.15,0.150596,0.883894,0.0211175,8688.22,1852.19,1074.92,44479.9,0.00152737,0.0537748,15.6151,15.064,96.0899,72.53,0.403892,16.0778,15.6342,94.6148,125.922,1.47504,-53.392 
30,7,30,11417.1,0.00247013,14.2794,17.0968,94.7413,0.00987812,-16.8064,0.0332877,1.09214,1.36631,7.76772,1.92462,2.87442,-93.6471,1601.17,83.5552,8500.59,7952.69,1.68181,1.95598,8.94706,2.51429,3.46409,0.518023,1732.52,93.2848,8631.94,0.185721,0.913888,0.0195189,9328.63,1899.9,1629.86,45076.8,0.00159002,0.0665839,16.9591,15.4274,95.6007,72.0294,0.400148,16.1748,15.9871,94.5495,125.674,1.05125,-53.6445 
31,8,31,11036.7,-0.00162401,14.1157,16.9677,95.0122,-0.000660499,1.8317,1.757e-08,-1.24153,-1.4479,1.72958,1.07259,-1.78204,-79.7023,1523.34,97.6772,8302.7,7796.9,-0.739666,-0.94604,2.73331,1.57446,-1.28017,-1.03692,1635.13,105.958,8414.49,0.18088,0.898148,0.0226705,9039.88,1771.06,1568.19,41942.8,0.001397,0.0695854,15.4237,15.25,95.8868,72.856,0.378048,16.3822,16.4977,94.7915,125.986,1.09531,-53.1304 
