cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
26,-1,48.3749,1.14,26,13838.3,0.111303,22.4671,12.8254,96.2142,-0.223689,-20.7024,493.814,1.7706,1.0294,2.36298,-0.911415,0.128265,-143.164,2274.99,19.5712,10735.6,9530.96,2.67206,1.93087,4.16591,-0.0099482,1.02973,0.574413,2475.79,34.4454,10936.4,0.204613,0.976231,0.00576844,12099.8,5179.29,8919.01,119395,0.00101422,0.26916,11.1382,9.24307,96.5911,71.7667,0.851657,12.7762,11.9239,95.784,122.682,0.807005,-50.9157 
27,-1,48.3749,0,27,16314.4,0.103405,26.5438,12.9087,95.9651,-0.177316,-261.588,36.9376,1.39246,-1.36229,3.76912,2.91337,0.798364,-119.614,79.8723,-9.61955,15265.4,12664.2,2.14564,-0.609114,5.27547,3.66654,1.55154,0.561477,247.642,2.80787,15433.2,0.0179077,0.980544,0.000335036,13828.8,9467.67,955.724,238360,0.000915222,0.0363078,8.23098,8.03855,96.5134,71.8001,1.18772,12.7635,12.308,95.6488,123.778,0.86454,-51.9776 
28,-1,48.3749,1.16,28,11837.2,0.101458,19.5407,12.4334,96.2669,-0.145958,18.0056,500,1.49996,-1.10614,-2.30161,0.623118,-0.336521,-138.363,3143.56,24.4349,7915.14,7994.64,2.3712,-0.234905,-0.559143,1.49435,0.534711,1.15505,3337.63,38.8102,8109.21,0.318667,0.980057,0.00873917,10473.7,3378.34,14955.3,66633.2,0.0010147,0.346455,11.5514,9.46526,96.5164,73.4316,0.644018,12.3338,11.9655,95.722,124.436,0.794409,-51.0043 
29,-1,48.3749,1.1,29,13818.8,0.133397,23.2547,12.2572,96.0767,-0.349333,27.4388,498.898,-0.316482,2.96223,7.16707,-0.605994,2.89033,-125.977,1089.88,24.0248,11808.3,9590.92,0.476763,3.75548,8.75356,0.18725,3.68358,0.480705,1266.58,37.1133,11985,0.107215,0.951223,0.00567199,11813.4,6316.77,2993.08,154555,0.00108413,0.145551,10.6445,8.65595,96.9852,72.6182,1.00217,12.2074,11.6862,95.7058,123.473,1.27932,-50.8547 
30,-1,48.3749,1.6,30,11711.4,0.110537,19.4016,12.4657,96.2203,-0.0229104,-24.4516,242.681,0.17713,-1.75227,4.12212,1.96914,-2.49129,-141.104,4352.06,25.4206,6603.84,7891.39,1.06563,-0.863776,5.89911,2.85764,-1.60279,0.198033,4549.98,40.0808,6801.75,0.43187,0.984818,0.0107384,10535.5,3048.13,26979.8,46011.2,0.000830864,0.454858,11.9118,9.86696,96.49,73.0826,0.52458,12.6439,12.0798,95.5098,123.977,0.980171,-50.8939 
31,-1,48.3749,1.18,31,12912.4,0.00518941,21.0967,12.7933,96.4996,0.0149074,-41.5142,500,0.56088,3.91784,-1.46809,0.80154,1.05176,-115.09,3963.45,41.7012,8203.12,8806.19,1.28557,4.64253,-0.0187119,1.52623,1.77644,1.00203,4124.88,53.6585,8364.54,0.359132,0.977742,0.0116791,11485.7,3639.08,22543,65845.8,0.000970862,0.417934,11.632,9.93185,96.8598,73.0746,0.615975,12.7846,12.4881,95.9247,124.074,0.935078,-50.9997 
32,-1,48.3749,1.22,32,11420.5,0.137847,18.8569,12.3264,96.1174,-0.0969116,-154.594,362.676,1.50532,4.78153,7.08123,0.486643,-1.12308,-134.452,3950.95,63.1181,6718.2,8054.32,2.35192,5.62814,8.77444,1.33325,-0.276474,0.507366,4139.53,77.0871,6906.78,0.405141,0.96844,0.0201457,10217.5,2876.26,22961.4,45920.6,0.00102305,0.42931,11.5293,9.70439,96.1925,72.6746,0.525408,12.4166,12.2145,95.5601,123.339,0.632393,-50.6642 
33,-1,48.3749,1.3,33,11004.3,0.106483,18.0148,12.5982,96.0081,-0.0361306,9.19891,19.697,0.027734,0.0523129,-0.82204,-2.98311,-2.20755,-136.606,4172.42,50.201,6196.52,7398.95,0.887906,0.912485,0.898304,-2.12294,-1.34738,2.16416,4364.02,64.3939,6388.12,0.437033,0.974828,0.0182304,9985.57,2700.91,24466.1,39823.2,0.000803734,0.436815,11.8733,9.7297,96.3036,72.6852,0.485548,12.7334,12.095,95.3536,123.248,0.949956,-50.5632 
34,-1,48.3749,1.2,34,12304.5,0.118097,20.2293,12.5501,96.416,0.139583,-142.162,110.604,0.659286,-3.4658,0.247794,2.97328,-0.0476151,-150.925,4158.22,43.0226,7392.79,8910.59,1.60962,-2.51546,2.14846,3.92361,0.902719,0.645991,4369.91,58.7031,7604.47,0.395043,0.977031,0.0140209,11061.8,3389.3,24974.5,56864.5,0.000950603,0.441861,11.6053,9.91361,96.9429,73.936,0.588399,12.5921,11.9558,95.7888,124.758,1.15411,-50.8224 
35,-1,48.3749,0,35,15424.5,0.0475142,25.3208,12.7667,95.9959,-0.070717,38.1537,500,-0.234573,1.93767,1.87819,3.31144,-0.646612,-106.218,80.8418,23.6663,14327.9,10611.1,0.434252,2.6065,3.21584,3.98027,0.0222126,0.686537,229.823,34.7019,14476.9,0.0177202,0.790989,0.00439621,12969.5,8638.12,899.918,217201,0.00105089,0.0324077,9.56621,6.83519,97.4895,71.6719,1.1565,12.5668,11.9954,95.7107,123.95,1.77883,-52.2778 
36,-1,48.3749,1.4,36,11648.3,0.104062,19.9559,11.9172,96.4963,-0.122838,20.7673,500,0.800116,3.26664,0.492203,-0.0594608,-0.0933969,-150.99,4188.52,51.1033,6699.58,7824.8,1.75086,4.21739,2.39369,0.891284,0.857348,0.763249,4400.3,66.7906,6911.35,0.419784,0.974125,0.0174905,10482.3,3174.57,27050.4,49421.9,0.00102035,0.480327,11.1254,9.50315,96.7354,73.3744,0.566297,12.0721,11.6668,95.9103,124.154,0.825064,-50.7791 
37,-1,48.3749,1.24,37,11792.9,0.13876,20.0736,11.9771,96.2816,0.00848924,111.458,180.571,3.35258,2.05309,2.23816,3.72909,-1.55613,-114.647,4064.57,26.5241,6898.75,7857.36,4.07448,2.77499,3.68196,4.451,-0.834229,0.739758,4225.38,38.4354,7059.55,0.404816,0.984331,0.00992968,10437.8,3303.02,26541.6,52936.2,0.000925149,0.475191,11.1689,9.48721,96.6229,72.7819,0.583013,12.1207,11.7598,95.713,123.075,0.909815,-50.2933 
38,-1,48.3749,1.12,38,13853.8,0.122611,23.4672,12.2308,96.2723,0.0950979,-280.418,203.324,-0.99863,0.70953,1.86465,3.24765,-0.63077,-133.164,1818.96,33.288,11121.3,10211.6,-0.16013,1.54803,3.54165,4.08615,0.20773,0.616016,2005.73,47.1233,11308.1,0.167747,0.960509,0.00761797,11956.9,5866.08,6364.84,139891,0.00113217,0.228101,10.8574,8.94884,96.7744,72.6017,0.965388,12.1321,11.4471,95.8005,123.274,0.973903,-50.6718 
39,-1,48.3749,0,39,16405.7,0.127235,27.9903,12.2159,96.122,-0.138424,-69.0315,51.3711,0.473532,0.27441,4.83383,-1.22942,0.00211165,-118.866,32.1191,-11.2751,15353.3,11442,1.222,1.02288,6.33076,-0.480956,0.750578,0.284276,198.84,1.07458,15520,0.01435,0.990631,0.000127528,13856.4,10535.9,925.915,266067,0.00112141,0.027846,8.84064,6.2864,97.8558,70.8287,1.32766,11.9456,11.7335,95.7853,123.87,2.07052,-53.0408 
40,-1,48.3749,1.14,40,14820.5,0.151794,24.6581,12.3574,95.9227,3.22375,-3474.78,42.684,1.60984,2.16415,3.2516,0.667566,1.94434,-119.476,1794.36,25.2868,11864.4,374575,2.36215,2.91647,4.75622,1.41988,2.69665,0.663903,1961.94,37.6999,12032,0.156329,0.967467,0.00573877,12550.1,6443.25,6494.51,154411,0.00133413,0.232881,10.5196,9.09662,96.4904,73.1309,0.996983,12.2522,11.7378,95.3996,123.754,1.09079,-50.623 
41,-1,48.3749,0,41,16146,0.0541045,26.3638,12.9369,96.2702,-0.032077,-39.8405,500,2.86906,4.1645,1.42572,1.5961,2.37461,-127.532,210.94,-0.278813,15088.7,11144.5,3.6721,4.96754,3.03179,2.39913,3.17764,0.824226,389.816,12.9712,15267.6,0.0281959,0.944973,0.0015626,13825.3,9149.53,909.487,230634,0.000869907,0.0352113,9.57769,7.66638,96.9672,71.0888,1.1607,12.7655,12.4774,95.9668,123.341,1.00042,-52.2527 
