cyc,detuning,ODT1,ODT2,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
23,0,0.07,1.4,47.2227,1.3,23,5431.5,-0.0115068,15.2635,10.8756,113.169,0.00937314,-9.36309,0.353106,1.66366,-0.557376,2.4351,-2.18453,1.2981,78.5467,118.01,31.1862,7721.96,5406.69,1.16907,-1.05196,1.44592,-2.67912,0.803512,5.62575,55.4444,25.4984,7659.39,0.00733231,0.554075,0.00609507,7561.65,-0.00267661,0.0157746,10.3263,81.0503,120.785,98,0.816082,10.9626,10.2112,112.183,137.155,8.60115,-39.1551 
24,0,0.07,1.4,47.2227,1.45,24,5595.88,-0.114991,16.1217,10.8117,113.161,0.00103096,86.5106,499.971,0.983674,-0.414408,1.61891,0.730353,0.359922,169.892,1355.27,28.7885,6757.27,5677.04,-0.0860876,-1.48417,-0.520616,-0.339409,-0.709839,0.834205,1219.95,16.4862,6621.95,0.158241,0.976897,0.00456523,7709.46,-0.00220901,0.203855,9.86897,8.64272,112.629,87.0646,0.719256,11.0681,10.2828,112.177,135.945,0.451304,-48.8803 
25,0,0.07,1.4,47.2227,1.48,25,5110.44,-0.0286509,15.6817,10.509,113.091,-0.0215893,-7.82825,498.099,1.96819,1.76758,2.79275,3.20592,2.7333,211.922,1741.12,28.016,6040.92,5370.25,0.633777,0.433164,0.123919,1.87151,1.39888,0.972223,1572.32,12.6702,5872.12,0.214592,0.986094,0.00395896,7326.99,-0.00240601,0.262155,10.0414,8.55901,112.751,87.2526,0.670746,11.1029,9.86978,112.119,136.19,0.632181,-48.937 
26,0,0.07,1.4,47.2227,1.7,26,4981.6,-0.013152,15.1727,10.3376,113.214,0.023897,12.6899,15.2648,0.69456,0.817284,-0.615156,1.93872,-1.95892,180.744,3060.78,25.0283,4508.05,5115.85,-0.443537,-0.320813,-2.89135,0.800625,-3.09702,0.51423,2916.81,11.9402,4364.09,0.405472,0.992887,0.00501475,7193.62,-0.0022812,0.450244,10.2371,8.31251,112.708,87.2819,0.510858,10.7844,9.8755,112.427,136.036,0.281074,-48.7539 
27,0,0.07,1.4,47.2227,0,27,6379.74,-0.0907996,16.7031,11.3615,112.962,-0.360093,1275.97,1.4291e-07,1.13944,0.380433,2.06333,-0.245841,0.948562,118.967,-68.5221,34.0262,8784.46,21134.9,0.390334,-0.368671,0.56512,-0.994945,0.199457,3.70774,-163.284,25.4115,8689.7,-0.0195488,1.37428,0.00535805,8352.62,-0.00206131,-0.0147177,-7.39757,-3.91723,130.763,83.0289,0.934973,11.4228,10.0402,112.103,136.659,18.6593,-53.6297 
28,0,0.07,1.4,47.2227,1.38,28,5685.79,-0.278732,16.2234,10.8859,113.377,0.222647,-301.259,500,0.140551,1.17018,2.87455,1.40933,2.19561,97.8375,665.097,33.1381,7421.11,7932.62,-0.475506,0.554123,1.64243,0.793272,1.57956,0.598807,587.166,26.0534,7343.18,0.0754374,0.927945,0.00649331,7783.48,-0.00206313,0.100198,10.03,8.611,113.306,87.1067,0.82072,10.9659,9.96336,112.429,136.351,0.876803,-49.2446 
29,0,0.07,1.4,47.2227,1.58,29,4919,-0.144261,15.0251,10.5289,112.949,1.0473,-739.543,499.499,0.430082,-0.806271,1.52257,0.111774,-0.272684,128.003,2673.51,27.5502,4689.9,30363.1,-0.37592,-1.61227,-0.0894392,-0.694228,-1.07869,0.976772,2571.55,18.2812,4587.94,0.363844,0.987712,0.0072866,7067.73,-0.00221492,0.375387,10.3773,8.56754,112.43,86.7128,0.518206,10.9489,10.1624,111.895,135.54,0.535413,-48.8277 
30,0,0.07,1.4,47.2227,1.5,30,4300.24,-0.0817627,14.016,10.3747,113.094,-0.463,223.543,0.70753,3.70694,1.44226,0.330247,2.5559,1.15634,155.705,1524.09,9.49732,5241.19,8102.95,2.72651,0.461824,-1.63062,1.57546,0.175906,1.49277,1400.06,-1.77769,5117.17,0.218252,1.00223,-0.000640353,6414.89,-0.00222783,0.235011,10.1079,8.41837,112.55,87.0699,0.610707,10.6749,9.7607,112.145,135.783,0.405202,-48.7129 
31,0,0.07,1.4,47.2227,1.55,31,4575.31,-0.521025,14.6102,10.8465,113.402,-4.90188,5831.87,240.445,4.66051,-2.27298,1.86539,-0.469531,-0.246637,108.965,2234.07,34.9327,4750.75,935765,3.97439,-2.9591,0.493144,-1.15565,-0.932759,1.85028,2147.28,27.0423,4663.95,0.319633,0.978436,0.0105679,6717.96,-0.00213409,0.33041,10.0327,-8.55252,112.834,87.059,0.546855,10.7551,-9.7508,112.344,136.094,0.490241,-49.0351 
32,0,0.07,1.4,47.2227,1.68,32,4214.81,-0.0173207,13.8454,10.053,113.601,0.0118806,-13.9754,500,1.27198,-1.05918,0.889472,-1.06757,1.38736,84.7899,2944.56,26.083,3700.56,4536.4,0.738077,-1.59308,-0.178327,-1.60147,0.853459,0.899892,2877.02,19.9431,3633.02,0.446924,0.988015,0.0100108,6437.38,-0.00216445,0.45271,9.82242,8.28012,112.988,86.8461,0.432949,10.6256,9.75671,112.519,135.659,0.469268,-48.8133 
33,0,0.07,1.4,47.2227,1.33,33,5485.81,-0.00648367,15.3163,10.9627,113.091,0.00407595,-23.4271,500,0.90982,0.941093,3.74674,-0.992808,-0.700523,70.6068,255.16,17.4775,7592.62,5469.07,0.465228,0.4965,2.85756,-1.4374,-1.14512,-1.3105,198.919,12.3647,7536.37,0.0262268,0.901893,0.00301319,7584.57,-0.00209279,0.0457757,10.1347,8.71244,112.295,87.022,0.827188,11.1212,10.0271,112.176,136.749,0.119518,-49.7272 
34,0,0.07,1.4,47.2227,1.35,34,6296.94,-0.534635,17.2268,11.4594,113.083,-1.56867,1141.82,108.19,3.04018,0.729464,-1.29928,-1.96523,-2.20741,149.749,390.451,44.6702,8247.86,64733.8,2.09725,-0.213465,-3.18514,-2.90815,-3.15034,0.567228,271.171,33.8265,8128.58,0.0329203,0.820816,0.00760748,8237.18,-0.00199665,0.0654768,9.54913,8.59882,112.836,87.2325,0.883987,11.1152,10.1279,112.137,136.511,0.699484,-49.2787 
35,0,0.07,1.4,47.2227,0,35,5711.42,-0.379598,15.4191,11.7319,113.102,0.226352,131.093,4.30375e-10,2.07223,-0.680516,0.185266,2.15816,1.35805,79.1759,0.978516,23.0422,8003.54,6854.72,1.57368,-1.17907,-0.811832,1.65962,0.859502,1.38624,-62.088,17.3088,7940.48,-0.00804292,1.95261,0.00399941,7719.58,-0.00227523,0.00557338,32.7465,25.4054,142.465,55.0114,0.865966,11.2956,9.91431,112.078,136.249,30.3869,-81.2375 
36,0,0.07,1.4,47.2227,0,36,4897.03,-0.240652,14.6591,11.0226,113.011,-0.411411,-1246.1,499.975,2.74011,-1.23226,0.154228,0.436214,-1.01084,99.6872,-75.325,19.0372,7444.9,21948.8,2.11241,-1.85996,-1.10118,-0.19149,-1.63855,0.588924,-154.729,11.8186,7365.5,-0.0219056,1.15429,0.00294711,7063.46,-0.00224743,0.00710338,25.1708,3.54298,119.029,74.8171,0.825714,11.0549,9.92344,112.142,136.487,6.88626,-61.6704 
37,0,0.07,1.4,47.2227,1.4,37,6395.45,-0.46078,17.2985,-11.4916,113.257,0.170815,1721.19,432.892,1.80845,1.36942,1.00903,-1.173,-1.56195,127.162,879.11,40.6509,7934.21,16042.1,1.00774,0.568712,-0.592377,-1.97371,-2.36266,0.823292,777.82,31.4428,7832.92,0.0920053,0.933932,0.00734027,8454.08,-0.00208818,0.124488,10.1042,9.249,112.618,87.6972,0.826739,11.2996,10.248,112.262,136.596,0.356583,-48.8992 
38,0,0.07,1.4,47.2227,1.65,38,4236.47,-0.000586379,14.3416,9.9155,113.204,0.00694247,-32.6952,499.988,-0.99838,-0.170294,2.86188,-0.617258,0.547034,117.729,2467.3,23.848,4370.38,4636.59,-1.73969,-0.9116,1.37927,-1.35856,-0.194273,1.48826,2373.52,15.323,4276.61,0.361564,0.988829,0.00655695,6564.6,-0.00226279,0.367206,9.94384,8.44391,112.729,87.7322,0.529315,10.3148,-9.6161,112.295,136.616,0.434764,-48.884 
39,0,0.07,1.4,47.2227,1.6,39,5054.53,-0.258703,15.6442,10.4351,113.084,-5.47027,4653.05,0.667011,-2.04914,-1.33156,3.95044,0.0516744,-2.64133,137.023,2850.1,20.5595,4660.72,833907,-2.91194,-2.19436,2.22484,-0.811123,-3.50412,1.30915,2740.96,10.6373,4551.58,0.380609,0.993254,0.00428667,7201.5,-0.0021633,0.400731,10.1395,8.70351,112.68,87.6223,0.530209,10.6756,-10.0019,112.221,136.304,0.458488,-48.6817 
40,0,0.07,1.4,47.2227,0,40,6284.78,-0.531593,16.8991,11.6455,113.215,0.760664,-238.866,363.225,1.29644,1.21498,4.07331,2.52873,0.419321,99.9363,-44.1022,33.8657,8631.91,12321.3,0.667172,0.585708,2.81477,1.89946,-0.209951,0.511083,-123.705,26.6291,8552.31,-0.0149808,1.60439,0.005703,8257.56,-0.00235539,0.00494582,43.3228,25.8738,148,55.0002,0.907033,11.2686,10.2152,112.3,136.783,35.6998,-81.7827 
41,0,0.07,1.4,47.2227,1.63,41,4939.18,-0.552494,15.839,10.7293,113.395,2.08048,-1638.66,307.288,1.43948,0.15785,-0.625595,1.82902,0.26043,184.636,3113.57,26.1505,4456.08,116513,0.276877,-1.00475,-2.9508,0.666414,-0.902172,0.246174,2966.5,12.7805,4309.01,0.412625,0.992517,0.005434,7189.33,-0.00230731,0.455828,10.1778,8.40631,112.826,88.0734,0.516461,10.6236,-9.76256,112.428,136.952,0.398269,-48.8787 
42,0,0.07,1.4,47.2227,1.43,42,5062.88,0.00469027,15.0545,10.45,113.128,-0.0493399,-10.993,500,0.480358,0.959917,3.78241,3.64991,-2.84266,91.7599,1119.25,30.067,6318.22,5138.96,-0.0974304,0.382129,2.62683,3.07213,-3.42045,-0.024823,1046.16,23.4224,6245.13,0.145982,0.962297,0.00686142,7166.39,-0.00207052,0.169118,10.087,8.58865,112.532,87.6228,0.702578,10.7775,10.0556,112.284,136.693,0.247832,-49.0701 
43,0,0.07,1.4,47.2227,1.53,43,5109.64,-0.510756,15.6265,10.8087,112.979,0.330431,-215.374,305.183,2.07185,0.336402,2.12461,2.2793,-0.602803,123.558,2215.05,29.1753,5224.11,7815,1.29384,-0.441613,0.568581,1.50128,-1.38082,0.631095,2116.63,20.2281,5125.69,0.296455,0.983551,0.00721725,7139.81,-0.00215413,0.336815,10.0156,8.48559,112.457,86.638,0.588638,10.9525,9.91158,112.17,135.348,0.286845,-48.7101 
