cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
26,0,26,12166.5,-0.0757235,20.2216,13.4935,98.4271,0.169943,-43.7355,102.67,0.196968,-0.404798,-3.49231,-1.67506,-0.369471,-33.3646,-104.371,-7.21495,12250.7,9124.5,0.407056,-0.19471,-3.07214,-1.46497,-0.159383,0.314889,-57.5741,-3.7485,12297.5,-0.00567269,0.897716,-0.000561823,10149.3,-0.000231346,0.0133042,-16.4327,-9.0337,123.175,55.3776,0.904789,13.3004,12.4558,98.0726,121.173,25.102,-65.7951 
27,1.575,27,10820,-0.0633592,18.9218,12.8006,98.3383,-0.00741854,30.2234,495.328,-0.833329,-0.282187,1.42889,-1.16294,1.74739,-61.4108,2905.6,40.6419,7969.12,7892.07,-0.446641,0.1045,2.20226,-0.776252,2.13408,0.315632,2991.73,47.0223,8055.26,0.30914,0.973231,0.0106388,9677.6,8.16228e-05,0.309375,11.3335,10.0741,98.3371,70.6577,0.613571,12.8657,12.199,97.8479,120.96,0.489232,-50.3026 
28,1.4,28,10574.9,-0.00930781,18.6117,12.7139,98.1199,0.00812688,-10.2694,499.99,0.403854,-1.09491,1.46854,-1.92595,-1.12149,-68.4951,3273.8,36.5813,7338.45,7705.75,0.83515,-0.663619,2.33113,-1.49465,-0.690199,-6.33495,3369.88,43.6977,7434.52,0.353217,0.977811,0.0107113,9540.53,4.23924e-05,0.345557,11.9105,9.77778,98.3062,71.3835,0.58302,12.5981,12.0961,97.4953,121.834,0.810947,-50.4508 
29,1.375,29,10893.7,-0.0802046,18.8772,13.017,98.1418,-0.0111243,159.518,483.614,0.947634,1.52457,-3.73937,-1.07419,-2.44118,-60.5955,2431.86,24.8805,8503.11,8056.89,1.32919,1.90612,-2.97626,-0.692635,-2.05962,-0.193745,2516.85,31.1761,8588.1,0.26095,0.978783,0.0066427,9644.98,4.92155e-05,0.261661,11.525,9.89288,98.2877,71.1759,0.660379,12.9143,12.0869,97.5605,121.381,0.727142,-50.2051 
30,1.6,30,11599.8,0.00155781,19.5363,12.8883,98.4718,-0.00302812,-1.72642,90.825,1.5906,2.39163,1.72624,-0.0507219,0.416733,-87.3157,3540.37,52.6859,7812.65,8196.72,2.14041,2.94144,2.82584,0.499082,0.966536,0.698522,3662.83,61.7577,7935.11,0.357385,0.97134,0.0141342,10249,0.000410657,0.36351,11.907,10.0101,98.3347,71.2628,0.59271,12.8943,12.2885,98.0125,121.835,0.322278,-50.5723 
31,1.125,31,12157.1,-0.0125934,19.6666,13.4999,98.2436,0.000756955,20.6534,12.0164,-0.32609,1.9823,-1.77727,0.697748,-1.05508,-65.0902,-92.1719,0.997418,12000.9,8643.36,0.083766,2.39216,-0.95756,1.1076,-0.645228,1.48344,-0.876551,7.76003,12092.2,-8.73436e-05,-0.0690007,0.00118075,10035.7,0.000143722,0.0100677,16.7962,9.03097,122.508,54.9914,0.899028,13.2448,12.2393,97.9198,122.284,24.5886,-67.2928 
32,1.2,32,12420.4,-0.0516385,20.4212,13.4981,98.5918,0.141211,-19.3022,399.259,-0.581137,-1.06024,-0.0635349,1.9471,-0.230368,-66.1968,1.00634,-3.8987,12273.9,9061.94,-0.164313,-0.643413,0.770113,2.36393,0.186456,0.69352,93.8538,2.97889,12366.8,0.00906075,0.947378,0.000443527,10358.3,2.28634e-05,0.0114855,19.6848,8.54137,111.985,62.9552,0.903741,13.2187,12.5569,98.2761,122.403,13.7091,-59.448 
33,1.65,33,11117.7,-0.0496,19.3636,12.7619,98.4292,0.047871,-45.0074,402.254,3.76958,-1.99758,1.73318,-0.347471,-1.59169,-76.4759,3063.24,39.0921,8055.17,8114.61,4.25113,-1.51604,2.69628,0.134078,-1.11014,0.394817,3170.5,47.0377,8162.43,0.318793,0.974694,0.010504,9945.32,0.000109723,0.329881,11.5209,9.94457,98.2281,71.4556,0.63106,12.8863,11.9453,97.8826,121.9,0.345459,-50.4441 
34,1.5,34,10793.8,-0.026597,18.6935,12.7036,98.3631,-0.0096002,22.7339,98.3899,-1.84,0.115688,-0.425626,1.30129,-1.8177,-70.4718,3061.52,60.8614,7590.24,7737.68,-1.39625,0.55943,0.461858,1.74503,-1.37396,119.5,3160.36,68.1831,7689.08,0.331195,0.963618,0.0160724,9542.3,0.00031682,0.330093,11.7178,9.75143,98.2039,70.8447,0.60226,12.6608,11.9042,97.9,120.917,0.303968,-50.0722 
35,1.175,35,12474.1,-0.00484839,20.3824,13.4873,98.3322,0.000953113,7.64238,0.00241516,0.303795,1.86149,0.615332,1.47817,-1.65785,-38.876,-51.2564,7.00953,12325,8949.21,0.548587,2.10628,1.10492,1.72296,-1.41306,0.728501,3.271,11.0486,12379.5,0.000318245,0.144696,0.00164136,10278.3,8.51148e-05,0.0072359,20.9858,-8.97059,119.75,58.9996,0.906564,13.3029,12.4785,97.9796,122.435,21.7703,-63.4358 
