cyc,HF AM 1,HF AM 2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
38,46.2227,0,38,10887.5,-0.0675252,19.5056,12.517,91.6831,0.00132805,51.4515,494.914,-1.00994,-1.33521,-2.25398,-0.350439,-1.68652,-29.9639,398.732,23.0846,11210.2,7950.14,-0.821263,-1.14654,-1.87663,-0.161765,-1.49785,0.659045,436.867,23.8628,11248.4,0.0422689,0.912751,0.00389272,10335.4,0.0111521,2618.82,0.0113398,-0.0282342,-5.20921,-14.5648,105.037,47.9451,-88746.2,5.19914,10.6283,100.053,228.519,4.98402,-180.574 
39,45.2227,3,39,11709.4,-0.0697873,20.9324,12.5363,91.8869,0.216005,-2020.72,499.998,-0.767999,-1.43257,-0.043068,-0.845664,0.406394,-56.2264,516.12,25.4435,11979,22751.5,-0.413956,-1.07853,0.665017,-0.491621,0.760437,2.1904,587.681,26.9039,12050.5,0.0525083,0.925828,0.00409583,11192.1,0.011994,2587.19,0.0121863,-0.0257256,-7.58996,-11.6419,106.694,38.98,-100692,5.18777,10.9591,100.113,231.946,6.58085,-192.966 
40,45.2227,0,40,10981.2,-0.0608217,19.5336,12.5643,91.7638,2.88028e-05,-114.031,48.2466,-2.04641,0.111345,-1.57347,-0.43941,2.12159,-63.6296,571.781,18.2689,11105,7989.54,-1.64575,0.512003,-0.772158,-0.0387512,2.52224,2.33686,652.764,19.9216,11185.9,0.0621894,0.9493,0.00326997,10496.4,0.0112481,2575.14,0.0114947,-0.0233083,-8.71101,-14.0094,106.813,36.9911,-101305,5.16698,11.1751,100.04,230.975,6.7724,-193.983 
41,47.3227,3,41,10429.9,-0.0713532,18.0086,13.0296,91.7703,0.038177,0.947149,166.429,-2.63288,-3.53145,0.776756,-1.5851,-2.51471,-32.2648,1516.25,18.5457,9519.23,7639.65,-2.42971,-3.32829,1.18308,-1.38194,-2.31155,1.14308,1557.31,19.3838,9560.29,0.156194,0.978682,0.00372103,9970.37,0.0106834,2681.71,0.0107165,-0.00708536,-4.13295,-16.6503,104.948,50.3374,-82396.5,5.07877,10.2487,100.081,230.279,4.86627,-179.941 
42,47.3227,0,42,11064.8,-0.00482102,19.93,12.399,91.521,-0.002104,2.1531,4.12406e-11,-2.17939,0.289343,-0.673376,-2.4762,-1.78074,-45.4128,481.774,26.6796,11357.8,8044.45,-1.89344,0.575295,-0.101472,-2.19025,-1.49478,0.980122,539.572,27.8591,11415.6,0.0509737,0.917132,0.00447544,10585.3,0.0113336,2494.89,0.0116247,-0.0232065,-9.62736,-11.6449,107.582,36.02,-155065,5.1707,11.3506,100.063,231.604,7.51934,-195.584 
43,46.2227,3,43,11686.8,-0.0318887,20.4166,12.7486,92.0267,0.0167574,-65.7256,500,0.79612,-0.0662997,-4.71575,-1.03851,-0.423832,-83.4146,628.853,27.3483,11788.8,8508.92,1.32136,0.45894,-3.66527,-0.513267,0.101408,-0.595794,735.017,29.5149,11895,0.0656112,0.934342,0.00454999,11202.6,0.0119708,2588.25,0.0215683,-0.0290441,-171.136,44.7224,99.6907,32.8994,-1.15004e+07,41.8952,16.9954,103.428,261.7,-3.73729,-228.8 
44,46.2227,0,44,10452,-0.0645896,18.6314,12.6092,91.7113,-0.223518,228.595,500,2.07023,0.910518,-3.42198,-0.306872,-0.431051,-45.1102,525.668,18.278,10634.9,9310.95,2.35428,1.19457,-2.85388,-0.0228253,-0.147004,6.43461,583.081,19.4497,10692.3,0.0583532,0.944845,0.00333968,9992.28,0.010706,2684.18,0.0108457,-0.0200646,-5.81653,-17.8084,105.566,44.2206,-86752.8,5.2247,11.3122,100.134,229.669,5.43201,-185.448 
45,45.2227,3,45,11417.2,-0.0228317,20.3288,12.5877,91.4713,0.00426947,-11.026,500,-2.22151,-2.11097,-6.2195,-0.955243,-1.35178,-53.1985,567.272,27.6614,11675.2,8331.64,-1.88654,-1.77599,-5.54955,-0.620266,-1.01681,0.488481,634.979,29.0432,11742.9,0.0578899,0.925889,0.00453533,10968.7,0.0116946,2544.16,0.0117963,-0.0259618,-4.61984,-13.6281,105.468,45.3834,-87130.3,5.15006,10.0178,100,229.735,5.46772,-184.351 
46,45.2227,0,46,11025.5,-0.000991674,19.548,12.4731,91.6569,-0.00286353,-1.70731,0.262271,-2.16369,-1.60125,-1.27563,-1.12372,-2.14809,-51.8334,564.172,21.1092,11168.1,7937.43,-1.83731,-1.27487,-0.62287,-0.797341,-1.82171,0.901974,630.142,22.4555,11234.1,0.0599214,0.941298,0.00366863,10516.1,0.0112934,2644.56,0.0115069,-0.0256092,-7.74276,-12.7262,106.754,40.9588,-100147,5.09581,10.2125,100.125,228.675,6.62915,-187.717 
47,47.3227,3,47,10183.3,-0.00265338,17.2677,13.1834,91.6253,-0.00579395,3.1345,2.01328e-12,-2.3107,-3.30659,-5.7717,0.181968,-1.12601,-8.79605,1515.96,19.0262,9315.63,7411.27,-2.25531,-3.25121,-5.66092,0.237355,-1.07063,0.528284,1527.15,19.2547,9326.83,0.156876,0.978412,0.00378851,9734.76,0.0104307,2686.9,0.0105959,-0.0175162,-7.27212,-14.8584,106.522,40.7128,-156225,5.35236,11.2972,100.072,233.429,6.44916,-192.717 
