cyc,HF AM 1,HF AM 2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,45.2227,0,10,17750,-0.0398579,31.2704,12.5748,92.2624,-0.0695897,81.989,500,-1.79071,0.317275,-1.1976,-2.18617,-3.85331,-78.471,822.103,38.211,18029.8,12986.3,-1.29659,0.811386,-0.209383,-1.69206,-3.3592,0.963559,921.975,40.2492,18129.7,0.054632,0.929025,0.00407295,16876.1,0.0181813,2651.92,-0.000332823,1.45779,12.8719,11.8046,92.2946,119.548,327676,5.30471,8.46413,99.9083,238.341,-7.61368,-118.794 
11,47.3227,3,11,17043.3,-0.101242,28.6546,13.3203,92.3898,-0.0383391,171.483,40.1392,-2.23272,-4.30089,-1.86608,-1.7239,-2.82108,-30.3765,2388.73,35.302,15628.6,12639.2,-2.04145,-4.10961,-1.48353,-1.53262,-2.62981,0.874245,2427.39,36.091,15667.3,0.149704,0.97464,0.00422553,16214.6,0.0174575,2708.63,0.0176428,-0.0317225,-3.89549,-18.4176,103.224,27.1192,-89111.5,5.41347,10.843,100.2,230.067,3.02393,-202.948 
12,47.3227,0,12,17793.7,-0.0136078,31.5224,12.5342,92.0202,-0.0480718,35.9634,500,-3.72031,-2.95795,-1.27254,-2.64825,-0.574573,-97.8999,786.482,46.3503,18138.7,12918.4,-3.10386,-2.3415,-0.0396358,-2.0318,0.0418762,0.994697,911.082,48.8932,18263.3,0.0536473,0.914149,0.00490735,16982.8,0.0182261,2577.22,-0.000445536,1.45572,12.8185,11.9729,91.9365,119.604,-81901.1,5.13283,9.96422,100.075,228.143,-8.13829,-108.539 
13,46.2227,3,13,17194.3,-0.0159153,30.3919,12.4643,92.0402,0.0151949,0.0322507,4.33629e-10,-3.63383,-2.22043,-2.42108,-3.5127,-1.87372,-102.993,787.813,32.6949,17424.9,12331.6,-2.98531,-1.57191,-1.12404,-2.86418,-1.2252,0.884957,918.896,35.3701,17555.9,0.0561393,0.93689,0.00369758,16368.1,0.0176121,2680.11,-0.00022438,1.43203,12.6431,11.7905,92.0132,119.811,-81905.4,5.17556,10.5594,100.129,228.801,-8.11611,-108.99 
14,46.2227,0,14,18420.4,-0.0620105,33.3975,12.1892,92.2598,0.152189,30.422,344.052,-5.49752,0.580553,3.13825,-0.559833,0.889125,-39.3922,775.67,39.008,18742.3,13402.8,-5.24948,0.828595,3.63434,-0.31179,1.13717,-92.5857,825.806,40.0312,18792.4,0.0475609,0.921802,0.00390868,17363.1,0.0188681,2621.31,-0.000382335,1.53372,12.5383,11.977,92.2314,120.229,-81903.6,5.17829,9.46852,100.082,227.894,-7.85082,-107.665 
15,45.2227,3,15,17401.8,-0.0955962,30.7894,12.6289,92.1871,0.48404,-161.157,459.914,-1.6299,-2.22937,2.16749,0.233278,-1.8241,-95.5793,849.553,30.691,17553,15197.2,-1.02806,-1.62753,3.37116,0.835115,-1.22227,-9.26467,971.199,33.1736,17674.6,0.058772,0.943596,0.00344555,16524.9,0.0178247,2679.35,-0.000158631,1.42164,12.7506,11.8705,92.1128,119.49,-81903,5.49839,10.4148,100.093,230.227,-7.98008,-110.737 
16,45.2227,0,16,18283,-0.074818,32.2576,12.5743,92.2377,-0.0426892,48.8861,88.1793,-2.93705,-0.883249,-3.77202,1.52504,-2.085,-18.75,755.771,36.5983,18673.2,13272.1,-2.81899,-0.765185,-3.53589,1.6431,-1.96694,0.524994,779.635,37.0853,18697.1,0.0452407,0.923154,0.00364048,17233,0.0187272,2678.01,-0.000441047,1.49231,12.8445,11.9645,92.2706,120.483,655362,5.05355,9.90887,99.5889,237.762,-7.31831,-117.278 
17,47.3227,3,17,17603.5,-0.130327,29.7969,13.3287,91.9546,0.222393,186.412,11.9859,-5.57384,-4.87653,-6.97341,-4.47685,-3.76133,-94.0932,2655.96,34.2713,16113.9,14278.2,-4.98136,-4.28405,-5.78845,-3.88437,-3.16885,0.738163,2775.71,36.7153,16233.7,0.16269,0.977376,0.00414896,17061.4,0.0180312,2679.98,0.00151918,1.17238,13.5066,12.476,91.8327,118.65,1271.48,4.41869,6.91787,99.9681,216.381,-8.13537,-97.7311 
18,47.3227,0,18,18486,-0.0526898,32.2634,12.631,92.1263,-0.0353868,152.795,305.794,-2.14905,-2.84938,-2.50748,-1.69896,-2.70444,-88.6161,976.254,32.4218,18632.2,13442.1,-1.59106,-2.29139,-1.39149,-1.14097,-2.14645,0.837468,1089.04,34.7235,18745,0.0619312,0.947151,0.00340074,17584.6,0.0189352,2700.02,-0.000209119,1.47694,12.9181,12.0114,92.1379,119.759,-81904.4,5.3666,10.6066,100.182,228.314,-8.04394,-108.554 
19,46.2227,3,19,18874.5,-0.0672089,33.0178,12.6478,92.0461,0.512842,455.644,340.875,-1.40807,-3.49179,-5.38569,-4.5437,-4.52885,-57.4502,871.54,37.8446,19142.7,21201.2,-1.04632,-3.13004,-4.66219,-4.18195,-4.1671,0.728747,944.659,39.3368,19215.9,0.0529084,0.932077,0.00375681,17854.6,0.0193332,2677.22,-0.000278901,1.51313,12.8441,12.0735,92.0681,120.387,106232,5.71693,12.3486,100.303,246.394,-8.23528,-126.006 
20,46.2227,0,20,17669.9,-0.0852945,31.3149,12.5655,92.2154,-0.134317,195.368,423.803,-4.09218,-0.398848,-2.25677,0.0443758,-1.2,-101.967,696.234,34.1723,18186.5,13663.6,-3.45012,0.243213,-0.972654,0.686436,-0.557942,0.759902,826.01,36.8208,18316.3,0.0487485,0.927636,0.00368949,16944.3,0.0180992,2594.16,-0.000597082,1.4288,12.9554,12.0843,92.2951,120.235,121249,5.27732,4.50898,99.7748,237.344,-7.47964,-117.109 
21,45.2227,3,21,19505.8,-0.0649646,34.0509,12.6594,91.9284,-0.0688395,70.4765,482.844,-3.74654,1.13365,3.847,-2.28026,-4.08102,-119.603,847.008,40.1376,19814.1,14190.5,-2.99344,1.88675,5.35321,-1.52716,-3.32791,9.7968,999.229,43.2441,19966.3,0.0538101,0.929596,0.00397388,18569.6,0.0199798,2712.7,-0.000414958,1.56837,12.9643,11.9992,92.0344,120.495,-81904.7,5.20783,10.063,100.02,228.208,-7.98531,-107.714 
22,45.2227,0,22,18763.7,-0.0960885,33.4126,-12.5244,92.1026,0.0368381,0.216853,486.238,-4.23209,-3.43284,-5.43209,-2.06416,-4.75744,-76.9106,809.931,43.1705,19160.6,13622.9,-3.74781,-2.94856,-4.46352,-1.57988,-4.27315,0.737639,907.817,45.1681,19258.5,0.050843,0.919903,0.00430181,17855.3,0.0192197,2627.97,-0.00040807,1.53326,12.7442,12.0196,92.0819,120.265,-81902.5,5.30252,10.4054,100.076,229.213,-7.99411,-108.948 
23,47.3227,3,23,15942.9,-0.102726,26.8605,13.3264,92.0704,0.0238669,195.824,299,-2.68449,-1.954,-6.76254,-3.50066,-2.83562,-67.5116,2473.75,33.5465,14492.2,11804.7,-2.25939,-1.5289,-5.91234,-3.07556,-2.41051,0.61069,2559.68,35.3001,14578.2,0.166337,0.976435,0.00444073,15388.5,0.0163303,2515.68,0.0164621,-0.0332594,-7.2828,-6.23909,105.985,46.4842,-115292,5.14061,10.5545,99.9934,229.359,5.99189,-182.874 
24,47.3227,0,24,20074,-0.0759719,35.1765,12.6406,92.1305,0.031599,127.96,492.198,-2.9138,-5.97703,-3.52822,-2.36122,0.461404,-72.256,884.06,38.3242,20371.3,14606.6,-2.45883,-5.52205,-2.61826,-1.90624,0.916381,0.774073,976.022,40.201,20463.3,0.0514137,0.932766,0.00360585,18983.7,0.0205618,2495.87,0.0206408,0.00211703,3.77808,8.52122,100.531,84.1301,-107257,6.51357,10.7581,100.825,230.665,-0.293875,-146.535 
25,46.2227,3,25,17455.5,-0.0663326,31.2002,12.3935,91.8524,0.344837,-158.09,156.906,-4.35435,-1.4575,-5.08964,-3.76167,-0.204347,-65.1889,903.819,29.0084,17717.9,14362.4,-3.94388,-1.04702,-4.26868,-3.3512,0.20613,0.65588,986.787,30.7016,17800.9,0.059261,0.948364,0.00316706,16651.5,0.0178796,2494.44,-0.000371793,1.45605,12.6611,11.846,91.7572,118.407,-81885.6,5.19174,10.3453,100.182,229.626,-8.42486,-111.22 
26,46.2227,0,26,18704.9,-0.113702,33.3741,12.5604,91.9496,0.230607,-34.3381,64.7438,-5.74031,-1.8335,-2.87134,-1.2925,-2.39835,-51.1685,749.162,40.7054,19312.8,13903.9,-5.41811,-1.51131,-2.22695,-0.970309,-2.07615,0.817506,814.286,42.0344,19377.9,0.0455752,0.917148,0.00397997,17866.9,0.0191595,2645.58,-0.000858067,1.51286,12.9994,12.178,91.9588,119.66,-81903.6,5.16178,5.51868,100.473,229.747,-8.51407,-110.087 
27,45.2227,3,27,17912.8,-0.0334837,31.7031,12.4997,92.0497,-0.067347,15.3859,500,-2.15534,-1.85754,-5.05417,-4.21677,-5.95919,-44.5514,819.103,36.1959,18100.5,12934,-1.87481,-1.57701,-4.49311,-3.93625,-5.67867,0.744126,875.804,37.353,18157.2,0.0519638,0.930546,0.00377528,16854.1,0.018348,2625.88,-0.000138686,1.48662,12.6647,11.7562,91.9831,120.352,-81905.3,5.09724,10.8414,100.114,228.776,-8.13118,-108.424 
28,45.2227,0,28,17637.1,-0.0654551,31.5915,12.3618,91.893,-0.00405611,61.11,122.044,-4.8658,-2.16277,-5.2442,0.0823326,-3.42241,-127.324,793.627,47.4059,17931.5,12721,-4.06407,-1.36105,-3.64075,0.884055,-2.62069,0.662971,955.675,50.7131,18093.6,0.0566224,0.915027,0.00513657,16878,0.0180656,2530.88,-0.000314558,1.45983,12.6164,11.9399,91.816,119.9,148048,4.90274,4.47016,99.7142,232.197,-7.89818,-112.296 
29,47.3227,3,29,17992,-0.113286,31.1754,12.9465,92.1539,0.0293551,71.475,1.68244,-1.09344,2.46283,-4.55554,-1.76754,0.114656,-32.1139,2492.49,36.4855,16665.4,13207.2,-0.891232,2.66504,-4.15111,-1.56532,0.316869,-0.144896,2533.36,37.3196,16706.2,0.146991,0.974868,0.00409816,17234.9,0.0184292,2520.98,0.00132687,1.23724,13.3132,12.4258,92.0846,120.724,-81905.1,5.16507,10.3744,100.188,228.372,-8.10309,-107.648 
30,47.3227,0,30,16640.6,-0.038064,29.8179,12.4116,91.9238,-0.00982313,7.26764,500,-3.73727,-1.4359,0.896747,0.369247,-3.28003,-46.6529,902.246,30.9869,16799.6,12049.9,-3.4435,-1.14214,1.48427,0.663008,-2.98626,1.27362,961.622,32.1987,16859,0.0608716,0.944647,0.00350586,15797.6,0.0170449,2562.08,0.0301601,-0.0421709,-157.586,-40.541,99.5056,35.4679,-1.61951e+07,44.0899,16.9067,110.965,260.733,-11.4592,-225.265 
31,46.2227,3,31,17121.7,-0.0720581,30.1914,12.5891,91.8491,0.412003,-112.71,117.821,-4.45576,-4.40108,-3.4405,-1.27059,1.15081,-50.3143,936.352,30.9407,17111.9,13884.6,-4.13894,-4.08426,-2.80687,-0.953779,1.46762,0.733092,1000.39,32.2475,17175.9,0.0620774,0.946601,0.00344661,16115.2,0.0175378,2609.05,2.28205e-05,1.39519,12.634,11.8884,91.8077,118.801,146212,5.15591,5.9973,99.8827,233.935,-8.07496,-115.135 
32,46.2227,0,32,17527.6,-0.0651757,31.0711,12.4912,91.9155,0.543025,-96.0556,493.968,-7.19766,-1.1396,3.51893,-2.85683,-0.612349,-124.259,1009.01,41.0449,17657,14332.5,-6.41524,-0.35717,5.08379,-2.07441,0.170079,2.41494,1167.15,44.2725,17815.2,0.0692898,0.937751,0.00455695,16844.5,0.0179535,2580,-0.000105769,1.45028,12.4829,11.9374,91.8182,119.334,-81905.1,5.26113,10.3026,100.082,228.381,-8.26364,-109.047 
33,45.2227,3,33,15765.3,-0.0656726,29.0139,12.1988,91.6891,0.0012488,74.3278,500,-1.75537,-2.90227,-4.79472,-0.207795,1.21095,-78.1482,653.373,32.6234,16352.3,11524.7,-1.26329,-2.41019,-3.81057,0.284284,1.70303,0.306759,752.834,34.6532,16451.8,0.0494297,0.925452,0.00386512,15230.4,0.0161484,2578.86,0.0163641,-0.0380574,-8.72798,7.34026,106.89,45.0257,-179666,5.18677,11.2852,100.002,232.086,6.88821,-187.061 
34,45.2227,0,34,18490.8,-0.0948225,32.8592,12.5506,91.7438,-1.8427,1341.32,360.367,-1.87876,-2.35733,-6.96571,-2.04979,-0.273413,-69.7595,958.608,45.8116,18716.4,93885.3,-1.4395,-1.91808,-6.08719,-1.61053,0.165844,0.441001,1047.39,47.6235,18805.2,0.0595247,0.926295,0.00464342,17595.9,0.0189401,2577.78,-0.000320886,1.52144,12.6555,11.9691,91.731,119.417,-81904.2,5.14028,10.1158,100.009,228.82,-8.27823,-109.403 
35,47.3227,3,35,15357.5,-0.0106513,26.4512,12.9832,91.7966,-0.00660032,-8.66818,500,-1.04383,-1.95017,-4.6719,-3.08398,2.03406,-62.2639,2411.47,33.4942,13940.4,11181.3,-0.651772,-1.55811,-3.88778,-2.69192,2.42612,0.389046,2490.72,35.1114,14019.7,0.167974,0.975924,0.00459226,14828,0.0157307,2553.08,0.0252449,-0.0302493,-528.96,43.1797,126.622,24.0299,2545.25,3.49638,5.65557,99.6051,215.67,27.0166,-191.641 
36,47.3227,0,36,17539.2,-0.0151199,30.4294,12.7703,91.8044,0.0247529,-9.39049,7.16644e-11,0.565745,-2.4945,0.388784,-0.237531,-3.24852,-20.3718,892.268,35.8153,17731.4,12657.6,0.694021,-2.36622,0.645336,-0.109255,-3.12024,1.15162,918.196,36.3444,17757.3,0.0554981,0.935218,0.00375613,16544.6,0.0179654,2605.94,0.0318446,-0.039984,400.307,43.1646,114.25,34.2153,1271.62,4.20397,2.72987,99.7182,216.907,14.5319,-182.692 
37,46.2227,3,37,18253.9,-0.0905587,32.2723,12.6044,91.7606,-0.0377726,10.4587,498.731,-4.0755,-3.82514,3.6879,1.06398,-1.2943,-68.4433,854.24,34.3043,18432.5,13254.7,-3.64453,-3.39417,4.54984,1.49494,-0.863326,3.44979,941.35,36.082,18519.6,0.054607,0.937139,0.00357616,17238.6,0.0186975,2633.59,-0.000249998,1.47972,12.7516,12.015,91.7364,119.936,-81904.2,5.11785,10.1886,100.061,229.144,-8.32429,-109.208 
38,46.2227,0,38,17223.6,-0.106822,30.8571,12.517,91.6831,0.245467,-53.906,490.8,-1.59768,-2.11225,-3.56571,-0.554381,-2.66801,-47.4017,630.777,36.5188,17734.1,13004,-1.29921,-1.81378,-2.96876,-0.255905,-2.36954,0.659045,691.107,37.7501,17794.5,0.0422689,0.912751,0.00389272,16350.2,0.0176421,2618.82,-0.000606667,1.41596,12.7967,12.051,91.7001,120.701,-81903,5.16586,10.0611,100.072,228.246,-8.37157,-107.545 
39,45.2227,3,39,18441.6,-0.112837,32.9683,12.537,91.8861,-0.289215,377.739,349.256,-1.20955,-2.2562,-0.0678292,-1.33186,0.640043,-88.5527,812.853,40.0718,18866,17011.4,-0.651953,-1.69861,1.04736,-0.77427,1.19764,2.1904,925.556,42.3718,18978.7,0.0525083,0.925828,0.00409583,17626.8,0.0188897,2587.19,-0.000585218,1.51515,12.8385,11.981,91.7474,119.674,-81901.6,5.1734,11.1374,100.167,231.54,-8.41986,-111.866 
40,45.2227,0,40,17265.3,-0.0956627,30.7117,12.5643,91.7638,0.0774945,23.449,499.474,-3.21747,0.175062,-2.4739,-0.690863,3.33567,-100.042,898.984,28.7234,17459.8,12620.5,-2.58753,0.804999,-1.21403,-0.0609267,3.96561,2.33686,1026.31,31.3218,17587.1,0.0621894,0.9493,0.00326997,16503,0.0176848,2575.14,-0.000221449,1.41759,12.6473,11.9511,91.6851,119.316,-81902.7,5.12792,10.6254,100.053,230.323,-8.36829,-111.007 
41,47.3227,3,41,16645.5,-0.113875,28.7406,13.0296,91.7703,0.0237478,33.8166,495.67,-4.2019,-5.63596,1.23965,-2.52971,-4.01331,-51.4925,2419.83,29.5978,15192.1,12216.7,-3.87766,-5.31173,1.88812,-2.20548,-3.68908,1.14308,2485.37,30.9353,15257.6,0.156194,0.978682,0.00372103,15912.1,0.01705,2681.71,0.0170777,-0.0438314,-7.08387,3.20049,106.687,50.4309,-112963,5.07707,10.2595,100.08,230.832,6.60731,-180.401 
42,47.3227,0,42,17199.3,-0.0377125,31.0021,12.4155,91.5207,0.0244959,-21.3123,500,-3.38769,0.44976,-1.04671,-3.84905,-2.76801,-70.5906,748.879,41.4713,17654.8,12547,-2.9432,0.89425,-0.15773,-3.40456,-2.32352,0.980122,838.722,43.3048,17744.6,0.0509737,0.917132,0.00447544,16454,0.0176173,2494.89,-0.000598275,1.44698,12.7476,11.8152,91.505,119.178,97625.3,5.13855,12.9293,99.9986,254.313,-8.49361,-135.135 
43,46.2227,3,43,18408.6,-0.101935,32.1947,12.7782,92.0257,0.0981804,172.295,483.729,1.25402,-0.104433,-7.42809,-1.63582,-0.667605,-131.392,990.547,43.078,18569.4,13942.7,2.08136,0.722906,-5.77342,-0.80848,0.159734,-0.595794,1157.77,46.4908,18736.6,0.0656112,0.934342,0.00454999,17646,0.0188559,2588.25,-0.000191402,1.46419,12.916,12.0513,91.9397,119.178,-81902,5.3289,11.0386,100.256,232.478,-8.31669,-113.3 
44,46.2227,0,44,16686.5,-0.113579,29.7522,12.6154,91.7112,-0.0116683,144.751,407.409,3.30509,1.45363,-5.46313,-0.489917,-0.688166,-72.0178,839.221,29.1805,16978.4,12273.4,3.75857,1.90711,-4.55618,-0.0364402,-0.23469,6.43461,930.88,31.0511,17070,0.0583532,0.944845,0.00333968,15952.5,0.017092,2684.18,0.0174628,-0.0284529,-9.77257,12.0268,107.485,43.4992,-652893,5.2823,11.69,100.188,235.525,7.29694,-192.026 
45,45.2227,3,45,17872.1,-0.0608391,31.8403,12.6014,91.4712,-0.0372897,58.7104,500,-3.47749,-3.30445,-9.73582,-1.49531,-2.11604,-83.2753,887.99,43.3003,18276,13132.7,-2.95312,-2.78008,-8.68709,-0.970945,-1.59168,0.488481,993.977,45.4633,18382,0.0578899,0.925889,0.00453533,17170.1,0.0183063,2544.16,-0.000491895,1.45108,12.8189,12.0943,91.275,120.671,-81902.1,5.1702,10.643,100.002,229.296,-8.72682,-108.625 
46,45.2227,0,46,17504.9,-0.0772222,31.0892,12.5187,91.6493,0.164848,14.4521,451.362,-3.43526,-2.54227,-2.0253,-1.78411,-3.41048,-82.2949,895.725,33.5147,17731.4,12747.2,-2.91707,-2.02408,-0.988919,-1.26592,-2.89229,0.901974,1000.46,35.6522,17836.2,0.0599214,0.941298,0.00366863,16696.3,0.0179303,2644.56,-0.000282862,1.4453,12.7134,11.8654,91.5405,119.08,-81902,5.0817,10.525,100.18,227.977,-8.63982,-108.897 
47,47.3227,3,47,16263.6,-0.119505,27.6589,13.2623,91.6237,-0.351399,768.163,316.946,-3.69039,-5.28092,-9.21791,0.29062,-1.79834,-14.0481,2421.12,30.3866,14877.9,20728.4,-3.60193,-5.19247,-9.041,0.379077,-1.70988,0.528284,2439,30.7515,14895.8,0.156876,0.978412,0.00378851,15547.3,0.0166588,2686.9,0.0168734,-0.0323069,-10.6426,4.88158,107.776,43.7553,-1.02329e+06,5.36187,12.2247,100.073,238.855,7.703,-195.099 
48,47.3227,0,48,17804.4,-0.0621224,31.4299,12.6094,91.4663,-0.207894,264.217,4.52952e-07,-0.887471,-1.22506,-0.353933,2.54377,-0.56964,-50.2643,902.664,37.9745,17987.1,14689.4,-0.57097,-0.908558,0.279069,2.86027,-0.253139,0.801611,966.637,39.2801,18051.1,0.0573617,0.933609,0.00399251,16851.6,0.0182371,2659.08,-0.000188963,1.46981,12.6587,-11.8455,91.4633,120.375,-99521.8,5.08575,10.2725,100.083,229.152,-8.61939,-108.777 
49,46.2227,3,49,18246.1,-0.040194,31.902,12.652,91.5523,0.00436178,-0.677553,500,-4.23856,-2.3585,-5.75648,-1.59084,-1.13104,-125.506,855.268,40.1004,18465.7,13139.4,-3.44828,-1.56823,-4.17593,-0.800568,-0.340765,0.595895,1015,43.3603,18625.4,0.0583155,0.930441,0.00427014,17405.4,0.0186895,2625.59,-0.000171258,1.47484,12.8255,11.9384,91.4603,119.831,-97881.9,5.20168,10.947,100.127,229.437,-8.66665,-109.606 
50,46.2227,0,50,17985.9,-0.0144733,32.0396,12.5598,91.3254,0.0254712,-20.9251,500,-1.38671,-3.94351,2.43263,-0.58643,-2.68078,-52.7949,716.021,28.7583,18553.8,13117.2,-1.05427,-3.61108,3.0975,-0.253995,-2.34835,1.74277,783.214,30.1296,18621,0.0456161,0.936925,0.00297176,17169.7,0.018423,2519.32,-0.000770255,1.50353,12.9261,11.819,91.2913,119.993,-81905.1,5.12218,10.6195,100.129,229.15,-8.83757,-109.157 
51,45.2227,3,51,18824.6,-0.121919,33.6552,12.5604,91.5219,-0.0911072,378.792,485.846,-2.33987,-3.93311,-3.66612,0.450135,-0.192418,-48.829,861.068,41.9178,19271.3,14884.5,-2.03241,-3.62565,-3.05119,0.757598,0.115046,0.610649,923.214,43.1861,19333.4,0.0514708,0.924333,0.00409795,17936.6,0.019282,2629.86,-0.000549258,1.53357,12.7645,12.1289,91.4372,119.787,-92483.5,5.11685,10.4914,100.016,227.588,-8.57861,-107.8 
52,45.2227,0,52,18140.8,-0.113004,32.3285,12.5852,91.3932,-0.132415,47.5458,340.462,-3.1485,0.146772,-4.07867,-3.05937,-2.45484,-79.0013,782.433,33.3073,18499.4,13449.6,-2.65105,0.644222,-3.08377,-2.56192,-1.95739,0.679105,882.98,35.3593,18600,0.0511844,0.93451,0.0034897,17250.9,0.0185816,2466.6,-0.000414668,1.50564,12.7519,11.8385,91.3496,120.143,-81888.6,5.30497,10.4659,100.197,230.114,-8.84709,-109.971 
