cyc,HF AM,HF AM img2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
28,0.7,0.7,28,46168,0,5,101,125,0,5,135,1.89372,1.42279,0.623331,-3.72801,-3.09517,6.11275,4.23616,44861.7,-13.0574,16439.4,1.8701,1.39917,0.576094,-3.75163,-3.11879,1.19044,3.87893,44834.9,-13.4146,-0.31746,4.94352e-05,1.00016,-12.2186,0.0207132,146.788,351.347,349.417,0.265457,53922.5,1.00038e-06,0.350247,131.63,92.4907,24.2643,23.9749,1.01207,535.251,532.042,0.53344 
29,0.725,0.725,29,43075.5,0,5,101,125,0,5,135,-1.84946,-0.0645284,1.32617,0.448594,-1.8277,-159.943,-19.007,41760,8.3591,16439.4,-1.23147,0.553461,2.56215,1.06658,-1.20971,-0.471645,-9.65995,42461,17.7062,-0.833655,-0.000130018,0.999774,11.5875,0.0193258,384.779,339.47,351.512,0.263104,49833.7,9.74429e-07,0.354503,131.457,92.1006,23.9131,24.1402,0.99059,519.871,539.406,0.543444 
30,0.75,0.75,30,43921.4,0,5,101,125,0,5,135,1.4684,-0.646895,-3.40144,1.00235,-1.01453,-118.732,21.9151,42851.3,-12.2333,16439.4,1.92716,-0.188137,-2.48392,1.4611,-0.55577,16.4824,28.8538,43371.7,-5.29455,1.28237,0.000380009,1.00007,22.5004,0.0197053,670.186,333.354,340.15,0.251533,51199,9.83248e-07,0.342472,131.157,92.7405,24.0716,24.0901,0.999232,526.786,537.168,0.541014 
31,0.775,0.775,31,44624.7,0,5,101,125,0,5,135,-0.451108,0.0384467,1.45466,-3.44763,-2.2708,99.7264,-9.66851,43121.4,2.00152,16439.4,-0.836431,-0.346876,0.684018,-3.83296,-2.65612,1.09788,-15.4965,42684.3,-3.82649,0.77142,-0.0002075,1.00005,-20.0883,0.0200208,920.79,364.274,370.512,0.27246,51929.9,9.87905e-07,0.371877,131.33,91.8627,24.5294,24.4991,1.00123,547.013,555.564,0.558021 
32,0.8,0.8,32,41105.7,0,5,101,125,0,5,135,1.95228,-1.91527,-2.46926,-4.01025,-2.47932,5.38208,0.414055,39989.9,-12.9661,16439.4,1.93148,-1.93606,-2.51085,-4.03104,-2.50011,0.722453,0.0995261,39966.3,-13.2806,-0.00628434,1.423e-06,1.00018,-15.8372,0.018442,1270.6,371.538,376.965,0.29331,48316.5,9.64438e-07,0.388041,131.597,93.1303,24.1808,24.1254,1.0023,531.577,538.742,0.55488 
33,0.825,0.825,33,41405.6,0,5,101,125,0,5,135,-1.73481,-1.53489,1.40085,-0.240911,-4.64327,-71.2125,-0.464918,40411.6,-3.93052,16439.4,-1.45966,-1.25974,1.95115,0.0342402,-4.36812,1.38242,3.69674,40723.7,0.231137,0.930207,5.18693e-05,0.999997,3.9741,0.0185766,1574.19,359.873,363.006,0.274556,48127.9,9.63182e-07,0.375252,131.389,92.7398,24.3168,24.1803,1.00565,537.573,541.199,0.560001 
34,0.85,0.85,34,38712.9,0,5,101,125,0,5,135,-0.809067,-1.97641,-3.12859,0.593243,-3.97248,-51.2509,-20.6482,37597.1,8.04203,16439.4,-0.611044,-1.77839,-2.73254,0.791266,-3.77445,0.662864,-17.6531,37821.7,11.0371,4.00431,-0.000266783,0.999842,-4.40852,0.0173685,1839.16,396.8,405.036,0.322878,45280.4,9.43799e-07,0.42477,131.788,93.3609,24.3093,24.3306,0.999125,537.238,547.944,0.574874 
35,0.875,0.875,35,36239.9,0,5,101,125,0,5,135,-2.20745,0.728348,-2.07894,0.30688,0.255668,19.5494,2.64742,35543.5,-2.91223,16439.4,-2.28299,0.652813,-2.23001,0.231345,0.180133,0.353378,1.50495,35457.8,-4.0547,-0.44781,2.42527e-05,1.00006,-3.36069,0.016259,2111.32,331.414,358.974,0.273119,42361.9,9.2307e-07,0.373665,131.538,92.4081,23.3535,24.0695,0.970256,495.826,536.247,0.558615 
36,0.9,0.9,36,36077.4,0,5,101,125,0,5,135,-1.36898,-0.114966,-0.270039,-0.101003,-0.320729,92.5591,0.172727,35433,-0.607227,16439.4,-1.72661,-0.472596,-0.985299,-0.458633,-0.678359,0.772001,-5.23643,35027.3,-6.01638,0.420391,-8.54332e-05,1.00009,-12.4561,0.0161861,2351.74,334.951,356.763,0.272164,42194.8,9.21854e-07,0.374989,131.862,93.6087,23.4982,24.0069,0.97881,501.989,533.465,0.561355 
37,0.925,0.925,37,34075.2,0,5,101,125,0,5,135,-1.52176,-1.226,0.550812,0.224339,-2.56238,55.1285,-18.1852,33345.5,-3.9593,16439.4,-1.73477,-1.43901,0.124801,0.0113331,-2.77539,1.02147,-21.4069,33103.9,-7.18101,0.712991,-0.000369656,1.00012,-30.0242,0.0152878,2441.52,373.227,381.911,0.308087,40134.8,9.06602e-07,0.416439,131.513,93.4946,23.8911,23.9311,0.99833,518.917,530.1,0.57851 
38,0.95,0.95,38,36348,0,5,101,125,0,5,135,-0.231383,1.51504,4.15303,-0.530944,-2.02323,57.0055,-14.6574,35235.2,-9.72115,16439.4,-0.451641,1.29479,3.71252,-0.751202,-2.24348,-1.37833,-17.9888,34985.3,-13.0526,0.534555,-0.000293904,1.0002,-33.6518,0.0163075,2670.82,400.535,404.955,0.320673,42654.4,9.25189e-07,0.435305,131.873,93.0318,24.4948,24.3868,1.00443,545.469,550.48,0.592277 
