cyc,field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
20,201.4,2.922,44.7073,2.023,20,21195.1,-0.200328,43.5607,12.4681,121.801,0.0105415,725.16,1.32849e-11,-13.4433,-2.14354,-4.14493,-6.23619,-4.30527,161.822,9727.21,37.1238,13909.3,17929.1,-14.4622,-3.16249,-6.18283,-7.25514,-5.32422,0.830081,9500.23,28.7174,13682.3,0.446712,0.994738,0.00385146,21267,-0.00277627,0.823873,12.5597,11.5367,122.2,93.8125,1.08853,12.8328,12.8082,120.642,145.205,1.55831,-51.3926 
21,202.3,3.42,44.848,2.02,21,21569.2,0.0066708,48.2145,-11.2316,121.834,-0.0649388,-29.8464,500,-8.39566,-6.59246,-6.14391,-0.671994,-8.89549,187.454,9963.39,34.8127,14176,17691.6,-9.57601,-7.7728,-8.5046,-1.85234,-10.0758,0.774901,9700.46,25.0749,13913.1,0.447733,0.995497,0.00330894,21665.7,-0.00275174,1.05319,11.2776,10.1343,121.755,93.676,1.38501,11.5837,11.3545,121.08,144.771,0.675862,-51.0945 
22,202.5,3.53,44.8792,2.019,22,20230.7,-0.0223114,47.4203,10.9203,121.759,-0.0369923,29.4537,500,-8.07988,-8.38248,-13.0495,-4.44137,-5.70671,157.061,9857.57,25.279,13193.4,16893,-9.06884,-9.37145,-15.0275,-5.43034,-6.69568,0.670406,9637.27,17.12,12973.1,0.463461,0.996901,0.00242506,20794.1,-0.00320266,1.0679,11.132,10.1823,121.751,93.3681,1.32531,11.3145,11.4269,121.064,144.175,0.686732,-50.8066 
23,201.9,3.199,44.7855,2.021,23,17238.9,0.0114205,38.3162,11.7571,121.673,0.0255134,-30.0345,1.86178e-10,-4.33892,1.61907,-1.93869,-1.58494,-1.74925,108.021,8356.48,28.9142,11466.7,14689.8,-5.0191,0.938892,-3.29905,-2.26512,-2.42943,0.726759,8204.97,23.3027,11315.2,0.457457,0.995054,0.00377932,17936,-0.00288453,0.792482,12.008,10.7778,121.782,93.5847,1.0247,12.0064,12.0904,120.655,144.693,1.12719,-51.1088 
24,202,3.254,44.8011,2.021,24,20104,-0.0159676,43.8943,11.6194,121.807,0.0220074,-99.3914,1.11034e-10,0.165195,-7.5138,-6.73952,-3.434,-7.6792,132.793,9661.01,16.4483,12995.3,16674.3,-0.670967,-8.34996,-8.41185,-4.27016,-8.51536,0.721631,9474.76,9.54997,12809.1,0.462396,0.998239,0.00137152,20490.6,-0.00281473,0.927431,11.8304,10.7479,121.751,93.9442,1.17848,11.8555,11.9907,120.985,145.261,0.765623,-51.3163 
25,201.2,2.812,44.676,2.023,25,19026.1,-0.0202094,40.3198,-12.2048,121.366,0.0662581,-74.9389,500,-4.95939,-4.73742,-15.9508,-7.4178,-1.41337,279.832,8905.18,15.2379,12842.1,16181,-6.72142,-6.49945,-19.4748,-9.17983,-3.1754,0.567715,8512.69,0.701168,12449.6,0.442923,0.999856,0.000103738,19219.3,-0.00297838,0.791029,12.2969,11.1611,121.774,93.8984,1.09148,12.5352,12.1291,120.182,145.111,1.59204,-51.2121 
26,201.1,2.756,44.6603,2.024,26,19585.8,-0.201915,42.8431,11.8396,121.411,0.469009,-301.432,0.000200809,-5.9377,-3.18557,-18.8652,-0.605405,-5.69737,121.333,9214.32,30.0662,12981,21114.7,-6.7017,-3.94957,-20.3932,-1.36941,-6.46138,0.475419,9044.14,23.7632,12810.8,0.450823,0.995423,0.00340536,20061.4,-0.00292796,0.85744,11.9318,11.0154,121.776,93.9567,1.1448,12.0802,12.1466,120.157,145.222,1.61932,-51.2649 
27,202.7,3.641,44.9104,2.019,27,20685.1,-0.0365756,48.4141,-10.9171,121.695,0.0561134,-86.4508,500,-10.1392,-8.08802,-11.5895,-6.30402,-6.16871,98.0523,10040,19.8313,13426.8,17363.7,-10.7566,-8.70543,-12.8244,-6.92142,-6.78612,0.721173,9902.45,14.7376,13289.3,0.464222,0.997402,0.0020387,21331.3,-0.00320474,1.11578,11.0286,10.0368,121.659,93.6091,1.38896,11.2696,11.1469,121.006,144.577,0.652551,-50.9684 
28,202.9,3.752,44.9416,2.018,28,21367.6,-0.000942277,48.9584,10.9757,121.618,0.042279,-318.527,500,-6.54664,-3.76217,-6.37397,1.16067,-2.87931,53.782,10316.7,25.3927,13501.7,17931,-6.88529,-4.10082,-7.05127,0.822016,-3.21796,0.654913,10241.3,22.5988,13426.2,0.470045,0.996153,0.00309101,21787.8,-0.00299468,1.13914,11.0523,10.074,121.491,93.4175,1.38736,11.3142,11.251,120.97,144.306,0.52123,-50.8884 
29,202.6,3.586,44.8948,2.019,29,23775.2,-0.869613,54.2627,11.3347,121.859,0.409284,854.563,213.966,-3.3944,-4.49897,-8.73477,-8.18868,-7.03606,87.694,11546.6,25.3046,14955.8,31407.7,-3.94658,-5.05115,-9.83914,-8.74086,-7.58824,0.720209,11423.6,20.749,14832.8,0.472443,0.996831,0.00257022,24179.8,-0.00313326,1.24329,11.2449,10.142,121.779,93.2584,1.49095,11.3894,11.3701,121.147,144.081,0.632661,-50.8225 
