cyc,field,2,3,4,5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,201.5,2.98,44.7229,2.031,43.0476,31,22404.1,-0.016446,43.4954,-12.5871,120.715,0.0152706,-15.6468,2.09319e-11,-7.43703,-8.88192,-11.5258,-0.692425,-3.88102,9.39255,10616.3,76.5791,13778.4,17830.1,-7.49617,-8.94106,-11.6441,-0.751568,-3.94016,0.644705,10603.1,76.0912,13765.2,0.531127,0.987597,0.0100801,19963.5,-0.00246969,0.867005,13.0916,11.6899,121.262,86.8203,1.0222,12.9241,13.3347,119.392,136.989,1.87027,-50.169 
32,201.4,2.926,44.7073,2.031,43.0186,32,23583.8,-0.648003,45.7293,12.8093,120.946,-0.0308119,-83.6731,483.694,-6.88007,-4.93808,-4.21526,-0.296169,-2.38603,88.5606,11499.7,67.7993,13989.8,19152.4,-7.43771,-5.49572,-5.33054,-0.853811,-2.94367,0.758378,11375.5,63.1987,13865.6,0.546792,0.990371,0.00832632,20804.1,-0.00225015,0.953246,12.9688,11.5789,121.509,87.0165,1.07384,12.7369,12.9496,119.603,137.051,1.90621,-50.0343 
33,201.3,2.871,44.6916,2.032,42.9897,33,25351.3,-0.697762,50.2075,12.5438,120.82,-5.08017,-4924.77,271.453,-10.0514,-4.62616,-6.37765,-7.68311,-3.187,21.0514,12247.8,56.7812,15216,834942,-10.1839,-4.75872,-6.64276,-7.81566,-3.31956,0.796985,12218.3,55.6877,15186.4,0.541949,0.992087,0.00670956,22545,-0.00247879,1.08164,12.657,11.1325,121.464,87.727,1.22315,12.5055,12.5972,119.401,138.07,2.063,-50.3428 
34,201.2,2.817,44.676,2.033,42.9608,34,24760.2,-0.304271,48.9728,12.3317,120.831,2.77826,-524.014,2.87093e-05,-7.52548,-7.62645,-8.88707,-3.6294,-0.562175,85.364,12139.1,71.817,14585.2,67052.3,-8.06299,-8.16397,-9.9621,-4.16692,-1.09969,0.683297,12019.4,67.3825,14465.5,0.549937,0.990285,0.00850781,21855.9,-0.00222541,1.10464,12.4006,10.9026,121.426,86.5844,1.19374,12.4369,12.4601,119.46,136.315,1.96546,-49.7309 
35,201.1,2.762,44.6603,2.033,42.9318,35,24675.1,-0.61416,49.9926,12.1143,120.396,1.67957,-5592.24,379.153,-7.15607,-3.26572,-13.9716,-3.39216,0.647088,4.59163,12168.1,57.9547,14559.4,325474,-7.18498,-3.29463,-14.0294,-3.42107,0.618175,0.486326,12161.6,57.7162,14553,0.551356,0.991763,0.00725267,22057.7,-0.00228496,1.15303,12.0988,10.7,120.995,87.7602,1.26561,12.0961,12.0747,119.015,137.61,1.97967,-49.8498 
36,201,2.708,44.6446,2.034,42.9029,36,27649,-0.0170107,55.3153,11.9531,120.784,-0.00488644,-23.2452,2.34196e-11,-6.98405,-6.81079,-10.6612,-1.57834,-3.00954,15.8364,13456.6,70.7257,16342.7,21527.7,-7.08377,-6.91051,-10.8606,-1.67806,-3.10926,0.63361,13434.4,69.903,16320.5,0.54762,0.990976,0.00782823,24532.3,-0.00253226,1.26393,12.19,10.7971,121.377,86.675,1.39211,12.2073,12.2186,119.504,136.396,1.8728,-49.7212 
37,200.9,2.653,44.629,2.035,42.8739,37,25629.8,-0.683827,53.2618,11.9085,120.519,1.0587,-222.107,93.7475,-8.26429,0.153568,-5.97298,-3.11369,-2.25928,45.5175,11906,60.0964,15826.4,28302.2,-8.5509,-0.133043,-6.5462,-3.4003,-2.54589,0.690872,11842.2,57.7318,15762.6,0.524902,0.991541,0.00670166,22560.7,-0.00255213,1.16804,11.98,10.5345,121.172,87.2676,1.42411,11.909,11.9175,119.243,137.028,1.92925,-49.7607 
38,200.8,2.599,44.6133,2.035,42.845,38,26941.7,-0.694337,56.4354,11.7648,120.82,0.915736,-222.726,308.265,-3.26472,-5.65741,-10.7162,0.274323,0.766842,50.8078,13333.1,60.558,15856,28253.4,-3.58464,-5.97734,-11.356,-0.0456001,0.446919,0.446498,13261.9,57.9186,15784.7,0.552682,0.992415,0.00671382,23995.5,-0.00269988,1.33696,11.7949,10.4848,121.445,86.834,1.42333,11.8435,12.0018,119.633,136.32,1.81183,-49.4865 
39,202.8,3.689,44.926,2.022,43.4231,39,23775.7,-0.102354,53.4134,-10.771,120.91,9.22605,2692.37,498.033,-5.05533,-7.11055,-10.9408,-4.03136,-0.652461,10.0368,11522.6,39.3243,14521.9,827351,-5.11853,-7.17375,-11.0672,-4.09456,-0.71566,0.607123,11508.5,38.8029,14507.8,0.53844,0.994134,0.00490278,21373.8,-0.00292018,1.34767,10.9972,9.69265,121.019,87.0488,1.49555,11.3081,11.1321,120.047,136.609,0.971978,-49.5603 
40,202.9,3.744,44.9416,2.021,43.452,40,26880.5,-0.206017,59.3523,11.0034,120.593,-0.0143547,283.967,499.571,-8.18124,-4.99459,-7.37905,-3.10297,-4.08224,39.572,13123.8,47.9358,16115.1,21392.5,-8.43041,-5.24376,-7.8774,-3.35214,-4.33142,0.73055,13068.3,45.8801,16059.6,0.544765,0.993894,0.00523509,23988.9,-0.00292145,1.5066,11.068,9.78916,120.757,87.0171,1.62257,11.4048,11.1725,119.816,136.476,0.940454,-49.4591 
