cyc,field,wiggle time,wait time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,202.129,0.1,0.48,43.2247,21,15596.1,-0.792013,35.591,-12.042,121.206,-0.0047008,-429.861,404.558,-5.94977,-7.7064,-3.80107,-1.20891,-10.7154,145.911,10268.6,32.3972,8111.06,14017.7,-6.86854,-8.62517,-5.63859,-2.12768,-11.6341,0.838408,10063.9,24.8174,7906.41,0.59679,0.995703,0.00574893,16863.4,-0.00291758,0.95482,12.0685,10.9502,121.128,92.269,0.697492,11.9728,12.6281,120.367,143.302,0.761113,-51.0332 
22,202.092,0.16,0.42,43.2165,22,14439.5,-0.00747064,33.1735,-11.6405,121.022,-0.00908459,38.6396,500,-6.55477,-3.65936,-3.13584,-4.04083,-7.68109,213.927,9442.86,34.8011,7833.49,12582.1,-7.90181,-5.0064,-5.82992,-5.38787,-9.02813,0.824157,9142.81,23.688,7533.44,0.585268,0.995486,0.00575892,15621.6,-0.00293909,0.923157,11.8617,10.6125,120.898,91.6703,0.687921,11.9304,12.3737,120.092,142.671,0.805533,-51.0002 
23,202.111,0.15,0.43,43.2208,23,16551.7,-0.76995,37.0112,12.0732,121.163,0.304597,75.1183,125.467,-8.69472,-2.72916,-8.21998,0.590559,-6.27542,171.158,10650.5,34.6768,8551.98,15291,-9.77246,-3.80689,-10.3754,-0.487174,-7.35316,0.673678,10410.4,25.7855,8311.91,0.592894,0.995684,0.00568218,17558.7,-0.00282112,1.01085,11.8237,10.9206,121.03,93.1372,0.754322,12.0823,12.2326,120.355,144.495,0.675418,-51.3582 
24,202.003,0.22,0.36,43.1967,24,13610.7,-0.185279,31.1062,11.5341,121.08,0.0384657,99.0435,356.043,-5.26074,-1.56791,-5.59474,-4.2393,0.993831,117.915,9082.59,26.3099,7265.31,11803.5,-6.00322,-2.31039,-7.0797,-4.98178,0.251351,0.648192,8917.21,20.1844,7099.92,0.593565,0.996054,0.00520965,15023.1,-0.00278636,0.900099,11.6923,10.592,120.957,91.9005,0.651613,12.0074,12.0157,120.463,142.954,0.493587,-51.0538 
25,202.005,0.01,0.57,43.1974,25,13733.3,0.00654453,30.8717,11.767,121.214,-0.00268099,-19.8638,500,-10.413,-8.58808,-16.0278,-5.67435,-3.012,102.979,9225.76,30.7483,7142.7,11827.3,-11.0614,-9.23651,-17.3247,-6.32278,-3.66043,0.636081,9081.32,25.3988,6998.27,0.601419,0.995129,0.00664114,15099.8,-0.00274995,0.877155,11.8476,10.7888,120.977,92.1892,0.61451,12.2575,12.5276,120.348,143.354,0.629273,-51.165 
26,202.114,0.29,0.29,43.2214,26,15484.6,0.00349159,35.2318,11.3994,121.02,-0.0204695,-5.03176,498.489,-5.52809,-2.21985,-5.65282,-5.71073,-4.08206,181.18,10070.2,31.9666,8033.64,13077.5,-6.66893,-3.36069,-7.93451,-6.85158,-5.2229,0.735856,9816.08,22.5546,7779.52,0.594681,0.995995,0.00531232,16506.5,-0.00274668,0.960905,11.7602,10.9339,120.858,92.5296,0.710886,11.6717,12.5752,120.161,143.755,0.697113,-51.2251 
27,202.111,0.35,0.23,43.2208,27,14107.7,-0.0134831,32.3554,-11.4557,121.12,-0.000769213,-18.3839,500,-8.9176,-5.7863,-7.84402,-5.03439,-4.33661,215.485,9422.78,8.81181,7301.56,12066.5,-10.2745,-7.14316,-10.5577,-6.39124,-5.69346,0.736452,9120.54,-2.38223,6999.33,0.602415,1.00046,-0.000627358,15140,-0.00278694,0.94026,11.668,10.5316,120.953,91.5332,0.676576,11.8056,12.0243,120.216,142.562,0.736806,-51.029 
28,202.052,0.26,0.32,43.2077,28,14748.7,-0.693463,32.9798,12.0985,121.024,-0.140562,-210.488,499.652,-4.58136,-7.32589,-7.15246,-7.92453,-7.76238,147.483,9644.44,27.8753,7543.15,13952.1,-5.51002,-8.25455,-9.00978,-8.8532,-8.69104,0.776535,9437.58,20.2139,7336.29,0.599333,0.996266,0.00504996,15746.8,-0.00262111,0.911962,11.9755,10.8627,120.88,92.3008,0.655155,12.1854,12.3386,120.152,143.45,0.727946,-51.1489 
29,202.114,0.09,0.49,43.2214,29,14755.5,-0.0701309,32.614,11.7713,120.884,0.120388,-937.505,2.1793e-06,-8.69035,-9.0667,-13.7276,-7.10282,-7.96204,135.44,9266.2,20.3772,8009.03,16171.6,-9.54318,-9.91953,-15.4332,-7.95564,-8.81486,0.701291,9076.23,13.3414,7819.06,0.574422,0.997434,0.00313327,15800.6,-0.00264314,0.868111,11.9374,10.9514,120.627,92.2969,0.691013,12.1755,12.3655,120.004,143.446,0.622226,-51.1496 
30,202.074,0.07,0.51,43.2125,30,15043.6,-0.0707477,33.1042,11.7979,120.936,0.0121789,18.1164,499.972,-8.06224,-3.2648,-6.80678,-4.75693,-6.60429,257.664,9624.93,43.0705,7842.47,12721.2,-9.68468,-4.88725,-10.0517,-6.37938,-8.22673,0.743774,9263.53,29.6854,7481.07,0.590137,0.994423,0.00725654,15697.3,-0.00260507,0.913,12.0535,10.7285,120.761,91.0953,0.687904,12.1101,12.2995,120.105,141.942,0.656952,-50.8464 
