cyc,amplitude,wiggletime,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
133,1.2,15,1,4.48864e-07,7.53873e-07,1.04083e-29,0.59541,1062.49,2846.28,2770.88,-0.407339,1.06105e-12,38245.1,58936.4,1.65849,26.0518,1.52061,23.886,2.27161e-23,0.0066,1.40377 
134,1.2,0.01,15.99,4.26827e-07,7.7511e-07,1.07016e-29,0.550666,1062.49,2846.28,2770.88,-0.198768,3.78913e-13,41569.2,59315.1,1.52053,24.5576,1.42168,22.9611,1.9688e-23,0.0066,1.46423 
135,1.2,15,1,4.54027e-07,7.76469e-07,1.07203e-29,0.584733,1062.49,2846.28,2770.88,-0.358973,9.25007e-13,41788.2,63469.4,1.62526,26.2951,1.4966,24.2135,2.20118e-23,0.0066,1.39784 
136,1.2,0.01,15.99,4.52171e-07,6.98467e-07,9.64338e-30,0.647377,1062.49,2846.28,2770.88,-0.632205,8.87905e-13,30417.2,47367.7,1.82148,26.5092,1.64092,23.8814,2.59936e-23,0.0066,1.35388 
137,1.2,15,1,4.31497e-07,7.22589e-07,9.97643e-30,0.597155,1062.49,2846.28,2770.88,-0.415161,8.60555e-13,33678.7,50770.8,1.66393,25.0526,1.52455,22.9542,2.28301e-23,0.0066,1.42435 
138,1.2,15,1,4.2425e-07,7.4017e-07,1.02192e-29,0.573179,1062.49,2846.28,2770.88,-0.305698,7.84835e-13,36197.3,53715,1.58948,24.514,1.47091,22.6853,2.1237e-23,0.0066,1.44626 
139,1.2,0.01,15.99,4.19005e-07,7.37745e-07,1.01857e-29,0.567953,1062.49,2846.28,2770.88,-0.281246,9.07046e-13,35842.7,53787.2,1.57341,24.1867,1.45938,22.4338,2.08824e-23,0.0066,1.4216 
140,1.4,0.01,15.99,4.24759e-07,7.47859e-07,1.03253e-29,0.567968,1062.49,2846.28,2770.88,-0.281313,7.85462e-13,37337.1,55615.7,1.57346,24.519,1.45941,22.7418,2.08833e-23,0.0066,1.43241 
141,1.4,15,1,4.35224e-07,7.32231e-07,1.01095e-29,0.59438,1062.49,2846.28,2770.88,-0.402708,8.13589e-13,35045,52802.4,1.65527,25.2549,1.51828,23.1648,2.26486e-23,0.0066,1.41448 
142,1.4,0.01,15.99,4.34012e-07,7.4649e-07,1.03064e-29,0.581404,1062.49,2846.28,2770.88,-0.343728,9.53663e-13,37132.5,55877.3,1.61493,25.1192,1.48917,23.1631,2.17899e-23,0.0066,1.43796 
143,1.4,15,1,4.56609e-07,6.81343e-07,9.40696e-30,0.67016,1062.49,2846.28,2770.88,-0.725947,9.57918e-13,28234.4,44636.4,1.89317,26.8771,1.69545,24.0701,2.73573e-23,0.0066,1.35269 
144,1.4,0.01,15.99,4.20398e-07,7.23625e-07,9.99074e-30,0.58096,1062.49,2846.28,2770.88,-0.34169,1.00631e-12,33823.9,51493.3,1.61355,24.3291,1.48818,22.4387,2.17602e-23,0.0066,1.40504 
145,1.4,15,1,4.33529e-07,7.12577e-07,9.8382e-30,0.608396,1062.49,2846.28,2770.88,-0.465093,4.19827e-13,32298.1,47360.5,1.69907,25.2273,1.55013,23.016,2.3558e-23,0.0066,1.42081 
146,1.4,0.01,15.99,4.21846e-07,7.44402e-07,1.02776e-29,0.566691,1062.49,2846.28,2770.88,-0.275312,4.97572e-13,36821.7,53805.4,1.56954,24.3449,1.4566,22.5932,2.07964e-23,0.0066,1.41947 
147,1.4,15,1,4.52641e-07,7.59221e-07,1.04822e-29,0.596192,1062.49,2846.28,2770.88,-0.410843,8.4975e-13,39064.8,58734.6,1.66092,26.2752,1.52238,24.0834,2.27671e-23,0.0066,1.4232 
148,1.4,15,1,4.4063e-07,7.33918e-07,1.01328e-29,0.600381,1062.49,2846.28,2770.88,-0.429581,1.13036e-12,35287.8,54303.7,1.674,25.5995,1.53187,23.4259,2.30402e-23,0.0066,1.41176 
149,1.4,0.01,15.99,4.27236e-07,7.56239e-07,1.0441e-29,0.564949,1062.49,2846.28,2770.88,-0.267103,4.52903e-13,38606.3,56853.1,1.56417,24.6473,1.45278,22.8922,2.0677e-23,0.0066,1.39075 
150,1.4,0.01,15.99,4.26828e-07,7.16199e-07,9.8882e-30,0.595963,1062.49,2846.28,2770.88,-0.409818,5.57965e-13,32793.1,48390.3,1.66021,24.7756,1.52186,22.7109,2.27522e-23,0.0066,1.39035 
151,1.4,15,1,4.45045e-07,7.51721e-07,1.03786e-29,0.592035,1062.49,2846.28,2770.88,-0.392133,1.01757e-12,37918.5,57516.6,1.64796,25.8126,1.51299,23.6985,2.24945e-23,0.0066,1.41545 
152,1.4,0.01,15.99,4.26343e-07,7.43417e-07,1.0264e-29,0.57349,1062.49,2846.28,2770.88,-0.307145,5.86624e-13,36675.8,54229.3,1.59045,24.6365,1.4716,22.7955,2.1258e-23,0.0066,1.40675 
153,1.4,15,1,4.50623e-07,7.02153e-07,9.69428e-30,0.641774,1062.49,2846.28,2770.88,-0.608723,4.17806e-13,30901.3,46843,1.80386,26.3913,1.62767,23.8137,2.56516e-23,0.0066,1.33728 
154,1.4,0.01,15.99,4.22053e-07,7.36889e-07,1.01739e-29,0.57275,1062.49,2846.28,2770.88,-0.303703,9.0281e-13,35718.1,53973,1.58815,24.3849,1.46996,22.5702,2.12079e-23,0.0066,1.43103 
155,1.4,15,1,4.31419e-07,7.38832e-07,1.02007e-29,0.58392,1062.49,2846.28,2770.88,-0.355264,7.05478e-13,36001.4,53583.9,1.62273,24.9816,1.49479,23.0119,2.19577e-23,0.0066,1.43172 
156,1.4,0.01,15.99,4.20175e-07,7.70269e-07,1.06347e-29,0.545491,1062.49,2846.28,2770.88,-0.173571,8.25665e-13,40795.2,60351.5,1.50483,24.1522,1.41052,22.6386,1.93242e-23,0.0066,1.42112 
157,1.4,15,1,4.29119e-07,7.57515e-07,1.04586e-29,0.566483,1062.49,2846.28,2770.88,-0.274328,5.17451e-13,38802.2,57150.4,1.56892,24.7639,1.45615,22.9839,2.07823e-23,0.0066,1.40484 
158,1.4,15,1,4.27015e-07,7.09009e-07,9.78894e-30,0.60227,1062.49,2846.28,2770.88,-0.437986,1.14286e-12,31815.4,49146.4,1.6799,24.8179,1.53616,22.6943,2.31628e-23,0.0066,1.3961 
159,1.4,0.01,15.99,4.29955e-07,7.59525e-07,1.04864e-29,0.566084,1062.49,2846.28,2770.88,-0.272449,5.39136e-13,39111.8,56768.6,1.56765,24.8096,1.45527,23.0311,2.07546e-23,0.0066,1.44643 
160,1.6,0.01,15.99,4.30445e-07,7.7368e-07,1.06818e-29,0.55636,1062.49,2846.28,2770.88,-0.226217,7.61663e-13,41339.6,60229.1,1.53788,24.7919,1.43402,23.1177,2.00849e-23,0.0066,1.46407 
161,1.6,15,1,4.58013e-07,7.41943e-07,1.02436e-29,0.617316,1062.49,2846.28,2770.88,-0.504133,7.02214e-13,36458.1,53955.6,1.72702,26.6991,1.57062,24.2812,2.41272e-23,0.0066,1.43586 
162,1.6,0.01,15.99,4.13123e-07,7.64981e-07,1.05617e-29,0.540043,1062.49,2846.28,2770.88,-0.146784,7.1633e-13,39960.7,58563.6,1.48836,23.724,1.39884,22.297,1.89381e-23,0.0066,1.43709 
163,1.6,15,1,4.48272e-07,7.08128e-07,9.77677e-30,0.633038,1062.49,2846.28,2770.88,-0.571768,1.38631e-12,31696.9,50274,1.77638,26.2106,1.60715,23.7136,2.51131e-23,0.0066,1.40909 
164,1.6,0.01,15.99,4.23139e-07,7.53703e-07,1.0406e-29,0.561413,1062.49,2846.28,2770.88,-0.250341,7.79603e-13,38219.3,56589.8,1.55333,24.3944,1.44504,22.6938,2.04341e-23,0.0066,1.42902 
165,1.6,15,1,4.46054e-07,7.65572e-07,1.05699e-29,0.582641,1062.49,2846.28,2770.88,-0.349403,1.00756e-12,40053.4,60601.1,1.61877,25.8225,1.49193,23.7992,2.18724e-23,0.0066,1.39639 
166,1.6,0.01,15.99,4.16659e-07,7.58432e-07,1.04713e-29,0.549368,1062.49,2846.28,2770.88,-0.192472,7.39543e-13,38943.3,57504,1.51659,23.9669,1.41888,22.4227,1.9597e-23,0.0066,1.44757 
167,1.6,15,1,4.4513e-07,7.17825e-07,9.91066e-30,0.620109,1062.49,2846.28,2770.88,-0.516259,7.57034e-13,33017,50071.6,1.73579,25.9623,1.57708,23.5884,2.4304e-23,0.0066,1.36458 
168,1.6,15,1,4.51326e-07,7.13805e-07,9.85515e-30,0.632282,1062.49,2846.28,2770.88,-0.568552,7.9871e-13,32465.4,49905,1.77402,26.3855,1.60539,23.8774,2.50663e-23,0.0066,1.35815 
169,1.6,0.01,15.99,4.22959e-07,7.42304e-07,1.02486e-29,0.569792,1062.49,2846.28,2770.88,-0.289875,3.03158e-13,36511.3,52906.3,1.57906,24.4235,1.46343,22.635,2.10074e-23,0.0066,1.41614 
170,1.6,0.01,15.99,4.25475e-07,7.64305e-07,1.05524e-29,0.556683,1062.49,2846.28,2770.88,-0.227764,3.96683e-13,39854.8,57676.8,1.53886,24.5072,1.43473,22.8488,2.01072e-23,0.0066,1.44955 
171,1.6,15,1,4.36029e-07,7.49572e-07,1.0349e-29,0.581705,1062.49,2846.28,2770.88,-0.34511,7.04521e-14,37594.2,53626,1.61586,25.2374,1.48984,23.2692,2.181e-23,0.0066,1.40378 
172,1.6,0.01,15.99,4.32532e-07,7.24202e-07,9.9987e-30,0.597253,1062.49,2846.28,2770.88,-0.415602,7.57811e-13,33904.8,51065,1.66423,25.1131,1.52478,23.0088,2.28365e-23,0.0066,1.39637 
173,1.6,15,1,4.39455e-07,7.30144e-07,1.00807e-29,0.601875,1062.49,2846.28,2770.88,-0.43623,9.06174e-13,34746.1,53291.6,1.67867,25.5388,1.53526,23.3571,2.31372e-23,0.0066,1.40898 
174,1.6,0.01,15.99,4.20652e-07,7.29092e-07,1.00662e-29,0.576953,1062.49,2846.28,2770.88,-0.323207,7.71379e-13,34596.3,51687.5,1.60115,24.3244,1.47927,22.4728,2.14915e-23,0.0066,1.43248 
175,1.6,15,1,4.43099e-07,7.29323e-07,1.00694e-29,0.607548,1062.49,2846.28,2770.88,-0.46136,9.89324e-13,34629.1,52665.7,1.69642,25.7798,1.5482,23.5274,2.35035e-23,0.0066,1.4213 
176,1.6,0.01,15.99,4.24724e-07,7.16183e-07,9.88798e-30,0.593039,1062.49,2846.28,2770.88,-0.39667,1.09996e-12,32790.9,50367.2,1.65109,24.639,1.51526,22.6119,2.25606e-23,0.0066,1.40568 
177,1.6,15,1,4.51271e-07,7.35402e-07,1.01533e-29,0.613639,1062.49,2846.28,2770.88,-0.488103,6.15779e-13,35502.3,52488.2,1.71549,26.2871,1.56216,23.9374,2.38935e-23,0.0066,1.43336 
178,1.6,15,1,4.50287e-07,7.54459e-07,1.04164e-29,0.596834,1062.49,2846.28,2770.88,-0.413725,5.25507e-13,38334.4,57024.3,1.66293,26.1418,1.52383,23.9552,2.28091e-23,0.0066,1.40067 
179,1.6,0.01,15.99,4.24437e-07,7.22403e-07,9.97385e-30,0.587536,1062.49,2846.28,2770.88,-0.371752,5.46737e-13,33652.7,49406.6,1.63396,24.5952,1.50288,22.622,2.21977e-23,0.0066,1.42522 
180,1.8,0.01,15.99,4.26562e-07,7.54295e-07,1.04142e-29,0.565511,1062.49,2846.28,2770.88,-0.26975,6.66778e-13,38309.4,56514.6,1.56589,24.6111,1.45401,22.8527,2.07154e-23,0.0066,1.41418 
181,1.8,15,1,4.49031e-07,7.3651e-07,1.01686e-29,0.609673,1062.49,2846.28,2770.88,-0.470717,4.54609e-13,35663,52817.1,1.70307,26.136,1.55306,23.8339,2.364e-23,0.0066,1.38824 
182,1.8,0.01,15.99,4.31528e-07,7.76316e-07,1.07182e-29,0.555866,1062.49,2846.28,2770.88,-0.223848,1.10721e-12,41763.5,62774.2,1.53637,24.852,1.43295,23.1791,2.00506e-23,0.0066,1.43331 
183,1.8,15,1,4.51083e-07,7.61173e-07,1.05091e-29,0.592616,1062.49,2846.28,2770.88,-0.394761,6.58131e-13,39366.9,58140.8,1.64978,26.1659,1.5143,24.0173,2.25328e-23,0.0066,1.43012 
184,1.8,0.01,15.99,4.35034e-07,7.51404e-07,1.03743e-29,0.578961,1062.49,2846.28,2770.88,-0.332489,8.25686e-13,37870.6,56804.3,1.60736,25.1661,1.48373,23.2304,2.16264e-23,0.0066,1.42819 
185,1.8,15,1,4.65405e-07,7.42061e-07,1.02453e-29,0.627179,1062.49,2846.28,2770.88,-0.546733,6.74816e-13,36475.4,55092.5,1.758,27.1822,1.59348,24.6385,2.47484e-23,0.0066,1.40186 
186,1.8,0.01,15.99,4.23404e-07,7.59416e-07,1.04849e-29,0.557539,1062.49,2846.28,2770.88,-0.231863,2.90949e-13,39094.9,56559.9,1.54148,24.3918,1.43659,22.7321,2.01666e-23,0.0066,1.43376 
187,1.8,15,1,4.36374e-07,7.37185e-07,1.01779e-29,0.591947,1062.49,2846.28,2770.88,-0.391739,7.31529e-13,35761.1,53177.3,1.64769,25.3093,1.5128,23.2372,2.24888e-23,0.0066,1.40039 
188,1.8,15,1,4.39515e-07,7.44593e-07,1.02802e-29,0.590276,1062.49,2846.28,2770.88,-0.384184,3.71039e-14,36850.1,52345,1.64249,25.4829,1.50903,23.4124,2.23788e-23,0.0066,1.41505 
189,1.8,0.01,15.99,4.28158e-07,7.47924e-07,1.03262e-29,0.572463,1062.49,2846.28,2770.88,-0.302354,7.48938e-13,37346.8,55099.9,1.58729,24.7366,1.46932,22.8983,2.11885e-23,0.0066,1.43856 
190,1.8,0.01,15.99,4.21566e-07,7.80666e-07,1.07783e-29,0.540007,1062.49,2846.28,2770.88,-0.146607,6.91616e-13,42469.6,62187.2,1.48825,24.2086,1.39877,22.753,1.89355e-23,0.0066,1.4429 
191,1.8,15,1,4.51806e-07,7.1995e-07,9.94e-30,0.627551,1062.49,2846.28,2770.88,-0.54833,6.06792e-13,33311.1,49982.1,1.75916,26.3897,1.59435,23.9173,2.47716e-23,0.0066,1.4388 
192,1.8,0.01,15.99,4.22859e-07,7.35754e-07,1.01582e-29,0.574729,1062.49,2846.28,2770.88,-0.31289,5.47675e-13,35553.3,52094.5,1.59429,24.4415,1.47434,22.6025,2.13418e-23,0.0066,1.42403 
193,1.8,15,1,4.4662e-07,7.48808e-07,1.03384e-29,0.596442,1062.49,2846.28,2770.88,-0.411967,4.88749e-13,37479.4,55558.2,1.6617,25.927,1.52294,23.7619,2.27835e-23,0.0066,1.38511 
194,1.8,0.01,15.99,4.28344e-07,7.3387e-07,1.01322e-29,0.583678,1062.49,2846.28,2770.88,-0.354152,1.03598e-12,35280.8,53693.7,1.62198,24.8024,1.49425,22.8491,2.19416e-23,0.0066,1.44282 
195,1.8,15,1,4.35591e-07,7.23154e-07,9.98423e-30,0.60235,1062.49,2846.28,2770.88,-0.438343,8.08217e-13,33757.8,51125.1,1.68015,25.3167,1.53634,23.1498,2.3168e-23,0.0066,1.38902 
196,1.8,0.01,15.99,4.21262e-07,7.61397e-07,1.05122e-29,0.553275,1062.49,2846.28,2770.88,-0.211376,2.61354e-13,39401.8,56180.4,1.52847,24.2491,1.42733,22.6445,1.98702e-23,0.0066,1.4208 
197,1.8,15,1,4.42619e-07,7.74225e-07,1.06893e-29,0.571694,1062.49,2846.28,2770.88,-0.29876,6.62698e-13,41426.9,61152.3,1.58491,25.5682,1.46762,23.6761,2.11364e-23,0.0066,1.42599 
198,1.8,15,1,4.51644e-07,7.80997e-07,1.07828e-29,0.578291,1062.49,2846.28,2770.88,-0.329393,7.84475e-13,42523.6,63093.1,1.60529,26.1234,1.48224,24.121,2.15814e-23,0.0066,1.44208 
199,1.8,0.01,15.99,4.23231e-07,7.69048e-07,1.06179e-29,0.550331,1062.49,2846.28,2770.88,-0.197145,8.69974e-13,40601.5,59846.4,1.51951,24.3492,1.42095,22.7699,1.96645e-23,0.0066,1.43995 
