cyc,amplitude,wiggletime,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
70,1.6,0.01,10.99,4.22743e-07,7.94589e-07,1.09705e-29,0.532027,1062.49,2846.28,2770.88,-0.106865,5.00769e-13,44782.6,64940.7,1.46425,24.243,1.38178,22.8775,1.83636e-23,0.0066,1.43876 
71,1.6,10,1,4.16447e-07,7.79791e-07,1.07662e-29,0.534049,1062.49,2846.28,2770.88,-0.116989,6.8992e-13,42326.9,61776.5,1.47032,23.8901,1.38607,22.5212,1.85092e-23,0.0066,1.44088 
72,1.6,0.01,10.99,4.08567e-07,7.93952e-07,1.09617e-29,0.514599,1062.49,2846.28,2770.88,-0.0178991,9.58526e-13,44675,65680.2,1.41231,23.3643,1.34518,22.2537,1.7088e-23,0.0066,1.4517 
73,1.6,10,1,4.19419e-07,7.78758e-07,1.07519e-29,0.538575,1062.49,2846.28,2770.88,-0.139517,4.55168e-13,42158.9,60586.8,1.48394,24.0794,1.39571,22.6477,1.88334e-23,0.0066,1.43022 
74,1.6,0.01,10.99,4.08544e-07,7.84857e-07,1.08361e-29,0.520533,1062.49,2846.28,2770.88,-0.0485321,4.38434e-13,43157.2,62022.1,1.42993,23.3847,1.35756,22.2013,1.75265e-23,0.0066,1.45353 
75,1.6,10,1,4.20583e-07,7.92985e-07,1.09484e-29,0.53038,1062.49,2846.28,2770.88,-0.0985864,3.82204e-13,44512,63237.8,1.45932,24.1125,1.37829,22.7737,1.82447e-23,0.0066,1.45231 
76,1.6,0.01,10.99,4.14354e-07,7.61537e-07,1.05142e-29,0.544102,1062.49,2846.28,2770.88,-0.166769,5.65904e-13,39423.5,57585.2,1.50063,23.8118,1.40754,22.3347,1.92261e-23,0.0066,1.40642 
77,1.6,10,1,4.27948e-07,7.52525e-07,1.03897e-29,0.568683,1062.49,2846.28,2770.88,-0.284674,3.62336e-13,38040.4,54960.6,1.57564,24.7062,1.46099,22.9084,2.09319e-23,0.0066,1.40798 
78,1.6,10,1,4.4051e-07,7.86128e-07,1.08537e-29,0.560354,1062.49,2846.28,2770.88,-0.245304,7.48335e-13,43367.2,64984.6,1.55008,25.3908,1.44273,23.6322,2.03612e-23,0.0066,1.37628 
79,1.6,0.01,10.99,4.16623e-07,7.92522e-07,1.0942e-29,0.525693,1062.49,2846.28,2770.88,-0.0748765,6.68699e-13,44434,64296.4,1.44531,23.8671,1.3684,22.597,1.79043e-23,0.0066,1.44696 
80,1.8,0.01,10.99,4.38985e-07,8.04847e-07,1.11121e-29,0.545427,1062.49,2846.28,2770.88,-0.173258,6.77172e-13,46539.4,68675.2,1.50463,25.2332,1.41038,23.6526,1.93197e-23,0.0066,1.39993 
81,1.8,10,1,4.40378e-07,7.95226e-07,1.09793e-29,0.553777,1062.49,2846.28,2770.88,-0.213802,6.34203e-13,44890.4,65942.5,1.53,25.3518,1.42842,23.6686,1.99053e-23,0.0066,1.40374 
82,1.8,0.01,10.99,4.18253e-07,7.88117e-07,1.08811e-29,0.530699,1062.49,2846.28,2770.88,-0.100188,9.78059e-13,43697.2,64188.6,1.46027,23.9801,1.37896,22.6449,1.82677e-23,0.0066,1.44162 
83,1.8,10,1,4.21296e-07,7.67711e-07,1.05994e-29,0.548769,1062.49,2846.28,2770.88,-0.189562,4.3993e-13,40390.2,58257.4,1.51477,24.2311,1.41758,22.6764,1.9555e-23,0.0066,1.44698 
84,1.8,0.01,10.99,4.07615e-07,7.89911e-07,1.09059e-29,0.516026,1062.49,2846.28,2770.88,-0.0253022,6.17183e-13,43996.4,62908.4,1.41654,23.315,1.34815,22.1893,1.71939e-23,0.0066,1.47609 
85,1.8,10,1,4.21643e-07,7.702e-07,1.06338e-29,0.547446,1062.49,2846.28,2770.88,-0.183119,8.47412e-13,40784.2,60393.8,1.51075,24.2452,1.41473,22.7041,1.9462e-23,0.0066,1.41832 
86,1.8,0.01,10.99,4.19094e-07,7.63552e-07,1.0542e-29,0.548875,1062.49,2846.28,2770.88,-0.190078,8.3221e-13,39737.2,59330.2,1.51509,24.1049,1.41781,22.5572,1.95625e-23,0.0066,1.43733 
87,1.8,10,1,4.28061e-07,7.14746e-07,9.86815e-30,0.598899,1062.49,2846.28,2770.88,-0.422971,8.92961e-13,32594,49492,1.66937,24.8618,1.52851,22.7639,2.29439e-23,0.0066,1.40514 
88,1.8,10,1,4.28047e-07,7.57087e-07,1.04527e-29,0.565386,1062.49,2846.28,2770.88,-0.269163,1.27553e-12,38736.4,59143.5,1.56551,24.6961,1.45374,22.933,2.07069e-23,0.0066,1.42946 
89,1.8,0.01,10.99,4.22989e-07,7.76078e-07,1.07149e-29,0.545034,1062.49,2846.28,2770.88,-0.171335,8.81558e-13,41725.1,62440.3,1.50345,24.312,1.40954,22.7935,1.9292e-23,0.0066,1.40801 
90,1.8,0.01,10.99,4.03952e-07,7.78095e-07,1.07428e-29,0.519155,1062.49,2846.28,2770.88,-0.041452,8.13016e-13,42051.3,61294.7,1.42583,23.1168,1.35468,21.9633,1.74251e-23,0.0066,1.44863 
91,1.8,10,1,4.32569e-07,7.83167e-07,1.08128e-29,0.552332,1062.49,2846.28,2770.88,-0.20683,6.86536e-13,42879,62741.8,1.5256,24.8956,1.42528,23.2586,1.98045e-23,0.0066,1.45148 
92,1.8,0.01,10.99,4.35087e-07,7.92505e-07,1.09417e-29,0.549002,1062.49,2846.28,2770.88,-0.190695,3.47923e-13,44431.2,64178.4,1.51548,25.0253,1.41808,23.417,1.95714e-23,0.0066,1.4407 
93,1.8,10,1,4.47612e-07,7.4455e-07,1.02796e-29,0.601185,1062.49,2846.28,2770.88,-0.43316,6.64808e-13,36843.7,55557.9,1.67651,26.0093,1.53369,23.7936,2.30924e-23,0.0066,1.38765 
94,1.8,0.01,10.99,3.95598e-07,7.72964e-07,1.06719e-29,0.511793,1062.49,2846.28,2770.88,-0.00328632,7.16213e-13,41224.9,58965.7,1.40401,22.613,1.33935,21.5716,1.6879e-23,0.0066,1.48231 
95,1.8,10,1,4.34564e-07,7.93759e-07,1.0959e-29,0.547476,1062.49,2846.28,2770.88,-0.183263,5.26702e-13,44642.4,65064.5,1.51084,24.9883,1.41479,23.3997,1.94641e-23,0.0066,1.44775 
96,1.8,0.01,10.99,4.18881e-07,7.31e-07,1.00926e-29,0.573025,1062.49,2846.28,2770.88,-0.304982,3.94533e-13,34868.5,50503.6,1.589,24.203,1.47057,22.399,2.12265e-23,0.0066,1.43758 
97,1.8,10,1,4.3866e-07,7.19392e-07,9.93229e-30,0.609765,1062.49,2846.28,2770.88,-0.471119,6.94062e-13,33233.7,50065.2,1.70336,25.5328,1.55327,23.2831,2.36458e-23,0.0066,1.39416 
98,1.8,10,1,4.32952e-07,7.73762e-07,1.06829e-29,0.559541,1062.49,2846.28,2770.88,-0.24143,2.15049e-13,41352.7,59350.8,1.54759,24.9512,1.44095,23.2319,2.0305e-23,0.0066,1.41835 
99,1.8,0.01,10.99,4.25235e-07,7.69738e-07,1.06274e-29,0.552441,1062.49,2846.28,2770.88,-0.207355,1.0251e-12,40710.9,61213.1,1.52593,24.4741,1.42552,22.8636,1.98121e-23,0.0066,1.43726 
100,1,0.01,15.99,4.26873e-07,7.89493e-07,1.09001e-29,0.540692,1062.49,2846.28,2770.88,-0.149992,5.10948e-13,43926.6,63804.7,1.49032,24.5164,1.40023,23.0343,1.89843e-23,0.0066,1.42002 
101,1,15,1,4.38293e-07,7.62796e-07,1.05315e-29,0.574587,1062.49,2846.28,2770.88,-0.312232,7.04577e-13,39619.4,58912.7,1.59385,25.3329,1.47402,23.4283,2.13322e-23,0.0066,1.3968 
102,1,0.01,15.99,4.30004e-07,7.17084e-07,9.90043e-30,0.599656,1062.49,2846.28,2770.88,-0.426343,4.17094e-13,32914.9,48171,1.67174,24.9785,1.53022,22.864,2.2993e-23,0.0066,1.40939 
103,1,15,1,4.26871e-07,7.46959e-07,1.03129e-29,0.571479,1062.49,2846.28,2770.88,-0.297762,6.86274e-13,37202.4,55049.5,1.58425,24.6575,1.46715,22.8349,2.11219e-23,0.0066,1.4112 
104,1,0.01,15.99,4.2189e-07,7.45418e-07,1.02916e-29,0.565978,1062.49,2846.28,2770.88,-0.271949,3.70177e-13,36972.7,53369.7,1.56733,24.3437,1.45504,22.5997,2.07473e-23,0.0066,1.43057 
105,1,15,1,4.31467e-07,7.16261e-07,9.88906e-30,0.602389,1062.49,2846.28,2770.88,-0.438516,5.37084e-13,32801.6,48853.3,1.68028,25.0772,1.53643,22.9304,2.31705e-23,0.0066,1.36862 
106,1,0.01,15.99,4.31844e-07,6.97661e-07,9.63226e-30,0.618988,1062.49,2846.28,2770.88,-0.511398,8.25175e-13,30312,46182.1,1.73227,25.1819,1.57449,22.8882,2.42331e-23,0.0066,1.38435 
107,1,15,1,4.31635e-07,7.31303e-07,1.00967e-29,0.590227,1062.49,2846.28,2770.88,-0.383965,2.87929e-13,34912,51300.9,1.64234,25.0258,1.50893,22.9929,2.23755e-23,0.0066,1.38643 
108,1,15,1,4.28172e-07,7.47322e-07,1.03179e-29,0.572941,1062.49,2846.28,2770.88,-0.304593,6.42816e-13,37256.8,55367.3,1.58874,24.7394,1.47038,22.8963,2.12209e-23,0.0066,1.4018 
109,1,0.01,15.99,4.13756e-07,7.09374e-07,9.79397e-30,0.583269,1062.49,2846.28,2770.88,-0.352281,8.68761e-13,31864.5,48060.6,1.62071,23.9557,1.49333,22.0729,2.19143e-23,0.0066,1.4152 
110,1,0.01,15.99,4.22285e-07,7.20405e-07,9.94628e-30,0.586176,1062.49,2846.28,2770.88,-0.365563,5.12806e-13,33374.3,49515.1,1.62974,24.4637,1.49983,22.5138,2.21076e-23,0.0066,1.39097 
111,1,15,1,4.33592e-07,7.3519e-07,1.01504e-29,0.589769,1062.49,2846.28,2770.88,-0.381888,9.91823e-13,35471.6,53780.7,1.64091,25.1369,1.50789,23.0993,2.23453e-23,0.0066,1.42827 
112,1,0.01,15.99,4.4315e-07,7.19658e-07,9.93596e-30,0.615779,1062.49,2846.28,2770.88,-0.497443,1.00059e-12,33270.6,51183.1,1.7222,25.8249,1.56708,23.4988,2.40297e-23,0.0066,1.39722 
113,1,15,1,4.33626e-07,7.70264e-07,1.06347e-29,0.562957,1062.49,2846.28,2770.88,-0.257672,5.32019e-13,40794.4,59872,1.55806,25.0064,1.44842,23.2467,2.05403e-23,0.0066,1.40857 
114,1,0.01,15.99,4.23453e-07,7.77202e-07,1.07304e-29,0.544843,1062.49,2846.28,2770.88,-0.170401,1.24869e-12,41906.7,63426.5,1.50287,24.3378,1.40913,22.8198,1.92785e-23,0.0066,1.43636 
115,1,15,1,4.31027e-07,7.30142e-07,1.00807e-29,0.590333,1062.49,2846.28,2770.88,-0.384443,9.86808e-13,34745.8,53085.3,1.64266,24.991,1.50916,22.96,2.23825e-23,0.0066,1.43094 
