cyc,freq,amplitude,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
64,20,0.7,2,9,5.54408e-07,8.73376e-07,1.20583e-29,0.634787,-0.579201,1.51752e-13,32749.6,44460.5,1.78189,32.4272,0.0066,1.37232 
65,20,0.7,5,6,5.61881e-07,8.25138e-07,1.13923e-29,0.680954,-0.769414,-3.51795e-13,27617.4,37115.6,1.92715,33.1337,0.0066,1.32373 
66,20,0.7,0.1,10.9,5.60551e-07,8.19435e-07,1.13135e-29,0.68407,-0.781863,-2.27385e-13,27048.7,36637.5,1.93696,33.0721,0.0066,1.35916 
67,20,0.7,3,8,5.92247e-07,7.64569e-07,1.0556e-29,0.774616,-1.12406,-9.48166e-13,21971.1,28733.9,2.22146,35.3902,0.0066,1.31102 
68,20,0.7,9,2,6.09202e-07,8.31743e-07,1.14835e-29,0.73244,-0.969117,-1.53677e-13,28285.9,39067.9,2.08911,36.2058,0.0066,1.29655 
69,20,0.7,8,3,6.05213e-07,8.43271e-07,1.16426e-29,0.717697,-0.913171,-1.07372e-12,29478.4,39352.2,2.04277,35.8934,0.0066,1.31728 
70,20,0.7,7,4,5.90101e-07,8.63876e-07,1.19271e-29,0.683086,-0.777927,-8.08231e-13,31692.5,41734,1.93387,34.8101,0.0066,1.38392 
71,20,0.7,1,10,5.77369e-07,8.31491e-07,1.148e-29,0.694379,-0.822679,-1.00576e-12,28260.1,37393.7,1.96941,34.121,0.0066,1.3292 
72,20,0.7,6,5,5.67565e-07,8.48789e-07,1.17188e-29,0.668676,-0.719921,-4.19951e-13,30060.9,39650,1.8885,33.3998,0.0066,1.41396 
73,20,0.7,4,7,5.95135e-07,8.38446e-07,1.1576e-29,0.709807,-0.882835,-1.09284e-14,28975.2,40227.1,2.01796,35.2545,0.0066,1.27869 
74,20,0.7,10,1,6.27086e-07,8.65221e-07,1.19457e-29,0.724769,-0.940127,-3.18384e-13,31840.8,43632,2.06502,37.2288,0.0066,1.37071 
75,20,0.7,2,9,5.89642e-07,8.83834e-07,1.22027e-29,0.667141,-0.713678,-2.03622e-13,33940.2,46256.7,1.88367,34.69,0.0066,1.38557 
76,20,0.7,5,6,5.82842e-07,8.61675e-07,1.18967e-29,0.676406,-0.751169,-4.66157e-13,31450.9,42434.9,1.91284,34.3438,0.0066,1.36936 
77,20,0.7,0.1,10.9,5.74e-07,8.40224e-07,1.16006e-29,0.683151,-0.778188,-5.21651e-13,29160,39386.3,1.93407,33.8607,0.0066,1.30763 
78,20,0.7,3,8,5.92005e-07,8.47985e-07,1.17077e-29,0.698131,-0.837414,-1.49994e-13,29975.6,41417.7,1.98122,35.0065,0.0066,1.30905 
79,20,0.7,9,2,6.24303e-07,8.51689e-07,1.17588e-29,0.733018,-0.971287,-1.21389e-13,30370,42062.4,2.09092,37.1063,0.0066,1.34131 
80,20,0.7,8,3,6.2486e-07,8.44898e-07,1.16651e-29,0.739568,-0.99582,-1.6334e-12,29649.4,38023.5,2.11151,37.1729,0.0066,1.34396 
81,20,0.7,7,4,6.06492e-07,8.51788e-07,1.17602e-29,0.712023,-0.891385,-1.22229e-12,30380.6,39872.9,2.02492,35.9391,0.0066,1.3527 
82,20,0.7,1,10,5.76226e-07,7.93418e-07,1.09543e-29,0.726258,-0.945772,5.37552e-14,24553.2,33878.5,2.06968,34.2163,0.0066,1.34663 
83,20,0.7,6,5,6.20572e-07,7.76347e-07,1.07186e-29,0.799349,-1.21162,-1.06722e-13,23002.2,31653.3,2.29888,37.1877,0.0066,1.31783 
84,20,0.7,4,7,5.62625e-07,8.60048e-07,1.18743e-29,0.654178,-0.660478,5.29693e-13,31273.1,43769.6,1.84288,33.0253,0.0066,1.35133 
85,20,0.7,10,1,6.16017e-07,8.57522e-07,1.18394e-29,0.718369,-0.915748,-6.13918e-13,30998.3,41795.2,2.04487,36.5376,0.0066,1.33907 
86,20,0.7,2,9,5.76721e-07,8.61081e-07,1.18885e-29,0.669765,-0.724349,-2.02281e-13,31385.8,42141,1.89192,33.9449,0.0066,1.40436 
88,40,0.5,0.1,10.9,5.96521e-07,7.96795e-07,1.10009e-29,0.748651,-1.02954,-4.82584e-13,24868,34068.4,2.14004,35.5301,0.0066,1.24804 
89,40,0.5,3,8,5.92233e-07,8.2456e-07,1.13843e-29,0.718241,-0.915261,-2.662e-13,27559.4,37681,2.04447,35.1262,0.0066,1.35597 
90,40,0.5,9,2,6.04895e-07,8.47834e-07,1.17056e-29,0.71346,-0.896912,-8.38439e-13,29959.5,39811.3,2.02945,35.8522,0.0066,1.319 
91,40,0.5,8,3,5.947e-07,8.39237e-07,1.15869e-29,0.70862,-0.878246,-1.33421e-13,29057.3,39888.1,2.01422,35.2225,0.0066,1.32465 
92,40,0.5,7,4,6.33651e-07,8.35301e-07,1.15326e-29,0.75859,-1.06604,-8.32776e-13,28650.5,38363.3,2.17123,37.79,0.0066,1.3378 
93,40,0.5,1,10,5.84271e-07,8.78726e-07,1.21321e-29,0.664907,-0.704574,-2.15364e-13,33355.2,45409.7,1.87664,34.3607,0.0066,1.36429 
94,40,0.5,6,5,6.32614e-07,8.72368e-07,1.20444e-29,0.725168,-0.941636,-3.48259e-13,32636.4,44517.9,2.06628,37.5592,0.0066,1.31268 
95,40,0.5,4,7,5.93206e-07,8.15308e-07,1.12566e-29,0.727585,-0.950797,-1.42988e-13,26642,36354.4,2.07385,35.2311,0.0066,1.36391 
96,40,0.5,10,1,6.21563e-07,8.31863e-07,1.14851e-29,0.747194,-1.02416,-4.16997e-13,28298.1,38340,2.13547,37.0146,0.0066,1.33414 
97,40,0.5,2,9,5.97967e-07,8.12168e-07,1.12132e-29,0.73626,-0.983453,1.20002e-13,26335.4,36789.2,2.10112,35.557,0.0066,1.34377 
98,40,0.5,5,6,6.13461e-07,8.83657e-07,1.22002e-29,0.69423,-0.822093,-5.43037e-13,33919.8,45863.9,1.96894,36.253,0.0066,1.3387 
99,40,0.5,0.1,10.9,5.38865e-07,8.67086e-07,1.19714e-29,0.621467,-0.522135,-2.52633e-14,32047.1,43061.4,1.74005,31.4377,0.0066,1.39657 
100,40,0.5,3,8,5.76307e-07,8.33723e-07,1.15108e-29,0.691245,-0.810315,2.52195e-13,28488.4,38911.2,1.95956,34.0414,0.0066,1.40318 
101,40,0.5,9,2,6.18854e-07,8.38395e-07,1.15753e-29,0.738141,-0.990508,-2.17047e-13,28970,39637.6,2.10701,36.8081,0.0066,1.34902 
