cyc,freq,amplitude,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
177,80,0.25,3,8,5.83765e-07,8.1435e-07,1.12433e-29,0.716847,-0.909912,-4.66089e-13,26548.2,35704.5,2.0401,34.6171,0.0066,1.32714 
178,80,0.25,9,2,5.56147e-07,8.34062e-07,1.15155e-29,0.666794,-0.712267,-1.92184e-13,28523.1,38659.4,1.88258,32.7174,0.0066,1.32276 
179,80,0.25,8,3,5.50599e-07,8.39404e-07,1.15892e-29,0.65594,-0.667757,7.76499e-13,29074.7,40641,1.84842,32.3296,0.0066,1.34846 
180,80,0.25,7,4,5.78253e-07,8.38935e-07,1.15828e-29,0.689271,-0.802519,8.13073e-14,29026,39874,1.95333,34.1454,0.0066,1.36888 
181,80,0.25,1,10,5.70993e-07,8.21878e-07,1.13473e-29,0.694741,-0.824105,-7.47277e-13,27291.3,35665.6,1.97055,33.7461,0.0066,1.35123 
182,80,0.25,6,5,5.92633e-07,7.93826e-07,1.096e-29,0.746552,-1.02178,1.08994e-12,24591.1,35853.5,2.13344,35.2885,0.0066,1.35328 
183,80,0.25,4,7,5.53052e-07,8.17416e-07,1.12857e-29,0.676586,-0.751903,-1.01825e-12,26849.2,34875.5,1.9134,32.5894,0.0066,1.35139 
184,80,0.25,10,1,6.05631e-07,7.83245e-07,1.08139e-29,0.773233,-1.11909,-6.86731e-13,23620.8,31617.6,2.21714,36.1841,0.0066,1.32279 
185,80,0.25,2,9,5.54205e-07,7.6773e-07,1.05997e-29,0.721875,-0.929124,3.82077e-13,22244.7,31174.6,2.05591,32.8882,0.0066,1.298 
186,80,0.25,5,6,5.84985e-07,8.68641e-07,1.19929e-29,0.673449,-0.739195,8.60454e-14,32219.8,44105.6,1.90364,34.4551,0.0066,1.36945 
187,80,0.25,0.1,10.9,5.84646e-07,7.95894e-07,1.09885e-29,0.734578,-0.977146,-1.12668e-12,24783.8,32229.1,2.09588,34.7576,0.0066,1.34287 
188,80,0.25,3,8,6.10487e-07,7.66831e-07,1.05873e-29,0.796116,-1.20031,-1.06945e-12,22166.7,29238.9,2.28877,36.5704,0.0066,1.27585 
189,80,0.25,9,2,5.97255e-07,7.97453e-07,1.101e-29,0.748952,-1.03065,-5.6165e-13,24929.8,34086.3,2.14098,35.575,0.0066,1.32514 
190,80,0.25,8,3,6.01448e-07,8.02826e-07,1.10842e-29,0.749164,-1.03144,-8.61198e-13,25437,34151.4,2.14164,35.8258,0.0066,1.29259 
191,80,0.25,7,4,6.45196e-07,7.91587e-07,1.09291e-29,0.815066,-1.2661,-6.07313e-13,24383.7,32804.4,2.34793,38.7267,0.0066,1.37374 
192,80,0.25,1,10,5.9053e-07,8.11978e-07,1.12106e-29,0.727273,-0.949617,-5.06813e-13,26316.9,35370.1,2.07286,35.0705,0.0066,1.38876 
193,80,0.25,6,5,6.65808e-07,7.97719e-07,1.10137e-29,0.83464,-1.3327,-1.05697e-12,24954.7,33423,2.40887,40.0398,0.0066,1.33497 
194,80,0.25,4,7,5.65076e-07,7.93873e-07,1.09606e-29,0.711797,-0.890518,-1.79885e-12,24595.4,30479.8,2.02421,33.4838,0.0066,1.37849 
195,80,0.25,10,1,5.81511e-07,7.86126e-07,1.08537e-29,0.739717,-0.996373,-3.83777e-13,23882.5,32033.9,2.11198,34.5948,0.0066,1.30606 
196,80,0.25,2,9,6.19652e-07,8.07618e-07,1.11504e-29,0.767258,-1.09755,-5.42924e-13,25895.3,35002.3,2.1984,36.9949,0.0066,1.36331 
197,80,0.25,5,6,6.01437e-07,8.15223e-07,1.12554e-29,0.737757,-0.989075,-3.97685e-13,26633.7,36424.1,2.1058,35.7701,0.0066,1.3026 
198,80,0.25,0.1,10.9,5.45081e-07,7.96647e-07,1.09989e-29,0.68422,-0.782445,-1.51097e-13,24854.2,33758,1.93745,32.1607,0.0066,1.34968 
199,80,0.25,3,8,6.47063e-07,7.81831e-07,1.07944e-29,0.827625,-1.30896,-1.61409e-12,23493.2,30406.5,2.38712,38.8879,0.0066,1.33177 
200,80,0.25,9,2,5.99284e-07,7.42337e-07,1.02491e-29,0.807293,-1.23926,3.63082e-13,20109.7,28732.6,2.32369,35.9425,0.0066,-1.24098 
201,80,0.25,8,3,5.73509e-07,7.73012e-07,1.06726e-29,0.741915,-1.00457,1.00957e-12,22707,33669.3,2.11888,34.1288,0.0066,1.2563 
202,80,0.25,7,4,5.95507e-07,7.95161e-07,1.09784e-29,0.748914,-1.03051,-8.7996e-13,24715.3,32876.4,2.14085,35.4705,0.0066,1.32074 
203,80,0.25,1,10,5.81564e-07,8.30243e-07,1.14628e-29,0.700474,-0.846575,-1.21348e-12,28133.2,36480.6,1.98859,34.4016,0.0066,1.34638 
204,80,0.25,6,5,5.88829e-07,8.4224e-07,1.16284e-29,0.699123,-0.841294,-8.66697e-13,29370.4,38223.8,1.98434,34.8241,0.0066,-1.41028 
205,80,0.25,4,7,6.15951e-07,7.80822e-07,1.07804e-29,0.78885,-1.17473,3.38551e-13,23402.3,33799.9,2.26605,36.8679,0.0066,1.25579 
206,80,0.25,10,1,5.80243e-07,7.77073e-07,1.07287e-29,0.746703,-1.02234,1.01299e-13,23066.8,32764.5,2.13392,34.5515,0.0066,1.25685 
207,80,0.25,2,9,6.63067e-07,7.50344e-07,1.03596e-29,0.883683,-1.49369,-1.71575e-12,20767.5,26649.2,2.56147,40.0477,0.0066,1.33469 
208,80,0.25,5,6,6.42315e-07,7.72564e-07,1.06664e-29,0.831406,-1.32176,-1.68517e-12,22667.6,28588.5,2.39889,38.6165,0.0066,-1.3494 
209,80,0.25,0.1,10.9,5.37387e-07,8.4706e-07,1.16949e-29,0.634414,-0.577621,-1.20782e-12,29877.6,37188.9,1.78071,31.4294,0.0066,1.47505 
210,80,0.25,3,8,5.89211e-07,8.17348e-07,1.12847e-29,0.720882,-0.92534,8.20176e-14,26842.5,37163.1,2.05278,34.9605,0.0066,1.33647 
211,80,0.25,9,2,5.80908e-07,7.51378e-07,1.03739e-29,0.773123,-1.1187,-1.39643e-12,20853.4,26037.2,2.2168,34.7066,0.0066,1.35703 
212,80,0.25,8,3,6.05358e-07,8.12368e-07,1.1216e-29,0.745178,-1.01669,-9.44359e-13,26354.8,34581.1,2.12912,36.0397,0.0066,1.35462 
213,80,0.25,7,4,5.50343e-07,8.05053e-07,1.1115e-29,0.683611,-0.780015,2.47884e-13,25649.3,35502.2,1.93552,32.4677,0.0066,1.32133 
214,80,0.25,1,10,6.25565e-07,7.68761e-07,1.06139e-29,0.813732,-1.26152,-1.34385e-12,22334.5,28566.5,2.34373,37.5429,0.0066,1.35741 
215,80,0.25,6,5,6.33984e-07,7.75042e-07,1.07006e-29,0.818,-1.27613,-1.69277e-12,22886.4,28489.4,2.35714,38.066,0.0066,-1.35779 
216,80,0.25,4,7,5.76086e-07,7.85081e-07,1.08392e-29,0.733791,-0.9742,-7.31384e-13,23787.3,31791.7,2.09335,34.244,0.0066,1.32262 
217,80,0.25,10,1,6.75027e-07,7.55549e-07,1.04315e-29,0.893426,-1.52471,6.62359e-14,21202.6,30549,2.59177,40.8026,0.0066,1.24166 
218,80,0.25,2,9,5.28449e-07,7.94404e-07,1.09679e-29,0.665215,-0.705832,5.00631e-13,24644.8,34455.7,1.87761,31.0795,0.0066,-1.27904 
219,80,0.25,5,6,6.43672e-07,7.73467e-07,1.06789e-29,0.832192,-1.32447,1.35232e-13,22747.1,32220,2.40118,38.6986,0.0066,1.31787 
220,80,0.25,5,6,5.51682e-07,7.95228e-07,1.09793e-29,0.693741,-0.82017,1.01733e-12,24721.6,35379,1.9674,32.5997,0.0066,1.32811 
