cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
25,0.05,0.5,25,11461.4,0,5,101,125,0,5,135,-1.99303,-2.20164,-4.6162,-2.82227,-0.169616,-98.4578,23.9207,13901.5,-21.6181,16439.4,-1.61261,-1.82122,-3.85536,-2.44185,0.210805,0.595035,29.6746,14333,-15.8642,2.78961,0.00118167,1.0006,10.6376,4.86268e-30,7.33871,7.96143e-30,12.0153,1.59229e-29,24.0306 
26,0.95,0.5,26,10275.3,0,5,101,125,0,5,135,0.885773,0.756224,-4.27411,0.443961,1.88822,-155.937,25.6984,12660.6,-33.9427,16439.4,1.48828,1.35873,-3.06909,1.04647,2.49073,1.92578,34.8114,13344.1,-24.8298,6.94056,0.00148849,1.00101,5.01564,4.90396e-30,7.40101,8.02346e-30,12.1089,1.60469e-29,24.2179 
27,1.4,0.5,27,10146.4,0,5,101,125,0,5,135,-1.3852,0.450696,0.107808,1.17289,2.0972,-97.5969,26.7977,12565.3,-29.5753,16439.4,-1.0081,0.827791,0.861998,1.54998,2.4743,0.816829,32.5013,12993.1,-23.8717,8.43044,0.00142735,1.001,3.85523,4.48264e-30,6.76516,7.50331e-30,11.3239,1.50066e-29,22.6478 
28,0.5,0.5,28,10039.5,0,5,101,125,0,5,135,-0.844574,0.790505,0.830618,1.96778,-0.426688,-126.032,21.4755,12561,-40.7565,16439.4,-0.357611,1.27747,1.80455,2.45474,0.0602753,0.655583,28.8408,13113.4,-33.3912,-2.56852,0.00125519,1.00138,-11.2286,4.80667e-30,7.25419,7.87727e-30,11.8883,1.57545e-29,23.7766 
29,0.35,0.5,29,10246.4,0,5,101,125,0,5,135,-0.433658,-2.25468,-5.46808,0.433085,1.87293,-113.341,27.0163,12745.5,-39.1672,16439.4,0.00426869,-1.81675,-4.59223,0.871012,2.31085,-0.424898,33.6399,13242.3,-32.5435,-6.21542,0.00144952,1.00134,-5.41233,5.15998e-30,7.78739,8.43606e-30,12.7316,1.68721e-29,25.4632 
30,0.8,0.5,30,11122.2,0,5,101,125,0,5,135,-1.34757,-1.84101,-1.81321,-2.04297,-0.787873,-60.6212,26.3306,13467.5,-24.9191,16439.4,-1.11334,-1.60678,-1.34476,-1.80874,-0.553645,0.790773,29.8733,13733.2,-21.3764,7.07624,0.00124147,1.00085,4.22163,4.89664e-30,7.38996,8.0292e-30,12.1176,1.60584e-29,24.2352 
31,0.65,0.5,31,15513.2,0,5,101,125,0,5,135,-0.117146,-1.50751,-0.36407,0.751476,-0.866621,-140.263,28.2237,18107,-34.262,16439.4,0.424803,-0.965558,0.719827,1.29343,-0.324672,0.372877,36.4206,18721.8,-26.065,7.08211,0.0011104,1.00076,5.14263,4.24975e-30,6.41368,7.18497e-30,10.8435,1.43699e-29,21.687 
32,0.2,0.5,32,11131.5,0,5,101,125,0,5,135,-0.233574,-1.76266,-2.06758,0.389778,0.816371,-61.793,30.6791,13774.7,-38.3532,16439.4,0.00518199,-1.52391,-1.59007,0.628534,1.05513,-0.115735,34.2902,14045.6,-34.742,-4.63374,0.00139312,1.00134,-7.40012,4.60575e-30,6.95095,7.74515e-30,11.6889,1.54903e-29,23.3778 
33,1.55,0.5,33,8668.54,0,5,101,125,0,5,135,-1.62216,-1.59288,-5.031,-0.683003,-0.9515,-47.6684,27.2914,11246.2,-33.4953,16439.4,-1.43798,-1.4087,-4.66263,-0.498822,-0.767318,0.468673,30.0771,11455.1,-30.7095,-4.43991,0.00149812,1.00146,-6.77427,4.6843e-30,7.06951,7.92473e-30,11.9599,1.58495e-29,23.9199 
34,1.1,0.5,34,10630.7,0,5,101,125,0,5,135,0.53905,0.648665,-3.69509,1.65956,1.73103,-4.646,11.9847,13076.6,-40.3125,16439.4,0.557002,0.666616,-3.65919,1.67751,1.74898,4.6927,12.2563,13096.9,-40.041,-0.342421,0.000534463,1.00166,-35.793,5.32187e-30,8.03171,8.62347e-30,13.0145,1.72469e-29,26.0289 
35,1.25,0.5,35,13096.1,0,5,101,125,0,5,135,-1.16403,-1.70861,-4.04381,-1.95193,1.41316,-93.3938,39.1985,15761.4,-28.515,16439.4,-0.803177,-1.34775,-3.3221,-1.59107,1.77402,0.372014,44.6564,16170.8,-23.0571,2.62871,0.00157554,1.00077,16.988,4.84572e-30,7.31311,8.0052e-30,12.0814,1.60104e-29,24.1627 
