cyc,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
21,0.01,21,9673.53,0,5,101,125,0,5,135,-6.31963,-7.14135,-11.5087,-11.6706,-16.1624,202.742,20.4007,18817,47.9524,16439.4,-7.10299,-7.92471,-13.0754,-12.454,-16.9458,0.772613,8.55243,17928.4,36.1041,0.164859,0.000272516,0.998908,51.8774,993.488,1247.6,879.91,25972.5,1.05695e-06,1.05334,115.173,85.4232,40.8591,42.7686,0.955353,1528.49,1696.76,1.52366 
22,3,22,7829.68,0,5,101,125,0,5,135,-12.1958,-7.78329,-20.9783,-13.2774,-5.37804,255.108,5.54561,17490.9,35.2074,16439.4,-13.1814,-8.76897,-22.9497,-14.2631,-6.36372,0.649767,-9.3629,16372.7,20.2988,-0.624372,-0.000326884,0.999327,14.9957,1202.03,1330.24,0.359157,31537.3,1.1276e-06,1.12142,115.175,84.6286,42.4786,44.4529,0.955588,1652.06,1833.04,1.54327 
23,18,23,6822.92,0,5,101,125,0,5,135,-10.9465,-0.794834,-19.9532,-10.4521,-12.2524,227.798,32.9125,16435.5,43.5017,16439.4,-11.8266,-1.675,-21.7135,-11.3323,-13.1326,0.636168,19.6,15437.1,30.1892,0.351085,0.000724999,0.99894,55.827,1236.3,1358.27,0.322357,31034.8,1.12158e-06,1.15538,115.067,84.7568,44.7604,46.7335,0.957779,1834.31,2025.95,1.71878 
24,9,24,8588.71,0,5,101,125,0,5,135,-9.65803,-3.05076,-19.5041,-7.18135,-8.58914,204.707,22.9157,17694.5,58.1658,16439.4,-10.449,-3.84171,-21.086,-7.97229,-9.38008,0.600107,10.9527,16797.2,46.2027,0.16496,0.000372462,0.998509,66.396,1437.23,1651.83,0.574108,33475.6,1.15025e-06,1.33954,114.243,84.5377,41.9571,44.7112,0.938403,1611.74,1854.4,1.503 
25,15,25,6895.84,0,5,101,125,0,5,135,-6.11879,-6.81465,-22.4485,-10.8439,-13.3716,248.132,35.7479,16128.5,56.9271,16439.4,-7.07752,-7.77338,-24.3659,-11.8027,-14.3304,0.627146,21.247,15040.9,42.4263,0.294449,0.000806558,0.998471,72.1586,1052.86,1171.09,0.27437,28747.9,1.09333e-06,1.01562,114.775,85.2815,43.7073,45.8523,0.953218,1749.01,1950.27,1.68925 
26,21,26,7351.91,0,5,101,125,0,5,135,-8.94927,-11.3387,-19.1578,-6.23482,-9.06682,268.861,27.9891,16302,60.6037,16439.4,-9.9881,-12.3775,-21.2355,-7.27364,-10.1056,0.651765,12.2768,15123.6,44.8914,0.1856,0.00046365,0.998391,66.1465,1366.39,1518.12,0.397989,31422.6,1.12623e-06,1.27883,115.474,84.7377,44.187,46.3447,0.953443,1787.62,1992.38,1.67569 
27,6,27,8309.96,0,5,101,125,0,5,135,-9.31505,-11.0291,-22.3951,-4.20906,-13.2977,272.126,21.2779,17566.9,38.8132,16439.4,-10.3665,-12.0805,-24.498,-5.2605,-14.3491,0.631912,5.37489,16374.2,22.9102,0.163534,0.000187538,0.999241,32.8671,1439.36,1596.17,0.489228,33550.9,1.15111e-06,1.31677,115.522,84.2601,43.1156,45.1535,0.954868,1701.98,1891.27,1.55861 
28,12,28,6223.36,0,5,101,125,0,5,135,-9.07552,-8.89168,-27.1077,-11.821,-10.5016,228.128,25.167,16043.2,51.4451,16439.4,-9.95696,-9.77312,-28.8706,-12.7025,-11.383,0.602805,11.8352,15043.4,38.1133,0.205576,0.000449365,0.998627,57.5712,1253.55,1446.49,0.361738,30518,1.11532e-06,1.20734,115.173,84.979,43.3208,46.3597,0.93445,1718.21,1993.67,1.65945 
29,0.01,29,8309.99,0,5,101,125,0,5,135,-7.71058,-8.04967,-21.0795,-3.82475,-13.4934,236.424,48.9169,17942.8,31.6829,16439.4,-8.62407,-8.96317,-22.9065,-4.73824,-14.4069,0.615914,35.1003,16906.6,17.8663,0.620806,0.00118495,0.999427,56.5399,1336.46,1456.3,0.492084,32804,1.1425e-06,1.22109,114.578,84.1863,41.4452,42.9985,0.963875,1572.66,1715.06,1.43747 
30,3,30,9562.32,0,5,101,125,0,5,135,-2.13892,-11.2222,-22.9297,-12.6087,-9.98299,245.112,30.2268,19009.7,61.8877,16439.4,-3.08598,-12.1693,-24.8238,-13.5558,-10.9301,0.615521,15.9024,17935.4,47.5633,0.217906,0.000506402,0.998562,72.9784,990.777,1117.79,0.260982,32542.2,1.13945e-06,0.923574,114.495,84.8522,42.906,45.3857,0.945364,1685.47,1910.78,1.57496 
31,18,31,7770.68,0,5,101,125,0,5,135,-9.9352,-9.32016,-18.826,-11.4493,-13.43,223.181,16.8394,17268.4,67.556,16439.4,-10.7975,-10.1825,-20.5506,-12.3116,-14.2923,0.698382,3.79669,16290.2,54.5133,0.0548554,0.000133163,0.998187,69.2126,1271.57,1422.24,0.34944,32323.1,1.13689e-06,1.18288,115.509,84.5888,44.2739,46.591,0.950268,1794.65,2013.61,1.67209 
32,18,32,8665.52,0,5,101,125,0,5,135,-5.05451,-6.82871,-22.2276,-14.1742,-12.8578,219.171,46.2326,17341.3,57.4359,16439.4,-5.90134,-7.67554,-23.9213,-15.021,-13.7047,0.638782,33.4242,16380.7,44.6276,0.384287,0.00116462,0.998523,86.9773,1367.5,1585.77,0.440924,32293.7,1.13655e-06,1.29568,114.422,83.8375,42.9544,46.0429,0.932922,1689.27,1966.51,1.60365 
33,18,33,7836,0,5,101,125,0,5,135,-14.5796,-11.0993,-20.2971,-12.6401,-10.09,242.154,18.5766,16774.9,57.3065,16439.4,-15.5153,-12.035,-22.1684,-13.5758,-11.0256,0.701717,4.42519,15713.6,43.155,0.0787244,0.000160897,0.998511,56.2112,1098.7,1218.26,0.283121,30035.9,1.10942e-06,1.04283,115.194,84.9123,44.045,46.2211,0.95292,1776.14,1981.76,1.6911 
