cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,23,23,20712.1,0,5,101,125,0,5,135,-5.97382,-3.21986,-10.4891,-3.02794,-7.19242,-85.7172,4.00424,26632.9,7.21373,16439.4,-5.64263,-2.88867,-9.82669,-2.69675,-6.86123,0.64799,9.01355,27008.6,12.223,0.38062,0.000190666,0.999754,23.6812,437.296,510.478,0.644861,34942.8,8.68429e-07,0.544054,109.105,85.3658,22.653,24.2456,0.934313,466.463,544.351,0.580248 
24,24,24,19809.9,0,5,101,125,0,5,135,-5.36616,-4.75936,-4.29366,-1.29423,-9.15239,23.281,10.7189,26011.4,-4.66037,16439.4,-5.45612,-4.84931,-4.47356,-1.38418,-9.24235,0.823914,9.3584,25909.3,-6.02091,4.3868,0.000206356,1.00013,2.13331,411.765,480.401,0.510838,34388.2,8.6381e-07,0.514883,109.44,85.2215,22.5579,24.1447,0.934281,462.554,539.827,0.578483 
25,25,25,19239.3,0,5,101,125,0,5,135,-8.89857,-4.80416,-10.9595,-3.65091,-2.82327,-79.7307,-1.8173,25406.3,-10.9591,16439.4,-8.59051,-4.4961,-10.3434,-3.34285,-2.51521,0.64684,2.84216,25755.7,-6.29963,-0.602486,6.30536e-05,1.00013,-4.7174,435.561,514.611,0.664769,33770.4,8.58606e-07,0.551404,109.325,85.5365,22.5458,24.2846,0.9284,462.057,546.101,0.585047 
26,26,26,19314,0,5,101,125,0,5,135,-6.16922,-5.73364,-8.40812,-2.34883,-5.80981,-112.021,11.5167,25305.6,-3.20372,16439.4,-5.7364,-5.30081,-7.54247,-1.916,-5.37698,0.708477,18.0631,25796.6,3.34277,0.818282,0.000399962,0.99993,22.0745,426.359,497.619,0.549911,33525.5,8.56526e-07,0.537769,109.547,85.6948,22.7311,24.3348,0.934096,469.683,548.363,0.592511 
27,27,27,20526.2,0,5,101,125,0,5,135,-8.07786,-5.02942,-8.75771,-4.31868,-6.35416,-71.989,2.58927,26510.2,-11.6598,16439.4,-7.79971,-4.75127,-8.2014,-4.04053,-6.07601,0.734315,6.79631,26825.8,-7.45279,-3.16543,0.00014475,1.00015,-2.14704,439.611,501.957,0.588553,34999.4,8.68898e-07,0.540628,109.374,86.0654,22.9093,24.2538,0.944566,477.079,544.719,0.586695 
28,28,28,20334.6,0,5,101,125,0,5,135,-6.78209,-4.90516,-9.12851,-5.05276,-5.20949,-5.03265,3.20908,26280.7,-7.68292,16439.4,-6.76264,-4.88572,-9.08962,-5.03331,-5.19005,0.70642,3.50319,26302.8,-7.38882,-0.653168,7.61011e-05,1.00015,-5.36339,409.733,471.126,0.498558,34334.3,8.63359e-07,0.508894,109.495,85.7354,22.5956,23.9928,0.941766,464.101,533.056,0.576104 
29,29,29,20374.1,0,5,101,125,0,5,135,-7.44554,-5.68578,-6.29362,-0.955279,-4.36068,-76.7396,0.76718,26362.1,-3.02262,16439.4,-7.14903,-5.38928,-5.70061,-0.658773,-4.06417,0.751736,5.25184,26698.4,1.46204,0.749589,0.000112393,0.99997,7.00629,411.209,497.402,0.546201,34395.9,8.63875e-07,0.523521,109.509,85.8846,22.3545,24.3544,0.917884,454.25,549.244,0.578201 
30,30,30,22272.1,0,5,101,125,0,5,135,-5.9736,-5.52111,-4.21093,-4.06564,-3.31883,-28.4923,-2.72198,28241.5,-10.4198,16439.4,-5.86351,-5.41102,-3.99075,-3.95555,-3.20874,0.822076,-1.05689,28366.4,-8.7547,0.0914065,-2.1291e-05,1.00017,-11.5625,433.531,510.503,0.561933,37362.8,8.88032e-07,0.529762,109.349,85.5869,22.8654,24.5911,0.929824,475.25,559.974,0.580921 
31,31,31,19752.6,0,5,101,125,0,5,135,-4.61089,-5.43148,-5.24283,-5.15888,-7.47919,-35.5035,-8.035,25729.2,-14.3268,16439.4,-4.47371,-5.2943,-4.96848,-5.0217,-7.34202,0.816663,-5.96017,25884.8,-12.252,0.288453,-0.000131593,1.00026,-20.6625,441.559,519.845,0.747834,34286.6,8.62959e-07,0.555189,109.462,86.4319,22.5198,24.2111,0.930143,460.993,542.803,0.579667 
32,32,32,19360.9,0,5,101,125,0,5,135,-4.93549,-6.03783,-6.61377,-6.67786,-5.62705,-66.8266,12.2768,25623.4,-21.5343,16439.4,-4.67728,-5.77963,-6.09736,-6.41965,-5.36885,0.784871,16.1821,25916.3,-17.629,-3.2542,0.000356672,1.00037,-4.97268,418.868,496.817,0.555622,33707.4,8.58071e-07,0.531634,109.756,85.7015,22.5097,24.2814,0.927036,460.58,545.957,0.584397 
33,33,33,17367.6,0,5,101,125,0,5,135,-6.68719,-3.24227,-5.67644,-8.49336,-7.61076,-35.7536,1.22035,23302.4,-9.88591,16439.4,-6.54905,-3.10413,-5.40015,-8.35522,-7.47261,0.825131,3.30979,23459.2,-7.79647,-0.547438,8.06149e-05,1.00018,-6.04597,410.154,495.326,0.56173,30568.3,8.30562e-07,0.542684,109.568,85.7805,22.2374,24.2085,0.918576,449.504,542.687,0.594661 
34,34,34,20130.7,0,5,101,125,0,5,135,-7.57357,-4.73748,-8.1732,-4.91374,-5.8123,10.4629,-1.4531,26453.4,0.535446,16439.4,-7.614,-4.77791,-8.25405,-4.95417,-5.85272,0.737574,-2.06456,26407.5,-0.0760052,0.957692,-4.46766e-05,1,-2.15576,397.478,468.689,0.442325,34752.1,8.66846e-07,0.497917,109.537,85.8104,22.6918,24.3842,0.930592,468.061,550.593,0.585632 
