cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
148,140,0.75,10,0.01,148,7.30181e-07,7.4805e-07,1.03279e-29,15.5868,0.976113,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.77624,-1.79067e-29,-4.22531e-13,37365.7,57945.6,2.84941,44.4134,2.52534,39.3621,-0.478841,0.0066,1.13649,6.683e-06 
149,140,0.75,0.01,10,149,6.97532e-07,7.21726e-07,9.96452e-30,15.0384,0.966478,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.74793,-1.68335e-29,1.95961e-13,33558.2,54519.6,2.81942,42.3994,2.49659,37.5446,-0.451396,0.0066,1.15639,6.683e-06 
150,140,0.75,0.01,10,150,7.05182e-07,7.24258e-07,9.99947e-30,15.0911,0.973662,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.76906,-1.72238e-29,-6.64887e-14,33912.6,53851.4,2.84179,42.8857,2.51801,37.9996,-0.471882,0.0066,1.16406,6.683e-06 
151,140,0.75,10,0.01,151,7.73786e-07,7.18224e-07,9.91616e-30,14.9654,1.07736,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.05941,-2.20012e-29,-1.04309e-12,33072.1,49828.9,3.16374,47.3465,2.83713,42.4587,-0.754271,0.0066,1.14722,6.683e-06 
152,140,0.75,0.01,10,152,6.85813e-07,7.20569e-07,9.94854e-30,15.0142,0.951766,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.70423,-1.61368e-29,3.9224e-13,33397.1,53829.3,2.7736,41.6435,2.453,36.8299,-0.409045,0.0066,1.18877,6.683e-06 
153,140,0.75,0.01,10,153,6.53512e-07,7.64727e-07,1.05582e-29,15.9343,0.854569,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.39908,-1.26235e-29,1.53115e-13,39920.9,62330.1,2.47096,39.3732,2.17472,34.6527,-0.11398,0.0066,1.22472,6.683e-06 
154,140,0.75,0.01,10,154,7.17939e-07,7.43784e-07,1.02691e-29,15.498,0.965252,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.74432,-1.72901e-29,-3.97239e-13,36730.2,57143.4,2.81561,43.6362,2.49294,38.6355,-0.447889,0.0066,1.16219,6.683e-06 
155,140,0.75,10,0.01,155,7.17498e-07,7.39341e-07,1.02077e-29,15.4054,0.970456,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.75965,-1.74314e-29,3.05019e-13,36075.9,57746.1,2.83181,43.6251,2.50844,38.6435,-0.462756,0.0066,1.17504,6.683e-06 
156,140,0.75,10,0.01,156,7.42193e-07,7.20678e-07,9.95004e-30,15.0165,1.02985,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.92967,-1.97735e-29,-5.30107e-13,33412.2,51671.6,3.01646,45.2967,2.68866,40.3743,-0.627884,0.0066,1.16986,6.683e-06 
157,140,0.75,0.01,10,157,6.97932e-07,7.23145e-07,9.9841e-30,15.0679,0.965134,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.74397,-1.68049e-29,-2.44841e-13,33756.5,52833,2.81524,42.4198,2.49259,37.5581,-0.447551,0.0066,1.18325,6.683e-06 
158,140,0.75,10,0.01,158,7.5686e-07,6.95255e-07,9.59904e-30,14.4868,1.08861,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.08937,-2.18331e-29,-8.8794e-13,29999.5,46010.4,3.19856,46.3368,2.87284,41.6182,-0.783499,0.0066,1.11209,6.683e-06 
159,140,0.75,0.01,10,159,6.75412e-07,7.37868e-07,1.01874e-29,15.3747,0.915355,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.59341,-1.48587e-29,-4.4398e-13,35860.6,54883.7,2.66008,40.8979,2.34676,36.0808,-0.301828,0.0066,1.18086,6.683e-06 
