cyc,freq,Vpp,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
15,5,1.8,8,3,4.33181e-07,9.2485e-07,1.2769e-29,0.46838,0.234406,-1.92832e-13,70614.9,95144.5,1.27822,0.0066,1.40817 
16,5,1.8,2,9,4.05334e-07,9.12586e-07,1.25996e-29,0.44416,0.378006,-5.72552e-13,67842.8,87250.3,1.21054,0.0066,1.45616 
17,5,1.8,6,5,4.42074e-07,9.45854e-07,1.30589e-29,0.467381,0.240157,-1.15203e-13,75536.1,101886,1.27538,0.0066,1.41901 
18,5,1.8,4,7,4.29951e-07,9.36171e-07,1.29252e-29,0.459265,0.28742,-7.32904e-13,73239.8,95416.4,1.25252,0.0066,1.42141 
19,5,1.8,5,6,4.38292e-07,9.40606e-07,1.29865e-29,0.465968,0.248317,1.09399e-13,74285.6,101194,1.27139,0.0066,1.42282 
20,5,1.8,9,2,4.6142e-07,9.44711e-07,1.30432e-29,0.488425,0.121792,-1.35433e-14,75262.5,102255,1.33563,0.0066,1.41576 
21,5,1.8,7,4,4.38624e-07,9.61564e-07,1.32758e-29,0.456157,0.305777,-9.90676e-14,79362.8,106176,1.24381,0.0066,1.45191 
22,5,1.8,0.1,10.9,4.21723e-07,9.25276e-07,1.27748e-29,0.455781,0.308007,-3.86548e-14,70712.4,94087.8,1.24277,0.0066,1.45571 
23,5,1.8,1,10,4.39064e-07,9.4612e-07,1.30626e-29,0.464068,0.259336,-2.11126e-13,75599.7,100857,1.26602,0.0066,1.42283 
24,5,1.8,3,8,4.24089e-07,9.35287e-07,1.2913e-29,0.453432,0.321983,2.45457e-13,73032.5,98635.5,1.23621,0.0066,1.46824 
25,5,1.8,10,1,4.61873e-07,9.43788e-07,1.30304e-29,0.489383,0.11654,-6.14294e-13,75042,99578.2,1.33841,0.0066,1.41161 
26,5,1.8,8,3,4.78654e-07,9.48605e-07,1.30969e-29,0.504588,0.0346196,4.58639e-13,76196.9,108612,1.3828,0.0066,1.37369 
27,5,1.8,2,9,4.37382e-07,9.66013e-07,1.33373e-29,0.452771,0.325936,3.00517e-14,80469.3,108139,1.23437,0.0066,1.4596 
28,5,1.8,6,5,4.27728e-07,9.29652e-07,1.28352e-29,0.460095,0.282547,-6.24915e-14,71720.4,96356.5,1.25484,0.0066,1.41002 
29,5,1.8,4,7,4.4001e-07,9.56208e-07,1.32019e-29,0.460162,0.282154,5.22374e-13,78043.9,107099,1.25503,0.0066,1.45573 
30,5,1.8,5,6,4.55263e-07,9.55527e-07,1.31925e-29,0.476453,0.188417,-9.44226e-14,77877.3,105248,1.30119,0.0066,1.41215 
31,5,1.8,9,2,4.57613e-07,9.3272e-07,1.28776e-29,0.490622,0.109759,-4.07446e-13,72432.8,96173.2,1.342,0.0066,1.41816 
32,5,1.8,7,4,4.4902e-07,9.5448e-07,1.3178e-29,0.470435,0.222614,1.20991e-14,77621.4,104926,1.28404,0.0066,1.43485 
33,5,1.8,0.1,10.9,4.06995e-07,9.39117e-07,1.29659e-29,0.433381,0.444891,-7.92741e-14,73933.3,98110.7,1.18107,0.0066,1.4585 
34,5,1.8,1,10,4.41984e-07,9.61169e-07,1.32704e-29,0.459841,0.284037,8.78759e-14,79264.8,107648,1.25413,0.0066,1.41874 
35,5,1.8,3,8,4.15814e-07,9.41939e-07,1.30049e-29,0.441445,0.394669,-1.04543e-12,74601.9,93931.5,1.20308,0.0066,1.44604 
36,5,1.8,10,1,4.53005e-07,9.31926e-07,1.28666e-29,0.486095,0.134613,4.81538e-13,72248,100817,1.3289,0.0066,1.41405 
37,5,1.8,8,3,4.61411e-07,9.53776e-07,1.31683e-29,0.483773,0.147461,-9.51802e-16,77450,106080,1.3222,0.0066,1.40561 
38,5,1.8,2,9,3.95428e-07,9.30804e-07,1.28511e-29,0.424824,0.499425,-1.04829e-13,71987.3,93526.3,1.15799,0.0066,1.5122 
39,5,1.8,6,5,4.12451e-07,9.3642e-07,1.29287e-29,0.440455,0.400776,2.49288e-13,73298.3,97979.6,1.20036,0.0066,1.48721 
40,5,1.8,4,7,4.16894e-07,9.28908e-07,1.2825e-29,0.4488,0.349799,-6.14302e-13,71548.4,92424.9,1.22335,0.0066,1.43266 
41,5,1.8,5,6,4.18749e-07,9.25802e-07,1.27821e-29,0.45231,0.328695,-4.42692e-14,70833.1,94873.7,1.23309,0.0066,1.44389 
42,5,1.8,9,2,4.26108e-07,8.80685e-07,1.21592e-29,0.483838,0.147102,2.50224e-13,60973.8,83518.3,1.32238,0.0066,1.4285 
43,5,1.8,7,4,4.36884e-07,9.36269e-07,1.29266e-29,0.466622,0.24454,2.44416e-13,73262.9,100036,1.27323,0.0066,1.43388 
44,10,1.5,0.1,10.9,4.04793e-07,9.37019e-07,1.2937e-29,0.432001,0.453599,-1.5338e-13,73439.1,97492.8,1.17733,0.0066,1.43089 
45,10,1.5,1,10,4.21566e-07,9.36564e-07,1.29307e-29,0.45012,0.341841,-9.56514e-13,73332.2,93789.2,1.22701,0.0066,1.4249 
46,10,1.5,3,8,4.18921e-07,9.28002e-07,1.28125e-29,0.451422,0.334015,1.31003e-13,71339.3,96063.1,1.23062,0.0066,1.44049 
47,10,1.5,10,1,4.34465e-07,9.25271e-07,1.27748e-29,0.469555,0.227655,6.86303e-13,70711.2,98502.7,1.28154,0.0066,1.44128 
48,10,1.5,8,3,4.43197e-07,9.21264e-07,1.27194e-29,0.481075,0.162474,9.816e-13,69796.4,99558,1.31444,0.0066,1.41604 
49,10,1.5,2,9,4.25019e-07,9.49776e-07,1.31131e-29,0.447494,0.357708,-4.98873e-13,76479.5,99350.3,1.21973,0.0066,1.45914 
50,10,1.5,6,5,4.39608e-07,9.46674e-07,1.30703e-29,0.464372,0.257573,-1.84969e-13,75732.5,101322,1.26688,0.0066,1.44076 
51,10,1.5,4,7,4.31944e-07,9.46907e-07,1.30735e-29,0.456164,0.305735,1.85863e-13,75788.5,103383,1.24383,0.0066,1.41957 
52,10,1.5,5,6,4.34022e-07,9.464e-07,1.30665e-29,0.458603,0.291317,5.90185e-13,75666.9,104849,1.25066,0.0066,1.42919 
53,10,1.5,9,2,4.56998e-07,9.36356e-07,1.29278e-29,0.48806,0.123796,-5.08071e-13,73283.3,97354.2,1.33458,0.0066,1.3896 
54,10,1.5,7,4,4.62504e-07,9.43627e-07,1.30282e-29,0.490135,0.112421,-1.1627e-13,75003.7,102646,1.34059,0.0066,1.38954 
55,10,1.5,0.1,10.9,3.62444e-07,8.26698e-07,1.14138e-29,0.438423,0.413357,4.46264e-13,50433.9,69223.7,1.1948,0.0066,1.42912 
56,10,1.5,1,10,3.93662e-07,9.00367e-07,1.24309e-29,0.437224,0.420819,5.10215e-13,65153.9,88582.1,1.19153,0.0066,1.46554 
57,10,1.5,3,8,4.07085e-07,9.1109e-07,1.2579e-29,0.446811,0.361849,6.27467e-13,67509.6,93306.9,1.21785,0.0066,1.45357 
58,10,1.5,10,1,4.47099e-07,9.24052e-07,1.27579e-29,0.483847,0.147052,1.5516e-13,70432.1,96271.5,1.32241,0.0066,1.43184 
59,10,1.5,8,3,4.2952e-07,9.19653e-07,1.26972e-29,0.467046,0.242091,8.53716e-14,69431.1,94114.7,1.27443,0.0066,1.42834 
60,10,1.5,2,9,4.20258e-07,9.33582e-07,1.28895e-29,0.450157,0.341621,8.20081e-13,72633.8,100913,1.22712,0.0066,1.44085 
61,10,1.5,6,5,4.51395e-07,9.48159e-07,1.30908e-29,0.476076,0.190545,4.37509e-13,76089.5,105482,1.30011,0.0066,1.41906 
62,10,1.5,4,7,4.29194e-07,9.37779e-07,1.29474e-29,0.45767,0.296822,3.37542e-13,73617.8,99714.8,1.24805,0.0066,1.45226 
63,10,1.5,5,6,4.51499e-07,9.45456e-07,1.30534e-29,0.477546,0.182253,-4.55549e-13,75440.6,99625.3,1.30432,0.0066,1.41173 
64,10,1.5,9,2,4.60244e-07,9.3398e-07,1.2895e-29,0.492778,0.0980095,-9.59362e-13,72726.7,94806.9,1.34826,0.0066,1.39655 
65,10,1.5,7,4,4.38194e-07,9.32571e-07,1.28755e-29,0.469878,0.225805,-1.09984e-12,72398,91540.7,1.28246,0.0066,1.44705 
66,10,1.5,0.1,10.9,3.87583e-07,9.20774e-07,1.27127e-29,0.420931,0.52468,-1.3155e-13,69685.3,91248.8,1.14758,0.0066,1.47935 
67,10,1.5,1,10,4.09399e-07,9.30583e-07,1.28481e-29,0.439938,0.403972,-2.94402e-13,71936.2,93992.2,1.19895,0.0066,1.46835 
68,10,1.5,3,8,4.22277e-07,9.29736e-07,1.28364e-29,0.45419,0.317466,3.80644e-13,71739.9,97070.6,1.23833,0.0066,1.45021 
69,10,1.5,10,1,4.75045e-07,9.46598e-07,1.30692e-29,0.501844,0.0492038,-1.19834e-13,75714.5,103702,1.37473,0.0066,1.3871 
70,10,1.5,8,3,4.60875e-07,9.40691e-07,1.29877e-29,0.489933,0.113528,5.96245e-14,74305.9,102039,1.34,0.0066,1.42881 
71,10,1.5,2,9,4.1544e-07,9.34484e-07,1.2902e-29,0.444566,0.375526,-5.29951e-13,72844.7,93873.9,1.21165,0.0066,1.4601 
72,10,1.5,6,5,4.27602e-07,9.23689e-07,1.27529e-29,0.462928,0.26597,-6.23755e-13,70349.1,90884.4,1.26281,0.0066,1.45926 
73,10,1.5,4,7,4.41957e-07,9.50689e-07,1.31257e-29,0.464881,0.254616,-6.54682e-14,76700.4,102774,1.26832,0.0066,1.43387 
74,10,1.5,5,6,4.41096e-07,9.31262e-07,1.28575e-29,0.473655,0.204255,3.31103e-13,72093.6,99161.1,1.2932,0.0066,1.43701 
75,10,1.5,9,2,4.61341e-07,9.36268e-07,1.29266e-29,0.492745,0.0981872,5.19595e-13,73262.5,102535,1.34817,0.0066,1.40745 
76,10,1.5,7,4,4.42618e-07,9.2534e-07,1.27757e-29,0.478331,0.177843,-4.30282e-13,70727,93495.7,1.30656,0.0066,1.42525 
77,10,1.5,0.1,10.9,3.99958e-07,9.08974e-07,1.25498e-29,0.44001,0.403528,2.21328e-13,67040.4,90215.4,1.19914,0.0066,1.4553 
78,10,1.5,1,10,4.23472e-07,9.37726e-07,1.29467e-29,0.451595,0.33298,8.15182e-13,73605.4,102211,1.2311,0.0066,1.44534 
79,10,1.5,3,8,4.36181e-07,9.38208e-07,1.29534e-29,0.464908,0.254458,-7.56889e-14,73718.9,99515.8,1.26839,0.0066,1.42428 
80,10,1.5,10,1,4.81666e-07,9.46434e-07,1.3067e-29,0.508927,0.0117251,-1.46951e-12,75675.1,96916.3,1.39555,0.0066,1.41371 
81,10,1.5,8,3,4.28781e-07,8.93938e-07,1.23422e-29,0.479654,0.170421,-8.53112e-14,63768.2,84416.5,1.31036,0.0066,1.46035 
82,10,1.5,2,9,4.3497e-07,9.42325e-07,1.30102e-29,0.461592,0.27377,3.51088e-14,74693.7,100201,1.25905,0.0066,1.43093 
83,10,1.5,6,5,4.06572e-07,8.76263e-07,1.20981e-29,0.463984,0.259824,4.33687e-13,60060,82258.7,1.26578,0.0066,1.44901 
84,10,1.5,4,7,4.09377e-07,9.14617e-07,1.26277e-29,0.447594,0.357101,-3.87849e-13,68296.7,89641.6,1.22001,0.0066,1.42938 
85,10,1.5,5,6,4.50263e-07,9.50749e-07,1.31265e-29,0.473588,0.204634,4.89609e-13,76714.9,106217,1.29301,0.0066,1.42174 
86,10,1.5,9,2,4.63312e-07,9.42426e-07,1.30116e-29,0.491616,0.104339,-3.03302e-13,74717.7,100154,1.34489,0.0066,1.43193 
87,10,1.5,7,4,4.66732e-07,9.40468e-07,1.29846e-29,0.496276,0.0790689,-1.15903e-13,74253,101826,1.35845,0.0066,1.37996 
88,30,1.286,0.1,10.9,4.20908e-07,9.38641e-07,1.29594e-29,0.448422,0.352082,-3.06015e-13,73821.1,96842.3,1.22231,0.0066,1.45145 
89,30,1.286,1,10,4.32038e-07,9.42059e-07,1.30065e-29,0.45861,0.291277,-6.245e-13,74630.4,98724.7,1.25068,0.0066,1.41259 
90,30,1.286,3,8,4.28017e-07,9.37944e-07,1.29497e-29,0.456336,0.304715,-5.6008e-13,73656.7,96064.3,1.24431,0.0066,1.44371 
91,30,1.286,10,1,4.59362e-07,9.31412e-07,1.28595e-29,0.493189,0.0957765,1.49312e-13,72128.5,98550.9,1.34946,0.0066,1.4268 
92,30,1.286,8,3,4.63672e-07,9.39918e-07,1.2977e-29,0.493311,0.0951167,4.66307e-14,74122.7,101521,1.34981,0.0066,1.40256 
93,30,1.286,2,9,4.15767e-07,9.3564e-07,1.29179e-29,0.444366,0.376744,-4.92148e-14,73115.2,96481.5,1.21111,0.0066,1.44021 
94,30,1.286,6,5,4.24613e-07,9.13819e-07,1.26166e-29,0.464658,0.255911,-4.27304e-13,68118.1,89638.8,1.26769,0.0066,1.42184 
95,30,1.286,4,7,4.23736e-07,9.30164e-07,1.28423e-29,0.45555,0.309378,2.38264e-13,71839,97390.9,1.24212,0.0066,1.45148 
96,30,1.286,5,6,4.11103e-07,9.17893e-07,1.26729e-29,0.447877,0.355382,-7.81872e-14,69033.1,91589.3,1.2208,0.0066,1.47206 
97,30,1.286,9,2,4.6944e-07,9.42894e-07,1.30181e-29,0.497871,0.0704614,6.17191e-13,74829.2,105819,1.36309,0.0066,1.40075 
98,30,1.286,7,4,4.56109e-07,9.33266e-07,1.28851e-29,0.488724,0.120151,-3.47376e-13,72560.1,96813.4,1.3365,0.0066,1.41192 
99,30,1.286,0.1,10.9,4.16998e-07,9.44076e-07,1.30344e-29,0.4417,0.3931,7.46961e-13,75110.9,103913,1.20378,0.0066,1.44479 
100,30,1.286,1,10,4.29538e-07,9.44755e-07,1.30438e-29,0.454655,0.3147,8.02837e-13,75272.9,104833,1.23963,0.0066,1.44596 
101,30,1.286,3,8,4.25537e-07,9.41737e-07,1.30021e-29,0.451864,0.331363,-3.08375e-14,74553.9,99962.4,1.23185,0.0066,1.45302 
102,30,1.286,10,1,4.67802e-07,9.40445e-07,1.29843e-29,0.497426,0.0728682,-1.70668e-13,74247.5,100516,1.36181,0.0066,1.40493 
103,30,1.286,8,3,4.39876e-07,9.28735e-07,1.28226e-29,0.473629,0.204398,5.1121e-14,71508.4,97237.4,1.29313,0.0066,1.40961 
104,30,1.286,2,9,4.24054e-07,9.31546e-07,1.28614e-29,0.455215,0.311362,6.68369e-13,72159.7,100419,1.24119,0.0066,1.41832 
105,30,1.286,6,5,4.62833e-07,9.42432e-07,1.30117e-29,0.491105,0.107122,-9.24572e-13,74719.2,96851.7,1.3434,0.0066,1.41779 
106,30,1.286,4,7,4.17676e-07,9.3125e-07,1.28573e-29,0.448511,0.351548,-4.85559e-13,72091,93114.6,1.22255,0.0066,1.47801 
107,30,1.286,5,6,4.03785e-07,8.63669e-07,1.19242e-29,0.467523,0.239336,1.23313e-13,57507.4,77645.5,1.27578,0.0066,1.43352 
108,30,1.286,9,2,4.41196e-07,9.10651e-07,1.25729e-29,0.484485,0.143514,1.87901e-13,67412,92056.5,1.32425,0.0066,1.41616 
109,30,1.286,7,4,4.3905e-07,9.26105e-07,1.27863e-29,0.474082,0.201829,7.57783e-13,70902.7,99565,1.29442,0.0066,1.42727 
110,30,1.286,0.1,10.9,3.76525e-07,8.80444e-07,1.21559e-29,0.427654,0.481246,7.8004e-13,60923.8,83956.8,1.16559,0.0066,1.47745 
111,30,1.286,1,10,4.32906e-07,9.50053e-07,1.31169e-29,0.455666,0.30869,2.90768e-13,76546.4,104396,1.24244,0.0066,1.44635 
112,30,1.286,3,8,4.31191e-07,9.41327e-07,1.29964e-29,0.458067,0.294478,2.61656e-14,74456.6,99944.9,1.24916,0.0066,1.44082 
113,30,1.286,10,1,4.74406e-07,9.39251e-07,1.29678e-29,0.50509,0.0319587,-3.78526e-13,73965,99333.1,1.38427,0.0066,1.40008 
114,30,1.286,8,3,4.61927e-07,9.52161e-07,1.3146e-29,0.485135,0.139915,-2.50983e-13,77057.2,103363,1.32613,0.0066,1.42837 
115,30,1.286,2,9,4.21392e-07,9.4362e-07,1.30281e-29,0.44657,0.363317,-1.05752e-12,75002.1,94509.7,1.21718,0.0066,1.45487 
116,30,1.286,6,5,4.41029e-07,9.25833e-07,1.27825e-29,0.476359,0.188943,6.57022e-13,70840.1,99150.9,1.30092,0.0066,1.41195 
117,30,1.286,4,7,4.39918e-07,9.47403e-07,1.30803e-29,0.464341,0.25775,-5.75049e-13,75907.7,99799.1,1.26679,0.0066,1.43212 
118,30,1.286,5,6,4.09675e-07,8.9243e-07,1.23213e-29,0.459056,0.288652,-2.97271e-13,63446,82807.2,1.25193,0.0066,1.45369 
119,30,1.286,9,2,4.42718e-07,9.13283e-07,1.26092e-29,0.484755,0.14202,-7.67436e-14,67998.3,91499.6,1.32503,0.0066,1.4299 
120,30,1.286,7,4,4.50056e-07,9.40534e-07,1.29855e-29,0.478511,0.176828,-3.3481e-13,74268.5,99220.8,1.30708,0.0066,1.43053 
121,30,1.286,0.1,10.9,3.97169e-07,9.17816e-07,1.26718e-29,0.432733,0.448975,-6.91437e-13,69015.9,88018.2,1.17931,0.0066,1.45486 
122,30,1.286,1,10,4.13484e-07,9.19445e-07,1.26943e-29,0.44971,0.344308,4.12328e-13,69384,94774.3,1.22587,0.0066,1.42943 
123,30,1.286,3,8,4.10898e-07,9.24944e-07,1.27702e-29,0.444241,0.377511,-2.02239e-13,70636.4,92935.5,1.21076,0.0066,1.4651 
124,30,1.286,10,1,4.54935e-07,9.12052e-07,1.25922e-29,0.498804,0.0654596,-2.70658e-13,67723.6,90786.6,1.36583,0.0066,1.41648 
125,30,1.286,8,3,4.40844e-07,9.22782e-07,1.27404e-29,0.477734,0.181197,-3.32488e-13,70142.2,92729.4,1.30485,0.0066,1.43763 
126,30,1.286,2,9,4.08818e-07,9.15306e-07,1.26372e-29,0.446647,0.36285,1.6633e-13,68451.2,92051.8,1.2174,0.0066,1.4464 
127,30,1.286,6,5,4.49747e-07,9.29341e-07,1.28309e-29,0.483943,0.146521,-3.33788e-13,71648.4,95938.8,1.32269,0.0066,1.40989 
128,30,1.286,4,7,4.34102e-07,9.29133e-07,1.28281e-29,0.467211,0.241136,5.41046e-13,71600.5,99482.2,1.2749,0.0066,1.39698 
129,30,1.286,5,6,4.36307e-07,9.29835e-07,1.28378e-29,0.469231,0.229515,-1.21237e-14,71762.8,96349.2,1.28062,0.0066,1.43804 
130,30,1.286,9,2,4.49042e-07,9.08628e-07,1.2545e-29,0.494198,0.0902994,-2.62873e-13,66963.8,90231.9,1.3524,0.0066,1.39644 
131,30,1.286,7,4,4.2409e-07,8.98354e-07,1.24031e-29,0.472074,0.213247,-2.49233e-13,64717.9,86319.7,1.2887,0.0066,1.43311 
132,50,0.7,0.1,10.9,4.10842e-07,9.15591e-07,1.26411e-29,0.448718,0.350296,-4.15114e-13,68515.1,89891.6,1.22312,0.0066,1.4398 
133,50,0.7,1,10,4.10415e-07,9.25013e-07,1.27712e-29,0.443685,0.380911,-1.28538e-13,70652.1,93341.7,1.20923,0.0066,1.43994 
134,50,0.7,3,8,4.14911e-07,9.177e-07,1.26702e-29,0.45212,0.329827,5.69335e-13,68989.6,94705.9,1.23256,0.0066,1.43976 
135,50,0.7,10,1,4.661e-07,9.29407e-07,1.28319e-29,0.501502,0.0510282,-3.48877e-13,71663.8,96433.5,1.37373,0.0066,1.40684 
136,50,0.7,8,3,4.59887e-07,9.25427e-07,1.27769e-29,0.496945,0.0754654,-1.03947e-13,70747,96467.2,1.36041,0.0066,1.40704 
137,50,0.7,2,9,3.94619e-07,8.95347e-07,1.23616e-29,0.440744,0.398989,-5.117e-13,64070.2,82916.2,1.20115,0.0066,1.44075 
138,50,0.7,6,5,4.18377e-07,8.99923e-07,1.24248e-29,0.464903,0.254491,-1.12288e-12,65057.6,80972.8,1.26838,0.0066,1.45405 
139,50,0.7,4,7,4.26479e-07,9.09392e-07,1.25555e-29,0.468971,0.231007,1.57328e-13,67132.9,90669.3,1.27989,0.0066,1.43926 
140,50,0.7,5,6,4.29127e-07,9.32183e-07,1.28702e-29,0.460346,0.281072,1.17421e-13,72307.9,97340.9,1.25555,0.0066,1.45411 
141,50,0.7,9,2,4.43602e-07,9.02566e-07,1.24613e-29,0.49149,0.105023,-4.3621e-13,65632.5,86370.2,1.34452,0.0066,1.43192 
142,50,0.7,7,4,4.48629e-07,9.05192e-07,1.24975e-29,0.495618,0.0826162,1.48799e-13,66206.9,91320.7,1.35652,0.0066,1.40069 
143,50,0.7,0.1,10.9,4.01864e-07,9.01693e-07,1.24492e-29,0.445677,0.368749,4.26738e-13,65442.2,89521.8,1.21472,0.0066,1.43281 
144,50,0.7,1,10,4.0246e-07,9.22299e-07,1.27337e-29,0.436366,0.426169,-5.72274e-13,70032.2,89994.7,1.18919,0.0066,1.45731 
145,50,0.7,3,8,4.27047e-07,9.29085e-07,1.28274e-29,0.459642,0.285205,-3.71452e-14,71589.4,95701.6,1.25357,0.0066,1.44781 
146,50,0.7,10,1,4.42569e-07,8.98584e-07,1.24063e-29,0.492519,0.0994213,-2.92206e-13,64767.5,86041.7,1.34752,0.0066,1.43384 
147,50,0.7,8,3,4.29782e-07,9.09622e-07,1.25587e-29,0.472484,0.210911,-3.0495e-13,67183.8,88876.3,1.28987,0.0066,1.42868 
148,50,0.7,2,9,4.18941e-07,9.218e-07,1.27268e-29,0.454481,0.315735,8.93824e-13,69918.4,97380.8,1.23914,0.0066,1.44974 
149,50,0.7,6,5,4.45518e-07,9.27513e-07,1.28057e-29,0.480336,0.166604,-6.00165e-13,71226.5,93494.3,1.31231,0.0066,1.42374 
150,50,0.7,4,7,4.24064e-07,9.26258e-07,1.27884e-29,0.457825,0.295908,-5.33271e-13,70937.8,91676.6,1.24848,0.0066,1.44091 
151,50,0.7,5,6,4.48568e-07,9.33164e-07,1.28837e-29,0.480695,0.164596,4.05193e-13,72536.4,100330,1.31335,0.0066,1.41676 
152,50,0.7,9,2,4.76682e-07,9.44073e-07,1.30344e-29,0.50492,0.0328598,8.80823e-14,75110.2,103590,1.38377,0.0066,1.39983 
153,50,0.7,7,4,4.5855e-07,9.40588e-07,1.29862e-29,0.487514,0.126794,-1.73321e-13,74281.3,100167,1.333,0.0066,1.41484 
154,50,0.7,0.1,10.9,4.00273e-07,9.1502e-07,1.26332e-29,0.437448,0.419425,1.04089e-13,68386.9,90527.9,1.19214,0.0066,1.48358 
155,50,0.7,1,10,4.27454e-07,9.37358e-07,1.29416e-29,0.45602,0.306588,1.78825e-13,73518.8,99010.7,1.24343,0.0066,1.43331 
156,50,0.7,3,8,4.08193e-07,9.26934e-07,1.27977e-29,0.440368,0.40131,-6.06841e-14,71093.2,93601.7,1.20012,0.0066,1.47421 
157,50,0.7,10,1,4.72183e-07,9.39261e-07,1.29679e-29,0.502718,0.0445549,-5.08683e-13,73967.5,99000.7,1.37734,0.0066,1.40695 
158,50,0.7,8,3,4.61439e-07,9.35852e-07,1.29208e-29,0.493069,0.0964322,-2.61006e-13,73164.9,98043.7,1.34911,0.0066,1.41585 
159,50,0.7,2,9,4.25866e-07,9.23499e-07,1.27503e-29,0.461144,0.276394,4.25513e-13,70305.7,97100.9,1.25779,0.0066,1.43233 
160,50,0.7,6,5,4.53447e-07,9.33141e-07,1.28834e-29,0.485937,0.135488,-2.72933e-13,72530.9,96794.9,1.32844,0.0066,1.43954 
161,50,0.7,4,7,4.25062e-07,9.18883e-07,1.26866e-29,0.462586,0.267964,-2.99171e-13,69256.7,91095.4,1.26185,0.0066,1.43448 
162,50,0.7,5,6,4.28235e-07,9.17742e-07,1.26708e-29,0.466618,0.244559,5.54551e-13,68999.1,96509.9,1.27322,0.0066,1.41654 
163,50,0.7,9,2,4.55066e-07,9.29413e-07,1.28319e-29,0.489627,0.115201,3.2346e-14,71665.2,97203.7,1.33912,0.0066,1.42902 
164,50,0.7,7,4,4.70809e-07,9.36321e-07,1.29273e-29,0.502829,0.0439613,1.36324e-13,73275,101900,1.37766,0.0066,1.3827 
165,50,0.7,0.1,10.9,4.17297e-07,9.30387e-07,1.28454e-29,0.44852,0.351493,9.48454e-13,71890.7,99973.8,1.22257,0.0066,1.44488 
166,50,0.7,1,10,4.24343e-07,9.32417e-07,1.28734e-29,0.4551,0.31205,-6.72109e-14,72362.3,96418.5,1.24086,0.0066,1.44155 
167,50,0.7,3,8,4.11365e-07,9.19176e-07,1.26906e-29,0.447536,0.357448,1.90205e-13,69323.1,93598.9,1.21985,0.0066,1.46528 
168,50,0.7,10,1,4.46071e-07,9.13205e-07,1.26082e-29,0.488467,0.121558,-1.20526e-14,67980.8,91632.7,1.33576,0.0066,1.44277 
169,50,0.7,8,3,4.40245e-07,9.20887e-07,1.27142e-29,0.478067,0.179327,5.54978e-13,69710.8,96957,1.30581,0.0066,1.44453 
170,50,0.7,2,9,4.32639e-07,9.14439e-07,1.26252e-29,0.473119,0.207299,-5.97539e-13,68256.9,89249.3,1.29168,0.0066,1.40841 
171,50,0.7,6,5,4.47297e-07,9.2272e-07,1.27395e-29,0.484759,0.141999,4.52785e-13,70128.1,97208.4,1.32504,0.0066,1.40755 
172,50,0.7,4,7,4.25232e-07,9.2438e-07,1.27625e-29,0.460019,0.282993,5.80876e-13,70507.1,97061.8,1.25463,0.0066,1.44346 
