cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
10,0.48,10,20036.1,0,5,101,125,0,5,135,-5.454,-5.52467,-11.2084,-7.32122,-10.6248,-27.4616,18.7101,28029.7,-42.2841,16439.4,-5.34789,-5.41856,-10.9962,-7.21511,-10.5187,0.721591,20.315,28150,-40.6792,-0.712805,0.000412212,1.00079,-28.5001,443.051,498.261,0.54837,36458.7,8.8081e-07,0.533425,110.606,85.196,23.1887,24.3652,0.951714,488.786,549.734,0.588509 
11,0.04,11,21542.7,0,5,101,125,0,5,135,-7.24515,-1.48936,-11.5908,-5.96621,-8.79543,-42.6373,4.40318,29662,-38.5336,16439.4,-7.0804,-1.32462,-11.2613,-5.80146,-8.63069,0.669741,6.8949,29848.9,-36.0419,-0.189653,0.000131979,1.00066,-36.3554,406.537,451.628,0.404615,38543.1,8.97286e-07,0.47754,109.592,85.9718,23.3384,24.3791,0.957314,495.118,550.359,0.581764 
12,0.02,12,20785.1,0,5,101,125,0,5,135,-6.65855,-5.80289,-13.8516,-7.97817,-11.6088,-9.98856,-16.6698,29160.8,-30.8841,16439.4,-6.61996,-5.7643,-13.7744,-7.93957,-11.5702,0.698383,-16.0861,29204.5,-30.3003,0.306714,-0.000314846,1.00056,-52.4465,431.039,482.326,0.484647,37885.7,8.92155e-07,0.511079,109.962,85.656,23.253,24.3763,0.953916,491.499,550.237,0.582903 
13,0.96,13,21841.7,0,5,101,125,0,5,135,-3.18394,-4.20082,-6.25213,-10.1255,-8.72131,-65.4123,2.92272,29497.2,-8.48,16439.4,-2.9312,-3.94808,-5.74665,-9.87274,-8.46857,0.814428,6.74541,29783.9,-4.65731,5.83189,0.0001294,1.00008,1.15664,514.587,591.815,0.641481,38839.8,8.99582e-07,0.613453,109.117,85.4641,24.5898,26.1277,0.941136,549.635,632.144,0.655246 
14,1.44,14,21732,0,5,101,125,0,5,135,-9.38088,-6.59352,-14.308,-2.76996,-9.40266,-28.4147,0.271862,29211.8,2.10309,16439.4,-9.27109,-6.48374,-14.0884,-2.66017,-9.29287,0.662926,1.93242,29336.3,3.76364,0.299656,3.76393e-05,0.99993,6.44879,587.472,668.455,0.921123,39071.2,9.01365e-07,0.695231,109.083,85.5122,25.7369,27.1966,0.946328,602.111,684.921,0.712456 
15,0.01,15,21148,0,5,101,125,0,5,135,-7.67026,-8.61842,-3.65432,-4.0761,-9.43035,-114.2,-8.13395,29060,-30.8568,16439.4,-7.22901,-8.17718,-2.77183,-3.63485,-8.98911,0.910011,-1.46013,29560.5,-24.183,0.047905,-2.82262e-05,1.00044,-30.4797,436.316,501.943,0.569944,37574.8,8.89708e-07,0.525993,110,85.7505,22.8957,24.3472,0.940382,476.512,548.924,0.574838 
16,0.24,16,18194.4,0,5,101,125,0,5,135,-4.0257,-3.04684,-6.42969,-6.45639,-4.32656,-126.38,1.909,25983.1,-15.0612,16439.4,-3.53739,-2.55853,-5.45308,-5.96808,-3.83825,0.74465,9.29463,26537.1,-7.6756,110.772,0.000200103,1.00016,0.0839077,408.238,462.78,0.47113,33624.5,8.57368e-07,0.506964,109.724,85.4619,22.7422,23.9622,0.949089,470.146,531.698,0.583151 
17,2,17,20250.8,0,5,101,125,0,5,135,-2.96115,-2.17367,-8.9698,-4.73791,-5.63966,-67.5559,4.6564,27682.2,11.3967,16439.4,-2.70013,-1.91265,-8.44775,-4.47689,-5.37864,0.631361,8.60437,27978.3,15.3447,0.318468,0.000175705,0.999702,27.018,589.415,660.399,0.59695,36522.8,8.81326e-07,0.707908,108.908,84.9216,26.5322,27.8037,0.954268,639.898,715.842,0.76794 
18,0.08,18,16907.4,0,5,101,125,0,5,135,-10.529,-8.35092,-13.352,-1.37115,-7.85608,-108.981,5.4121,25279.7,-0.575133,16439.4,-10.1079,-7.92984,-12.5098,-0.950074,-7.435,0.67868,11.7809,25757.4,5.7937,0.628874,0.000261292,0.999878,18.7334,417.925,458.303,0.488095,33011.9,8.52129e-07,0.513594,109.981,86.0395,22.873,23.7199,0.964296,475.567,521.001,0.584144 
19,0.12,19,20115,0,5,101,125,0,5,135,-4.64844,1.96929,-9.42313,-4.67572,-7.51249,-55.9501,16.8463,28220,-24.0966,16439.4,-4.43226,2.18547,-8.99077,-4.45954,-7.29631,0.608985,20.116,28465.2,-20.8269,-4.12529,0.000403659,1.0004,-4.87627,420.029,485.68,0.588161,36474.5,8.80937e-07,0.512708,109.941,86.3903,22.3862,23.855,0.938427,455.539,526.952,0.556165 
20,0.48,20,20825.7,0,5,101,125,0,5,135,-3.95495,-7.50384,-9.86975,-9.998,-4.18063,-85.4629,-3.72249,28616.5,-21.9346,16439.4,-3.62473,-7.17363,-9.20932,-9.66779,-3.85042,0.725307,1.27196,28991.1,-16.9402,-0.0667479,2.50705e-05,1.00032,-19.0562,478.129,546.475,0.860643,37277.2,8.87353e-07,0.576051,109.854,85.626,23.2722,24.6484,0.944168,492.312,562.586,0.593087 
21,0.04,21,19434.4,0,5,101,125,0,5,135,-8.4081,-1.0228,-7.99928,-5.99515,-6.29813,-107.226,-7.36599,27996.9,-32.0643,16439.4,-7.9938,-0.608496,-7.17068,-5.58085,-5.88383,0.736736,-1.09971,28466.9,-25.798,0.0343043,-2.20754e-05,1.00049,-32.0573,408.372,470.304,0.483243,35914.2,8.76403e-07,0.500049,109.71,86.3343,22.6583,24.0896,0.940583,466.682,537.37,0.571404 
22,0.02,22,19079.3,0,5,101,125,0,5,135,-6.22278,-5.95987,-10.6116,-10.0557,-5.29475,-204.764,-0.208687,27085.5,-17.1777,16439.4,-5.43161,-5.16871,-9.02931,-9.26456,-4.50359,0.729643,11.7577,27982.9,-5.21127,2.13614,0.000240042,1.0001,5.50419,412.744,473.22,0.50359,35298.6,8.71367e-07,0.50719,110.132,86.2347,22.6356,24.0024,0.943055,465.746,533.485,0.57205 
23,0.96,23,20676.3,0,5,101,125,0,5,135,-2.35454,-0.641605,-4.84261,-10.8467,-5.00734,-118.364,1.6499,28950.9,-18.1416,16439.4,-1.8972,-0.184268,-3.92794,-10.3893,-4.55001,0.812498,8.56712,29469.7,-11.2243,-1.74765,0.000166092,1.00021,-4.90209,497.442,575.202,0.577659,37699.4,8.9069e-07,0.600558,109.229,85.39,24.4261,26.0196,0.938757,542.344,626.924,0.654664 
24,1.44,24,20123,0,5,101,125,0,5,135,-5.483,-1.98756,-10.9501,-3.96302,-6.78316,-156.927,7.49695,28346.6,-1.96646,16439.4,-4.87667,-1.38123,-9.7374,-3.35669,-6.17683,0.618572,16.6677,29034.4,7.20433,0.658467,0.000327931,0.999865,25.3129,569.298,657.693,0.737988,37309.1,8.87606e-07,0.689385,108.851,84.2508,25.6067,27.2619,0.939287,596.038,688.216,0.721571 
25,0.01,25,19594.9,0,5,101,125,0,5,135,-6.0287,-3.87871,-11.8947,-6.49529,-11.3457,-20.2137,5.11021,28054.2,-25.4144,16439.4,-5.9506,-3.80061,-11.7385,-6.41719,-11.2675,0.700353,6.29149,28142.8,-24.2331,-0.276085,0.00012773,1.00047,-22.7882,403.779,468.259,0.452608,36440.1,8.8066e-07,0.493749,109.951,86.0282,22.7677,24.287,0.937444,471.198,546.21,0.576068 
26,0.24,26,20676.4,0,5,101,125,0,5,135,-7.86498,-4.58662,-12.9855,-7.55193,-10.468,-66.8239,-6.0254,28899.2,-29.0468,16439.4,-7.60679,-4.32843,-12.4692,-7.29374,-10.2098,0.702463,-2.12022,29192.1,-25.1416,0.0656613,-4.15045e-05,1.00047,-32.2902,399.204,448.92,0.396672,37309.5,8.87609e-07,0.476936,110.191,86.3292,23.2378,24.3971,0.952483,490.857,551.172,0.586002 
27,2,27,19092.7,0,5,101,125,0,5,135,-10.5715,-7.03982,-9.64814,-11.6332,-5.74628,-101.733,6.20328,27352.6,-7.26807,16439.4,-10.1784,-6.64675,-8.86199,-11.2401,-5.35321,0.7904,12.1485,27798.4,-1.3228,1.1503,0.000249665,1.00003,10.5612,635.356,737.046,4.65033,36775.7,8.83355e-07,0.774677,109.062,84.4847,26.4419,28.2165,0.937107,635.55,737.255,0.774905 
28,0.08,28,22257.9,0,5,101,125,0,5,135,-9.73025,-5.40628,-14.8988,-5.76984,-7.982,21.2638,7.06348,30797.1,-13.9815,16439.4,-9.81241,-5.48844,-15.0631,-5.852,-8.06416,0.659822,5.82082,30703.9,-15.2242,-0.467604,0.000108319,1.00027,-12.4482,439.653,491.914,0.541386,39598.9,9.05405e-07,0.513638,109.994,85.9984,23.1326,24.2283,0.954775,486.425,543.575,0.56793 
29,0.12,29,19240.8,0,5,101,125,0,5,135,-8.25676,-4.01257,-6.95305,-9.38239,-10.1459,-97.2606,-15.2286,27526,-18.5325,16439.4,-7.88096,-3.63678,-6.20146,-9.0066,-9.77011,0.830078,-9.54474,27952.3,-12.8486,0.382355,-0.000195161,1.00025,-24.963,411.575,477.745,0.499294,35520.6,8.7319e-07,0.507825,109.873,85.9684,22.6278,24.1483,0.937036,465.427,539.991,0.57413 
30,0.48,30,20062.5,0,5,101,125,0,5,135,-6.85779,-4.56647,-4.66302,-4.87134,-10.6278,-126.434,-4.53078,28234.9,-6.18941,16439.4,-6.36927,-4.07795,-3.68599,-4.38282,-10.1393,0.871368,2.85803,28789,1.1994,0.665074,5.67253e-05,0.999977,4.29731,445.61,507.318,0.52449,36746.4,8.83121e-07,0.53839,109.514,86.1481,23.3839,24.7202,0.945941,497.048,565.871,0.600534 
31,0.04,31,20154.8,0,5,101,125,0,5,135,-3.69133,-6.09859,-7.37312,-4.41115,-10.7392,-158.04,-5.74913,28663.1,-23.8451,16439.4,-3.08069,-5.48796,-6.15186,-3.80051,-10.1285,0.785272,3.4867,29355.8,-14.6093,-0.248261,6.7866e-05,1.00027,-14.0445,413.338,486.534,0.481479,36909.4,8.84425e-07,0.507047,110.074,86.1482,22.7964,24.5173,0.929809,472.386,556.617,0.579783 
32,0.02,32,21618,0,5,101,125,0,5,135,-0.763705,-3.46983,-1.5183,-6.89521,-5.48891,-105.548,0.0977096,29812.7,-17.3956,16439.4,-0.355889,-3.06201,-0.702668,-6.48739,-5.0811,0.955213,6.26591,30275.3,-11.2274,-0.869422,0.000118252,1.0002,-7.20699,437.756,497.128,0.573199,38410.7,8.96257e-07,0.520496,110.163,85.6016,22.9298,24.1981,0.947585,477.931,542.221,0.567987 
33,0.96,33,21579.7,0,5,101,125,0,5,135,-4.56045,-2.02052,-13.738,-3.67627,-6.02911,12.0517,2.16062,29884.2,-10.6937,16439.4,-4.60701,-2.06709,-13.8312,-3.72284,-6.07568,0.543583,1.45631,29831.4,-11.398,-0.119162,2.78953e-05,1.00021,-12.2213,534.265,591.644,0.857605,39128.8,9.01808e-07,0.62344,109.31,85.7822,24.61,25.6548,0.959276,550.539,609.464,0.642324 
34,1.44,34,19274.3,0,5,101,125,0,5,135,-6.1071,-5.81062,-13.1956,-6.83864,-10.934,-152.363,5.96365,27554.4,-12.1941,16439.4,-5.5184,-5.22192,-12.0182,-6.24994,-10.3453,0.694611,14.8677,28222.2,-3.29002,1.36155,0.000300944,1.00006,10.9197,490.115,555.57,584.095,32164.6,8.44776e-07,0.617699,109.123,84.8277,25.7275,26.9089,0.956093,601.672,670.511,0.751867 
35,0.01,35,19850.5,0,5,101,125,0,5,135,-8.46469,-1.27092,-20.1858,-8.64937,-9.32353,-72.8683,-9.41271,28254.4,-20.173,16439.4,-8.18314,-0.989376,-19.6227,-8.36782,-9.04198,0.575312,-5.15429,28573.8,-15.9145,0.212533,-0.000103088,1.0003,-24.2517,404.838,468.632,0.46466,36585.3,8.81829e-07,0.493938,109.477,86.1088,22.7015,24.1816,0.938792,468.462,541.48,0.571142 
36,0.24,36,20703.5,0,5,101,125,0,5,135,-9.64751,-4.19143,-12.1002,-6.11591,-8.80211,-72.3817,-9.36958,29293.7,-21.794,16439.4,-9.36784,-3.91177,-11.5409,-5.83624,-8.52244,0.705433,-5.1396,29610.9,-17.564,0.196045,-9.91932e-05,1.00032,-26.2164,448.731,505.727,0.589568,37917.6,8.92405e-07,0.533813,110.163,86.0872,23.146,24.3384,0.951006,486.986,548.526,0.579155 
37,2,37,21363.3,0,5,101,125,0,5,135,-5.92729,-4.20139,-12.2621,-9.0135,-9.87145,-82.0895,13.8211,29905.8,-5.1167,16439.4,-5.61011,-3.88421,-11.6278,-8.69632,-9.55427,0.704675,18.6184,30265.6,-0.319396,1.02102,0.0003514,1.00001,18.2351,628.961,711.139,0.963284,39977.9,9.08284e-07,0.736322,108.602,83.6522,26.5937,28.0141,0.949297,642.871,726.719,0.752529 
38,0.08,38,18741.8,0,5,101,125,0,5,135,-7.76274,-6.92303,-8.74967,-2.03217,-9.46634,-92.3333,-1.87586,27806.4,-28.0475,16439.4,-7.40598,-6.56628,-8.03616,-1.67541,-9.10958,0.754946,3.52009,28211.1,-22.6516,-0.148767,7.12959e-05,1.00044,-23.6618,422.531,482.489,0.511525,36180.3,8.78562e-07,0.513926,109.818,86.1103,22.8418,24.183,0.94454,474.269,541.541,0.57684 
39,0.12,39,22476.5,0,5,101,125,0,5,135,-10.5061,-3.35648,-11.3853,-6.82683,-10.07,-128.793,3.61719,30939.1,-27.4423,16439.4,-10.0085,-2.85886,-10.39,-6.3292,-9.57242,0.734671,11.1438,31503.6,-19.9157,-0.873685,0.000202092,1.00034,-12.755,424.047,488.876,0.490696,40344.9,9.11055e-07,0.49976,109.953,85.8795,23.0196,24.4803,0.94033,481.683,554.941,0.567491 
40,0.48,40,18054.3,0,5,101,125,0,5,135,-6.69984,-7.19545,-14.3481,-10.7797,-10.1157,-74.1216,-4.56446,26628,-35.5013,16439.4,-6.41345,-6.90906,-13.7753,-10.4933,-9.82929,0.709506,-0.232801,26952.9,-31.1696,0.00618553,-4.93564e-06,1.00063,-37.6363,436.003,491.853,0.509532,34696.3,8.66382e-07,0.534506,109.687,85.401,23.2278,24.4258,0.950957,490.437,552.47,0.600809 
41,0.04,41,20472.3,0,5,101,125,0,5,135,-9.16002,-2.22545,-7.60616,-4.16241,-5.65146,-116.693,3.60954,28386.5,-18.848,16439.4,-8.70914,-1.77457,-6.7044,-3.71153,-5.20058,0.743128,10.4291,28898,-12.0284,-2.60399,0.000206182,1.00023,-4.00505,413.175,466.714,0.474955,36078.3,8.77736e-07,0.500298,110.374,85.952,22.854,24.0454,0.950453,474.778,535.397,0.574407 
42,0.02,42,22842,0,5,101,125,0,5,135,-0.782087,-4.47739,-5.2926,-10.1072,-12.4301,-168.469,-0.0481881,31524.6,-33.0664,16439.4,-0.131156,-3.82646,-3.99074,-9.4563,-11.7791,0.863255,9.79715,32263,-23.221,-0.542235,0.000173493,1.00039,-18.0681,429.342,493.327,0.468055,40742.2,9.14036e-07,0.503507,110.008,86.1983,23.3451,24.792,0.94164,495.402,569.161,0.580943 
43,0.96,43,23282,0,5,101,125,0,5,135,-7.10969,-5.85862,-10.7095,-4.80179,-10.9516,-136.507,6.29045,31635.1,-21.3179,16439.4,-6.58226,-5.33118,-9.65461,-4.27435,-10.4242,0.733788,14.2679,32233.4,-13.3405,-8.19694,0.000252875,1.00022,-1.74064,501.582,562.133,0.549724,40987.7,9.15868e-07,0.579773,109.368,85.212,24.6769,25.8677,0.953964,553.535,619.624,0.639445 
44,1.44,44,21724.4,0,5,101,125,0,5,135,-8.46292,-3.602,-11.2542,-6.90402,-8.75942,-147.293,1.79391,30021.7,-9.51563,16439.4,-7.89381,-3.03289,-10.116,-6.33491,-8.19031,0.715586,10.4017,30667.3,-0.907853,1.11699,0.000193779,1.00002,9.31227,565.02,614.433,0.538816,39428.6,9.04105e-07,0.651703,108.872,85.0109,26.2801,27.1366,0.968437,627.797,681.903,0.723689 
45,0.01,45,21094.5,0,5,101,125,0,5,135,-9.04073,-5.3821,-4.44912,-5.56313,-13.0523,-113.138,19.4004,29782.3,-36.3357,16439.4,-8.60359,-4.94496,-3.57484,-5.12598,-12.6152,0.897465,26.0121,30278.2,-29.7239,-2.69372,0.000490677,1.00053,-9.65657,433.498,495.338,0.533171,38650,8.98114e-07,0.515956,109.901,85.4683,23.0105,24.3728,0.944106,481.303,550.078,0.572915 
46,0.24,46,21709.7,0,5,101,125,0,5,135,-4.90345,-7.72287,-9.86728,-3.52406,-14.3963,-29.7197,9.24382,30378.7,-25.2255,16439.4,-4.78862,-7.60804,-9.63762,-3.40923,-14.2815,0.757392,10.9806,30508.9,-23.4886,-0.638196,0.000205624,1.00042,-17.2057,442.644,501.049,0.544366,39642.2,9.05735e-07,0.519956,109.553,85.6094,23.1976,24.4454,0.948957,489.161,553.358,0.574418 
47,2,47,20549.7,0,5,101,125,0,5,135,-12.2394,-3.51637,-10.7678,-8.47868,-13.5765,-120.944,-2.04032,28787.9,-15.9257,16439.4,-11.772,-3.04907,-9.83316,-8.01137,-13.1092,0.785184,5.02765,29318,-8.85777,-0.897527,9.7983e-05,1.00016,-5.60167,630.094,711.639,0.857696,38204.3,8.94649e-07,0.748479,108.708,84.427,26.7358,28.1423,0.950021,649.757,733.385,0.771594 
48,0.08,48,21473.1,0,5,101,125,0,5,135,-8.80928,-3.68762,-10.7477,-6.47043,-8.40882,0.558799,-5.60115,29769.9,-22.6468,16439.4,-8.81144,-3.68978,-10.752,-6.47258,-8.41098,0.718068,-5.6338,29767.4,-22.6795,0.171505,-0.000108161,1.00041,-32.8492,427.772,489.737,0.533723,38908.3,9.00111e-07,0.508501,109.75,86.0491,22.8537,24.2133,0.943849,474.765,542.901,0.564032 
49,0.12,49,21909.8,0,5,101,125,0,5,135,-7.84358,-7.97634,-14.7932,-8.65679,-10.6878,-101.628,4.24622,29908.6,-17.2386,16439.4,-7.45091,-7.58366,-14.0078,-8.26412,-10.2951,0.705728,10.1854,30354.1,-11.2994,-3.01885,0.000191707,1.0002,-3.37392,448.639,502.934,0.584316,38917.1,9.00179e-07,0.527685,109.464,85.9678,23.1576,24.2902,0.953369,487.474,546.357,0.573304 
50,0.48,50,20842.3,0,5,101,125,0,5,135,-3.49807,-7.54998,-17.0579,-7.42565,-8.72273,-40.1511,-6.53911,28789,-19.1958,16439.4,-3.34293,-7.39484,-16.7477,-7.27051,-8.5676,0.613428,-4.19268,28965,-16.8493,0.171747,-8.2721e-05,1.00032,-24.4119,457.091,516.652,0.576724,37550.6,8.89516e-07,0.546319,109.475,85.639,23.4129,24.6542,0.949652,498.285,562.853,0.595364 
51,0.04,51,23243.5,0,5,101,125,0,5,135,-5.69849,-1.0856,-5.86406,-15.0177,-9.5093,-87.3222,-9.86485,31514.1,-8.89582,16439.4,-5.36109,-0.748207,-5.18927,-14.6803,-9.1719,0.852371,-4.76174,31896.8,-3.79271,0.511301,-8.53134e-05,1.00006,-9.31299,446.129,505.898,0.554991,40685.6,9.13613e-07,0.519995,109.988,85.3961,23.2324,24.5058,0.948035,490.629,556.098,0.571729 
53,0.96,53,21539.1,0,5,101,125,0,5,135,-4.73161,-3.81074,-11.6187,-8.6724,-9.40488,-2.3434,5.90728,29816.5,-11.9484,16439.4,-4.72256,-3.80169,-11.6005,-8.66334,-9.39583,0.696193,6.04423,29826.8,-11.8115,-0.743492,0.000115783,1.00022,-8.12952,516.339,581.41,0.644656,39027.5,9.01029e-07,0.608093,109.467,86.0488,24.6176,25.8797,0.951233,550.882,620.2,0.648718 
54,1.44,54,21571,0,5,101,125,0,5,135,-6.8752,-8.01231,-8.12007,-8.00272,-6.46687,-159.346,1.41916,29521.3,-17.7923,16439.4,-6.25952,-7.39663,-6.88871,-7.38704,-5.85119,0.79609,10.7313,30219.7,-8.48012,19.3295,0.000202879,1.00015,0.555178,547.288,618.441,377.611,37059.2,8.8562e-07,0.656916,108.877,84.7158,25.6292,26.9532,0.95088,597.085,672.716,0.715627 
55,0.01,55,20406.1,0,5,101,125,0,5,135,-1.86466,-7.76532,-15.6214,-9.23915,-8.42862,-119.323,4.1728,28426.6,-24.9413,16439.4,-1.40362,-7.30428,-14.6993,-8.77811,-7.96758,0.633917,11.1461,28949.6,-17.9681,-1.07013,0.00021996,1.00034,-10.4156,444.327,492.489,0.601008,36605.8,8.81993e-07,0.530377,109.846,86.2698,22.978,23.9672,0.958729,479.945,531.92,0.572867 
56,0.24,56,19261.4,0,5,101,125,0,5,135,-5.67976,-4.39277,-11.3668,-5.17407,-7.85888,-139.216,-5.25791,28069.6,-32.5642,16439.4,-5.14185,-3.85487,-10.291,-4.63617,-7.32098,0.670634,2.87787,28679.8,-24.4284,-0.108861,5.73367e-05,1.00046,-26.4363,423.506,468.209,0.473389,36140.4,8.78239e-07,0.507034,109.928,86.1362,23.1499,24.1076,0.960272,487.149,538.171,0.583013 
57,2,57,19730.8,0,5,101,125,0,5,135,-1.16812,-6.18066,-11.58,-6.42914,-7.59517,-140.162,14.9151,27877.2,2.1672,16439.4,-0.626561,-5.6391,-10.4968,-5.88759,-7.05361,0.646615,23.1061,28491.6,10.3583,0.650217,0.000463204,0.999803,35.5361,633.277,718.173,1.08189,37242,8.87073e-07,0.760243,108.909,84.93,26.6029,28.0652,0.947895,643.313,729.371,0.772193 
58,0.08,58,19193.2,0,5,101,125,0,5,135,-4.3204,-1.99929,-11.6171,-8.74551,-7.32344,-205.948,-3.65784,27161.8,-17.9598,16439.4,-3.52466,-1.20355,-10.0256,-7.94977,-6.5277,0.657026,8.37775,28064.5,-5.92417,6.60319,0.000170553,1.00011,1.26874,424.141,477.097,0.533711,35439.6,8.72525e-07,0.515561,109.973,86.0409,22.7626,23.899,0.952446,470.986,528.9,0.572022 
59,0.12,59,19034.4,0,5,101,125,0,5,135,-10.699,-5.71689,-11.1402,-8.11206,-3.52834,-154.999,-4.52073,26829.4,-20.1934,16439.4,-10.1001,-5.11801,-9.94246,-7.51317,-2.92945,0.720743,4.53739,27508.8,-11.1353,-0.514156,9.42445e-05,1.00022,-8.82493,404.508,463.398,0.483336,34467,8.64469e-07,0.50083,110.104,85.952,22.5442,23.8809,0.944027,461.993,528.096,0.57138 
60,0.48,60,23141.3,0,5,101,125,0,5,135,-6.98755,-4.93218,-9.24512,-6.47588,-4.57966,-129.275,-1.54602,31045.9,-42.8404,16439.4,-6.48805,-4.43268,-8.24614,-5.97639,-4.08017,0.717825,6.00882,31612.5,-35.2855,-0.165378,0.000108604,1.00061,-36.3338,456.931,509.652,0.526494,39940.2,9.07999e-07,0.531468,109.723,85.9473,23.6753,24.7606,0.956167,509.514,567.722,0.592326 
