cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
39,100,0.85,0.01,10,39,9.7746e-07,8.44033e-07,1.16531e-29,17.5868,1.15808,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.2684,-3.06128e-29,-1.08758e-12,29216.1,43722.5,3.41324,60.0279,3.09801,54.4842,-0.958482,0.0066,1.15914,6.683e-06 
40,80,0.95,0.01,10,40,9.84377e-07,8.41043e-07,1.16119e-29,17.5245,1.17042,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.29917,-3.12476e-29,-7.80804e-13,28906.8,44417.6,3.4513,60.4823,3.13884,55.0066,-0.988612,0.0066,1.12719,6.683e-06 
41,80,0.95,10,0.01,41,1.01903e-06,8.20748e-07,1.13317e-29,17.1016,1.24159,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.47098,-3.4765e-29,-1.04742e-12,26864.3,40241.1,3.67037,62.7693,3.379,57.7864,-1.15713,0.0066,1.15213,6.683e-06 
42,80,0.95,10,0.01,42,1.06757e-06,8.5422e-07,1.17938e-29,17.7991,1.24976,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.49012,-3.67031e-29,-8.83243e-13,30286.9,46554.8,3.69548,65.7762,3.40709,60.643,-1.17593,0.0066,1.14824,6.683e-06 
43,80,0.95,10,0.01,43,9.98117e-07,8.41622e-07,1.16199e-29,17.5366,1.18594,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.33745,-3.22112e-29,-6.92194e-13,28966.5,44789.5,3.49913,61.3628,3.19052,55.9509,-1.02611,0.0066,1.12288,6.683e-06 
44,80,0.95,10,0.01,44,1.05609e-06,8.37949e-07,1.15692e-29,17.4601,1.26033,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.51471,-3.66669e-29,-1.31165e-12,28588.9,43322.2,3.72795,65.0901,3.44357,60.1249,-1.20008,0.0066,1.11343,6.683e-06 
45,80,0.95,0.01,10,45,9.77991e-07,8.4343e-07,1.16448e-29,17.5742,1.15954,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.27205,-3.06787e-29,-3.14318e-13,29153.6,44882.2,3.41773,60.0641,3.10283,54.5298,-0.962057,0.0066,1.1669,6.683e-06 
46,80,0.95,0.01,10,46,9.97086e-07,8.29399e-07,1.14511e-29,17.2819,1.20218,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.37699,-3.27223e-29,-9.64633e-13,27722.7,42009.5,3.54913,61.3357,3.245,56.0797,-1.06488,0.0066,1.15072,6.683e-06 
47,80,0.95,10,0.01,47,1.13216e-06,8.44103e-07,1.16541e-29,17.5883,1.34125,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.69681,-4.21541e-29,-1.98536e-12,29223.4,43873.2,3.97608,69.9324,3.72864,65.5803,-1.37927,0.0066,1.09505,6.683e-06 
48,80,0.95,10,0.01,48,1.03534e-06,8.64249e-07,1.19323e-29,18.008,1.19797,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.36679,-3.3832e-29,-9.56212e-13,31366.1,48541.4,3.53617,63.6795,3.23084,58.1811,-1.05488,0.0066,1.11109,6.683e-06 
