cyc,freq,time,wait time,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
51,3,0.01,100,51,3.92475e-07,5.45834e-07,7.53606e-30,0.719038,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.9183,-4.976e-30,3.30291e-14,20287.5,30628.3,2.04699,23.2811,1.816,20.654,0.346964,0.0066,1.2824 
52,3,100,0.01,52,4.34924e-07,5.77048e-07,7.96702e-30,0.753705,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.04815,-6.29394e-30,1.11133e-13,23970.8,37494.7,2.15589,25.9219,1.90439,22.8979,0.22313,0.0066,1.26841 
53,3,0.01,100,53,3.82784e-07,5.93237e-07,8.19053e-30,0.645245,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.623292,-3.29404e-30,-1.02721e-13,26045.5,37894.3,1.81478,22.4326,1.63587,20.2211,0.626724,0.0066,1.32966 
54,3,0.01,100,54,3.9223e-07,5.72257e-07,7.90087e-30,0.685409,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.787191,-4.2629e-30,1.74045e-13,23378.7,35227.9,1.94118,23.1464,1.73254,20.6587,0.471539,0.0066,1.33842 
55,3,100,0.01,55,4.14102e-07,5.95405e-07,8.22047e-30,0.695496,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.827076,-4.72864e-30,5.70458e-14,26332.1,39922.3,1.97293,24.4766,1.75734,21.8019,0.433689,0.0066,1.32138 
56,3,0.01,100,56,4.03673e-07,5.82576e-07,8.04333e-30,0.692911,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.816898,-4.55283e-30,-9.53856e-14,24666.3,36159.7,1.96479,23.8505,1.75096,21.2548,0.443352,0.0066,1.34362 
57,3,100,0.01,57,4.19196e-07,5.68042e-07,7.84267e-30,0.737968,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.98986,-5.72895e-30,-1.73106e-14,22865.8,34523.3,2.10646,24.9322,1.86397,22.0621,0.278766,0.0066,1.27497 
58,3,0.01,100,58,3.96166e-07,6.16639e-07,8.51362e-30,0.642461,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.611606,-3.34529e-30,-1.29124e-14,29250.9,42708.1,1.80605,23.2053,1.62929,20.9343,0.637788,0.0066,1.36608 
59,3,0.01,100,59,3.87161e-07,6.06144e-07,8.36873e-30,0.638727,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.595884,-3.1852e-30,-1.11639e-13,27782.7,40407,1.79428,22.6617,1.6205,20.4669,0.652624,0.0066,1.32165 
60,4,0.01,100,60,3.87495e-07,6.08994e-07,8.40807e-30,0.636287,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.585569,-3.13276e-30,2.65894e-14,28176.4,41914,1.7866,22.6708,1.61476,20.4904,0.662365,0.0066,1.32505 
61,4,0.01,100,61,3.92743e-07,6.02118e-07,8.31315e-30,0.652268,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.652562,-3.53846e-30,-1.39697e-13,27232.8,39663.8,1.83687,23.0456,1.65254,20.7329,0.599048,0.0066,1.30845 
62,4,100,0.01,62,4.75779e-07,5.65549e-07,7.80826e-30,0.841269,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.35488,-8.90002e-30,-1.2209e-13,22566.2,34824,2.42967,28.6316,2.13798,25.1943,-0.071285,0.0066,1.2189 
63,4,0.01,100,63,4.16745e-07,5.61905e-07,7.75794e-30,0.741665,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.00364,-5.77473e-30,1.84908e-13,22132.7,34309.9,2.11809,24.7991,1.87343,21.9345,0.265634,0.0066,1.28488 
64,4,100,0.01,64,4.48389e-07,5.76095e-07,7.95386e-30,0.778324,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.13734,-7.04092e-30,1.84271e-14,23852.2,36240.6,2.23308,26.8056,1.96859,23.6307,0.137805,0.0066,1.30402 
65,4,100,0.01,65,4.4955e-07,5.7672e-07,7.96249e-30,0.779494,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.14151,-7.08505e-30,-5.31555e-13,23930,33851.8,2.23675,26.8788,1.97167,23.6934,0.133814,0.0066,1.25406 
66,4,0.01,100,66,4.02194e-07,6.06785e-07,8.37758e-30,0.662827,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.696074,-3.86522e-30,2.08263e-13,27870.9,43157.4,1.87009,23.6442,1.67778,21.2128,0.557875,0.0066,1.29478 
67,4,100,0.01,67,4.43013e-07,6.01372e-07,8.30285e-30,0.736671,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.984986,-6.02463e-30,-8.72446e-15,27131.7,41048.9,2.10242,26.3445,1.86066,23.3152,0.283434,0.0066,1.29861 
