cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
23,4.99,0.01,23,17023.9,0,5,101,125,0,5,135,-8.48784,-9.55194,-21.3216,-9.55502,-3.32271,525.851,-53.4637,34314.6,-67.8328,16439.4,-10.5196,-11.5837,-25.3852,-11.5868,-5.35449,0.606003,-84.1944,32009.8,-98.5635,0.415835,-0.00150528,1.00167,-202.471,443.913,498.1,0.468257,45360.8,9.47346e-07,0.496362,111.383,86.2711,23.7374,24.9094,0.952948,512.19,574.565,0.572633 
24,1.49,3.51,24,18627.9,0,5,101,125,0,5,135,-8.33368,-5.90651,-21.0717,-11.738,-12.0459,508.081,-72.4353,36338.7,-71.0221,16439.4,-10.2968,-7.86964,-24.9979,-13.7011,-14.009,0.647293,-102.128,34111.8,-100.714,0.458002,-0.00171373,1.00161,-222.985,437.888,486.14,0.455703,48157.4,9.66428e-07,0.477412,111.338,86.4526,23.6917,24.7283,0.958081,510.222,566.242,0.556174 
25,2.99,2.01,25,22276.3,0,5,101,125,0,5,135,-10.0928,-12.4508,-29.8338,-11.3131,-11.1516,566.17,-58.0358,39443.6,-65.6059,16439.4,-12.2803,-14.6384,-34.2089,-13.5007,-13.3392,0.611118,-91.1227,36962.1,-98.6928,0.434841,-0.00141073,1.00145,-209.554,460.904,524.402,0.45542,51567.9,9.88724e-07,0.497235,111.397,85.9697,24.3064,25.6742,0.946724,537.041,610.39,0.579072 
26,4.49,0.51,26,17673.5,0,5,101,125,0,5,135,-6.04698,-14.535,-27.0484,-12.4152,-11.5289,561.709,-53.9878,35023.2,-83.2161,16439.4,-8.21731,-16.7053,-31.3891,-14.5855,-13.6992,0.628955,-86.8141,32561.3,-116.042,0.384023,-0.00152585,1.00194,-226.065,428.984,497.899,0.462388,46152.6,9.52827e-07,0.48504,110.867,86.3972,23.3903,24.947,0.937596,497.32,576.303,0.561861 
27,3.49,1.51,27,19249.2,0,5,101,125,0,5,135,-13.7809,-9.76599,-38.843,-12.5394,-12.075,571.635,-57.1216,36576,-74.2714,16439.4,-15.9896,-11.9747,-43.2604,-14.7481,-14.2837,0.568503,-90.5279,34070.5,-107.678,0.411975,-0.00152064,1.00172,-219.741,438.678,472.264,0.404844,48325.9,9.67554e-07,0.470425,111.554,85.7524,24.2335,24.9183,0.972519,533.823,574.974,0.572595 
28,3.99,1.01,28,17787.8,0,5,101,125,0,5,135,-8.93615,-9.15038,-23.8679,-15.9695,-7.54882,517.618,-58.3907,34453,-68.4646,16439.4,-10.9361,-11.1504,-27.8678,-17.9695,-9.54879,0.640288,-88.6403,32184.3,-98.7141,0.428013,-0.00157628,1.00167,-207.097,436.603,502.491,0.47773,45609.3,9.49073e-07,0.493523,111.345,86.0687,23.4849,24.9259,0.942191,501.353,575.324,0.565886 
29,0.49,4.51,29,20240.4,0,5,101,125,0,5,135,-14.8784,-10.6792,-16.1679,-20.8158,-13.3535,556.083,-44.1073,37754.7,-73.7558,16439.4,-17.027,-12.8278,-20.4651,-22.9644,-15.5021,0.769502,-76.6048,35317.3,-106.253,0.375314,-0.00124099,1.00164,-204.109,465.141,514.721,0.502507,50087.8,9.79172e-07,0.499712,110.776,86.4503,24.0344,25.0462,0.959604,525.088,580.891,0.564033 
30,0.99,4.01,30,19088.5,0,5,101,125,0,5,135,-13.5215,-8.52219,-29.2435,-15.1775,-11.6878,550.841,-44.6189,36897.3,-78.1837,16439.4,-15.6498,-10.6505,-33.5002,-17.3059,-13.8161,0.631553,-76.81,34482.9,-110.375,0.367056,-0.00127447,1.00174,-209.26,448.116,508.534,0.469291,48247.6,9.67031e-07,0.493645,111.305,86.2733,23.8589,25.1614,0.948233,517.445,586.248,0.569551 
31,0.01,4.99,31,16313.7,0,5,101,125,0,5,135,-7.90213,-12.4287,-20.1929,-12.2291,-14.4646,603.099,-65.0258,34402.1,-88.584,16439.4,-10.2324,-14.759,-24.8534,-14.5593,-16.7949,0.69392,-100.271,31758.7,-123.829,0.402911,-0.00180741,1.00212,-248.866,459.811,515.676,0.600291,45860,9.50809e-07,0.512136,110.745,86.4584,23.3805,24.5279,0.953223,496.906,557.099,0.553363 
32,1.99,3.01,32,17300.9,0,5,101,125,0,5,135,-6.03496,-11.8267,-17.5286,-16.8402,-12.126,511.078,-61.6003,35161.6,-66.9683,16439.4,-8.00966,-13.8014,-21.478,-18.8149,-14.1007,0.718153,-91.4677,32921.6,-96.8357,0.440446,-0.00159015,1.0016,-207.671,432.983,497.284,0.481782,46757.6,9.56972e-07,0.484885,111.333,86.6416,23.34,24.7766,0.942021,495.187,568.453,0.554412 
