cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
26,70,26,19927.7,0,5,101,125,0,5,135,-5.36975,-4.66436,-11.2135,-4.45495,-10.232,-192.603,19.4087,27774.2,-19.848,16439.4,-4.62557,-3.92018,-9.72517,-3.71077,-9.48781,0.690965,30.6644,28618.4,-8.59225,1.50658,0.000611906,1.00016,20.3537,567.171,617.912,0.847399,36168.5,8.78467e-07,0.673899,109.508,85.2293,25.3711,26.2311,0.967211,585.117,637.158,0.695056 
27,200,27,16742.2,0,5,101,125,0,5,135,-1.56538,-9.42881,-13.7001,-4.83666,-6.1278,-204.871,14.6811,24648,-8.04976,16439.4,-0.773793,-8.63723,-12.117,-4.04508,-5.33622,0.607983,26.6538,25545.9,3.92292,0.849894,0.000595855,0.999917,31.3613,592.356,654.147,9.03639e+06,32200.4,8.45089e-07,0.736592,109.607,85.1538,25.5275,26.5785,0.960455,592.354,654.145,0.736589 
28,80,28,19209.9,0,5,101,125,0,5,135,-3.64144,-5.83887,-6.75119,-5.5242,-3.43795,-143.298,13.5911,26785.5,8.00983,16439.4,-3.08776,-5.28519,-5.64384,-4.97053,-2.88428,0.741956,21.9654,27413.6,16.3842,0.52768,0.000457654,0.999676,41.6264,493.066,577.352,720.772,32138,8.44542e-07,0.631759,109.87,85.3005,25.3907,26.4138,0.961266,586.024,646.064,0.728575 
29,150,29,19239,0,5,101,125,0,5,135,-9.44773,-6.65844,-6.64486,-4.05104,-6.49553,-180.607,5.3342,26653.2,-8.97134,16439.4,-8.7499,-5.96061,-5.2492,-3.35321,-5.7977,0.819681,15.8889,27444.8,1.58336,0.89319,0.000330714,0.999969,17.7889,587.692,647.537,0.779286,34992.3,8.68839e-07,0.710015,109.502,84.8872,25.9355,26.962,0.961925,611.439,673.159,0.738407 
30,110,30,20410.3,0,5,101,125,0,5,135,-7.82789,-0.698742,-10.1033,-6.14362,-7.30485,-162.39,15.157,27980.7,-6.59091,16439.4,-7.20045,-0.0713003,-8.84844,-5.51618,-6.67741,0.687486,24.6471,28692.5,2.89915,0.876308,0.000490621,0.999945,28.1261,570.4,624.956,0.62136,36342.7,8.79875e-07,0.678568,109.883,85.3151,25.9863,26.9297,0.964968,613.84,671.547,0.729701 
31,180,31,19722.6,0,5,101,125,0,5,135,-6.11123,-5.46867,-10.9273,-7.4769,-7.92186,-207.113,9.67185,27247.4,13.7778,16439.4,-5.31098,-4.66843,-9.32684,-6.67665,-7.12161,0.718261,21.7755,28155.2,25.8815,0.412156,0.000441754,0.999501,52.8333,562.043,614.392,0.56869,35115.8,8.6986e-07,0.675551,109.789,84.7183,26.0381,26.9553,0.965974,616.29,672.824,0.740276 
32,190,32,19557.3,0,5,101,125,0,5,135,-4.4627,-1.3775,-8.916,-4.35733,-12.3194,-190.109,14.278,27567.2,-7.53258,16439.4,-3.72816,-0.642957,-7.44691,-3.62279,-11.5849,0.724451,25.3879,28400.4,3.57736,0.855366,0.000510554,0.999932,29.6807,601.056,644.509,0.878472,36128.8,8.78145e-07,0.70877,109.381,85.0333,26.0809,26.7533,0.974868,618.315,662.774,0.72899 
33,170,33,19620.5,0,5,101,125,0,5,135,-7.74111,-0.287571,-11.8267,-6.62348,-4.00178,-159.931,1.07589,27058.7,-6.18613,16439.4,-7.12317,0.330371,-10.5908,-6.00554,-3.38384,0.604421,10.4223,27759.7,3.16023,0.733211,0.000214494,0.999938,14.2145,568.931,638.898,0.718189,35095.6,8.69693e-07,0.693233,109.576,84.9209,25.6465,26.9209,0.95266,597.89,671.109,0.728352 
34,20,34,19976.5,0,5,101,125,0,5,135,-5.23114,-2.43373,-9.02108,-6.86194,-8.85573,-92.526,-4.79138,27949.7,-18.4671,16439.4,-4.87364,-2.07623,-8.30608,-6.50444,-8.49823,0.725497,0.615844,28355.3,-13.0599,-0.0409035,1.24106e-05,1.00025,-15.056,452.713,498.567,0.503228,35611.6,8.73935e-07,0.543619,109.955,85.4152,23.723,24.6478,0.962477,511.568,562.562,0.613844 
35,120,35,16635.3,0,5,101,125,0,5,135,-6.54299,-0.522879,-13.6884,-7.66608,-7.89639,-150.825,11.0572,24421.6,-31.0595,16439.4,-5.96024,0.0598774,-12.5229,-7.08332,-7.31364,0.61844,19.8714,25082.6,-22.2453,-2.91243,0.000452502,1.00048,-6.82297,547.614,617.284,0.612729,31657.3,8.40311e-07,0.691895,109.739,85.2745,25.4846,26.8008,0.950889,590.365,665.132,0.745718 
36,40,36,20734.5,0,5,101,125,0,5,135,-4.30602,-3.03231,-1.78966,-3.58496,-2.99081,-151.87,8.12319,28183.2,-10.2085,16439.4,-3.71922,-2.44552,-0.616078,-2.99817,-2.40402,0.949431,16.9984,28848.8,-1.33322,1.1039,0.000336587,1.00003,15.3986,525.183,590.001,0.672861,36444.7,8.80697e-07,0.632055,109.794,85.5986,24.7548,25.9844,0.952679,557.038,625.228,0.670093 
37,160,37,19858.8,0,5,101,125,0,5,135,-9.06267,-3.7408,-5.79461,-9.43995,-3.18837,-177.29,-6.26595,27171.5,-4.23519,16439.4,-8.37766,-3.05579,-4.42459,-8.75494,-2.50336,0.836829,4.09487,27948.5,6.12563,0.357767,8.37157e-05,0.999881,11.4456,604.232,665.326,0.964653,35252.9,8.7099e-07,0.727957,109.922,85.4354,26.0648,27.0942,0.962008,617.553,679.773,0.743885 
38,60,38,19050.9,0,5,101,125,0,5,135,-1.39604,-3.33033,-13.1981,-7.80571,-5.85418,-128.907,-7.02463,26536.5,-5.66519,16439.4,-0.897973,-2.83226,-12.202,-7.30764,-5.35611,0.573297,0.508687,27101.5,1.86813,0.184948,1.07254e-05,0.999963,2.75044,547.365,619.24,0.815977,34490.7,8.64667e-07,0.673316,109.901,85.483,24.9669,26.3063,0.949086,566.624,640.812,0.696889 
39,140,39,19875.8,0,5,101,125,0,5,135,-9.15833,-1.24439,-13.4052,-7.37349,-7.26662,-33.0891,-3.20366,27561.1,-11.746,16439.4,-9.03048,-1.11654,-13.1495,-7.24564,-7.13877,0.651031,-1.26993,27706.1,-9.81232,0.0973523,-2.61926e-05,1.00019,-13.0447,597.779,643.757,0.874361,35968.4,8.76844e-07,0.707472,109.475,84.9006,26.0164,26.7445,0.972775,615.26,662.34,0.728027 
40,130,40,18409.7,0,5,101,125,0,5,135,-6.98466,-2.70705,-17.6834,-11.4114,-5.99572,-91.3228,7.34503,26023.4,-14.9933,16439.4,-6.63181,-2.3542,-16.9777,-11.0586,-5.64287,0.602071,12.6819,26423.6,-9.65641,11.5897,0.00027418,1.0002,1.09425,587.08,652.408,1.86625e+07,33737.5,8.58327e-07,0.721034,109.836,84.8075,25.4137,26.5434,0.957442,587.087,652.416,0.721042 
41,50,41,19309.8,0,5,101,125,0,5,135,-7.35741,-7.56332,-6.11428,-2.571,-3.10959,-136.833,-2.58452,26869.5,-29.1461,16439.4,-6.82872,-7.03463,-5.05689,-2.04231,-2.58089,0.78521,5.41199,27469.3,-21.1496,-0.27104,0.00011257,1.00042,-19.9675,555.854,615.675,1.37771,34995.6,8.68866e-07,0.673292,109.686,85.4491,24.8232,25.8809,0.959132,560.119,620.255,0.678379 
42,30,42,17577.8,0,5,101,125,0,5,135,-3.22843,-6.33337,-11.2198,-9.5026,-4.5295,-131.878,1.64325,25319.1,-27.7502,16439.4,-2.71888,-5.82382,-10.2007,-8.99305,-4.01995,0.678783,9.3502,25897.1,-20.0433,-0.635995,0.000206273,1.00042,-14.7017,489.854,550.775,0.697084,32392.5,8.46766e-07,0.613419,109.662,85.6072,23.837,25.0347,0.95216,516.5,580.36,0.646578 
