cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
22,2.49,2.51,22,15789.5,0,5,101,125,0,5,135,-7.90725,-6.6028,-17.5845,-5.91941,-9.06339,335.149,-42.9499,29228,-58.6933,16439.4,-9.2022,-7.89775,-20.1744,-7.21436,-10.3583,0.632169,-62.5359,27759.1,-78.2794,0.399664,-0.00128898,1.00153,-156.471,503.705,530.258,0.499088,39061.9,9.01293e-07,0.573411,111.47,86.5824,25.0286,25.4701,0.982668,569.428,600.72,0.648917 
23,4.99,0.01,23,14883.1,0,5,101,125,0,5,135,-7.6256,-7.2024,-19.4478,-8.36952,-12.2382,355.279,-10.7313,28460.9,-60.0535,16439.4,-8.99833,-8.57513,-22.1933,-9.74225,-13.6109,0.648395,-31.4937,26903.7,-80.816,0.245139,-0.000669368,1.00163,-128.473,501.487,512.828,0.43177,38073.8,8.93629e-07,0.56749,111.185,87.0972,25.5704,25.6659,0.996276,594.345,609.995,0.673791 
24,1.49,3.51,24,15287.7,0,5,101,125,0,5,135,-7.80209,-10.6253,-15.6163,-5.7938,-14.5768,356.655,-17.1572,29282.3,-39.9245,16439.4,-9.18013,-12.0033,-18.3723,-7.17184,-15.9549,0.706898,-38.0001,27719.1,-60.7674,0.342587,-0.000783985,1.00119,-110.921,497.557,509.014,0.478427,39477.3,9.04477e-07,0.556402,110.857,86.5798,25.0194,25.112,0.996313,569.011,583.95,0.63731 
25,2.99,2.01,25,13274.7,0,5,101,125,0,5,135,-3.63651,-7.7535,-22.0589,-7.69149,-11.2829,378.585,-5.23992,26516.4,-55.2111,16439.4,-5.09929,-9.21627,-24.9845,-9.15426,-12.7456,0.591757,-27.3644,24857.1,-77.3356,0.22772,-0.000629465,1.00169,-120.167,520.721,543.657,0.609219,36490.4,8.81065e-07,0.603889,111.142,86.6138,24.842,25.1583,0.987428,560.97,586.105,0.650803 
26,4.49,0.51,26,16958.1,0,5,101,125,0,5,135,-1.02334,-6.0831,-13.1328,-6.16486,-14.7171,251.86,-17.5163,29786.3,-60.5294,16439.4,-1.99648,-7.05624,-15.079,-7.138,-15.6902,0.678896,-32.235,28682.4,-75.2481,0.263072,-0.000642618,1.00143,-122.533,544.636,567.945,0.665708,39615.5,9.05532e-07,0.61419,111.007,86.5878,25.2187,25.5152,0.98838,578.112,602.853,0.65194 
27,3.49,1.51,27,16801.5,0,5,101,125,0,5,135,-3.73714,-8.92928,-3.72768,-10.6286,-11.7272,358.737,-26.8553,29968.5,-37.8665,16439.4,-5.12323,-10.3154,-6.49986,-12.0147,-13.1132,0.8619,-47.8199,28396.2,-58.8311,0.403825,-0.000963226,1.00113,-118.417,536.325,548.645,0.540015,40346.8,9.11069e-07,0.595399,110.893,86.6485,25.5614,25.6233,0.997584,593.93,607.971,0.659565 
28,3.99,1.01,28,15056.7,0,5,101,125,0,5,135,-4.7586,-9.16995,-9.67655,-9.19471,-12.2032,274.383,-32.1842,27697.5,-63.6512,16439.4,-5.81876,-10.2301,-11.7969,-10.2549,-13.2633,0.770328,-48.2191,26494.9,-79.6861,0.335222,-0.00104105,1.00164,-143.842,483.164,508.732,0.453066,36927.5,8.84569e-07,0.56048,111.34,86.7739,24.8941,25.3312,0.982746,563.324,594.186,0.654047 
29,0.49,4.51,29,15577,0,5,101,125,0,5,135,-4.58924,-5.90026,-19.5138,-9.17604,-7.198,347.163,-31.1161,28763.5,-44.5476,16439.4,-5.93061,-7.24163,-22.1965,-10.5174,-8.53937,0.592167,-51.4043,27241.9,-64.8358,0.397844,-0.00107943,1.00129,-129.207,505.953,526.512,0.611059,38759.5,8.98962e-07,0.57414,111.071,86.7745,24.4758,24.75,0.988921,544.55,567.233,0.618242 
30,0.99,4.01,30,15262,0,5,101,125,0,5,135,-5.88171,-4.31841,-18.2867,-10.572,-6.29934,338.823,-12.2328,28447.6,-58.7949,16439.4,-7.19086,-5.62755,-20.905,-11.8811,-7.60848,0.607145,-32.0337,26962.5,-78.5958,0.253534,-0.000679364,1.00158,-126.349,508.605,510.671,0.517624,38205.4,8.94657e-07,0.569645,111.259,87.0801,25.0222,24.8505,1.00691,569.134,571.849,0.637663 
31,0.01,4.99,31,17263.5,0,5,101,125,0,5,135,-7.38543,-7.52272,-21.6191,-11.8707,-10.8297,333.677,-19.3559,30568.7,-50.4325,16439.4,-8.67469,-8.81198,-24.1976,-13.16,-12.119,0.638644,-38.8559,29106.2,-69.9326,0.316481,-0.000763422,1.00131,-122.775,485.038,510.574,0.450632,40574.2,9.12778e-07,0.545196,110.533,86.4969,24.9629,25.3956,0.982964,566.444,597.212,0.637203 
