cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,ENoEF3,EkHz3,tof,AR
150,15,0.4,4,7,3.8748e-07,7.86099e-07,1.08533e-29,0.492916,0.097262,-3.32836e-13,43362.4,56500.8,1.34866,22.0906,1.30062,21.3037,1.05344,17.255,0.0066,1.43905 
151,15,0.4,10,1,3.95554e-07,8.02616e-07,1.10813e-29,0.492831,0.0977226,2.17818e-13,46153.6,62525.6,1.34842,22.5507,1.30045,21.7484,1.05332,17.6155,0.0066,1.44064 
152,15,0.4,2,9,3.86172e-07,7.75974e-07,1.07135e-29,0.497661,0.0715931,6.74729e-13,41708.4,58060,1.36247,22.0293,1.31028,21.1855,1.06015,17.1412,0.0066,1.44601 
153,15,0.4,5,6,3.94902e-07,7.91438e-07,1.0927e-29,0.498968,0.0645836,-3.24614e-13,44252,58391.6,1.36631,22.5316,1.31295,21.6517,1.062,17.5134,0.0066,1.40016 
154,15,0.4,5,6,3.96658e-07,7.95552e-07,1.09838e-29,0.498594,0.0665849,4.33076e-13,44945.6,61466.1,1.36521,22.6306,1.31218,21.7516,1.06147,17.5956,0.0066,1.43531 
155,15,0.4,5,6,3.83885e-07,7.79659e-07,1.07644e-29,0.492375,0.100201,-2.2585e-13,42305.4,55497.6,1.3471,21.8843,1.29952,21.1114,1.05268,17.1012,0.0066,1.46658 
156,15,0.4,5,6,3.97783e-07,7.76581e-07,1.07219e-29,0.512224,-0.00553459,1.05502e-13,41806.2,56582.2,1.40529,22.7394,1.34024,21.6869,1.08095,17.4912,0.0066,1.42509 
157,15,0.4,5,6,3.94176e-07,8.11123e-07,1.11988e-29,0.485963,0.135345,3.46338e-13,47636.8,64841.6,1.32851,22.4533,1.28656,21.7443,1.04367,17.6391,0.0066,1.42075 
158,15,0.4,5,6,3.89256e-07,7.8685e-07,1.08637e-29,0.494702,0.0875754,4.36381e-13,43486.8,59194.4,1.35386,22.197,1.30425,21.3836,1.05596,17.3128,0.0066,1.46422 
159,15,0.4,5,6,3.9233e-07,7.96781e-07,1.10008e-29,0.492394,0.100099,4.53078e-16,45154.2,60114.9,1.34716,22.3658,1.29956,21.5756,1.0527,17.4772,0.0066,1.44922 
160,15,0.4,5,6,3.91496e-07,8.00984e-07,1.10588e-29,0.488768,0.119906,2.75474e-14,45872.6,60827,1.33663,22.3081,1.29222,21.5669,1.0476,17.4843,0.0066,1.47567 
161,15,0.4,5,6,3.94443e-07,8.03894e-07,1.1099e-29,0.490666,0.109523,2.60935e-13,46374.3,63096.6,1.34213,22.4813,1.29606,21.7096,1.05027,17.5925,0.0066,1.44033 
162,15,0.4,5,6,3.85945e-07,7.86946e-07,1.0865e-29,0.490433,0.11079,3.62525e-13,43502.7,59276.9,1.34146,21.9963,1.29559,21.2442,1.04994,17.2162,0.0066,1.43537 
163,15,0.4,5,6,3.94744e-07,7.81316e-07,1.07872e-29,0.50523,0.0312177,-1.90839e-13,42575.7,56213.5,1.38467,22.5424,1.32579,21.5839,1.07092,17.4346,0.0066,1.42274 
164,15,0.4,5,6,3.79979e-07,8.04674e-07,1.11097e-29,0.472216,0.212443,-1.32856e-13,46509.4,61050.9,1.2891,21.614,1.25911,21.1111,1.02457,17.1786,0.0066,1.46215 
165,15,0.4,5,6,3.83555e-07,7.97074e-07,1.10048e-29,0.481203,0.161757,1.26985e-13,45204.1,60589.4,1.31481,21.8367,1.27701,21.209,1.03702,17.2232,0.0066,1.42292 
166,15,0.4,5,6,3.88759e-07,7.91725e-07,1.0931e-29,0.491028,0.107539,2.54517e-13,44300.1,59963,1.34318,22.1583,1.29679,21.393,1.05078,17.3346,0.0066,1.44343 
