cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
24,3.5,24,4955.82,-0.188795,21.2687,10.4867,93.6293,0.906872,-1321.82,500,4.90083,1.94726,14.2327,3.53614,5.30207,-894.888,6952.1,14.4388,3189.65,46282.9,10.5357,7.58213,25.5024,9.17101,10.9369,0.599825,8207.27,107.414,4444.82,0.692478,0.977609,0.0426193,11852 
25,2.6,25,6365,-0.778775,21.1294,10.723,93.0932,-18.1298,2148.33,112.991,-2.82086,1.91681,4.46063,1.63745,1.81079,-687.629,3094.67,26.1422,6868.66,1.27529e+06,1.50895,6.24663,13.1203,5.96726,6.14061,0.60222,4059.13,97.5842,7833.13,0.387237,0.959627,0.0224339,10482.3 
26,2.2,26,8466.81,-0.587913,22.5655,11.1047,93.0113,0.332093,-107.683,436.749,-1.63824,-1.65328,11.2521,0.175969,0.105707,-495.724,1682.68,95.4303,9577,9321.42,1.4832,1.46816,17.495,3.29741,3.22715,0.351339,2377.98,146.934,10272.3,0.220158,0.90242,0.0256729,10801.3 
27,1.8,27,11290.5,-0.099651,27.2315,10.8744,92.8082,-0.345939,367.722,6.16102,-2.89824,-2.08152,5.73025,-2.24829,-1.09789,-389.446,628.493,63.3582,13076,13780.9,-0.446002,0.370716,10.6347,0.203947,1.35434,0.122383,1174.73,103.82,13622.3,0.0951583,0.866055,0.013845,12345 
28,9,28,10521.7,-0.123313,25.3603,11.2687,92.7895,0.307725,-438.764,499.11,5.29116,1.28867,4.8413,0.33883,-0.404274,-396.066,1327.34,49.6264,11906.2,13698.3,7.78508,3.78259,9.82914,2.83275,2.08965,0.626541,1882.86,90.7761,12461.8,0.155589,0.922194,0.0132409,12101.5 
29,2.1,29,10420,-0.0189808,26.1966,10.943,93.1293,-0.00667633,-45.792,500,-4.72838,-1.37753,3.61455,0.42066,2.1637,-496.765,1768.43,31.9119,11750.9,9341.98,-1.60038,1.75046,9.87055,3.54866,5.2917,0.476669,2465.19,83.5238,12447.6,0.194534,0.944027,0.0122096,12672.3 
30,3,30,5790.91,-1.06194,22.6135,10.8879,93.5045,0.760835,-62.2798,0.27707,3.83869,2.61792,7.88408,-0.436928,-0.249895,-766.072,5026.69,30.0199,5511.96,9557.61,8.66244,7.44166,17.5316,4.38682,4.57385,0.588425,6101.18,109.612,6586.45,0.530442,0.969518,0.0297445,11502.1 
31,10,31,12409,-0.196181,26.7759,11.4499,92.7379,0.173936,-69.3096,500,2.37463,-2.85073,4.39141,0.368039,3.62661,-321.938,83.3928,33.1352,14150,10372.7,4.40179,-0.823572,8.44573,2.3952,5.65377,0.579247,534.942,66.5833,14601.5,0.0427673,0.82114,0.00833008,12508.2 
32,5,32,3127.36,-0.0593261,20.5876,10.3337,93.9911,-0.00614795,-47.8186,500,5.3603,5.00662,16.8406,4.39161,4.7116,-1072.45,9710.3,-14.9234,68.5858,6935.16,12.1132,11.7595,30.3464,11.1445,11.4645,0.60501,11214.5,96.4999,1572.8,0.896859,0.985165,0.101546,12504.2 
33,0,33,11239.8,-0.00449548,25.5512,11.0456,92.7623,-0.0245225,-3.73588,500,-0.867015,0.932093,2.84275,-1.03157,0.184629,-288.271,166.824,45.6632,12997.6,9190.48,0.948149,2.74726,6.47308,0.783589,1.99979,0.50022,571.152,75.6134,13402,0.0494043,0.8119,0.0102862,11560.8 
