cyc,pulse time (ms),wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
28,0.22,0.59,28,18299.9,-0.117602,42.4838,11.6736,95.2273,0.303605,-393.748,4.49195,-18.5761,-13.5287,-25.9768,-11.8796,-4.86924,-477.64,17291.7,85.5679,6213.26,20036,-15.5685,-10.5211,-19.9616,-8.87201,-1.86167,0.64847,17961.6,135.193,6883.2,0.760898,0.986999,0.0349174,23605.9 
29,0.23,0.58,29,15822,-1.03523,39.7061,11.6122,94.7528,-2.18998,1270.11,473.848,-12.8868,-15.3078,-33.0589,-15.9934,-13.4535,-364.329,7205.81,85.0273,14196.9,105557,-10.5927,-13.0137,-28.4708,-13.6994,-11.1594,0.629942,7716.82,122.88,14708,0.390185,0.972889,0.0151569,19777.3 
30,0.29,0.52,30,16341.6,-1.13298,40.7647,11.8594,95.2945,2.06159,-325.843,260.387,-19.2504,-19.7879,-35.7039,-12.5704,-8.0613,-516.962,17778.5,83.6559,4408.9,37605.6,-15.9952,-16.5327,-29.1936,-9.31523,-4.80613,0.615078,18503.6,137.366,5133.99,0.814653,0.987175,0.0469726,22713.4 
31,0.26,0.55,31,15063.1,-0.0619884,38.9669,11.1977,94.6588,-0.0210599,-67.6045,500,-17.9881,-18.9673,-34.3578,-12.2857,-13.457,-425.237,2095.71,39.347,19228.5,14250.7,-15.3105,-16.2897,-29.0026,-9.60806,-10.7794,0.6419,2692.15,83.5275,19824.9,0.142077,0.9485,0.00770148,18948.6 
32,0.02,0.79,32,16074.4,-0.208378,40.1047,11.1214,95.0073,1.29152,921.226,0.156205,-23.8876,-16.753,-34.1323,-14.1889,-4.87767,-431.219,9972.08,78.0768,11693.5,53250.8,-21.1724,-14.0377,-28.7018,-11.4736,-2.1624,0.629883,10576.9,122.879,12298.3,0.511913,0.980074,0.0180728,20661.5 
33,0.28,0.53,33,16205.2,-1.05166,40.4076,11.9593,95.1491,0.0143247,-337.914,496.351,-14.8939,-21.8089,-35.9775,-13.7638,-9.07201,-550.837,19862.6,71.8988,2381.21,15888.8,-11.4254,-18.3404,-29.0405,-10.2953,-5.60353,0.611265,20635.2,129.129,3153.81,0.888632,0.989168,0.070133,23221.4 
34,0.13,0.68,34,17429.7,-0.221502,41.3158,11.7237,95.2217,-0.933146,1272.26,0.00217969,-24.9701,-19.1512,-35.5485,-18.8677,-23.1013,-433.149,21628,93.5603,1721.33,54415.6,-22.2427,-16.4238,-30.0937,-16.1403,-20.3739,0.71414,22235.5,138.563,2328.86,0.920909,0.989212,0.0987758,24145.2 
35,0.17,0.64,35,17100,-0.30309,40.7508,11.7066,94.4998,-0.202936,-183.511,500,-5.60494,-20.3832,-38.3422,-19.9693,-8.08644,-463.337,219.453,37.4969,22640.9,16742,-2.68744,-17.4656,-32.5072,-17.0518,-5.16893,0.565882,869.328,85.6358,23290.8,0.0435365,0.852959,0.0067275,19967.8 
36,0.19,0.62,36,18003.8,-0.0626652,43.5161,11.2295,95.0635,0.0968091,19.7526,0.0504511,-28.5789,-19.7018,-31.7568,-9.70259,-16.4344,-447.795,13674.6,84.1509,10135.8,15969.9,-25.7593,-16.8822,-26.1175,-6.88294,-13.6148,0.707389,14302.7,130.675,10763.9,0.618385,0.984263,0.0218742,23129 
37,0.3,0.51,37,17807.6,-0.817244,42.5528,11.8459,94.9826,-3.21115,12823.1,9.96253e-05,-23.097,-24.458,-32.1811,-6.08817,-12.4631,-441.006,19090,115.211,4432.17,1.35686e+06,-20.3201,-21.6811,-26.6273,-3.31128,-9.68624,0.673789,19708.6,161.03,5050.73,0.826349,0.985903,0.055473,23850.2 
38,0.16,0.65,38,18006.1,-0.11565,41.5862,11.7954,94.4995,0.104515,1.91369,1.4484e-08,-19.6534,-14.1062,-34.6405,-15.6019,-11.9174,-380.45,644.547,28.0919,22865.3,15974.8,-17.2578,-11.7106,-29.8493,-13.2063,-9.52186,0.633957,1178.16,67.6191,23398.9,0.0578516,0.908728,0.00529519,20365.3 
39,0.1,0.71,39,15092.7,-0.119323,38.9742,10.9281,94.7818,-0.871716,581.783,499.725,-17.1908,-14.1157,-38.6782,-8.89306,-16.0258,-397.631,6720.48,62.4949,13913.7,30374.4,-14.687,-11.6119,-33.6707,-6.38929,-13.522,0.578489,7278.2,103.807,14471.5,0.380166,0.975648,0.0130415,19144.8 
40,0.05,0.76,40,16350.2,-0.513655,40.2364,11.7147,95.2988,-0.390956,329.839,8.62348e-08,-18.4776,-16.5035,-36.1807,-19.7989,-18.1528,-425.455,20204.4,60.1567,2183.16,19542.1,-15.7987,-13.8245,-30.8228,-17.1199,-15.4738,0.668714,20801.1,104.36,2779.9,0.901237,0.991297,0.0646812,23080.6 
41,0.04,0.77,41,17900.9,-0.0114353,41.2501,11.865,95.3024,-0.0349708,7.5195,500,-19.3287,-21.7538,-30.1967,-13.7337,-21.3238,-464.38,22984.2,51.9163,587.751,15941.3,-16.4047,-18.8297,-24.3485,-10.8096,-18.3998,0.725781,23635.5,100.164,1239.09,0.958783,0.992638,0.129609,24651.6 
42,0.12,0.69,42,15896.4,-0.297715,38.3111,11.7339,95.1925,0.173427,709.804,0.0391806,-20.2137,-13.6399,-35.9921,-13.5731,-18.0704,-377.449,20647.3,66.4887,1082.14,18641.2,-17.837,-11.2632,-31.2388,-11.1964,-15.6937,0.641877,21176.7,105.704,1611.55,0.941263,0.99134,0.107802,22498.1 
43,0.03,0.78,43,17925.1,-0.0279728,42.3659,11.4677,95.1237,-0.00906931,36.6297,500,-21.4887,-14.0455,-34.9727,-8.73225,-21.8044,-456.772,19166.1,101.904,4324.97,15826.4,-18.6125,-11.1693,-29.2203,-5.85608,-18.9282,0.651252,19806.8,149.361,4965.64,0.829478,0.986975,0.0524995,23878.6 
44,0.25,0.56,44,17723,-1.12493,41.889,12.2357,94.2864,0.832818,1546.54,476.358,-21.0807,-11.6662,-30.5153,-16.6894,-18.8255,-437.361,209.098,2.14136,22992.2,58613.1,-18.3268,-8.9123,-25.0075,-13.9355,-16.0716,0.695971,822.539,47.5814,23605.6,0.0407619,0.908074,0.00369937,20179.1 
45,0.15,0.66,45,13274,-1.07852,36.63,11.2104,94.6769,-1.60917,1570.62,477.601,-10.9248,-18.0396,-15.732,-14.7509,-16.3236,-419.238,6257.26,44.6265,12632.1,95642.8,-8.28495,-15.3998,-10.4523,-12.1111,-13.6838,0.825597,6845.29,88.1837,13220.1,0.387051,0.977953,0.0121385,17685.7 
46,0.08,0.73,46,17962.2,0.0123326,42.1795,11.7137,94.1857,-0.174217,25.9395,499.966,-11.1272,-16.3688,-21.3858,-9.57211,-11.7696,-436.566,256.737,33.0615,23406.1,16231,-8.37824,-13.6198,-15.8879,-6.82317,-9.0207,0.7043,869.063,78.419,24018.5,0.042261,0.863625,0.00597842,20564.2 
47,0.24,0.57,47,14858.4,-0.573055,37.3337,11.4002,94.4394,-0.451347,933.736,497.955,-24.3858,-15.4964,-35.2888,-12.9056,-14.2568,-523.156,1205.06,41.442,18890.5,27574.3,-21.0916,-12.2022,-28.7004,-9.61146,-10.9627,0.652404,1938.84,95.7959,19624.3,0.10753,0.920416,0.00891208,18030.8 
48,0.01,0.8,48,17335.7,-0.0325098,42.1624,11.4613,94.5288,0.0175205,7.9139,500,-15.8031,-17.3924,-41.4971,-19.5687,-12.1658,-433.77,2416.51,35.6962,20705.8,15735.5,-13.0717,-14.6611,-36.0344,-16.8374,-9.43448,0.599791,3024.92,80.7632,21314.2,0.147539,0.955362,0.00693168,20502.5 
49,0.2,0.61,49,17828.4,-0.0546662,40.9981,11.7808,95.0362,-0.053511,94.1397,500,-15.0266,-18.623,-28.7358,-15.617,-11.3588,-480.485,21467.4,78.8296,1805.36,15887,-12.0011,-15.5975,-22.6848,-12.5915,-8.33336,0.681431,22141.3,128.75,2479.29,0.915902,0.989926,0.0873089,24174.3 
50,0.21,0.6,50,16664.6,-1.00528,39.5476,12.1911,95.1983,0.661819,125.525,500,-16.611,-20.8174,-21.18,-3.77854,-8.18532,-505.125,21270.1,83.8549,682.401,18399.3,-13.4304,-17.6367,-14.8188,-0.597899,-5.00468,0.712193,21978.6,136.335,1390.89,0.950667,0.989261,0.152947,23119.1 
51,0.11,0.7,51,14306.5,-1.11202,38.2772,11.4132,94.9329,0.600572,-5839.7,228.477,-17.6002,-7.67453,-35.4367,-15.583,-9.89248,-485.846,14558.2,54.4706,5555.96,128391,-14.541,-4.61529,-29.3182,-12.5237,-6.83324,0.567779,15239.6,104.948,6237.41,0.748718,0.988092,0.0300627,20354.3 
52,0.07,0.74,52,16853.6,-1.15216,42.2969,11.7442,94.3887,0.908874,477.326,38.6336,-11.388,-15.1751,-23.9551,-17.8871,-32.7497,-396.708,4083.01,19.4306,18791.7,30293.2,-8.88999,-12.6771,-18.9592,-15.3891,-30.2517,0.779972,4639.44,60.647,19348.1,0.22626,0.977635,0.00574097,20504.9 
53,0.09,0.72,53,17005.2,-0.138777,41.2859,11.4887,94.129,0.0880555,12.6178,1.34072e-07,-4.42561,-22.8735,-21.8934,-21.209,-13.7213,-429.827,1224.05,25.2378,21618.9,15476.9,-1.7191,-20.167,-16.4803,-18.5025,-11.0148,0.757227,1826.92,69.8951,22221.7,0.091124,0.937249,0.00576069,20048.8 
54,0.06,0.75,54,18175.3,-0.243017,43.255,11.4911,94.7717,0.42045,39.7743,6.98702e-08,-19.8407,-8.84135,-27.8094,-14.6477,-10.1951,-461.537,12437.3,76.541,11435.9,16725,-16.9345,-5.93518,-21.9971,-11.7415,-7.28889,0.655743,13084.7,124.493,12083.2,0.569075,0.983623,0.0186256,22992.9 
55,0.14,0.67,55,15706.4,-0.13459,40.4512,11.2488,94.7414,0.12823,-409.999,0.0747008,-27.3135,-16.1133,-31.8083,-9.77869,-11.3612,-401.573,13465.5,73.709,8717.19,16524.1,-24.7849,-13.5847,-26.7511,-7.2501,-8.83263,0.670567,14028.8,115.431,9280.44,0.648318,0.985805,0.022399,21638.7 
56,0.27,0.54,56,13151.9,-1.05489,36.054,11.2389,94.5853,3.21647,-2775.97,491.864,-16.1451,-15.2673,-20.9047,-18.2202,0.366201,-457.371,9666.6,70.3301,9178.98,303854,-13.2652,-12.3874,-15.1448,-15.3402,3.24615,0.713663,10308.1,117.849,9820.49,0.561416,0.980385,0.0216278,18360.9 
57,0.18,0.63,57,16080,-0.147822,40.5745,11.3405,94.3884,-0.910719,-2555.87,500,-18.3876,-24.0611,-29.2046,-15.0365,-11.1998,-464.375,4547.39,34.0677,17674.3,90752.6,-15.4635,-21.1371,-23.3565,-12.1124,-8.27578,0.709299,5198.72,82.3145,18325.7,0.257035,0.973038,0.00820639,20225.8 
58,0.22,0.59,58,15563.1,-1.04573,39.2685,11.6287,94.6694,-0.170538,1024.27,499.698,-15.401,-21.5547,-28.2638,-16.2354,-11.0997,-487.618,14984.7,88.2919,6053.8,20551.5,-12.3306,-18.4843,-22.123,-13.165,-8.02931,0.701573,15668.6,138.953,6737.73,0.739311,0.984718,0.0365996,21193.6 
59,0.23,0.58,59,17074.6,-0.184664,41.8855,11.3332,94.5007,0.0640609,235.063,2.33609e-12,-23.4603,-27.43,-19.5692,-6.86946,-14.9246,-504.468,9991.74,85.4927,12958.6,15943.1,-20.2838,-24.2535,-13.2162,-3.69296,-11.7481,0.819437,10699.3,137.905,13666.1,0.488429,0.977942,0.0182495,21905.5 
60,0.29,0.52,60,15161.5,-1.15066,39.0619,11.7715,94.9814,0.541299,786.233,383.958,-23.35,-22.4994,-26.77,-6.56183,-13.421,-488.043,17956.9,68.9596,3187.9,28822.8,-20.277,-19.4263,-20.6239,-3.48876,-10.3479,0.721915,18641.4,119.665,3872.43,0.854452,0.988891,0.0538586,21816.8 
61,0.26,0.55,61,15551.8,-1.02987,39.2339,11.5868,94.2107,-0.29244,-43.7923,494.339,-21.2571,-13.663,-20.8987,-16.7939,-6.2051,-459.936,3734.66,10.3405,17108.4,15215.5,-18.361,-10.7669,-15.1065,-13.8978,-3.309,0.75413,4379.76,58.1261,17753.5,0.231273,0.977302,0.00599502,18937.6 
62,0.02,0.79,62,15208.3,-1.1004,39.427,11.5437,94.3003,0.205933,-5.31598,5.19589,-23.7388,-21.7614,-30.2588,-15.2098,-14.2665,-508.941,9465.24,57.9071,11475.6,14851.8,-20.5342,-18.5567,-23.8495,-12.0052,-11.0619,0.722704,10179.1,110.784,12189.4,0.504555,0.98131,0.0164664,20174.4 
63,0.28,0.53,63,13765.4,-1.17902,37.2399,11.6195,94.8286,2.14446,1703.38,468.371,-18.1229,-25.6314,-35.7824,-15.0167,-18.272,-474.389,17481.2,65.3156,2453.38,132998,-15.1358,-22.6443,-29.8082,-12.0296,-15.2849,0.685909,18146.6,114.603,3118.76,0.876479,0.989069,0.063399,20704 
64,0.13,0.68,64,17230.5,-0.148387,40.6006,11.6785,94.788,-0.282362,727.392,1.85874e-05,-23.4142,-24.2494,-26.3298,-13.6841,-9.54981,-443.508,20664.8,64.4463,2156.72,22121.4,-20.6216,-21.4567,-20.7445,-10.8915,-6.75716,0.742213,21286.9,110.525,2778.78,0.903308,0.990996,0.0682672,23565.5 
65,0.17,0.64,65,17441.4,-0.117511,41.6284,11.696,93.9265,0.618164,-304.222,5.66575e-08,-22.9318,-18.935,-21.0748,-6.34766,-9.73594,-469.214,868.415,9.28947,22413.3,21971.8,-19.9773,-15.9804,-15.1657,-3.39314,-6.78142,0.75259,1526.53,58.039,23071.5,0.0746649,0.937616,0.00461266,20445.1 
66,0.19,0.62,66,15436.2,-0.142768,38.9158,11.2407,94.6002,-0.0407939,12.568,498.033,-26.022,-20.0477,-17.041,-12.2661,-14.0279,-447.922,13882.9,64.0769,7157.93,14256.9,-23.2015,-17.2273,-11.4002,-9.44566,-11.2075,0.842718,14511.1,110.614,7786.18,0.694452,0.986836,0.0255024,20895.8 
67,0.3,0.51,67,14982.2,-0.0693988,37.812,11.2441,94.8851,0.0637027,-29.945,500,-28.1527,-22.423,-29.6895,-10.6068,-5.4462,-502.53,16990,77.9507,3622.75,13902.5,-24.9884,-19.2587,-23.361,-7.44247,-2.28191,0.697915,17694.8,130.162,4327.59,0.832954,0.987291,0.0524966,21243.4 
68,0.16,0.65,68,15770.5,-0.726428,40.2357,11.6599,94.1422,-0.871984,192.088,1.26622e-08,-24.6105,-19.1244,-27.3602,-18.3509,-22.4733,-465.806,530.922,19.3544,21468.4,20724.8,-21.6775,-16.1913,-21.4941,-15.4178,-19.5402,0.772117,1184.26,67.7498,22121.8,0.061284,0.908996,0.00560995,19324.1 
69,0.1,0.71,69,16065,-1.11175,41.5084,11.4442,94.4731,0.43008,1613.54,146.276,-27.0145,-19.5662,-27.9329,-6.42505,-14.8598,-481.283,7673.31,58.847,14178.5,38054.2,-23.984,-16.5357,-21.8718,-3.39454,-11.8292,0.718202,8348.36,108.85,14853.6,0.406676,0.977692,0.0133196,20528.3 
70,0.05,0.76,70,14175.9,-0.0226116,36.3231,11.1555,94.687,-0.0128902,41.5989,500,-20.5395,-16.8262,-26.5763,-10.289,-11.1278,-394.963,16325.1,80.9496,3659.69,13208.1,-18.0525,-14.3392,-21.6023,-7.80206,-8.64085,0.69331,16879.1,121.985,4213.66,0.83008,0.987511,0.0506287,20334.3 
71,0.04,0.77,71,16136.7,-0.031555,38.7437,11.7246,94.8052,0.0136494,-19.7248,500,-16.316,-16.4983,-8.10065,-10.9815,-15.1853,-436.298,20916.8,62.4293,931.852,14796.2,-13.5687,-13.7511,-2.60615,-8.23429,-12.4381,0.948493,21528.7,107.759,1543.8,0.944464,0.991317,0.113931,22794.6 
72,0.12,0.69,72,15354,-0.487346,37.4607,11.782,95.042,2.37832,-576.919,0.445082,-14.6397,-19.2128,-33.8861,-11.2817,-0.0952502,-497.739,19568.4,134.305,1394.85,59034.1,-11.5055,-16.0787,-27.6178,-8.14762,3.03888,0.542075,20266.5,186.018,2092.97,0.921928,0.984191,0.140688,21982.7 
73,0.03,0.78,73,14138.5,-0.0687071,36.4668,11.082,94.5433,-0.0782028,91.8158,434.011,-28.3792,-21.1028,-14.362,-14.4126,-21.21,-454.695,16349.7,71.6478,3549.73,13389.3,-25.5161,-18.2397,-8.63581,-11.5495,-18.3469,0.895054,16987.5,118.889,4187.49,0.831854,0.987901,0.0497007,20421.2 
74,0.25,0.56,74,15916.4,-0.0793752,39.1062,11.6488,93.7788,0.0747704,14.4289,500,-15.0884,-16.2726,-28.45,-15.3107,-21.3727,-384.613,187.54,11.1622,21854.7,14864.5,-12.6665,-13.8508,-23.6064,-12.8888,-18.9509,0.711989,726.997,51.122,22394.1,0.0380823,0.890425,0.00418761,19090.2 
75,0.15,0.66,75,16391.9,-1.04567,40.8931,11.6071,94.2681,-0.725093,-29.8807,487.411,-17.1242,-24.5789,-27.3533,-14.4175,-9.08172,-404.879,6196.22,57.1392,15766.1,16156.7,-14.5748,-22.0295,-22.2545,-11.8681,-6.53231,0.71195,6764.1,99.2046,16334,0.335554,0.974976,0.0110642,20158 
