cyc,freq(MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
23,43.88,23,9953.01,-0.0323896,13.7833,17.0644,119.738,0.0062307,9.49883,500,-3.00974,-2.81483,-5.74465,-0.161811,-1.55727,-112.642,4213.48,61.4143,6160.1,7658.55,-2.30047,-2.10555,-4.3261,0.547467,-0.847996,0.521059,4355.91,66.9999,6302.53,0.535293,0.973788,0.0192066,8137.43 
24,43.955,24,10493.9,-0.207983,16.9443,14.8445,118.022,0.00487818,249.477,399.838,-1.49377,-3.18544,0.0123699,-1.03447,-0.905104,-46.2214,4399.01,58.3412,6489.25,8227.75,-1.20273,-2.8944,0.594457,-0.743428,-0.61406,1.12231,4457.46,60.6331,6547.7,0.531531,0.976749,0.0167722,8386.08 
25,44.23,25,6294.67,-0.183194,10.4141,15.1158,118.641,-0.16058,286.7,486.497,-1.73786,0.410289,-3.81844,-1.37936,0.963071,-99.4912,3062.69,39.0287,3763.44,6623.16,-1.11139,1.03676,-2.5655,-0.752889,1.58954,-0.422526,3188.5,43.9622,3889.24,0.577412,0.97644,0.0203976,5522.04 
26,44.06,26,10522.2,-0.174587,17.2246,14.4187,119.557,0.0812429,103.955,398.41,-1.02501,-2.32454,-4.90863,-0.0515794,-0.732053,-27.794,4386.85,54.969,6446.66,8359.76,-0.849998,-2.14953,-4.55861,0.123432,-0.557042,0.429585,4422,56.3472,6481.81,0.53206,0.978187,0.0157613,8311.08 
27,43.9,27,7408.97,-0.138063,12.0685,15.0254,120.286,0.405376,-1104.07,399.621,-3.79951,-2.15958,-3.69433,0.199706,-0.83485,-78.6472,3418.11,42.0397,4563.05,20472.7,-3.30429,-1.66436,-2.70389,0.694926,-0.33963,0.630477,3517.56,45.9396,4662.49,0.557012,0.977656,0.0178267,6315.06 
28,43.925,28,7476.74,-0.111396,11.2083,16.4434,118.189,0.125546,7.76739,3.84532e-10,-1.35707,-3.16907,-5.09389,-4.52088,-3.02939,-17.9358,3517.66,44.0521,4532.81,6031.44,-1.24414,-3.05613,-4.86802,-4.40795,-2.91645,0.704838,3540.34,44.9415,4555.49,0.564321,0.978268,0.0178487,6273.63 
29,44.31,29,7350.27,-0.0212629,11.8398,-15.012,118.993,0.00588702,23.1333,500,-1.34338,-0.129287,-8.82894,3.01571,-0.975578,-26.5026,2742.72,31.1657,5131.14,5790.45,-1.1765,0.0375932,-8.49518,3.18259,-0.808698,-0.170104,2776.24,32.4799,5164.65,0.472549,0.979937,0.0114521,5875.03 
30,43.82,30,8858.2,-0.255657,12.5211,17.6826,118.778,0.0869882,547.787,12.3102,0.317055,-2.94766,-2.78048,-1.05379,-0.12302,-42.8236,3840.56,47.6543,5483.99,8758.68,0.586704,-2.67801,-2.24118,-0.784145,0.146629,0.549058,3894.71,49.7777,5538.14,0.539613,0.978123,0.0162875,7217.59 
31,43.935,31,7454.09,-0.189105,12.1052,15.1472,120.481,1.03933,-603.588,198.388,-2.26128,-2.72056,-3.75897,0.608812,-3.87567,-37.3508,3331.99,35.1293,4693.43,26390.6,-2.02609,-2.48537,-3.28859,0.844001,-3.64048,0.689654,3379.22,36.9814,4740.65,0.542968,0.981208,0.0141665,6223.61 
32,44.13,32,7668.5,-0.18122,13.0409,14.3489,120.349,-0.778464,1073.05,356.185,-5.07761,-3.37286,-8.67294,-2.057,-3.11251,-56.9305,3349.24,44.0042,4889.47,33284.4,-4.71914,-3.01438,-7.95599,-1.69853,-2.75403,0.605006,3421.23,46.8272,4961.46,0.534725,0.976608,0.017089,6398.1 
33,43.84,33,9067.66,-0.197408,14.5352,15.091,121.055,0.275077,52.5388,114.316,-1.33039,-3.47516,-4.84935,0.233088,0.103489,-34.6627,4150.17,42.8398,5415.05,7611.03,-1.11212,-3.2569,-4.41283,0.451351,0.321751,0.448999,4194,44.5586,5458.88,0.561497,0.981747,0.0148136,7469.33 
34,44.27,34,5613.98,-0.114349,9.04029,-15.7096,119.884,0.0658314,65.1288,500,-3.10111,-0.453676,-7.74976,-0.471204,-2.70629,-31.4034,1859.74,18.564,4303.28,4762.78,-2.90337,-0.255937,-7.35428,-0.273465,-2.50855,0.446864,1899.45,20.1212,4342.98,0.421609,0.981799,0.00846232,4505.24 
35,44.21,35,5581.89,-0.0357347,9.26135,14.8283,119.781,0.00755852,46.2051,4.74746,-0.943876,-3.52045,-4.28574,-0.360737,-0.394747,-16.2603,2591.01,31.5996,3470.99,4481.91,-0.841489,-3.41806,-4.08096,-0.25835,-0.29236,0.541012,2611.57,32.4059,3491.55,0.554886,0.978747,0.0168096,4706.5 
36,43.91,36,8167.11,-0.172868,14.5077,13.5794,119.685,-0.355629,-119.733,483.869,-1.13067,-3.40261,-6.16876,-1.66958,-0.211516,-32.6774,3560.4,29.55,5041.98,7799.32,-0.924908,-3.19685,-5.75724,-1.46382,-0.005755,0.49269,3601.71,31.1703,5083.3,0.541473,0.985081,0.0111694,6651.69 
37,43.99,37,8586.25,-0.0552427,14.6723,13.9217,119.968,0.0375687,104.589,2.49778e-07,-5.8155,-3.88962,-2.31021,-0.660268,-1.44714,-63.2886,3925.37,53.8017,5198.19,6777.36,-5.41699,-3.49111,-1.51319,-0.261757,-1.04863,0.871017,4005.39,56.9399,5278.21,0.558451,0.975726,0.0194849,7172.32 
38,44.1,38,9252.13,-0.0112083,14.7268,14.808,119.644,-0.00508523,19.5697,500,-1.78671,-1.39894,-2.88046,-4.10495,-1.2604,-7.02135,3793.49,52.9467,5839.25,7102.28,-1.7425,-1.35473,-2.79203,-4.06074,-1.21619,0.749957,3802.36,53.2949,5848.13,0.520071,0.976059,0.0165102,7311.24 
39,44.29,39,6666.92,-0.190533,10.9463,15.2035,120.068,0.241391,227.582,487.421,-3.32491,-4.01405,-6.06538,0.776339,-1.3412,-22.3468,2347.94,30.9065,4815.75,7205.95,-3.1842,-3.87334,-5.78396,0.917051,-1.20049,0.559315,2376.2,32.0146,4844,0.449816,0.976965,0.0120283,5282.6 
40,43.92,40,9423.2,-0.0282645,15.8717,13.9547,119.006,-0.0225575,-9.29692,500,-3.11479,-2.91639,-2.6848,-2.20244,0.130653,20.6749,3819.62,53.5181,5999.51,7216.89,-3.24497,-3.04657,-2.94517,-2.33263,0.000468701,0.745423,3793.48,52.4929,5973.37,0.514196,0.976357,0.0159302,7377.5 
41,43.94,41,10120.2,-0.00751986,16.1601,14.7778,119.168,-0.00881151,-9.2193,500,-3.47213,-4.09599,-5.00396,-0.14302,-2.70569,-72.4835,4448.92,63.2487,6101.37,7776.73,-3.01572,-3.63958,-4.09114,0.313389,-2.24928,0.677414,4540.58,66.8429,6193.03,0.549947,0.974885,0.0194947,8256.39 
42,44.19,42,3024.1,-0.000889223,-4.923,16.656,119.184,-0.00229884,9.87383,3.8617e-11,-3.92661,-0.683147,-7.85141,-0.454259,-2.99076,-74.7555,1662.15,29.6595,1973.42,2670.04,-3.45589,-0.212431,-6.90998,0.0164568,-2.52005,0.471791,1756.68,33.3664,2067.94,0.586059,0.96783,0.0288646,2997.44 
43,43.96,43,9376.76,-0.0142395,14.5581,15.0871,121.865,-0.019235,2.25868,500,-4.9228,-6.71815,-3.11611,-3.83307,0.205537,-38.7325,4233.35,59.1206,5484.17,7151.42,-4.67891,-6.47426,-2.62833,-3.58918,0.449425,0.844673,4282.33,61.0412,5533.15,0.5633,0.975662,0.0199172,7602.22 
44,44.17,44,3757.63,-0.0020826,7.01806,13.8176,118.706,0.00707578,-18.8221,500,-4.23623,-2.77879,-3.95841,-2.62148,-0.396244,-6.80485,2022.21,35.0471,2370.14,3161.12,-4.19338,-2.73594,-3.87271,-2.57863,-0.353395,0.718021,2030.81,35.3846,2378.74,0.58727,0.970411,0.0266711,3458.06 
45,43.95,45,9845.15,-0.153557,16.5273,14.1399,117.452,0.112323,0.616395,8.20129e-08,-5.61837,-4.22144,-3.44089,-2.77395,-2.51654,-9.56651,4315.62,59.4233,5934.88,7609.75,-5.55813,-4.1612,-3.32041,-2.71371,-2.4563,0.817657,4327.72,59.8977,5946.97,0.548097,0.976352,0.0182157,7895.9 
46,43.97,46,9346.94,-0.0827712,15.2793,14.3028,121.274,0.766485,-1120.73,0.000246926,-0.294804,-6.28625,-4.16436,-3.44481,-0.774456,-40.0894,4057.35,61.1978,5703.82,35078.2,-0.0423725,-6.03381,-3.65949,-3.19237,-0.522024,0.72792,4108.04,63.1857,5754.51,0.543338,0.973789,0.0198257,7560.75 
47,43.945,47,8771.75,-0.0371129,13.7457,15.1731,119.989,0.0684237,-32.6587,500,-1.01361,-4.46116,-7.59554,-2.21906,-2.62318,-70.6466,3921.64,57.5288,5269.57,6862.23,-0.568762,-4.01632,-6.70585,-1.77422,-2.17834,0.560084,4010.97,61.032,5358.9,0.555051,0.974062,0.0205485,7226.31 
48,43.86,48,8842.65,-0.189372,15.3844,13.8825,118.48,0.581393,-4700.01,238.843,-3.61883,-1.66104,-4.57086,-0.545329,-3.06752,-20.4432,3823.37,54.064,5509.11,95906.1,-3.4901,-1.53231,-4.31341,-0.416604,-2.9388,0.660127,3849.22,55.0777,5534.95,0.536836,0.975571,0.0180006,7170.19 
49,44.25,49,5427.88,-0.0126836,9.43935,14.0023,119.942,-0.0034683,-5.23122,102.654,-5.22995,-2.82363,-4.72854,-1.68865,-0.979359,-86.3369,2488.9,45.5733,3566.67,4303.24,-4.68631,-2.27999,-3.64126,-1.14501,-0.435718,0.701249,2598.07,49.8545,3675.84,0.540861,0.96751,0.024375,4803.57 
50,44.02,50,9821.87,-0.152987,15.9026,14.5067,120.496,-0.0813635,89.9619,153.75,-0.826853,-0.215941,4.02342,-1.05355,-1.50368,68.0765,4331.03,49.4378,5878.6,7748.16,-1.25551,-0.644601,3.1661,-1.48221,-1.93234,2.47359,4244.95,46.0621,5792.52,0.549831,0.981365,0.0144369,7720.46 
51,43.93,51,7683.29,-0.062812,12.2873,15.2717,119.939,-0.0107149,11.8421,499.885,-2.6189,-3.14859,-4.59394,-0.690345,-5.70632,-55.6673,3424.64,56.4445,4793.43,6112.66,-2.26837,-2.79807,-3.8929,-0.339823,-5.3558,0.734363,3495.03,59.2048,4863.82,0.544964,0.971209,0.0219313,6413.32 
