cyc,det,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
22,-170,44.0813,22,13280.7,0.216503,25.6176,9.54513,117.192,0.388982,-109.04,498.423,2.22391,2.89712,3.77563,4.4759,-0.384448,-45.3819,4819.21,18.7064,6402.73,9340.78,2.50967,3.18287,4.34714,4.76166,-0.0986904,0.704329,4868.22,20.7067,6451.74,0.370871,0.992611,0.00587744,13126.4 
23,-205,44.0463,23,17901.7,0.0847648,33.6593,10.1256,117.107,0.0249134,-68.1311,1.93046e-12,2.23299,-0.982214,4.27082,-0.417057,1.41982,-1.50395,6706.97,29.6279,8921.75,11150.1,2.24246,-0.972744,4.28976,-0.407587,1.42929,0.348177,6708.59,29.6942,8923.37,0.370017,0.992314,0.00609261,18130.5 
24,-180,44.0713,24,15009,0.0952893,28.9347,9.68515,117.001,0.0947078,117.495,500,-5.18778,-0.231837,-0.226279,-4.5548,1.08293,-80.4892,5259.04,26.5955,7552.64,9484.87,-4.68096,0.274982,0.78736,-4.04798,1.58975,1.12957,5345.96,30.1433,7639.56,0.353462,0.990229,0.00721591,15124.6 
25,-200,44.0513,25,17473.2,0.00374372,33.5238,9.87743,117.199,0.0196719,-35.1181,500,-1.35931,-2.82623,1.18825,4.85426,-4.49038,-71.4563,6097.3,25.2925,8936.79,10801.8,-0.909374,-2.37629,2.08813,5.3042,-4.04044,-30.5256,6174.47,28.442,9013.95,0.348597,0.992003,0.00577887,17712.3 
26,-130,44.1213,26,16466.3,0.511968,30.6746,-9.76755,117.117,-1.28548,629.834,117.188,2.21547,-0.672429,-1.03845,1.18101,2.11992,-80.6428,5445.47,23.4611,8664.02,36109.9,2.72325,-0.164643,-0.0228808,1.6888,2.62771,1.00334,5532.55,27.0156,8751.11,0.330618,0.991527,0.00565461,16734 
27,-150,44.1013,27,11339.8,0.5131,19.2206,9.78793,117.321,-0.00811433,465.298,436.144,-0.580639,5.06542,-0.911005,3.82067,-4.48583,-39.6865,3684.06,16.7761,5248.71,6247.16,-0.330744,5.31532,-0.411215,4.07057,-4.23593,1.09329,3726.92,18.5254,5291.56,0.354941,0.991376,0.00640775,10500.1 
28,-40,44.2113,28,8369.74,0.609362,12.2225,9.22074,116.921,0.636206,-1245.81,499.979,1.39209,-1.74173,-2.02818,-0.227816,-1.86887,-64.1932,2175.97,9.41258,3603.19,29470.3,1.7963,-1.33753,-1.21977,0.176391,-1.46467,0.404781,2245.29,12.242,3672.51,0.323244,0.990549,0.00610304,6946.1 
29,-185,44.0663,29,14186.6,-0.00602555,26.4227,-9.48629,117.232,-0.0174998,-1.1176,500,-6.42915,-5.87625,7.71357,0.488633,3.48943,-54.6846,4676.08,31.7198,6589.94,8160.22,-6.08481,-5.53192,8.40224,0.832967,3.83377,-4.78567,4735.14,34.1301,6649,0.357481,0.987543,0.00936718,13245.9 
30,-35,44.2163,30,12548.3,0.535384,22.0766,9.59636,117.092,-0.258554,-185.108,21.5968,-6.69297,1.91598,-4.27866,3.13339,5.29998,-36.8123,4020.89,10.6707,5955.29,8454.58,-6.46118,2.14778,-3.81506,3.36519,5.53178,5.96426,4060.64,12.2933,5995.04,0.346049,0.99473,0.00376316,11734.3 
31,-160,44.0913,31,15350.4,0.52627,27.0488,10.1179,116.85,-0.143943,-374.327,2.51139,2.99688,2.83971,-0.543596,-2.72121,-1.28223,-19.4428,4943.49,6.75997,7811.55,10663.1,3.1193,2.96214,-0.298743,-2.59879,-1.1598,1.14759,4964.49,7.61695,7832.55,0.331183,0.997322,0.0017882,14990.1 
32,-45,44.2063,32,9173.47,0.301659,12.4913,10.9247,116.715,-0.73759,199.862,1.69887e-06,-2.51749,1.0959,-3.94434,4.38836,2.34596,-36.7077,2335.42,10.9992,4011.53,9241.23,-2.28635,1.32704,-3.48206,4.61949,2.5771,2.2638,2375.06,12.6172,4051.18,0.314138,0.990789,0.0057044,7560.57 
33,-50,44.2013,33,8881.54,0.638913,11.8241,10.1882,116.665,9.20563,148.106,144.332,1.92747,-2.28916,3.26483,-0.0490046,-2.85429,-33.3132,2261.79,6.10344,3677.01,48305,2.13724,-2.0794,3.68436,0.16076,-2.64452,-1.92773,2297.77,7.57179,3712.99,0.325907,0.994266,0.0037425,7050.39 
34,-220,44.0313,34,19299.3,0.559607,35.6745,-9.97209,116.776,0.225909,-1849.48,462.225,-3.41716,3.36735,-4.13689,-5.89098,-2.20644,-21.4667,6698.62,36.5323,10023.8,25182,-3.28199,3.50252,-3.86655,-5.75581,-2.07127,0.66299,6721.8,37.4785,10047,0.343265,0.990337,0.00682474,19582 
35,-80,44.1713,35,15738.1,0.365631,28.167,9.79937,117.125,-0.183816,38.2953,500,-1.88668,1.83059,1.03188,0.115673,0.301981,-105.468,5801.56,21.5134,7065.14,9214.49,-1.22258,2.49469,2.36009,0.779776,0.966084,0.561164,5915.45,26.1621,7179.03,0.391632,0.99232,0.00666831,15104.6 
36,-60,44.1913,36,10552.3,0.0185438,15.5043,10.5909,116.882,0.0710727,19.4094,500,-3.11929,7.6687,-0.0948739,5.17763,0.987953,-113.302,2992.93,4.46334,4313.71,5390.3,-2.40586,8.38213,1.33199,5.89106,1.70138,0.910609,3115.28,9.45736,4436.07,0.354273,0.994715,0.00391186,8793.45 
37,-190,44.0613,37,14183.6,0.606438,25.8443,9.28904,117.058,-1.02033,-124.095,465.743,1.62958,-1.67229,2.39741,-4.34006,-2.60224,-111.34,4921.31,17.4637,6474.79,11936.9,2.33065,-0.971218,3.79956,-3.63899,-1.90116,10.9684,5041.55,22.3712,6595.03,0.373914,0.992294,0.00620986,13483.2 
38,-155,44.0963,38,13360.3,0.133635,23.0779,10.1472,116.87,-0.24987,49.0488,1.07165e-08,-3.77224,1.02032,0.765534,-0.543528,1.17396,-47.541,4235.16,-0.0909163,6261.22,8022.19,-3.47288,1.31968,1.36424,-0.244175,1.47332,-2.09931,4286.5,2.00455,6312.56,0.34662,0.999182,0.000584619,12366.6 
39,-25,44.2263,39,13990.5,0.506054,25.4526,9.68491,117.127,0.119438,245.394,300.348,1.32121,0.296117,-2.39954,-1.27674,-1.34285,-63.1177,5563.36,11.6783,6069.48,8978.7,1.71865,0.693553,-1.60467,-0.879304,-0.945412,-0.577557,5631.52,14.4604,6137.64,0.41753,0.995527,0.00432128,13487.7 
40,-30,44.2213,40,15353.2,0.31361,27.7355,9.89846,117.041,0.493773,-201.927,500,3.26958,5.43261,-3.62951,-0.364339,1.27623,-51.2765,5231.04,10.7918,7294.08,12182.9,3.59245,5.75548,-2.98376,-0.0414643,1.59911,1.37665,5286.42,13.052,7349.45,0.359774,0.995698,0.00326075,14693.7 
41,-75,44.1763,41,13760.3,0.534402,24.5032,9.72493,117.027,1.23845,-819.63,205.714,9.64919,0.305954,7.29042,5.18771,3.21417,-24.84,4929.51,15.5437,6256.79,40801.1,9.8056,0.462366,7.60324,5.34413,3.37058,0.714012,4956.33,16.6385,6283.62,0.381275,0.99416,0.00485407,12999.4 
42,-135,44.1163,42,14364.2,0.539251,25.5779,9.80772,116.958,-1.69784,1736.83,9.37637,1.08116,0.0776506,2.10147,4.13818,-0.316052,-30.4059,4998.04,21.4543,6696.55,104161,1.27262,0.269109,2.48438,4.32964,-0.124594,0.698173,5030.88,22.7945,6729.39,0.368711,0.992133,0.00620108,13644.5 
43,-10,44.2413,43,13752,0.590388,22.5443,10.2804,116.967,0.682544,-920.284,7.61385,3.15514,-1.46582,11.5137,1.44668,-2.11084,6.35944,5475.9,16.2158,5470.43,27992.5,3.1151,-1.50587,11.4336,1.40664,-2.15089,0.0703318,5469.04,15.9355,5463.56,0.438843,0.994927,0.00534413,12462.4 
44,0,44.2513,44,11980.4,0.566795,19.8843,9.85482,117.059,-0.234049,-12.2915,472.407,1.67138,5.61843,14.57,-0.424205,-0.886374,-62.7022,4427.89,5.49212,4962.2,6472.67,2.0662,6.01325,15.3596,-0.0293861,-0.491555,0.329805,4495.6,8.25586,5029.91,0.411162,0.996797,0.00301443,10933.9 
45,10,44.2613,45,14181,0.0462285,24.5905,10.3404,117.012,-0.173171,30.6864,500,2.0449,0.258282,8.83666,0.457418,-0.484416,-42.0378,4838.6,28.5636,6641.61,8450.46,2.3096,0.522983,9.36606,0.722118,-0.219715,0.262576,4884,30.4165,6687,0.363302,0.989219,0.00830938,13443.4 
46,20,44.2713,46,15553.4,0.440663,28.3292,9.75408,116.994,-0.239397,-3.93221,500,3.72995,-0.436178,11.3296,-3.78754,0.35983,-27.4776,5908.15,20.1567,6906.04,9025.93,3.90296,-0.263159,11.6756,-3.61452,0.532849,0.0456224,5937.83,21.3678,6935.72,0.400784,0.993742,0.00564319,14815.5 
47,30,44.2813,47,15674.5,0.000995911,29.2995,9.93801,117.039,0.0229508,-9.78939,494.739,-5.47361,-1.00933,-0.442192,-2.93149,-5.80681,-32.6137,5716.98,20.6426,7452.14,9486.13,-5.26825,-0.803967,-0.031473,-2.72613,-5.60145,0.997819,5752.2,22.0801,7487.36,0.375078,0.993327,0.00540298,15336 
48,40,44.2913,48,17535.5,0.517537,33.0418,9.75153,117.024,0.244694,-263.892,42.3125,5.07812,0.535291,1.69003,0.0309676,1.44851,-38.1738,6325.63,24.5991,8664.72,12591,5.31849,0.775662,2.17077,0.271338,1.68888,0.787703,6366.85,26.2817,8705.95,0.363603,0.992828,0.00553024,17510.5 
49,-10,44.2413,49,12323,0.477213,21.4469,9.95708,117.172,-2.49286,617.651,213.542,-1.70284,-0.422115,-0.185485,1.55742,-0.0134398,-22.993,5178.99,10.9259,4919.46,57074.6,-1.55806,-0.277335,0.104077,1.7022,0.131341,-0.0181694,5203.82,11.9394,4944.29,0.451231,0.996001,0.00442858,11532.5 
50,0,44.2513,50,11950.1,0.147356,19.8324,10.3831,116.919,0.0445515,-220.704,1.52468e-06,-2.07396,2.84649,5.88879,-4.20994,-5.60946,-24.4468,4389.48,2.69318,4977.32,7023.55,-1.92002,3.00043,6.19666,-4.056,-5.45553,3.77321,4415.88,3.77073,5003.72,0.408098,0.998508,0.00138626,10820.6 
51,10,44.2613,51,12919.5,0.650021,21.421,9.65949,116.866,-1.22668,859.247,235.914,0.812911,-3.74701,-0.454151,-0.99017,-2.82256,-33.2413,4295.56,16.8668,5702.04,41047.7,1.02222,-3.5377,-0.0355285,-0.780859,-2.61325,0.994024,4331.46,18.3319,5737.94,0.370971,0.992648,0.00585085,11676 
52,20,44.2713,52,15141.7,0.522514,27.8825,9.67068,117.023,0.0972214,653.173,196.337,1.27875,-6.75082,4.14969,-2.4686,-4.53523,-46.7565,5442.65,8.35144,7134.96,10845,1.57316,-6.45641,4.73852,-2.17418,-4.24082,1.72236,5493.14,10.4123,7185.45,0.373924,0.996694,0.00266226,14690.5 
53,30,44.2813,53,15917.4,0.443243,29.837,-9.71297,116.95,-0.714356,65.9127,0.00227949,1.31553,0.471169,5.09221,-4.21868,0.404925,-79.9182,5988,13.3491,7542.6,10966.9,1.81876,0.974393,6.09866,-3.71545,0.908149,-0.00232674,6074.31,16.8716,7628.9,0.383496,0.995163,0.00405736,15839.3 
54,40,44.2913,54,16613.1,0.448454,32.4262,9.56036,117.015,0.768025,-1304,430.876,1.03384,-0.565074,1.42054,2.82334,-5.35341,1.83309,6126.59,15.7974,8330.3,42694,1.0223,-0.576617,1.39745,2.8118,-5.36495,2.9682,6124.61,15.7166,8328.32,0.364889,0.995529,0.00346425,16784.9 
55,-132.5,44.1188,55,15810.5,0.0461752,30.4185,9.6938,116.77,0.00780666,46.8949,499.999,6.00021,-3.8887,6.8899,0.00241132,-1.14378,-1.00894,5341.42,25.9929,8041.88,9610.94,6.00656,-3.88235,6.9026,0.00876434,-1.13743,0.126049,5342.51,26.0374,8042.97,0.341647,0.991543,0.00592806,15637.5 
56,-137.5,44.1138,56,11841.7,0.00184512,22.5583,9.44663,116.914,-0.00292536,-12.0788,500,4.89146,-0.335718,8.22677,2.77814,1.77343,-22.5034,4145.2,11.0495,5642.68,6938.26,5.03316,-0.19402,8.51017,2.91984,1.91513,0.532004,4169.5,12.0414,5666.98,0.365002,0.994971,0.0038989,11423.2 
57,-142.5,44.1088,57,13112.5,-0.0122446,22.89,10.6445,116.624,3.93394e-05,4.14582,7.86714e-12,2.36468,-2.00713,-7.19864,4.24148,-3.35632,1.60407,4275.62,17.671,6667.91,7931.75,2.35458,-2.01723,-7.21884,4.23138,-3.36642,-0.199834,4273.89,17.6003,6666.18,0.333726,0.992845,0.00484006,12806.6 
58,-147.5,44.1038,58,11563.6,0.503651,19.8704,9.76648,116.829,0.660906,-2026.52,395.593,1.95772,-3.21416,3.29138,2.60505,3.29753,-8.20149,3947.42,12.9279,5213.5,49917.5,2.00937,-3.16252,3.39467,2.65669,3.34917,0.588394,3956.28,13.2894,5222.35,0.3718,0.994156,0.00466575,10640.9 
59,-152.5,44.0988,59,12291.1,0.464301,21.2824,10.0707,116.568,-0.17322,324.418,489.122,-2.22682,0.183873,7.48556,-2.34182,-2.08611,-49.9657,4181.07,7.20683,5970.24,8806.48,-1.9122,0.498494,8.1148,-2.0272,-1.77149,-1.79589,4235.03,9.40918,6024.2,0.354514,0.996127,0.00286892,11946 
60,-157.5,44.0938,60,13919.2,0.464431,25.9048,9.6383,117.108,-0.343059,-219.264,129.143,1.73763,-1.24821,-6.93737,-0.547876,-1.27841,-3.0092,4910.79,4.18139,6776.95,10576.5,1.75658,-1.22927,-6.89947,-0.528928,-1.25947,0.154534,4914.04,4.31402,6780.2,0.361521,0.998466,0.0011707,13592.7 
61,-162.5,44.0888,61,13302.5,0.143489,24.6687,9.75638,117.009,-0.104182,1006.97,492.811,-0.0644196,-0.71815,12.3782,-1.34822,-0.674568,12.4746,4401.83,2.63412,6447.2,11250,-0.142969,-0.796699,12.2211,-1.42677,-0.753118,-0.342751,4388.36,2.08428,6433.73,0.347633,0.99917,0.000596415,12623.5 
62,-167.5,44.0838,62,13579.6,0.0388296,26.1155,9.58365,116.999,-0.0403098,-105.002,499.96,0.127221,-0.476517,5.09307,2.62751,-0.162379,11.0148,4745.53,5.52384,6510.54,8285.29,0.0578637,-0.545874,4.95436,2.55815,-0.231736,0.270642,4733.63,5.03834,6498.64,0.362678,0.998141,0.00142613,13051.9 
63,-172.5,44.0788,63,14609,0.406354,28.3908,9.23693,116.888,-0.229966,-342.682,1.02051e-06,1.14091,-0.659053,6.12456,2.61648,2.82134,27.4533,5098.19,5.99616,7128.97,11102.3,0.968043,-0.831919,5.77883,2.44361,2.64847,0.474988,5068.55,4.7861,7099.33,0.358057,0.99835,0.00124034,14155.7 
64,-177.5,44.0738,64,14774.9,0.442714,28.6445,9.45135,117.015,-0.80397,-162.846,1.04144,1.84281,2.21,2.25956,0.116396,-2.76613,6.95403,5344.79,6.80052,7222.88,13075.1,1.79903,2.16621,2.17198,0.0726081,-2.80992,0.361164,5337.28,6.49401,7215.37,0.366246,0.997875,0.0016552,14573 
65,-182.5,44.0688,65,13767.7,0.355655,27.1072,9.33168,116.92,-0.139677,-911.124,0.0873133,-2.35696,1.5125,5.79935,1.26284,0.767865,-19.8548,4786.67,1.23122,6909.19,12377.4,-2.23194,1.63752,6.04939,1.38786,0.892885,0.217992,4808.11,2.10637,6930.64,0.351488,0.999234,0.000559541,13679.3 
66,-187.5,44.0638,66,15587.7,0.496264,29.9042,9.4405,116.804,-0.909552,785.772,447.693,2.2676,-2.53409,8.79308,3.57636,4.44516,-72.7373,5489.8,12.8555,7705.87,32456,2.72561,-2.07608,9.70909,4.03436,4.90317,0.496838,5568.34,16.0616,7784.42,0.358499,0.994978,0.00378642,15532.4 
67,-192.5,44.0588,67,18535.8,0.00432547,36.3605,9.98038,116.974,-0.0203923,23.4316,2.96507e-05,1.88144,0.686097,1.14487,0.840218,-0.337911,10.2625,6804.7,24.7045,9634.6,11828.9,1.81682,0.621477,1.01563,0.775598,-0.402532,0.734615,6793.61,24.2522,9623.52,0.355469,0.993792,0.00462083,19111.7 
68,-197.5,44.0538,68,16240.4,0.232744,33.3518,-9.37805,117.08,-0.285585,-124.644,14.0663,-2.15078,-7.93562,-2.62331,-3.48527,-1.74092,-47.5993,5988.65,17.5619,8204.35,11340.7,-1.85106,-7.6359,-2.02387,-3.18555,-1.4412,0.874586,6040.05,19.6599,8255.76,0.363696,0.994336,0.00436755,16607.4 
69,-132.5,44.1188,69,16910.5,0.493602,31.2338,9.89695,116.965,-3.86106,2452.6,442.301,-1.21141,2.58925,2.48637,1.33919,2.98824,-32.2223,5860.32,27.2839,8566.11,318331,-1.00851,2.79214,2.89217,1.54208,3.19113,0.692618,5895.11,28.7042,8600.9,0.348735,0.991551,0.00611017,16904.3 
70,-137.5,44.1138,70,11156.4,0.492635,19.2676,9.67778,116.732,-0.1463,-107.324,149.454,2.378,-0.780266,1.04961,-0.311702,-1.09764,-67.6235,3517.16,4.85817,5195.9,6581.26,2.80381,-0.354459,1.90122,0.114105,-0.671833,0.498734,3590.18,7.83882,5268.92,0.347401,0.996194,0.0027331,10334.4 
71,-142.5,44.1088,71,12495.7,0.421941,21.0717,10.1291,116.488,0.646538,-588.343,500,0.320333,4.37008,-0.210272,2.26642,1.14033,-60.4508,3889.31,27.0627,6002.23,19330.9,0.700976,4.75072,0.551014,2.64706,1.52097,0.945824,3954.59,29.7272,6067.51,0.337394,0.987016,0.00894449,11721 
72,-147.5,44.1038,72,13258,0.376937,22.3529,10.149,116.581,-0.1674,249.638,500,-7.17817,-0.000112602,2.23878,-0.905132,1.82937,14.4923,4161.66,19.1614,6310.49,8745.39,-7.26943,-0.0913667,2.05627,-0.996386,1.73811,1.45066,4146.01,18.5226,6294.84,0.339742,0.992242,0.00539118,12203.4 
73,-152.5,44.0988,73,12921.3,0.579215,21.6615,9.92547,116.804,-1.43848,240.819,2.37192,-1.41773,-2.48097,5.75992,2.00604,-0.661073,-13.3184,4190.83,11.4726,5924.93,18275.9,-1.33387,-2.3971,5.92764,2.0899,-0.57721,-0.598022,4205.22,12.0597,5939.31,0.356147,0.995006,0.00372642,11807.5 
74,-157.5,44.0938,74,15061.8,0.306976,26.9266,9.89429,116.882,-3.88211,2475.59,499.917,5.62602,2.71977,11.2764,3.67698,-5.06867,-113.546,5090.85,16.8881,7074.55,321527,6.34099,3.43474,12.7063,4.39195,-4.35371,0.435783,5213.46,21.8928,7197.17,0.361398,0.992705,0.00557221,14425.8 
75,-162.5,44.0888,75,13844,0.529997,25.4423,9.45691,116.798,8.27746,-2461.52,13.1537,1.77362,2.01879,-0.418844,0.286513,-1.00607,1.27556,4861.24,22.3571,6424.7,671112,1.76559,2.01075,-0.434908,0.278481,-1.0141,1.1669,4859.87,22.3009,6423.32,0.3715,0.992034,0.00635488,13081.7 
76,-167.5,44.0838,76,15246.3,0.474768,28.8597,9.60973,116.641,0.29711,-535.586,489.819,3.47179,-0.13108,5.53546,1.12137,2.09561,-34.8135,5319.31,17.3464,7713.52,14208.3,3.691,0.0881311,5.97388,1.34058,2.31482,0.554468,5356.9,18.8809,7751.12,0.350621,0.99387,0.00446713,15278.3 
77,-172.5,44.0788,77,12730,0.464239,24.2482,9.23237,116.796,-0.0859408,-1059.25,18.9372,0.148631,-3.02902,-2.58335,-1.3623,-3.13076,-47.6174,4708.76,11.0653,5830.98,10251.1,0.448466,-2.72918,-1.98368,-1.06246,-2.83093,0.756836,4760.18,13.1642,5882.41,0.387332,0.995184,0.0041055,12289.7 
