cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
37,43.15,37,14233.5,-0.761919,33.6808,12.1147,122.051,0.27149,139.172,12.4432,-6.79899,-4.20564,-11.6705,-8.71191,-4.03801,189.955,9532.17,9.95509,7661.81,14512.8,-7.99509,-5.40174,-14.0627,-9.90801,-5.23411,0.669902,9265.74,0.0872753,7395.38,0.592978,0.999984,2.17388e-05,15625.8,-0.00295737,1.01325,11.4393,10.0928,121.993,88.2011,0.72183,11.7521,11.6123,121.048,138.007,0.944518,-49.8057 
38,43.205,38,11779.8,-0.0421134,27.696,11.7169,121.631,-0.0781242,68.1764,499.997,-8.98248,-5.42767,-10.7756,-7.71338,-3.14449,138.791,7951.57,19.9204,6491.63,10737.3,-9.85641,-6.3016,-12.5235,-8.58731,-4.01842,0.696674,7756.9,12.7105,6296.96,0.58888,0.997141,0.00370454,13172.3,-0.00272321,0.772154,11.9613,10.6297,121.584,88.4583,0.586593,12.0579,11.8753,120.65,138.143,0.933866,-49.6852 
39,43.28,39,15648.3,-0.179968,36.0263,11.4612,121.866,-0.754456,219.216,500,-8.25801,-4.667,-3.31131,-2.21521,-3.8417,157.146,9960.56,21.6862,8362.41,18825.3,-9.24752,-5.65651,-5.29031,-3.20471,-4.8312,0.812601,9740.15,13.5228,8141.99,0.58177,0.997576,0.00305018,16742.3,-0.00270392,1.05059,11.3578,10.1587,121.776,88.7368,0.79274,11.7293,11.625,120.692,138.463,1.08384,-49.7266 
40,43.36,40,15086.4,-0.0985069,35.1208,11.3708,121.763,-0.104663,-22.5348,0.000436509,-8.6941,-10.3863,-17.6938,-4.86275,-5.824,156.199,9891.7,20.5341,7852.25,13077,-9.67765,-11.3699,-19.6609,-5.84629,-6.80754,0.631558,9672.61,12.4199,7633.17,0.595709,0.997758,0.00298833,16237.1,-0.00266543,1.08444,11.3399,9.85651,121.48,88.1842,0.764977,11.5388,11.406,120.688,137.764,0.791972,-49.5793 
41,43.22,41,13131.8,-0.180452,31.2352,11.5962,121.743,0.308694,-298.671,1.59666,-7.1909,-3.444,-15.873,-5.20437,-11.3484,160.839,8589.11,23.6555,7465.6,14792.5,-8.20366,-4.45676,-17.8985,-6.21713,-12.3612,0.635745,8363.52,15.3002,7240.01,0.573239,0.996809,0.00387781,14589.9,-0.00304349,0.847684,11.7864,10.5535,121.549,88.6788,0.681532,12.0076,11.9441,120.536,138.753,1.01315,-50.074 
42,43.24,42,14253.3,-0.57166,33.7182,11.609,122.172,0.180443,188.982,5.51885e-10,-6.15828,-10.4433,-10.8402,-6.76598,-4.75849,184.026,9743.37,26.4109,7255.5,13852.6,-7.31704,-11.602,-13.1578,-7.92474,-5.91726,0.713456,9485.26,16.8512,6997.39,0.611833,0.996901,0.00441658,15503,-0.00274731,1.02077,11.4125,10.2131,122.03,88.7508,0.674797,11.748,11.8373,120.936,138.603,1.09372,-49.8522 
43,43.26,43,16826.8,-0.346757,38.0309,11.6997,121.699,0.610254,26.2742,500,-7.09592,-4.11294,-12.7905,-7.89,-1.37477,187.093,11059.2,22.7125,8535.48,15006.6,-8.27399,-5.29102,-15.1466,-9.06808,-2.55285,0.624456,10796.8,12.9934,8273.07,0.60278,0.997898,0.00288481,17911.6,-0.00285581,1.12653,11.7082,10.2929,121.551,88.4592,0.774627,11.7925,12.0531,120.533,138.32,1.01828,-49.8603 
44,43.24,44,15740.9,-0.673519,35.8584,12.0211,122.022,-0.883205,-236.749,0.00746462,-9.30389,-5.32392,-5.86951,-4.08898,-3.81564,129.994,10412.5,36.8342,8009.53,20839.2,-10.1224,-6.14245,-7.50658,-4.90752,-4.63418,0.774666,10230.2,30.0813,7827.2,0.603139,0.994881,0.00702976,16961.6,-0.0028436,1.04869,11.8976,10.2656,121.754,88.5366,0.723091,11.9417,12.079,120.916,138.387,0.838127,-49.8503 
45,43.06,45,17190.3,-0.810042,39.6361,11.7383,121.843,-0.690824,-850.238,400.861,-4.08195,-4.87814,-9.99562,-9.57077,-8.1842,114.069,11218,24.817,8707.81,34266.4,-4.80021,-5.5964,-11.4321,-10.289,-8.90247,0.721305,11058,18.8914,8547.81,0.600681,0.997019,0.0040547,18409.2,-0.00285299,1.18702,11.4464,10.1651,121.743,88.6487,0.82961,11.6419,11.6132,120.794,138.446,0.949393,-49.7975 
46,43.23,46,13896.4,-0.0260477,32.1644,11.7111,121.976,-0.00460997,26.7488,1.47631e-10,-8.72828,-3.4401,-8.5941,-9.8882,-2.58275,143.949,9279.04,22.9317,7405.75,12266.2,-9.63469,-4.3465,-10.4069,-10.7946,-3.48915,0.730892,9077.14,15.4538,7203.85,0.594347,0.997029,0.00393616,15272.4,-0.00295475,0.920928,11.8923,10.4578,121.704,88.87,0.659669,11.9697,12.2582,120.77,138.985,0.933592,-50.1152 
47,43.08,47,14619.1,-0.0367141,35.4446,11.0449,122.014,-0.00316831,3.96681,500,-10.639,-8.02971,-9.59248,-8.0461,-4.56213,177,9532.7,12.8173,7931.41,12744.5,-11.7535,-9.14423,-11.8215,-9.16062,-5.67665,0.751422,9284.44,3.6225,7683.15,0.584223,0.999318,0.000867773,15891.9,-0.00294524,1.04553,11.2332,10.0168,121.921,88.6644,0.785018,11.3531,11.4902,120.889,138.175,1.03241,-49.5102 
48,43.12,48,15157.3,-0.183358,35.9705,11.2784,121.882,0.0157535,104.393,1.47555e-08,-12.5492,-9.5864,-15.6997,-6.24651,-4.39154,218.346,10394.8,24.8772,7583.57,13260.1,-13.9241,-10.9613,-18.4494,-7.62138,-5.76641,0.674743,10088.6,13.5345,7277.32,0.617149,0.997658,0.00341429,16347.1,-0.00283129,1.12203,11.2613,10.0525,121.687,88.013,0.745296,11.4282,11.511,120.737,137.643,0.950313,-49.6296 
