cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
25,43.4,25,18896.8,0.0167569,41.4047,11.4687,122.069,-0.0130893,-41.4244,499.955,-5.25484,-4.48493,-6.89486,-2.85855,-3.35642,125.769,11976.2,35.4911,9271.17,15475.8,-6.04677,-5.27687,-8.47872,-3.65048,-4.14836,0.692813,11799.8,28.9576,9094.77,0.601377,0.995724,0.00583104,19621.3,-0.0025342,1.23026,11.6115,10.2984,121.953,89.5651,0.857713,11.8246,11.7974,121.033,139.553,0.920251,-49.9882 
26,43.235,26,19129.8,-0.0253654,41.987,11.654,121.675,0.0127678,-40.7785,0.00369483,-9.84984,-5.08949,-10.7921,-7.94194,-0.791617,202.667,12212,47.0275,9520.7,15945.8,-11.126,-6.36563,-13.3444,-9.21808,-2.06776,0.683196,11927.7,36.4994,9236.44,0.600256,0.994673,0.00722679,19871.1,-0.00280917,1.22506,11.8831,10.3312,121.576,89.7633,0.86682,11.8604,11.9681,120.444,139.911,1.13178,-50.1474 
27,43.14,27,18124.9,-0.109395,40.8504,11.5279,121.903,0.0452338,61.8655,500,-13.8101,-3.12236,-13.2963,-8.292,-6.29529,127.21,11866.7,27.9362,9012.96,15421.1,-14.6111,-3.92337,-14.8983,-9.09301,-7.0963,0.699765,11688.2,21.3279,8834.53,0.60605,0.996817,0.00442744,19285.9,-0.00295956,1.23072,11.6445,10.2273,121.705,89.1663,0.838524,11.8661,11.7229,120.869,139.105,0.835573,-49.939 
28,43.19,28,11225.1,-0.094461,25.9943,11.6715,122.028,-0.355744,1329.79,24.2834,-6.65909,-4.78757,-9.15313,-0.676316,-4.20876,110.929,7240.29,15.4732,6611.89,25276.2,-7.35758,-5.48606,-10.5501,-1.37481,-4.90725,0.644488,7084.7,9.71063,6456.31,0.560626,0.997607,0.00276297,12637.1,-0.00267986,0.652969,12.3903,10.98,121.533,89.6738,0.550632,12.4165,12.5697,120.765,140.12,0.768007,-50.4462 
29,43.22,29,16442.5,-0.499217,37.1757,11.766,121.913,1.23094,-275.989,499.987,-7.35577,-6.49641,-12.3832,-8.85628,-0.998138,125.694,10626.2,17.9351,8389.37,25298.4,-8.14724,-7.28788,-13.9661,-9.64774,-1.7896,0.658017,10449.9,11.4055,8213.07,0.596688,0.998094,0.00255161,17513.1,-0.00267507,1.07975,11.7202,10.3389,121.76,89.6536,0.776874,11.8583,11.7023,120.645,139.602,1.11445,-49.948 
30,43.34,30,19828.7,0.0721226,43.3043,-11.643,121.827,0.00635066,-42.7439,3.61485,-10.49,-2.50038,-14.7485,-2.52349,-2.96075,163.518,12234.6,37.912,10293.7,16422,-11.5196,-3.53001,-16.8077,-3.55312,-3.99038,0.573417,12005.3,29.4176,10064.3,0.581072,0.99573,0.00535556,20660.6,-0.0030423,1.22765,11.8106,10.4267,121.831,89.5874,0.924353,11.9904,12.0957,120.733,139.521,1.09792,-49.9338 
31,43.25,31,18893.3,0.0327993,41.092,11.6924,121.828,-0.030631,-36.3159,1.66789e-10,-6.92738,-9.18156,-15.3726,-8.24099,-4.99292,127.368,11980.5,26.8203,9409.13,15676.9,-7.72938,-9.98356,-16.9766,-9.04299,-5.79492,0.657228,11801.9,20.2038,9230.49,0.597863,0.997013,0.00401582,19740.1,-0.00278159,1.18811,11.913,10.4967,121.735,89.5443,0.822636,12.0765,12.2389,120.705,139.572,1.02978,-50.0276 
32,43.16,32,18264.6,-0.799749,40.7868,11.9358,121.967,3.83336,-2690.17,440.041,-4.08999,-7.55353,-10.2164,-4.98586,-6.23493,91.5412,11949.2,28.2912,8782.86,351551,-4.6664,-8.12994,-11.3692,-5.56227,-6.81134,0.688849,11820.8,23.5358,8654.46,0.613632,0.996528,0.00498463,19263.6,-0.00273478,1.20093,11.7701,10.4449,121.847,89.0603,0.770648,12.1222,12.2206,120.824,138.79,1.02298,-49.7295 
33,43.04,33,22300.7,-0.804399,48.1388,11.9576,121.83,1.673,1255.6,449.973,-5.87664,-7.77512,-14.4974,-5.30984,1.84628,139.823,13789.1,43.9565,10998.6,87120.6,-6.75706,-8.65555,-16.2583,-6.19027,0.965849,0.55934,13592.9,36.693,10802.5,0.594018,0.995298,0.00621822,22883.1,-0.00275014,1.35888,11.848,10.5185,121.755,89.4497,0.980558,11.9591,12.1204,120.78,139.404,0.974606,-49.9544 
34,43.2,34,9776.7,-0.695257,24.0173,12.3454,122.181,-0.406281,-296.019,500,-3.69216,-6.76549,-8.58945,-6.82452,-5.81537,107.566,7011.8,19.5916,5407.53,13567.2,-4.36948,-7.44281,-9.94408,-7.50183,-6.49268,0.721851,6860.93,14.0038,5256.66,0.602806,0.996441,0.00488342,11381.7,-0.00289671,0.656615,12.2029,11.0016,121.77,89.4709,0.458148,12.3726,12.6806,120.981,139.826,0.788487,-50.3555 
