cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
30,43.22,30,14170.4,-0.0286073,31.7909,11.6055,121.929,0.00879679,21.0363,499.999,-4.13428,-9.46479,-7.25666,-3.02436,-6.31334,151.908,9488.95,24.4139,6859.03,12016.6,-5.0908,-10.4213,-9.16971,-3.98089,-7.26987,0.744808,9275.89,16.5225,6645.97,0.618746,0.996893,0.00455877,14991.4,-0.00226705,0.94606,11.643,10.5293,121.677,89.6873,0.606218,12.0806,12.1737,120.892,139.789,0.784838,-50.1014 
31,43.03,31,18472.3,-0.0207538,39.9643,-11.5044,121.757,-0.0414565,-40.0993,492.187,-3.04145,-5.45409,-10.4586,-2.86343,-5.03866,82.8923,11949.1,32.6087,8569.81,15021,-3.5634,-5.97604,-11.5025,-3.38538,-5.56061,0.616428,11832.8,28.3026,8453.55,0.619427,0.995832,0.0061296,19102.9,-0.00218016,1.22147,11.5511,10.3614,121.554,89.3537,0.797387,11.7222,11.8171,120.677,139.154,0.876509,-49.8004 
32,43,32,18178.2,-0.694117,40.1933,11.7832,121.848,0.835844,-1703.3,48.6109,-2.27188,-6.98106,-13.3071,-10.5803,-8.11078,146.534,11613.4,30.5672,8726.93,61763.3,-3.19457,-7.90375,-15.1524,-11.503,-9.03347,0.676142,11407.8,22.955,8521.4,0.608865,0.996491,0.00493778,18736.2,-0.00229931,1.18337,11.6709,10.2871,121.732,89.2138,0.815892,11.5882,11.9117,120.729,138.945,1.00233,-49.7313 
33,43.41,33,18616.2,-0.329017,40.6033,11.5754,122.192,0.373681,178.764,1.3204,-6.65311,-8.25072,-8.6913,-9.57657,-0.901488,124.566,12192,32.9616,8505.08,17474.6,-7.43747,-9.03508,-10.26,-10.3609,-1.68585,0.735426,12017.3,26.4906,8330.37,0.626507,0.996157,0.00582379,19181.4,-0.00206345,1.27448,11.4608,10.1404,122.078,90.1428,0.778445,11.5597,12.0769,121.236,140.33,0.841964,-50.1874 
34,43.44,34,18714.7,-0.658234,40.5853,11.8554,121.774,-0.400943,-338.058,234.869,-7.25871,-3.67339,-9.04956,-5.48797,-1.7449,135.155,12090.9,33.4135,8652.37,20075.6,-8.10975,-4.52443,-10.7516,-6.33901,-2.59593,0.667346,11901.4,26.3924,8462.8,0.62053,0.996134,0.00571205,19179.4,-0.00214288,1.20824,11.8297,10.3564,121.672,88.7363,0.801272,11.5654,11.9859,120.589,138.57,1.08316,-49.8336 
35,43.165,35,13675.1,-0.0177922,30.3464,11.7125,122.465,-0.00363972,-36.632,0.0587271,-7.67898,-6.48178,-9.0155,-8.53059,-4.84838,123.011,9022.48,25.1005,6792.98,11574.8,-8.45355,-7.25635,-10.5646,-9.30515,-5.62294,0.743593,8849.95,18.7103,6620.45,0.608514,0.996314,0.00517909,14543.5,-0.00226157,0.884873,11.9319,10.5204,122.186,89.2867,0.6054,12.0137,12.0873,121.414,139.565,0.771237,-50.2786 
36,43.36,36,16948.8,-0.659978,38.1691,11.695,121.779,0.706999,-106.418,1.61528,-7.5392,-7.14585,-1.66594,-2.09774,-5.73156,107.915,10701.1,24.7788,8424.74,16980.6,-8.21871,-7.82536,-3.02496,-2.77725,-6.41107,0.89295,10549.7,19.1729,8273.38,0.597217,0.99683,0.00425078,17664.8,-0.00239892,1.0933,11.545,10.4198,121.61,89.628,0.796658,11.6287,11.8192,120.747,139.656,0.862261,-50.0277 
37,43.18,37,15860.6,-0.0124978,33.8294,11.9572,122.117,0.00424433,-11.4498,4.92519e-12,-5.9396,-11.4436,-10.4208,-8.25094,-6.0782,152.154,10621.8,21.3142,7328.08,13169.5,-6.89768,-12.4017,-12.337,-9.20901,-7.03627,0.742344,10408.4,13.4101,7114.67,0.629781,0.99775,0.00346007,16527,-0.00218272,0.990741,12.1346,10.8088,121.692,89.3852,0.625561,12.2144,12.3979,121.142,139.614,0.550205,-50.2289 
38,43.08,38,17087.9,0.0010157,37.9272,11.2896,122.037,-0.0173959,4.49639,500,-2.55463,-7.41616,-15.6896,-3.37182,-4.08288,130.643,10891,25.1767,8382.17,13941.3,-3.37725,-8.23879,-17.3348,-4.19445,-4.9055,0.544429,10707.7,18.3901,8198.94,0.602953,0.997003,0.00411481,17758.8,-0.00226441,1.13311,11.4342,10.2602,122.022,90.2043,0.791145,11.6324,11.7265,120.969,140.292,1.0533,-50.0873 
39,43.235,39,16251.5,-0.0896515,35.3124,11.6891,122.133,0.125699,176.188,500,-5.24275,-6.96932,-2.90534,-5.95788,-3.64574,110.079,10707.9,17.4481,7631.6,14158,-5.93589,-7.66245,-4.29161,-6.65102,-4.33888,0.851398,10553.5,11.7297,7477.2,0.621383,0.998059,0.00288143,16983.9,-0.00228729,1.0422,11.9635,10.6119,121.955,89.2491,0.677973,11.9176,12.2041,121.177,139.296,0.778044,-50.0468 
40,43.215,40,14568.9,-0.071422,32.1548,11.7566,121.763,0.0161511,-0.204955,500,-6.26323,-6.34081,-6.81176,-3.73275,-9.82693,128.734,9836.52,18.764,6824.01,12306.2,-7.07383,-7.15142,-8.43297,-4.54335,-10.6375,0.777136,9655.96,12.0766,6643.45,0.628262,0.997816,0.00333743,15369.3,-0.00227022,0.96244,11.9392,10.5489,121.537,89.7569,0.602551,11.877,12.4149,120.668,139.879,0.86917,-50.122 
41,43.25,41,16192.5,-0.702398,36.3983,11.8516,122.185,0.0207662,199.956,13.4466,-6.71911,-4.3717,-11.28,-3.58399,-3.46564,153.079,10479.6,26.8681,8016.25,14178,-7.68301,-5.3356,-13.2077,-4.54789,-4.42954,0.62482,10264.9,18.916,7801.54,0.604734,0.996785,0.0044466,16974.2,-0.00245475,1.0558,11.63,10.464,122.024,90.6821,0.749325,11.8099,11.756,121.141,141.05,0.88306,-50.3677 
42,43.28,42,16627.8,-0.0413021,37.0798,11.3453,121.932,-0.0961654,56.3514,500,-8.10908,-6.51893,-7.51885,-3.50621,-4.82115,160.875,10574.7,27.8428,8173.8,13871,-9.12207,-7.53191,-9.54483,-4.5192,-5.83414,0.738871,10349,19.4857,7948.16,0.602232,0.996716,0.00449579,17184.4,-0.00220806,1.09717,11.455,10.2521,121.847,90.0444,0.782586,11.5069,11.7244,120.9,140.057,0.947594,-50.0126 
43,43.2,43,12770.4,-0.0346224,28.1946,11.8626,122.148,-0.0920108,-91.0317,500,-4.71111,-5.91943,-9.77574,-12.3421,-2.40068,118.105,8479.52,16.5603,6393.12,11160.5,-5.45478,-6.66311,-11.2631,-13.0858,-3.14436,0.715658,8313.87,10.425,6227.47,0.608206,0.99781,0.00307426,13669.5,-0.00233727,0.826368,11.9331,10.6315,121.973,89.716,0.549145,12.3949,12.3576,121.008,139.792,0.964798,-50.0764 
44,43.14,44,15729.9,-0.120635,34.7542,-11.5268,121.915,0.128808,-47.0476,3.99065e-13,-7.60048,-9.73826,-9.35284,-6.16221,-1.59394,133.784,10306.2,16.7905,7501.17,13238.3,-8.44289,-10.5807,-11.0376,-7.00461,-2.43635,0.720581,10118.6,9.84069,7313.53,0.616678,0.998301,0.00247251,16408.2,-0.0021684,1.0465,11.6347,10.3674,121.885,89.3718,0.690568,11.8006,11.8596,120.829,139.274,1.05537,-49.9023 
45,43.17,45,13946.9,-0.0674031,31.4318,11.7321,122.247,0.0137877,76.1576,6.03874e-05,-5.89317,-4.9929,-16.342,-4.22223,-8.02019,123.827,9370.35,25.2402,6910.94,12038.6,-6.67288,-5.77261,-17.9014,-5.00194,-8.7999,0.594521,9196.67,18.8076,6737.26,0.613491,0.996434,0.00511609,14990.7,-0.00259054,0.915312,11.9909,10.6347,122.041,90.1742,0.59893,12.1023,12.4395,121.175,140.614,0.86555,-50.4397 
46,43.205,46,12280.7,-0.301473,28.2828,11.6683,122.009,-0.12365,431.808,499.817,-7.58757,-9.43136,-5.83029,-8.42529,-2.23963,88.4102,8445.49,26.5048,5942.27,12481.1,-8.14427,-9.98806,-6.94368,-8.98199,-2.79632,0.811591,8321.48,21.912,5818.27,0.624493,0.995413,0.00688971,13325.2,-0.00233537,0.828839,11.6871,10.7735,121.656,89.1982,0.539051,11.8325,12.3174,120.996,139.297,0.660163,-50.0985 
47,43.1,47,17846.9,-0.0523428,39.661,-11.318,122.101,0.121444,-14.7199,500,-5.46658,-3.12064,-6.8484,-7.28192,-5.86901,117.11,11995.9,19.5848,7920.81,14670.8,-6.20399,-3.85805,-8.32322,-8.01933,-6.60642,0.747865,11831.7,13.5011,7756.55,0.63947,0.998007,0.00319614,18502.3,-0.00223478,1.26392,11.449,10.1891,121.992,88.9019,0.738331,11.612,11.9318,121.034,138.611,0.958582,-49.7092 
48,43.16,48,13946.1,-0.31837,29.8966,12.1428,121.908,-0.200037,6.37841,133.434,-7.63013,-6.13805,-5.83284,-3.14171,1.42602,162.618,9036.21,14.1126,6917.76,11859.3,-8.65409,-7.16201,-7.88076,-4.16567,0.402061,0.713014,8808.12,5.66492,6689.67,0.604902,0.998876,0.00155749,14561.2,-0.00226422,0.895748,11.8706,10.5064,121.765,89.1387,0.621424,11.9518,12.2026,120.81,139.128,0.954945,-49.9888 
49,43.06,49,15716.7,-0.0481539,35.5111,-11.2707,121.691,0.0642555,-25.0215,7.96968e-12,-8.21112,-6.73797,-10.3433,-4.13853,-3.93599,65.4037,9994.38,14.1898,7719.88,13081.3,-8.62295,-7.1498,-11.1669,-4.55036,-4.34782,0.688404,9902.65,10.7922,7628.14,0.601515,0.998096,0.00259942,16462.9,-0.00237522,1.03502,11.4041,10.4424,121.584,89.8035,0.733092,11.8097,11.8195,120.575,139.843,1.00899,-50.039 
50,43.185,50,14131.3,-0.663415,31.5105,12.1677,122.003,-0.235871,-258.542,500,-5.64614,-2.7932,-12.512,-6.99239,2.07771,138.044,9310.89,20.5619,6940.28,14466.4,-6.51537,-3.66242,-14.2504,-7.86162,1.20849,0.541512,9117.27,13.3908,6746.65,0.611102,0.997436,0.0036429,14919.4,-0.00236411,0.897401,12.0046,10.7452,121.79,89.5194,0.617207,11.9879,12.197,121.08,139.576,0.709719,-50.0564 
