cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,43.195,22,14843,0.0152044,31.7494,11.8877,122.312,-0.014584,-16.6835,2.58971e-12,-3.79556,-2.98582,-13.0754,-5.60632,-4.89139,157.321,9817.58,34.0241,7004.94,12294.4,-4.78617,-3.97643,-15.0566,-6.59693,-5.882,0.585196,9596.92,25.8515,6784.29,0.621908,0.995308,0.00697042,15431.4,-0.00212827,0.954742,11.8982,10.6201,122.124,89.0807,0.601657,12.1708,12.401,121.431,139.049,0.693277,-49.9679 
23,43.26,23,15226.4,-0.146567,33.4943,-11.7135,122.164,0.0219996,70.5004,500,-1.59486,-4.39563,-3.42775,-4.42928,-1.42644,116.16,9989.66,31.0525,7406.26,12822.3,-2.32628,-5.12705,-4.8906,-5.16071,-2.15786,0.751273,9826.74,25.0182,7243.34,0.612029,0.995564,0.00632234,16056,-0.00228482,0.994454,11.788,10.3949,121.996,89.5508,0.677524,11.9316,11.9331,121.198,139.598,0.797933,-50.047 
24,43.23,24,15573,-0.0692745,33.714,12.0129,122.211,0.0234875,50.6477,495.197,-6.96986,-10.5961,-9.60346,-7.54765,-4.7351,137.329,10150.4,28.8689,7636.6,13222.9,-7.83459,-11.4608,-11.3329,-8.41238,-5.59983,0.74613,9957.75,21.7349,7443.98,0.60868,0.996195,0.0053498,16359.6,-0.00237367,0.945713,12.1193,10.8804,122.115,89.377,0.665071,12.2441,12.1697,121.311,139.394,0.804156,-50.0165 
25,43.175,25,15252.8,-0.00406068,33.6262,11.6364,122.23,-0.0102954,7.96629,500,-3.74396,-4.75454,-10.1717,-3.73408,-0.897457,122.662,10007.3,25.3555,7545.52,12740.4,-4.51633,-5.52691,-11.7164,-4.50644,-1.66982,0.580597,9835.25,18.9835,7373.48,0.607998,0.996634,0.00472023,16176.4,-0.00229087,0.984381,11.9135,10.3987,122.121,88.797,0.683077,11.8625,11.9437,121.176,138.555,0.944797,-49.7579 
26,43.34,26,18912.3,-0.0478994,40.9861,11.5942,122.258,0.0197615,-8.23735,1.66121e-05,-7.39584,-7.56491,-12.4077,-9.07161,-3.51395,182.462,12022.2,42.071,9220.91,15474.6,-8.54476,-8.71382,-14.7055,-10.2205,-4.66287,0.686098,11766.3,32.5924,8964.98,0.604138,0.995176,0.00665247,19476.2,-0.00241129,1.21277,11.6819,10.3194,122.196,88.9719,0.851309,11.8571,11.7941,121.192,138.655,1.004,-49.6828 
27,43.24,27,17563.8,-0.020305,36.6083,12.0999,121.853,-0.0127901,-11.776,500,-6.78133,-6.58041,-5.95375,-7.72246,-3.45687,190.123,11383.3,31.5918,8248.13,14424.6,-7.97849,-7.77756,-8.34806,-8.91962,-4.65403,0.778435,11116.6,21.7153,7981.47,0.618253,0.996593,0.00498685,17980.7,-0.00231392,1.09021,12.1058,10.6177,121.611,88.6373,0.705353,12.3536,12.3072,120.78,138.557,0.830958,-49.9195 
28,43.38,28,19790.5,-0.478058,41.7053,11.7174,121.992,-0.237272,17.8223,98.705,-4.59029,-4.38943,-12.3513,-7.48401,-8.96468,153.172,12804.1,35.4242,8933.95,16045.7,-5.55477,-5.35391,-14.2803,-8.44849,-9.92917,0.672219,12589.3,27.4672,8719.11,0.626715,0.996196,0.00576957,20087.7,-0.0020489,1.31118,11.7328,10.1727,122.145,89.0055,0.828154,11.6908,11.8248,121.022,138.77,1.12303,-49.7649 
29,43.21,29,17101.9,-0.175444,36.4793,12.0591,122.287,0.175651,0.216029,500,-2.17525,-3.30885,-5.71235,-10.412,-7.27291,141.351,11271.8,41.1539,8218.85,14321.6,-3.06529,-4.1989,-7.49245,-11.3021,-8.16296,0.781061,11073.6,33.811,8020.59,0.616182,0.994685,0.0077056,17971.3,-0.00253156,1.05024,12.181,10.8365,122.071,88.9143,0.686778,12.2843,12.5763,121.25,138.992,0.821609,-50.0777 
30,43.22,30,14084.5,-0.0965545,30.9708,12.0175,122.232,0.0393325,30.3385,499.293,-6.34105,0.736122,-14.7436,-6.74464,-6.54675,176.81,9555.28,13.6619,6716.43,12154.9,-7.45438,-0.377203,-16.9703,-7.85796,-7.66007,0.579109,9307.29,4.47698,6468.44,0.625904,0.999159,0.00127335,14870.1,-0.0024051,0.918428,12.0824,10.6104,121.969,88.4035,0.585781,12.2499,12.2991,121.137,138.193,0.831446,-49.7897 
31,43.03,31,21885.6,-0.155981,46.2741,11.7764,122.265,0.318389,-117.269,400.248,-8.35153,-7.36018,-13.4656,-9.89593,-3.32357,178.977,14125.4,47.522,9835,18955.2,-9.4785,-8.48715,-15.7196,-11.0229,-4.45054,0.680228,13874.4,38.2245,9583.96,0.627329,0.995202,0.00729344,22116.6,-0.00209497,1.38875,11.8384,10.4499,122.156,89.5436,0.881949,11.8645,11.9928,121.201,139.693,0.954394,-50.1496 
32,43,32,20729.9,-0.542716,43.5137,12.1739,122.069,1.76328,-1177.59,499.96,-6.80441,-13.0677,-15.5911,-8.58765,-9.61229,184.454,13234.9,36.1077,9645.67,84838.8,-7.96587,-14.2291,-17.914,-9.7491,-10.7737,0.704544,12976.1,26.5257,9386.95,0.616475,0.996435,0.00517847,21048.9,-0.00235725,1.28464,12.0682,10.4051,121.897,88.3602,0.858814,12.232,11.9427,120.936,138.08,0.960985,-49.7202 
33,43.41,33,17414.3,-0.193212,38.778,11.5111,122.415,0.082136,220.497,500,-3.54433,-8.54375,-3.56421,-4.41448,1.53294,147.891,11348.8,31.3506,8254.56,15120.6,-4.47556,-9.47498,-5.42668,-5.34572,0.601709,0.775025,11141.4,23.6679,8047.13,0.616845,0.996296,0.00538874,18061.9,-0.00249239,1.14578,11.6081,10.5068,122.203,89.2082,0.772749,11.6778,11.9984,121.383,139.367,0.820043,-50.159 
