cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,-4.007,43.2157,27,10521.5,-0.43156,30.6705,9.04725,123.536,-0.313404,-572.328,91.4699,-4.53411,-1.96807,-10.6156,-6.14311,-1.23234,-605.046,6989.6,39.1099,5941.23,14872.1,-0.724297,1.84174,-2.996,-2.33329,2.57748,-0.833126,7471.54,82.9228,6423.17,0.58653,0.980948,0.0232291,12738.5 
28,-4.001,43.2217,28,9805.91,-0.275986,29.3633,8.78196,123.697,0.361998,-432.253,1.38515e-10,-1.03949,0.47526,-5.94933,-3.83561,-5.06008,-602.025,6263.48,38.3049,5911.76,13488.2,2.7513,4.26605,1.63225,-0.0448169,-1.26929,0.777486,6743.01,81.8991,6391.29,0.562674,0.979187,0.0230607,11983.9 
29,-3.977,43.2457,29,10020.8,-0.466621,30.8696,8.76535,123.836,0.0731283,1581.89,3.44093,-0.323105,-4.00347,-6.07033,-2.68047,-0.140223,-699.734,6742.73,28.5384,5897.41,12574.2,4.08293,0.402572,2.74174,1.72556,4.26582,0.792585,7300.1,79.2078,6454.77,0.579694,0.981366,0.0221052,12593 
30,-4.034,43.1887,30,10886.9,-0.123006,31.8742,8.83706,123.849,-0.0508786,-35.9244,48.7531,-6.79432,-6.99189,-6.34031,-3.4727,-7.19708,-550.7,6718.65,38.0381,6479.19,9228.94,-3.32671,-3.52428,0.594915,-0.00508407,-3.72947,1.05955,7157.3,77.9156,6917.85,0.55786,0.981305,0.0203259,12829.9 
31,-3.988,43.2347,31,8747.35,-0.0477276,27.3344,8.49448,123.666,0.0224101,7.04628,500,-5.11998,-1.89848,-11.6829,-5.29993,-2.9336,-632.408,5829.29,28.6063,5417.43,7563.74,-1.13788,2.08362,-3.71869,-1.31783,1.0485,-0.222338,6333.03,74.4005,5921.16,0.566036,0.979855,0.0226228,11188.4 
32,-3.998,43.2247,32,9394.2,-0.389309,28.6808,8.90114,123.904,0.165805,2448.72,0.220982,-4.51494,-3.48867,-13.8368,-8.86351,-4.70835,-736.17,6047.43,30.9863,6014.73,21527.5,0.12053,1.1468,-4.56591,-4.22804,-0.0728847,0.399183,6633.82,84.2942,6601.12,0.550674,0.978247,0.0229825,12046.7 
33,-3.996,43.2267,33,8959.12,-0.0484048,27.1835,8.65568,123.867,0.0809372,95.8835,354.268,-4.5452,-0.495861,-6.58544,-7.053,-7.72753,-589.056,6099.46,31.3463,5276.5,7912.16,-0.836069,3.21327,0.83281,-3.34387,-4.0184,1.20057,6568.66,74.0013,5745.71,0.582321,0.980666,0.0231754,11280.1 
34,-3.99,43.2327,34,8458.39,-0.474605,27.2901,8.70457,123.873,-0.339099,1891.32,339.665,-2.63047,-5.13975,-7.49778,-2.75783,-5.92564,-615.175,5561.37,28.8504,5465.39,28610.9,1.24312,-1.26616,0.249405,1.11576,-2.05205,1.35131,6051.38,73.3967,5955.4,0.553405,0.979216,0.0221988,10934.8 
35,-4.01,43.2127,35,10796.7,-0.0270593,31.3553,8.70439,123.976,-0.0112054,-10.8465,500,-4.10882,-3.61496,-11.2871,-6.66248,-8.91295,-618.44,6941.57,39.0094,6222.88,8888.69,-0.214666,0.27919,-3.49881,-2.76833,-5.01879,0.688202,7434.18,83.7921,6715.49,0.574472,0.980657,0.0224683,12940.9 
36,-3.956,43.2667,36,10525.3,-0.0385318,31.184,8.70533,123.867,0.0156055,-11.8783,500,-2.09607,-4.91641,-10.927,-6.68913,-1.91127,-533.463,6659.7,31.6607,6290.93,8843.17,1.26301,-1.55733,-4.20881,-3.33005,1.44781,0.340868,7084.62,70.2901,6715.86,0.562646,0.982934,0.0189153,12591.6 
