cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,97,43.248,3.6,48.55,-0.2,0.19,0.01,21,6562.3,0.113326,12.8897,9.12972,96.9717,-0.195286,284.76,499.74,3.24056,1.74071,-2.86155,0.360079,0.841814,-131.767,2153.07,29.6949,3476.69,5641.12,4.07027,2.57041,-1.20215,1.18978,1.67151,1.14484,2337.88,43.385,3661.5,0.434799,0.968546,0.0213608,5376.93,0.00135554,0.407495,8.5774,7.23293,97.1677,71.1997,0.515239,8.79696,8.58728,96.4857,121.368,0.682034,-50.1679 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,7387.73,0.158449,14.5267,9.32774,96.7482,0.122948,-229.216,500,-1.46644,0.473206,2.66417,4.33464,3.02235,-126.899,2479.96,39.5313,3956.98,5328.43,-0.667396,1.27225,4.26226,5.13368,3.82139,0.691636,2657.95,52.7155,4134.96,0.436447,0.966456,0.0229456,6089.97,0.00134083,0.481326,8.72116,7.079,97.0001,71.9805,0.586655,9.05716,8.42755,96.3024,122.209,0.697656,-50.2281 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,3705.12,0.0177756,5.93255,10.0638,96.4438,-0.0284717,2.45509,17.3251,3.09375,3.82241,3.85072,-0.53563,-2.61166,-99.1223,-0.776427,28.1393,2787.88,1945.84,3.7179,4.44655,5.09901,0.0885162,-1.98752,0.55132,138.252,38.4377,2926.91,0.0538452,0.6727,0.0236201,2567.59,0.00122921,-0.000222253,7.43853,1415.87,95.7832,71.0086,0.388181,8.92818,8.90843,96.3784,122.112,-0.595157,-51.1033 
24,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,24,4090.93,0.201809,6.09374,10.4393,96.5979,0.102592,-6.6264,1.13146e-07,-0.246906,-1.53343,2.26554,-0.176069,-0.925866,-113.883,367.976,36.3731,2786.27,2092.99,0.470187,-0.816334,3.69973,0.541025,-0.208773,-0.00376969,527.709,48.2052,2946,0.177507,0.862174,0.0292603,2972.89,0.00134763,0.027795,12.2094,9.34199,96.5905,71.7112,0.349406,9.53484,9.25725,96.4857,122.56,0.104784,-50.8487 
25,97,43.248,3.6,48.55,-0.2,0.19,0.01,25,6354.82,0.221294,12.7229,8.86634,97.1829,-0.144326,-10.6259,104.332,-0.0795304,-1.25771,2.58156,2.43722,0.416761,-124.861,2033.02,41.5203,3474.86,3722.12,0.706688,-0.471488,4.154,3.22344,1.20298,0.528791,2208.15,54.4929,3649.99,0.421592,0.958601,0.0267658,5237.64,0.00127164,0.404485,8.56703,6.93744,97.5347,71.9569,0.538856,8.5778,8.35631,96.7826,122.194,0.752125,-50.2367 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,7455.31,0.0109514,14.823,9.55756,96.7654,-0.0152843,7.66835,6.23508e-13,1.4413,1.83113,0.42234,3.18149,3.93801,-168.04,2628.6,41.3115,3899.65,4615.71,2.49941,2.88923,2.53855,4.23959,4.99611,0.852091,2864.29,58.7703,4135.34,0.454893,0.965338,0.0255116,6296.63,0.0012553,0.477595,9.01649,7.23193,97.0645,71.7527,0.575594,9.18454,8.55073,96.3438,121.762,0.720687,-50.0093 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,3555.35,0.0399609,5.63645,10.3062,96.3191,-0.0508529,4.1533,500,-0.238988,-0.670616,1.10197,2.56235,2.11874,-133.934,98.7978,37.8104,2609.57,1897.91,0.604361,0.172733,2.78867,3.4057,2.96209,0.719268,286.654,51.7257,2797.42,0.109892,0.760005,0.0329394,2608.52,0.00121296,-0.0124799,-7.66859,2.32729,73.5331,77.0826,0.351501,9.29335,8.96351,96.357,121.626,-22.8239,-44.543 
28,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,28,3617.3,0.211734,5.47426,9.96702,96.9332,-0.41381,0.967047,50.3025,-1.15085,3.64334,-0.300917,-1.12299,1.05527,-107.286,294.8,6.70357,2439.46,1789.2,-0.475298,4.31889,1.05019,-0.447439,1.73082,0.829988,445.28,17.8502,2589.94,0.171596,0.934446,0.0125369,2594.93,0.00127221,0.0264813,11.8459,7.50747,99.2246,71.3466,0.326456,9.09947,9.00634,96.5605,121.119,2.66409,-49.7726 
29,97,43.248,3.6,48.55,-0.2,0.19,0.01,29,6183.03,0.214904,12.5216,8.77953,96.8139,0.075991,-215.134,35.2836,0.294552,-0.00785848,1.20014,2.8885,3.92977,-145.189,1985.25,23.1101,3337.22,4110.91,1.20877,0.906358,3.02857,3.80272,4.84399,0.780385,2188.9,38.1947,3540.87,0.426867,0.970369,0.0194833,5127.81,0.00114183,0.405227,8.47597,6.94565,96.9204,71.6021,0.518682,8.6181,8.55828,96.3519,121.828,0.568482,-50.2264 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,6484.47,0.162202,13.131,9.0904,96.9898,-0.155009,-9.11424,47.1487,0.984232,1.67176,2.30104,0.587364,-1.95494,-104.58,2217.34,48.6268,3464.57,3931.75,1.64274,2.33027,3.61806,1.24587,-1.29643,0.520184,2364.03,59.4922,3611.25,0.440937,0.957818,0.0294533,5361.36,0.0010623,0.430373,8.50948,7.33999,97.1075,71.7184,0.503971,8.97182,8.81934,96.4313,121.933,0.676266,-50.2149 
