cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
29,97,43.248,4.2,48.55,-0.2,0.19,0.01,29,12193.1,-0.0204996,25.5237,10.4678,114.535,-0.000953666,-0.14775,31.2802,0.374235,0.781888,1.60634,0.940685,0.986454,-170.003,6181.7,-8.79299,6196.42,8697.5,1.4447,1.85235,3.74727,2.01115,2.05691,0.662784,6317.12,3.51732,6331.83,0.468904,0.999027,0.00102224,13472.1,-0.000173535,0.846898,10.5095,8.61439,114.132,88.7062,0.762451,10.3982,9.48066,113.834,138.233,0.298398,-49.5264 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,13060.9,-0.0631435,27.8693,10.4367,114.548,0.0318315,-4.00705,34.6673,-0.0072092,2.13781,0.163308,0.263357,1.03833,-197.761,6895.87,-8.94049,6486.39,9472.72,1.23804,3.38305,2.6538,1.5086,2.28357,0.760208,7053.4,5.37983,6643.91,0.484403,0.998667,0.0014894,14561,-0.000302717,0.938348,10.4375,8.70742,114.242,88.4131,0.788814,10.4877,9.5474,113.839,137.941,0.402849,-49.5275 
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,6128.6,-0.0822389,13.3192,11.0499,114.537,-0.0115856,-11.8512,500,-2.14727,0.410399,-2.97808,0.738932,-1.58159,-253.097,3.70646,8.27247,6746.83,4795.55,-0.553584,2.00409,0.209292,2.33262,0.0120991,0.947736,205.308,26.5999,6948.43,0.0254818,0.815174,0.00700253,8057.04,-0.000616261,0.0144921,-14.699,12.4465,127.487,110.747,0.767826,10.5366,10.0133,113.783,139.083,13.7043,-28.336 
32,75,47.3227,3,46.05,0.2,-0.19,-0.01,32,6018.66,-0.0105044,12.6928,-11.1492,114.38,-0.00161667,11.2929,3.29481e-13,0.0911388,-0.658683,1.72479,1.095,0.050806,-257.684,1122.06,-3.63428,5519.02,4607.36,1.71371,0.963887,4.96993,2.71756,1.67338,0.587162,1327.32,15.0253,5724.28,0.170262,0.980575,0.00481195,7795.75,-0.000503909,0.111347,11.7727,10.5973,114.371,90.1362,0.573249,10.839,10.7611,113.479,139.385,0.892378,-49.2492 
33,97,43.248,4.2,48.55,-0.2,0.19,0.01,33,11742.1,-0.0357871,24.94,10.3896,114.627,0.00164418,6.80758,210.343,1.7579,-1.27164,-0.324276,2.23122,-0.843368,-212.604,6227.49,-21.0415,5780.33,8435.42,3.09661,0.0670714,2.35315,3.56993,0.495344,0.754423,6396.83,-5.64626,5949.68,0.487565,1.00155,-0.00175123,13120,-0.000268053,0.85182,10.5072,8.60626,114.277,88.3671,0.702281,10.4097,9.65649,113.99,137.879,0.287219,-49.5121 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,14049.4,-0.0154806,29.4758,10.4967,114.46,0.00314034,-9.53017,500,-3.82425,-1.07002,0.51011,0.716332,-0.179175,-234.746,7339.93,5.6998,6955.3,10072.9,-2.34611,0.408106,3.46637,2.19446,1.29896,0.309733,7526.92,22.6983,7142.28,0.482566,0.99475,0.00582017,15597.7,-0.000154678,0.966757,10.5566,8.86917,114.171,89.273,0.830756,10.412,9.68886,113.773,138.676,0.398072,-49.4027 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,6394.94,-0.121366,13.9044,10.98,114.58,-0.0366286,46.7693,63.0959,-0.871003,-2.76322,1.67923,-1.05938,-2.09606,-332.867,24.9798,9.23087,7011.4,5025.71,1.22497,-0.667245,5.87118,1.03659,-8.13561e-05,0.213549,290.121,33.3346,7276.54,0.0340813,0.832589,0.00836825,8512.62,-0.000638328,0.0144017,-16.0936,12.0412,123.971,107.486,0.78589,10.6304,10.1076,113.878,138.831,10.0933,-31.3451 
36,75,47.3227,3,46.05,0.2,-0.19,-0.01,36,6586.66,-0.036692,13.0253,11.6225,114.66,-0.0106922,3.89133,500,1.14943,-1.64442,-1.92603,0.56769,-1.72321,-266.771,1229.88,17.0165,5840.2,4929.5,2.82922,0.0353691,1.43354,2.24748,-0.0434245,0.779529,1442.37,36.3341,6052.69,0.174159,0.957778,0.0109371,8281.92,-0.000371198,0.126378,11.5882,10.3518,114.249,90.8994,0.580961,11.318,10.7544,113.723,139.816,0.525929,-48.917 
37,97,43.248,4.2,48.55,-0.2,0.19,0.01,37,12804,-0.0843009,26.9984,10.6443,114.566,-0.0232728,141.762,80.196,2.22661,-0.347096,3.90789,2.0696,-1.24981,-239.607,6786.11,4.51199,6398.02,9462.54,3.73535,1.16165,6.92537,3.57835,0.258928,0.557757,6976.97,21.8625,6588.88,0.483759,0.994546,0.00607515,14422.4,-0.000278528,0.889167,10.631,8.87054,114.298,88.5943,0.761946,10.368,9.73814,113.766,138.075,0.53209,-49.4811 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,14635,-0.0493089,30.6041,10.57,114.414,0.0869782,-58.8881,3.53949,1.31788,-1.16011,2.89558,0.55765,-1.95128,-255.111,7737.47,-12.2745,7189.34,10697.3,2.92425,0.446258,6.10832,2.16402,-0.344914,0.459342,7940.67,6.19877,7392.54,0.48733,0.998636,0.00154225,16294.2,-0.000268577,1.02118,10.5722,8.86909,114.051,89.468,0.830725,10.6621,9.85962,113.694,139.197,0.356418,-49.7286 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,6450.15,-0.0514794,13.6519,11.06,114.508,-0.11969,87.7839,405.692,-2.06816,-0.316955,1.50604,-0.986899,0.698363,-241.61,51.9839,16.1624,6903.52,5257.24,-0.546799,1.2044,4.54875,0.534457,2.21972,0.428587,244.436,33.658,7095.97,0.0295824,0.805822,0.00866189,8262.88,-0.000486597,0.0162709,-14.3457,12.8869,120.548,109.705,0.792359,10.6024,9.85271,113.826,139.191,6.72197,-29.4853 
40,75,47.3227,3,46.05,0.2,-0.19,-0.01,40,6632.71,-0.0322404,13.1052,11.5242,114.56,-0.0620808,78.8013,500,-1.21689,-1.18419,-0.540666,-1.63099,-2.66651,-289.18,1125.06,11.2476,5928.91,5075.7,0.604004,0.636696,3.10111,0.189899,-0.845617,0.1587,1355.41,32.1878,6159.25,0.163,0.9601,0.00953493,8315.36,-0.000359604,0.112069,12.6718,10.0777,114.235,90.4055,0.608668,11.2137,10.5437,113.601,139.165,0.634447,-48.759 
