cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,47.2154,1.5,27,3646.28,0.309317,13.8644,8.60465,123.166,-0.864478,272.024,8.76014e-16,-1.97553,-5.71985,-19.2613,-6.31828,-3.77552,-903.898,130.341,71.98,6319.17,11538.7,3.71607,-0.0282455,-7.87811,-0.626678,1.91608,-1.71577,850.329,137.433,7039.16,0.128401,0.779519,0.0347169,6622.44 
28,47.4659,10,28,3506.97,-0.00430648,-14.269,8.71474,122.974,-0.0172855,13.7312,3.83541e-12,-7.24866,-4.92563,-9.0166,-2.61275,-5.47581,-831.727,84.102,75.7563,6311.77,4055.76,-2.0115,0.311528,1.45772,2.62441,-0.238648,0.31994,746.603,135.984,6974.27,0.115475,0.7583,0.0346719,6465.5 
29,47.3859,10,29,3687.38,-0.50459,14.6392,9.34038,123.321,0.258593,-310.559,425.778,-3.50597,-1.9694,-13.3702,-7.93839,-5.96574,-804.027,208.762,69.0121,6331,7065.51,1.55677,3.09334,-3.24468,-2.87565,-0.902991,-0.367216,849.2,127.234,6971.44,0.129337,0.792268,0.0325262,6565.78 
30,47.3159,9,30,3724.14,0.0137765,14.1991,8.8651,123.51,-0.010678,0.975525,0.000331449,-6.6259,-6.58343,-12.7885,-7.7826,-2.5457,-809.239,320.764,70.1189,6241.89,4098.03,-1.53034,-1.48786,-2.59742,-2.68703,2.54986,0.548495,965.353,128.718,6886.48,0.145994,0.810806,0.0332854,6612.27 
31,47.2559,6,31,3811.24,-0.0687857,15.7746,8.72544,123.303,-0.162228,15.7632,0.000153243,-2.12126,-3.20706,-15.3143,-8.16991,-2.62688,-865.452,511.299,76.5465,6421.78,4563.89,3.32826,2.24246,-4.41525,-2.72039,2.82264,4.51054,1200.66,139.216,7111.14,0.170748,0.831317,0.0348079,7031.8 
32,47.3059,9,32,4209.62,0.00320873,15.6077,8.7658,123.189,-0.0141529,-4.35064,1.14948e-11,-0.838201,-5.68146,-9.42834,-8.34301,-6.7006,-781.683,453.508,70.343,6516.41,4455.75,4.08385,-0.75941,0.415769,-3.42095,-1.77854,1.28491,1076.15,126.947,7139.05,0.155285,0.828887,0.0317174,6930.17 
33,47.2459,5,33,3893.54,-0.0118313,15.1262,8.70154,123.262,-0.0195427,13.1157,7.92001e-12,-2.81398,-1.98615,-16.6626,-4.5075,-1.07485,-789.39,548.859,51.5525,6121.9,4293.05,2.1566,2.98443,-6.72144,0.463079,3.89573,3.41918,1177.64,108.714,6750.68,0.175421,0.860917,0.0288109,6713.2 
34,47.2249,2,34,3497.63,-0.00200578,-14.3885,8.64276,122.947,-0.0231407,27.1262,4.92352e-10,-1.02659,-0.54254,-9.70458,-4.96745,-6.23677,-803.213,259.711,50.6017,6145.42,4068.64,4.03102,4.51508,0.410653,0.0901675,-1.17916,0.947806,899.499,108.764,6785.21,0.139169,0.825352,0.0286813,6463.37 
35,47.2109,2,35,3062.48,-0.018202,-13.9594,-8.49805,123.166,0.0105979,7.84555,6.67247e-10,-5.93597,-5.63516,-9.57862,-7.47984,-3.58385,-759.572,171.891,48.8141,5869.17,3864.43,-1.15314,-0.852342,-0.0129771,-2.69701,1.19897,0.99631,776.918,103.817,6474.19,0.127662,0.810474,0.0286914,6085.76 
36,47,10,36,3262.9,-0.00472611,-13.8155,8.61692,123.196,0.0192409,-5.71712,5.5496e-11,-6.11688,-2.65618,-11.2469,-2.21016,-6.40867,-810.046,78.4056,72.6027,5991.01,3878.95,-1.01624,2.44446,-1.0456,2.89048,-1.30802,1.53209,723.637,131.26,6636.24,0.117371,0.759053,0.0351546,6165.36 
