cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,45.9,3,22,4263.39,0.00355706,7.97144,11.5668,95.7863,-0.00739197,3.62621,283.429,0.281166,0.737814,-2.80178,-0.00791514,1.89462,-46.229,530.001,22.4517,3663.92,3002.42,0.572257,1.02891,-2.21959,0.283176,2.18571,2.19948,594.842,27.2547,3728.76,0.153462,0.92577,0.0132857,3876.15,0.000251498,0.0677561,10.1317,8.8547,95.7572,70.4968,0.371528,11.0322,10.5301,95.1934,121.052,0.563793,-50.5554 
23,45.9,0,23,4107.26,-0.00113487,8.20377,10.9021,95.325,0.00209365,9.39299,4.68497e-10,-1.98847,-0.630956,-1.70266,-0.621307,-1.90807,-53.4889,13.2209,14.1451,4040.23,2912.17,-1.65166,-0.29415,-1.02904,-0.284501,-1.57127,0.786975,88.2443,19.7023,4115.25,0.0237877,0.71905,0.00874224,3709.66,0.000154681,0.00898913,10.9981,9.46697,113.497,54.0628,0.480801,10.2471,9.65084,94.8743,121.755,18.6224,-67.6921 
24,46.05,3,24,3738.27,0.0010936,6.76634,11.7366,96.0777,-0.0130925,-7.83376,500,1.01179,0.0755673,2.19729,0.633646,1.18996,-36.7171,709.13,26.0413,2984.76,2588.53,1.24299,0.306765,2.65968,0.864844,1.42116,0.590531,760.63,29.8561,3036.26,0.221594,0.935724,0.0177915,3432.54,0.000279186,0.0827975,11.0008,8.65629,95.4601,70.9169,0.295093,11.3863,10.294,95.5346,120.724,-0.0745714,-49.807 
25,46.05,0,25,3671.34,0.00250723,7.44617,10.4739,95.5964,0.00326351,-40.9166,500,-0.32727,0.554859,-0.406749,0.930445,1.45545,-55.2085,-13.7493,21.9817,3528.31,2543.19,0.0203629,0.902492,0.288517,1.27808,1.80308,0.932786,63.686,27.7177,3605.74,0.019676,0.567652,0.0139627,3236.74,0.000177998,0.0061725,16.2844,8.27598,112.825,56.2072,0.43363,10.0804,9.61554,95.1093,121.038,17.7153,-64.831 
26,45.9,3,26,5029.43,0.0285006,8.9813,11.8039,95.3148,-0.00665812,-25.0761,142.079,0.477647,1.53064,1.79311,-1.44426,0.816835,-72.6235,648.639,21.887,4250.05,3456.57,0.934938,1.98793,2.70769,-0.986973,1.27413,0.542443,750.5,29.4323,4351.92,0.163858,0.935778,0.012305,4580.19,0.000259544,0.0774586,11.2338,9.07819,95.585,70.063,0.411826,11.6205,10.5799,94.7875,121.093,0.797527,-51.0305 
27,45.9,0,27,3653.82,0.00657337,7.08065,11.1037,95.5345,-0.00113057,3.77828,93.4042,-0.20399,-0.401321,-0.32783,2.09903,1.14861,-54.7157,28.8077,25.7591,3553.86,2559.52,0.14054,-0.0567907,0.36123,2.44356,1.49314,0.917559,105.552,31.4438,3630.6,0.0319807,0.657322,0.0157035,3300.48,0.000270914,0.0190241,-0.0958833,14.7141,105.575,62.0943,0.429917,10.3555,9.32986,95.0496,120.356,10.5249,-58.2619 
28,46.05,3,28,3689.42,-0.000204405,6.71791,11.6436,95.801,-0.00222679,6.47842,6.42e-11,-0.359408,1.09591,1.59704,0.909424,3.52409,-47.8827,603.665,15.1964,2953.97,2546.8,-0.0579032,1.39741,2.20005,1.21093,3.82559,0.743467,670.825,20.1713,3021.13,0.201484,0.950009,0.0121498,3329.42,0.000317087,0.0722319,11.0527,8.76037,95.8151,70.3929,0.306016,11.1173,10.1192,95.1059,121.202,0.709242,-50.8091 
29,46.05,0,29,3370.24,0.0180422,7.19617,9.88869,95.7555,-0.0318712,13.8361,34.4291,0.178107,-0.943081,-2.26556,-1.25342,-1.08501,-29.3527,-2.46563,24.1037,3293.45,2330.87,0.362933,-0.758255,-1.8959,-1.0686,-0.900186,0.554953,38.7043,27.1533,3334.62,0.0130179,0.448889,0.0147783,2973.17,0.000246722,0.0216318,-0.372505,19.8519,93.5629,68.4674,0.420468,9.49317,9.58684,95.3165,121.449,-1.75355,-52.9817 
30,45.9,3,30,4558.26,0.0283585,8.01527,11.8896,95.6449,-0.173107,104.256,500,-1.57881,-0.672242,-4.15621,-0.744349,1.07741,-74.6718,595.412,15.9594,3808.62,3689.79,-1.10862,-0.202053,-3.21583,-0.27416,1.54759,0.011449,700.147,23.7175,3913.35,0.168958,0.944036,0.0110411,4143.9,0.000365676,0.0616737,11.6918,8.96829,95.5791,71.9084,0.378922,11.462,10.3656,94.9607,123.225,0.618366,-51.3165 
31,45.9,0,31,4208.69,0.0179448,8.17967,10.9276,95.622,-0.00912879,4.11658,66.2227,0.655408,2.06455,-0.430435,1.08659,0.723381,-56.9778,13.0556,21.8435,4076.36,2910.97,1.01418,2.42333,0.287113,1.44537,1.08216,0.954078,92.9725,27.7633,4156.27,0.0247894,0.656779,0.0121554,3750.49,0.000222513,0.00948818,11.069,-8.53623,114.775,56.4171,0.465847,10.4669,9.84799,94.9898,121.48,19.7852,-65.0633 
32,46.05,3,32,3559.18,0.0116551,6.40031,11.8727,95.9123,-0.0389462,-6.56355,433.308,-2.48811,-0.500115,-1.45386,-1.43802,1.50086,-60.1188,682.176,14.0978,2796.85,2482.02,-2.10956,-0.121563,-0.696755,-1.05946,1.87942,0.66946,766.499,20.3439,2881.17,0.232137,0.955614,0.0128401,3301.93,0.00021883,0.0757709,10.8787,9.59883,95.7017,70.5427,0.280491,11.348,10.395,95.456,120.911,0.245709,-50.3683 
33,46.05,0,33,3129.89,0.0370471,-6.37001,10.0133,95.9091,-0.0199536,21.4651,477.227,-0.0439743,-0.367012,-2.56269,-2.0941,-0.250789,-41.7081,27.5858,27.3793,2976.77,2090.35,0.21865,-0.104387,-2.03744,-1.83147,0.011836,0.455639,86.0855,31.7126,3035.27,0.0312229,0.608023,0.018883,2757.12,0.000263293,0.0066439,12.9328,6.70981,114.075,56.2148,0.378442,9.70935,9.42471,95.4362,121.1,18.6389,-64.885 
34,45.9,3,34,5516.34,-0.00359529,9.69333,12.4035,95.7015,-0.0104957,-2.08289,485.378,-1.78434,0.328706,-4.31633,1.59174,1.26979,-64.0515,787.277,20.0017,4649.05,3914.62,-1.38103,0.732021,-3.5097,1.99506,1.67311,-6.1547,877.115,26.6564,4738.89,0.173778,0.949502,0.0102556,5047.34,0.000281883,0.0857466,11.0704,9.37736,95.9156,71.2009,0.427402,11.8358,10.9375,95.0862,122.026,0.829448,-50.8256 
35,45.9,0,35,3522.59,0.00489219,7.13009,10.6536,95.6422,-0.0218818,0.935701,0.0231695,-2.17449,-0.119451,-3.81686,1.44835,0.209036,-50.7645,11.3209,30.3437,3415.15,2473.46,-1.85484,0.2002,-3.17756,1.768,0.528686,-0.253224,82.5231,35.6179,3486.35,0.0261936,0.569697,0.018472,3150.51,0.00022396,0.000817728,2579.41,1.5499,92.9455,68.7858,0.425995,10.1264,9.35179,95.2551,120.756,-2.30954,-51.97 
36,45.9,0,36,4010.13,0.00855356,8.09522,10.6404,95.4216,0.000334567,6.45801,4.28429,-2.14699,0.450205,-2.42751,0.44386,0.186181,-48.9931,19.5826,13.5031,3910.29,2804.09,-1.8385,0.758701,-1.81051,0.752356,0.494677,-0.10177,88.3001,18.5933,3979.01,0.0245973,0.730729,0.00853441,3589.83,0.000148582,0.0091641,12.6306,9.40516,116.361,56.5449,0.479691,10.2606,9.40233,94.9972,121.466,21.364,-64.9209 
37,45.9,0,37,3680.53,-0.00533366,7.37299,10.9658,95.6828,0.0101425,7.5143,5.46693e-10,-0.434381,-1.65614,-6.59083,-0.591132,1.00158,-15.1776,-37.631,20.003,3696.81,2634.44,-0.338811,-1.56057,-6.39969,-0.495562,1.09715,0.1686,-16.3429,21.5799,3718.1,-0.00501996,-0.762903,0.0105785,3255.58,0.000172768,-0.000806068,3459.54,5.30744,104.349,64.5848,0.442512,10.3734,9.48173,95.2175,121.116,9.13195,-56.5311 
