cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,45.9,0,31,2329.87,0.00462718,-4.21076,10.3649,95.3542,0.00126437,-2.35485,500,0.0437671,0.203746,1.96565,1.02677,0.55681,-54.3498,106.198,22.7974,1925.9,1420.86,0.385993,0.545972,2.6501,1.36899,0.899036,0.546999,182.429,28.4441,2002.13,0.0938274,0.785633,0.0255032,1944.3,341,234.919,6667.43,0.000512785,0.00635521,6.77834,6.20962,91.7604,68.5445,0.267624,9.27354,8.92488,95.2805,119.074,-3.52005,-50.5296 
32,46.05,3,32,2372.85,0.00665861,-3.80263,11.1717,95.2564,-0.0102409,-3.60088,500,-1.02939,-0.117574,4.05146,0.644709,3.7799,-80.5448,371.798,31.06,1668.15,1384.12,-0.522225,0.389595,5.06579,1.15188,4.28706,0.511595,484.77,39.4283,1781.12,0.236224,0.8754,0.0391805,2052.16,249.956,357.721,4272.99,0.000584218,0.0328466,11.7828,9.33255,94.6881,69.6154,0.201217,9.85267,9.32024,95.1458,119.266,-0.457683,-49.6505 
33,46.05,0,33,2429.63,0.00194003,-4.65332,9.83343,95.3807,-0.00321784,8.81467,7.7984e-13,0.6253,-0.80151,2.11288,2.45425,1.52005,-53.3461,91.2865,20.4705,2048.39,1490.5,0.961206,-0.465604,2.7847,2.79016,1.85596,0.648681,166.11,26.0129,2123.22,0.0816448,0.784898,0.0220707,2034.54,364.716,224.331,7371.11,0.000518969,0.100541,14.1389,0.169288,96.3544,71.3151,0.280609,9.2912,9.02408,95.0781,120.273,1.27624,-48.9582 
34,45.9,3,34,2531.56,0.0623371,-4.33123,11.0639,95.9964,-0.0478529,3.0352,241.744,-0.449081,0.389656,1.8089,1.23534,2.16587,-62.8953,366.91,18.7573,1973.31,1564.69,-0.0530457,0.785691,2.60097,1.63137,2.56191,0.654444,455.127,25.2918,2061.53,0.200561,0.91137,0.0221004,2269.27,297.569,344.549,5651.59,0.000440373,0.0337644,11.074,8.83009,96.822,68.5843,0.2234,10.382,9.6812,95.3838,118.572,1.43826,-49.9874 
35,45.9,0,35,2522.39,0.0913033,-4.45694,9.9701,95.7967,-0.224051,299.193,470.19,2.56015,1.45764,4.29787,3.56559,0.845474,-68.132,104.206,13.7895,2075.89,3628.73,2.98916,1.88665,5.15588,3.9946,1.27448,0.663031,199.768,20.8681,2171.45,0.0946479,0.845446,0.0173951,2110.65,360.371,219.233,7298.35,0.000575592,0.00306402,16.2727,-12.9083,109.305,58.049,0.278282,9.45667,8.88498,95.4006,119.246,13.904,-61.1974 
36,46.05,3,36,2267.57,0.0681765,-3.67611,11.2956,96.0191,-0.135167,-140.239,322.78,1.34503,0.492752,0.863516,-0.00719778,-0.719298,-64.5681,393.206,17.4696,1612.99,1968.81,1.7516,0.899319,1.67665,0.39937,-0.31273,0.620169,483.769,24.178,1703.56,0.243971,0.919572,0.0254782,1982.9,240.22,339.084,4100.08,0.000469857,0.0298411,12.3764,9.89345,96.3641,69.8435,0.192714,10.1345,9.47937,95.7176,119.536,0.646502,-49.6923 
37,46.05,0,37,2309.86,0.00563554,-4.17699,10.2112,96.2101,0.00181566,1.15326,500,2.02208,1.22828,0.0390702,0.325809,0.236631,-50.6751,104.397,24.1993,1840.76,1388.54,2.34116,1.54737,0.677245,0.644897,0.555719,0.882553,175.474,29.4643,1911.84,0.0944477,0.772889,0.0276058,1857.89,309.754,229.132,5951.72,0.000587512,0.00782209,6.9245,10.2048,101.389,69.0802,0.254549,9.28115,8.77256,95.6097,119.003,5.77956,-49.9231 
38,45.9,3,38,2718.34,0.0181187,4.41257,11.7187,95.5918,-0.0171953,10.6865,499.34,1.38377,-1.78988,1.36693,-1.5148,1.62576,-67.54,335.18,23.0148,2107.9,1689.3,1.80905,-1.36459,2.21749,-1.08951,2.05104,0.38802,429.911,30.0319,2202.64,0.181533,0.891068,0.0245009,2368.23,327.774,313.563,6372.28,0.00057633,0.0262415,12.4715,9.39399,97.1367,70.5602,0.242351,10.1485,9.49122,95.0718,119.853,2.06488,-49.2931 
39,45.9,0,39,2689.33,0.0932201,-4.93257,9.6998,95.538,-2.37016,742.331,299.954,-0.52233,1.26899,4.63448,2.72166,1.2867,-79.3669,91.3485,27.3431,2289.67,58833.1,-0.0225774,1.76874,5.63399,3.22141,1.78645,0.545206,202.668,35.589,2400.99,0.0875252,0.764933,0.0265791,2315.54,428.046,221.568,9049.68,0.000519814,0.010231,5.63655,5.07826,99.0097,73.5372,0.308439,9.49996,9.02525,95.1652,120.318,3.8445,-46.7812 
40,46.05,3,40,2473.45,0.0780226,-4.18166,10.7302,95.501,-0.0384889,-2.57109,319.961,1.28584,0.547939,1.62672,0.596872,2.51871,-44.0016,400.155,22.064,1834.68,1463.9,1.5629,0.825005,2.18085,0.873939,2.79577,0.735285,461.871,26.6356,1896.4,0.21677,0.908331,0.0252205,2130.7,276.331,357.938,4948.59,0.000515902,0.0311911,13.1084,9.5995,95.6717,69.6045,0.215562,9.77811,9.59053,95.1687,119.601,0.503063,-49.9962 
41,46.05,0,41,2241.7,0.0862952,-3.89459,9.99,95.6833,-0.103991,-67.6886,346.702,1.90746,2.82988,2.31013,1.75498,0.343897,-37.8799,98.2905,27.055,1840.3,1495.69,2.14598,3.0684,2.78717,1.9935,0.582417,0.7365,151.421,30.9906,1893.43,0.0833061,0.736288,0.029268,1817.64,293.653,223.175,5643.28,0.000571422,0.00561912,16.4376,4.41297,95.6474,68.6621,0.246974,9.26648,8.83861,95.2165,119.917,0.430987,-51.2552 
42,45.9,3,42,2712.28,0.0752081,4.70182,10.7944,96.0478,-0.738796,174.915,325.48,1.88532,2.9251,3.35117,1.49035,0.16359,-43.2218,367.914,25.8581,2089.08,5858.94,2.15748,3.19725,3.89548,1.76251,0.435746,0.659738,428.536,30.3487,2149.7,0.184692,0.889732,0.025347,2320.27,330.327,341.745,6521.5,0.000511302,0.0310096,12.3247,9.11617,97.0133,69.6958,0.246466,10.0796,9.5149,95.6745,120.119,1.3388,-50.4227 
43,45.9,0,43,2460.56,0.0435199,-4.66304,9.73811,95.0719,-0.0687816,46.8347,499.995,1.31105,3.21595,3.78558,1.22529,1.51377,-53.6763,127.551,18.7016,2095.32,1583.09,1.64904,3.55393,4.46155,1.56328,1.85176,0.658892,202.837,24.2784,2170.61,0.0959962,0.826812,0.0201881,2112.97,384.367,230.609,7937.2,0.000411958,0.00872807,11.2218,6.92272,117.586,57.0672,0.290341,9.24795,9.14218,94.9276,121.456,22.658,-64.3888 
44,46.05,3,44,2060.31,0.0722731,3.31081,11.0417,95.973,-0.285573,-136.843,474.264,-0.142747,-0.425393,3.60838,-1.27876,-0.774276,-39.5735,359.34,19.4714,1451.42,2462.2,0.106437,-0.176209,4.10674,-1.02958,-0.525092,-0.654408,414.845,23.5829,1506.93,0.238288,0.909518,0.0280205,1740.94,211.138,312.12,3405.56,0.000459977,0.0273293,12.1012,9.93269,96.8935,69.7103,0.178125,10.1337,9.1193,95.6835,119.107,1.21005,-49.3966 
45,46.05,0,45,2492.52,0.00331178,-4.5716,10.0813,95.6165,0.00949724,0.106165,500,2.43834,0.15172,7.65977,1.19789,0.229399,-37.2617,168.609,25.8981,2031.21,1500.34,2.67296,0.386347,8.12902,1.43251,0.464026,0.378747,220.872,29.7694,2083.47,0.107516,0.809149,0.0256457,2054.33,360.94,221.59,7258.74,0.000410623,0.00530464,39.1843,13.4432,70,88.8166,0.284562,9.1507,8.77738,95.4285,120.384,-25.4285,-31.5675 
46,45.9,3,46,2654.69,0.0155112,4.47392,11.2982,95.6512,-0.0143151,-2.22641,500,1.21966,-0.465222,2.36548,2.79747,0.445803,-50.1858,371.078,28.4323,2066.37,1646.52,1.53566,-0.149215,2.99749,3.11348,0.76181,0.637074,441.468,33.6464,2136.76,0.190139,0.88232,0.028189,2321.82,311.715,311.314,6011.91,0.000515697,0.0286111,11.7189,9.54416,95.488,69.5485,0.229957,10.5288,9.56693,95.4172,120.145,0.0707455,-50.597 
47,45.9,0,47,2478.32,0.0817599,-4.45165,10.01,95.6354,-0.066222,175.855,134.823,1.79093,0.625066,4.78982,2.99456,0.327526,-42.8344,109.159,8.12124,2122,1829.71,2.06065,0.894783,5.32926,3.26427,0.597243,0.561241,169.239,12.5716,2182.08,0.0809961,0.884959,0.0105014,2089.47,360.428,218.251,7409.05,0.000478482,0.00800683,12.0586,6.33507,95.3508,70.7063,0.276771,9.52523,9.11697,95.1774,120.935,0.173429,-50.2292 
48,46.05,3,48,2354.4,0.0316569,-3.91758,11.0871,95.7116,0.00215573,62.3788,35.1701,1.55194,1.0978,6.64115,0.536999,1.70158,-69.6612,384.857,24.8982,1712.02,1418.32,1.99058,1.53643,7.51843,0.975637,2.14022,0.469086,482.564,32.1357,1809.72,0.232547,0.895625,0.0316747,2075.12,250.893,350.325,4430.71,0.000483097,0.0308043,12.8532,9.77446,94.9064,69.1096,0.20168,9.96608,9.55407,95.3127,118.813,-0.406307,-49.7039 
49,46.05,0,49,2296.35,0.00598608,-4.29876,9.77498,95.9002,-0.0147317,6.96517,9.9308e-11,0.789469,3.61914,3.33181,1.46222,1.30836,-72.2967,109.982,19.1763,1914.76,1371.24,1.2447,4.07437,4.24228,1.91746,1.76359,0.679644,211.385,26.6876,2016.17,0.106459,0.819041,0.0238032,1985.61,336.694,230.609,6667.59,0.00045395,0.00339514,17.2478,11.7121,102.229,64.4572,0.270674,9.27068,8.77717,95.5887,120.049,6.63993,-55.5919 
