cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
137,43.2405,0.64,0.01,1.62,137,12904.1,-0.323244,23.5571,13.4547,89.6464,-0.106321,156.312,11.8213,1.1235,0.612054,6.43345,0.811057,-0.549686,-28.9763,5997.41,14.9783,8290.28,10858.9,1.30596,0.79451,6.79836,0.993513,-0.36723,0.28627,6035.8,15.7309,8328.67,0.451611,0.99546,0.00346725,13365,3991.58,35126,65332.6,-0.00142717,0.45276,13.6944,11.7181,90.6646,69.5026,0.601855,13.0071,13.1011,89.1138,120.844,1.55082,-51.3411 
138,43.268,0.64,0.01,1.62,138,14970.4,-0.200195,27.6006,13.0322,89.8573,-0.215866,303.878,500,-0.807142,1.39925,2.78185,0.339106,-0.212262,-26.1994,7577.11,12.5253,8846.34,13844.7,-0.642171,1.56422,3.11179,0.504077,-0.047291,0.307047,7611.81,13.2058,8881.04,0.493404,0.996973,0.00273166,15427.1,5575.62,60999.1,80381,-0.00152367,0.62201,13.0839,11.3161,90.7777,69.4506,0.691775,12.8192,12.3589,89.3769,120.598,1.40079,-51.1477 
139,43,0.64,0.01,0,139,14661.3,0.0119359,26.8856,12.7097,90.0327,0.0161047,-31.4818,500,0.714674,1.2668,1.09564,0.62043,-0.477291,-52.9201,7439.21,21.1572,8490.88,11140.2,1.0479,1.60002,1.76208,0.953654,-0.144067,0.662409,7509.31,22.5318,8560.98,0.499191,0.994777,0.00482487,15043,5233.45,58495.8,74205.9,-0.00117875,0.613346,12.8462,11.3413,90.9767,69.8796,0.66946,12.6459,12.334,89.4006,121.203,1.57609,-51.3236 
140,43,0.64,0.01,0,140,13504,-0.27817,25.1273,13.1694,89.8264,0.365114,-272.106,497.195,-0.947899,0.259334,3.20712,1.34963,-0.371947,6.59435,6867.23,15.2694,8105.61,14006.4,-0.989422,0.217811,3.12408,1.30811,-0.41347,0.0378879,6858.5,15.0981,8096.88,0.490462,0.996162,0.00342318,13983.7,4738.58,50482.2,69323.3,-0.0014741,0.568278,12.9938,11.2722,90.8212,69.1907,0.652971,12.6478,12.0957,89.5653,120.216,1.25586,-51.0258 
141,43,0.64,0.01,0,141,14724.4,-0.33,27.475,13.0031,89.9369,-0.545275,799.932,264.961,0.522917,2.52274,5.08163,-1.38829,-0.594911,-32.5017,7515.91,16.2986,8595.04,25829.1,0.727572,2.7274,5.49094,-1.18364,-0.390257,0.255165,7558.97,17.1428,8638.09,0.498597,0.996047,0.00364246,15160.5,5392.55,60159.8,76524,-0.00155449,0.615489,13.0181,11.4624,90.8722,70.008,0.673486,12.8398,12.3972,89.3613,121.327,1.51089,-51.3194 
142,43.188,0.64,0.01,1.62,142,15602.3,-0.0949886,28.4042,12.9218,89.9388,0.133734,-264.13,499.675,-0.718914,1.24464,2.01917,1.58919,-0.406267,1.06967,7952.08,12.5694,8996.83,13098,-0.72565,1.23791,2.0057,1.58245,-0.413003,0.456067,7950.67,12.5416,8995.41,0.501094,0.997247,0.00256173,15866.6,5748.7,64791.3,80976.2,-0.00121478,0.632364,13.0694,11.6159,90.9027,70.1929,0.695019,12.5609,12.5703,89.3952,121.565,1.50752,-51.3725 
143,43.2305,0.64,0.01,1.62,143,13037.2,-0.294528,23.966,13.2098,89.7606,0.933595,-310.944,38.1871,2.19569,2.44028,3.35959,-0.191729,-0.823051,-14.0907,6242.33,16.481,8093.38,19756.1,2.28441,2.529,3.53704,-0.103004,-0.734326,0.529219,6261,16.847,8112.05,0.467253,0.995313,0.00381109,13399.6,4187.11,40138.3,65423.3,-0.00129115,0.50081,13.1398,11.3919,90.8888,69.8183,0.615096,12.9209,12.6144,89.1028,121.218,1.78595,-51.3997 
144,43.2355,0.64,0.01,1.62,144,13291.3,-0.0188091,24.5255,12.8836,89.7907,0.00988339,-4.34852,500,-0.936187,3.37211,1.85577,0.509341,0.957734,-95.9597,6417.59,11.9356,8284.7,10287.5,-0.331954,3.97635,3.06423,1.11357,1.56197,0.673468,6544.7,14.4281,8411.82,0.469252,0.996157,0.00314965,13947.1,4302.14,41819.3,66583.1,-0.00142869,0.506364,13.0183,11.7362,90.703,70.322,0.612752,13.0533,12.8293,89.1627,121.749,1.54033,-51.4267 
145,43.2455,0.64,0.01,1.62,145,14005.2,-0.0386419,25.1005,13.3907,89.8628,0.0381035,-61.7235,500,1.49295,1.33152,3.91015,2.89418,-0.305488,-9.08731,6764.55,23.0341,8620.75,11018.1,1.55017,1.38874,4.02459,2.9514,-0.248267,0.583662,6776.58,23.2701,8632.79,0.471466,0.994027,0.00494096,14373.4,4539.09,44944,69758,-0.00138756,0.513623,13.547,11.7924,90.8787,69.232,0.619765,13.1636,13.0153,89.2545,120.155,1.62414,-50.9234 
146,43,0.64,0.01,0,146,15175.1,-0.0479286,27.0941,13.3064,90.1246,-0.0184594,27.4302,500,2.17594,0.713007,-0.544593,1.88127,0.91181,16.8001,7648.81,25.5992,8876.35,11752.8,2.07015,0.607221,-0.756165,1.77549,0.806024,1.16794,7626.55,25.1629,8854.1,0.494647,0.994259,0.0052079,15418.2,5338.61,58601.5,76543.6,-0.00122716,0.596792,13.2727,11.6016,91.1316,69.803,0.66291,13.018,12.6026,89.6256,120.87,1.50597,-51.0668 
147,43.238,0.64,0.01,1.62,147,11644.5,-0.352327,21.8932,-13.3781,89.7604,2.58818,2484.5,23.1209,1.27066,1.9368,3.93565,1.89607,-0.0860176,-8.16369,5506.98,17.102,7608.02,218863,1.32206,1.98821,4.03846,1.94747,-0.034613,0.563956,5517.8,17.314,7618.84,0.451451,0.994539,0.00416879,12222.4,3516.7,30670.5,57331.9,-0.00157806,0.428034,13.3365,11.7706,90.8169,69.4827,0.573655,12.9671,12.6893,89.0768,120.728,1.74011,-51.2451 
