cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
62,45,0,62,7562.42,-0.292547,18.4931,-10.6765,89.0903,0.403726,234.494,386.009,-0.542127,-0.125872,-0.634066,1.62428,-1.53005,-59.8511,-0.88969,926.61,4422.37,9509.27,-0.16526,0.250994,0.119667,2.00114,-1.15318,0.886395,4.76331,941.308,4428.02,0.00122092,0.00288327,0.2814,3901.42,4548.3,22.1086,84825.5,-4.83439,4.83596,5650.73,2716.81,91.4308,68.7817,0.99363,10.5632,10.2898,89.0448,124.427,2.38601,-55.6453 
63,15,0,63,6841.54,-0.266358,16.1331,11.0837,89.3416,-0.236716,358.737,9.12225,-2.87071,-2.06809,-2.84705,-1.69552,-0.668571,-56.0043,14.921,923.884,3972.54,8585.41,-2.51807,-1.71544,-2.14176,-1.34288,-0.315927,0.733415,20.2107,937.637,3977.82,0.00574054,0.0121672,0.302754,3520.7,3703.14,21.654,68863,-4.4602,4.46219,-4106.23,2699.53,85.0808,75.6416,0.905649,10.6181,9.9016,89.1688,123.618,-4.08795,-47.9768 
67,150,0,67,7314.34,-0.249592,17.4479,10.7281,89.209,-0.178493,185.872,30.5853,-0.518124,1.24963,-1.61193,-3.77482,-1.04973,-74.2426,-13.4792,987.929,4229.16,7173.44,-0.0506381,1.71712,-0.676957,-3.30733,-0.582249,0.766571,-6.46687,1006.16,4236.18,-0.00173777,-0.00368626,0.304363,3721.37,4154.01,22.8858,77649.4,-0.00104515,-0.0082638,9.49748,8.93154,98.4292,62.0001,0.95166,10.5725,10.2215,89.0846,124.683,9.3446,-62.6825 
68,75,0,68,7658.28,-0.254762,18.6235,10.4835,88.9834,-0.0606827,246.776,480.54,-0.372556,-0.553771,0.0671533,-0.727242,-0.226616,-71.5648,9.55688,1073.26,4470.07,6843.19,0.078069,-0.103147,0.968403,-0.276617,0.224008,-0.0872186,16.3162,1090.84,4476.83,0.00412451,0.00847473,0.309799,3955.92,4601.19,25.0839,87048.7,-0.0174854,0.0208289,214.632,135.735,85,75.9999,1.01627,10.4301,10.0416,88.8428,124.632,-3.84284,-48.6325 
69,30,0,69,7399.22,-0.0184736,17.758,10.5494,88.8699,-0.0374856,45.4841,7.87724e-05,1.20756,-3.38515,-2.35726,2.0565,-2.61765,-50.0886,1.07738,1014.55,4304.65,6153.91,1.52296,-3.06976,-1.72647,2.37189,-2.30226,0.46109,5.8083,1026.85,4309.38,0.00152928,0.00322183,0.305044,3798.06,4274.85,21.1476,80594.1,-0.00110057,0.00301224,0.0176035,-8.45475,88.0569,65.9029,0.9722,10.4797,10.1926,88.7245,123.899,-0.667581,-57.9961 
70,1,0,70,7347.94,-0.0233686,17.5459,10.5533,89.0179,0.0778558,-45.8299,499.93,-0.7304,-0.721335,-1.50169,-0.0532966,0.296357,-43.6728,-10.9979,983.079,4256.76,6143.95,-0.455404,-0.446339,-0.951698,0.2217,0.571353,0.1025,-6.87292,993.804,4260.89,-0.00183635,-0.00396755,0.300528,3742.71,4255.85,22.5204,78821.9,-0.00120704,-0.00984154,8.89715,-7.16137,99.9991,62,0.956839,10.6968,10.2703,88.8449,124.975,11.1542,-62.975 
75,60,0,75,7404.86,-0.0474916,17.6027,10.4234,89.4571,0.0427302,54.7359,0.01451,-0.00906808,0.247507,-2.97265,2.33302,-1.16719,-71.9631,5.39029,926.415,4317.03,6049.03,0.444065,0.700639,-2.06638,2.78615,-0.714056,2.79619,12.1873,944.087,4323.83,0.00319277,0.00732259,0.286843,3817.15,4281.94,17.9948,81219.9,-0.00104205,6.60891e-05,-124.663,-0.37002,99.9744,65.7334,0.980668,10.4097,10.1174,89.1323,124.087,10.8421,-58.354 
78,105,0,78,7493.07,-0.249712,17.9278,10.6582,89.2209,0.365578,58.7851,413.157,0.198377,-0.497103,-0.532109,0.698871,1.09465,-101.485,-22.4822,1018.86,4338.6,6919.83,0.837404,0.141924,0.745944,1.3379,1.73368,0.844493,-12.8968,1043.78,4348.19,-0.00338188,-0.00711073,0.306613,3813.51,4368.3,21.6362,81624.7,-0.00111419,-0.0103902,-8.05404,-9.0637,100,62,0.973971,10.6057,10.2537,89.1872,124.849,10.8128,-62.8493 
79,120,0,79,7293.02,-0.219337,17.4133,10.5258,89.2533,-0.274885,319.082,0.00129524,-1.84871,0.893922,0.00822885,-0.437471,-0.053007,-101.398,1.85121,976.988,4285.34,8821.94,-1.21023,1.5324,1.28518,0.201006,0.585471,0.463126,11.4284,1001.89,4294.92,0.00301464,0.00647597,0.300559,3790.95,4198.58,25.2888,80328.8,-0.000913449,-0.00390409,-1.12816,-5141.33,89.0696,69.7352,0.984201,10.3184,9.92275,89.102,124.614,-0.0323211,-54.8788 
81,90,0,81,7032.14,-0.257035,16.9884,10.7071,89.4299,-0.586221,75.627,499.999,-1.0809,-1.21423,-0.750045,0.385451,-0.0727183,-82.2611,-5.04822,1003.21,4130.78,7364.57,-0.562919,-0.696252,0.285907,0.903427,0.445258,0.238437,2.72142,1023.41,4138.54,0.000746691,0.00151722,0.312965,3644.64,3930.78,24.575,74603.9,-0.000975804,0.00173619,26.9077,-0.218253,93.0142,65.9542,0.944536,10.4229,9.93728,89.2864,124.522,3.7278,-58.5677 
