cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
624,3,4,2,624,21582,-0.0405849,41.354,12.1205,118.195,0.0579579,-23.2697,4.80569,-6.48306,-7.65662,-12.0795,-5.47163,-2.32309,-172.546,12104.6,14.2635,10828.8,16360.7,-5.39658,-6.57014,-9.90657,-4.38516,-1.23661,0.639696,12242,26.758,10966.2,0.527486,0.99619,0.00447469,23208.3,-0.00153791,1.21301,12.3616,10.1495,117.648,88.0215,1.01254,12.0362,10.9666,117.402,137.191,0.245507,-49.1691 
625,5,6,2,625,21587.6,-0.0189161,40.358,12.3829,118.121,0.0256289,13.2008,0.104987,-8.83259,-6.88486,-7.94338,-3.50128,-4.63756,-157.033,12100.7,33.1565,10721.9,16279.5,-7.84379,-5.89607,-5.96579,-2.51248,-3.64876,0.769366,12225.7,44.5277,10847,0.529879,0.993667,0.00750524,23072.7,-0.00150005,1.17625,12.6766,10.1952,117.642,87.9104,0.96042,12.3901,11.2073,117.401,137.358,0.240546,-49.4473 
626,16,17,2,626,21343.4,-0.00154088,40.1348,12.2988,118.072,0.00892666,9.52022,3.13934e-12,-1.95005,-4.32834,-7.6612,-5.19522,-3.08252,-220.444,12316.2,17.3923,10281.5,16071.4,-0.561976,-2.94026,-4.88505,-3.80714,-1.69445,0.648276,12491.8,33.3552,10457.1,0.544332,0.995349,0.00584148,22948.9,-0.00146643,1.21796,12.5211,10.1084,117.652,87.2327,0.92527,12.406,11.1308,117.374,136.398,0.277238,-49.1652 
627,14,15,2,627,19208.1,-0.052397,36.7067,12.17,118.075,0.0179732,28.224,0.0131298,-5.77545,-10.7837,-11.9055,-2.13843,-2.88085,-214.506,11114.9,31.0626,9366.61,14558.7,-4.42476,-9.433,-9.20409,-0.787746,-1.53016,0.637345,11285.7,46.5955,9537.47,0.541979,0.992827,0.00891937,20823.2,-0.00139725,1.10149,12.3924,10.1855,117.533,88.0381,0.838018,12.2616,11.266,117.491,137.323,0.0421661,-49.2849 
628,4,5,2,628,21659.5,-0.322664,39.8131,12.7362,117.926,0.155145,412.497,65.2254,-9.4991,-2.50833,-8.88354,-5.56561,-2.69118,-214.482,12012.7,55.7717,10632,18590.1,-8.14856,-1.15779,-6.18246,-4.21507,-1.34064,0.70622,12183.6,71.3028,10802.8,0.530034,0.989862,0.0120125,22986.4,-0.00125758,1.10597,12.837,10.6057,117.442,87.8183,0.899168,12.6071,11.6731,117.248,137.014,0.194413,-49.1959 
629,7,8,2,629,21238.1,-0.000175347,40.0247,-12.2737,118.173,-0.0165153,-18.1472,500,-5.5002,-3.67886,-13.9263,-4.01288,-1.43508,-174.226,11856.6,10.3109,10621.6,16001.7,-4.40315,-2.5818,-11.7322,-2.91582,-0.338026,0.466014,11995.4,22.927,10760.4,0.527135,0.996666,0.0039096,22755.8,-0.00147191,1.17883,12.515,10.112,117.656,88.1806,0.965047,12.3286,11.0549,117.481,137.315,0.174551,-49.1341 
630,2,3,2,630,20983.5,-0.20733,39.5126,-12.4164,118.09,-0.162857,202.4,499.948,-5.63319,-2.2753,-3.84638,-0.795713,-4.54028,-221.526,11893.4,26.5962,10321.4,17043.7,-4.2383,-0.880414,-1.0566,0.599177,-3.14539,0.878851,12069.8,42.6374,10497.8,0.534829,0.993856,0.00742625,22567.6,-0.00150552,1.1336,12.8298,10.2941,117.665,88.0264,0.917727,12.2803,11.3878,117.322,137.341,0.343092,-49.3142 
631,1,2,2,631,20717.1,-0.325044,39.5308,12.3162,117.903,0.354143,-7.05556,494.327,-5.96359,-4.26674,-10.5312,-2.26136,-2.71857,-220.348,11593.3,22.8113,10271.5,15930.5,-4.57612,-2.87927,-7.75624,-0.873888,-1.3311,0.554664,11768.8,38.7672,10447,0.529749,0.994268,0.00678934,22215.9,-0.00139232,1.1739,12.4203,9.95308,117.412,87.9314,0.941514,12.2095,11.1438,117.252,137.317,0.159875,-49.3852 
632,9,10,2,632,22051.1,-0.201674,40.942,12.5729,118.213,0.11973,87.5998,374.79,-2.56748,-5.29423,-6.88823,-5.59627,-3.53528,-187.5,12322.2,45.6225,10799,17098.5,-1.38684,-4.11359,-4.52695,-4.41563,-2.35465,0.730501,12471.6,59.1998,10948.4,0.532519,0.991762,0.00986234,23420,-0.00135047,1.17585,12.6715,10.3441,117.873,87.7179,0.93174,12.5056,11.5741,117.364,137.077,0.508637,-49.3595 
633,30,31,2,633,20531.3,-0.290637,39.1153,12.244,118.191,0.232281,162.954,466.023,-6.66491,-5.07515,-9.61763,-5.59577,-1.96928,-163.217,11000.9,3.72321,10680.9,16822.9,-5.63718,-4.04742,-7.56216,-4.56804,-0.941543,0.66769,11130.9,15.5422,10810.9,0.507293,0.997562,0.00264128,21941.9,-0.00136447,1.0908,12.4107,10.2015,117.741,88.0003,0.96528,12.25,11.2013,117.502,137.371,0.23878,-49.3709 
634,25,26,2,634,21329.7,-0.0865436,39.5647,12.5009,118.03,0.056277,-45.058,500,-4.32756,-3.44758,-11.5132,-4.74717,-2.26913,-220.929,11825.6,41.5193,10614.3,16183.2,-2.93643,-2.05645,-8.73091,-3.35605,-0.878001,0.513811,12001.6,57.5173,10790.3,0.526573,0.991683,0.00972382,22791.8,-0.00141869,1.10663,12.7976,10.4972,117.646,87.8521,0.92638,12.4479,11.4841,117.218,137.324,0.427957,-49.4718 
635,20,21,2,635,21820.8,0.0157406,40.5255,12.4318,118.138,-0.0060355,-18.7835,3.70973,-6.25382,-3.58117,-9.60578,-3.5563,-4.54475,-206.742,11798.6,24.7785,11278.8,16404.2,-4.95202,-2.27937,-7.00218,-2.25451,-3.24295,0.645118,11963.2,39.7492,11443.5,0.511102,0.994219,0.0063579,23406.7,-0.00149287,1.12338,12.6534,10.3934,117.581,88.0608,0.980223,12.4827,11.4749,117.487,137.335,0.0931534,-49.2738 
636,6,7,2,636,20505.3,-0.0757768,38.5632,12.4016,118.101,0.0349482,18.5561,499.991,-3.7046,-1.71399,-7.33623,-3.17037,-1.10302,-198.098,11558.2,38.0746,10191.3,15589.6,-2.45723,-0.466618,-4.84149,-1.923,0.144353,0.492718,11716,52.4193,10349.1,0.530973,0.992231,0.0092442,22065.1,-0.00147378,1.11991,12.4929,10.3515,117.591,88.0912,0.87616,12.5295,11.5622,117.502,137.38,0.0896692,-49.2888 
637,8,9,2,637,21868.1,-0.3203,40.7151,-12.5588,118.156,0.361209,62.8306,215.81,-8.02858,-4.18072,-8.39458,-6.17637,-4.06165,-198.406,11678.5,26.4429,11304.9,17384.3,-6.77927,-2.93141,-5.89596,-4.92706,-2.81234,0.747454,11836.5,40.81,11462.9,0.508018,0.994003,0.00651548,23299.5,-0.00137194,1.12253,12.7684,10.2321,117.655,88.3713,0.997871,12.4072,11.3391,117.377,137.965,0.277792,-49.5933 
638,10,11,2,638,21806.1,-0.103384,39.9894,12.6241,117.97,0.116439,5.68062,499.994,-3.22569,-4.27672,-9.49991,-1.75117,-4.5627,-172.252,12470.8,41.0252,10439.1,16455.5,-2.14107,-3.1921,-7.33066,-0.66654,-3.47808,0.56387,12608.1,53.4984,10576.3,0.543818,0.992629,0.00923199,23184.3,-0.0013925,1.1689,12.8369,10.4532,117.548,88.4916,0.898387,12.5518,11.5035,117.148,137.833,0.399717,-49.3417 
639,18,19,2,639,21415.8,-0.0797772,39.739,12.566,117.919,0.0681699,15.5253,479.165,-9.73098,-4.53533,-11.2823,-2.78583,-3.68298,-214.043,12127.9,35.55,10495,16290.3,-8.38321,-3.18756,-8.58673,-1.43806,-2.33521,0.641184,12298.4,51.0493,10665.5,0.535553,0.992788,0.00873997,22963.9,-0.00149132,1.14534,12.8118,10.396,117.529,87.7409,0.919299,12.4255,11.4338,117.089,137.118,0.439992,-49.3768 
640,12,13,2,640,22776.4,-0.0613037,41.5198,12.5186,117.996,-7.11423e-05,-6.72583,500,-5.3235,-8.30254,-9.16286,-3.06607,-7.57694,-163.953,12469.2,52.027,11125.5,16920.3,-4.29113,-7.27017,-7.09813,-2.03371,-6.54457,0.739401,12599.8,63.8992,11256.1,0.528164,0.991203,0.0103492,23855.9,-0.00106151,1.17047,12.6898,10.476,117.432,87.6915,0.957983,12.4832,11.5618,117.369,137.014,0.0626834,-49.3224 
641,40,41,2,641,20520.2,-0.212038,38.963,12.4081,118.201,0.327304,5.81857,500,-9.59221,-4.77412,-8.37234,-4.45002,1.21255,-266.28,11401.2,43.788,10435,15800.1,-7.91552,-3.09743,-5.01895,-2.77333,2.88924,0.68466,11613.3,63.07,10647.1,0.521702,0.990586,0.0107942,22260.5,-0.00162618,1.10457,12.6172,10.3044,117.71,87.8043,0.915823,12.429,11.4599,117.52,137.188,0.190527,-49.3838 
642,60,61,2,642,20090.4,-0.329131,37.9395,12.4861,118.034,1.99056,-804.805,255.695,-7.94186,-8.07707,-11.2822,-2.86286,-2.85602,-222.721,10625.4,26.9865,10632.6,67572,-6.53945,-6.67466,-8.47738,-1.46045,-1.4536,0.655469,10802.8,43.1143,10810,0.499833,0.993064,0.00729341,21612.8,-0.00141591,1.04566,12.5164,10.1905,117.567,87.8441,0.944034,12.4514,11.2718,117.276,137.056,0.290525,-49.2123 
643,50,51,2,643,19458.4,-0.342222,36.9373,12.4935,118.057,0.25157,1125.4,8.8761,-3.9306,-2.56006,-7.91182,-6.67747,1.16026,-172.738,10712.5,47.1253,9958.04,24238.9,-2.84292,-1.47237,-5.73645,-5.58979,2.24795,0.571701,10850.1,59.6337,10095.6,0.518009,0.990473,0.010764,20945.7,-0.0013725,1.05101,12.4796,10.2015,117.483,87.2611,0.877676,12.4206,11.3487,117.486,136.484,-0.0038367,-49.2225 
