cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,-3.98,43.2427,27,5312.85,-0.0495244,21.0502,8.23278,120.884,-0.0116149,-11.7548,498.727,-5.00578,-1.78699,-6.15649,-6.49582,-7.28879,-839.844,4031.57,5.17542,4442.49,5645.98,0.282498,3.50129,4.42006,-1.20754,-2.00051,0.115243,4700.54,65.9906,5111.45,0.519668,0.976021,0.0232297,9045.28 
28,-4.02,43.2027,28,7447.84,-0.589431,26.4392,8.64703,121.113,0.484776,1177.27,302.511,-7.41701,1.03923,-9.79585,-10.8399,-7.9785,-805.799,5247.51,11.8961,5325.68,26020.9,-2.34311,6.11313,0.351951,-5.76597,-2.9046,1.07738,5889.36,70.246,5967.53,0.537264,0.979553,0.0212239,10961.8 
29,-3.99,43.2327,29,6616.1,-0.0193111,23.7701,8.38149,121.032,0.00142347,27.5821,500,-3.18789,-2.39492,-10.6506,-1.98584,-3.40751,-753.919,4561.4,11.4551,5265.01,6486.83,1.55934,2.35231,-1.15616,2.76139,1.33972,1.16862,5161.93,66.0482,5865.53,0.508683,0.978099,0.0203213,10147.6 
30,-3.93,43.2927,30,8985.82,-0.305238,28.9372,8.79217,120.972,-0.178196,-497.026,0.634098,-3.10219,-6.60133,-12.0158,-8.51328,-6.08021,-737.699,5713.44,24.8852,6267.73,11165.4,1.54291,-1.95623,-2.72565,-3.86818,-1.43512,0.677142,6301.05,78.3039,6855.34,0.519542,0.978715,0.0206075,12128.1 
31,-3.97,43.2527,31,6967.82,-0.108135,25.14,8.4673,120.933,0.208197,-39.4503,499.155,-2.91118,-2.6657,-14.8783,-2.18431,-6.18294,-908.573,5195.48,4.30481,5134.04,7196.92,2.80986,3.05534,-3.43619,3.53673,-0.461905,1.62432,5919.2,70.0968,5857.76,0.543131,0.979697,0.0215681,10898.3 
32,-4.025,43.1977,32,7425.42,-0.0193182,26.3053,8.26827,120.786,0.0251951,-11.8734,500,-4.06094,-2.88626,-10.6781,-6.06164,-3.31292,-792.781,5013.1,8.99053,5631.3,7090.06,0.930992,2.10567,-0.694247,-1.06972,1.67901,1.2352,5644.58,66.3977,6262.78,0.514644,0.97983,0.0191558,10967.9 
33,-3.98,43.2427,33,6629.8,-0.0302921,24.0108,8.29244,120.838,0.0269717,17.9907,500,-4.36642,-5.09465,-9.89179,-4.87517,-3.39645,-814.19,4852.76,9.23225,4945.53,6497.42,0.760315,0.0320895,0.361682,0.251562,1.73028,0.884665,5501.29,68.1897,5594.06,0.536385,0.978769,0.0219615,10256.2 
34,-4.04,43.1827,34,7690.62,-0.050498,26.9051,8.20136,121.09,0.0253228,-23.2802,494.204,-2.69582,-8.70321,-13.0898,-4.60732,-6.47744,-858.799,5485.3,2.5022,5383.49,7202.36,2.71181,-3.29558,-2.27452,0.800315,-1.06981,0.2728,6169.37,64.69,6067.56,0.54467,0.981981,0.0192615,11326.8 
35,-3.94,43.2827,35,7621.93,-0.019692,26.5491,8.33302,120.921,0.00113897,7.28776,500,-5.4411,-6.55114,-15.3624,-3.23366,-7.96793,-860.179,5332.44,14.9907,5519.7,7202.16,-0.0247814,-1.13483,-4.52972,2.18266,-2.55161,0.252309,6017.61,77.2784,6204.86,0.532921,0.97802,0.0224279,11291.7 
36,-3.96,43.2627,36,9059.7,-0.0520943,28.7853,8.68101,120.836,0.0678316,-5.95378,500,-8.95417,-6.43071,-12.0608,1.81522,-5.29735,-727.114,5883.34,25.2236,6191.45,8147.76,-4.37572,-1.85227,-2.90388,6.39366,-0.718901,0.160026,6462.52,77.8757,6770.63,0.528954,0.979347,0.0207483,12217.5 
37,-3.995,43.2277,37,6982.73,-0.189767,25.3142,-8.81008,120.721,-0.533264,1025.97,492.767,-2.9681,-4.99534,-14.9295,-7.65484,-6.16897,-861.597,5065.67,18.8837,5313.02,25070.4,2.45715,0.429912,-4.07896,-2.22959,-0.743723,0.0207082,5751.96,81.2741,5999.32,0.530067,0.97587,0.0243478,10851.4 
38,-3.955,43.2677,38,7618.16,-0.0431309,26.585,8.32155,120.807,0.0613961,135.933,500,-13.3947,-4.62624,-5.95384,-10.4494,-8.62183,-964.457,5449.74,19.0566,5448.12,7473.39,-7.3218,1.44669,6.19202,-4.37647,-2.5489,1.93698,6217.97,88.8954,6216.35,0.540605,0.975592,0.0256664,11501.9 
39,-4.03,43.1927,39,6645,-0.66871,25.4944,8.63611,120.689,-1.69346,2130.24,315.281,-7.90129,-5.32813,-9.97918,-4.62171,-7.56766,-975.66,5088.89,8.32541,5082.52,124603,-1.75782,0.815339,2.30777,1.52177,-1.42418,-0.577558,5866.04,78.9753,5859.67,0.54081,0.976982,0.024226,10846.8 
40,-3.935,43.2877,40,9215.7,-0.0235729,29.9065,8.62424,120.952,-0.00311585,-14.9577,500,-3.60833,-0.934428,-10.6113,-2.32248,-7.84962,-852.363,6149.55,19.1629,6321.24,8397.69,1.75877,4.43268,0.12287,3.04463,-2.48251,0.982132,6828.49,80.8846,7000.18,0.534367,0.979692,0.0208413,12778.6 
41,-3.975,43.2477,41,8105.37,-0.553841,27.5156,8.68117,120.889,0.00733496,-1606.39,273.695,-7.92248,-5.24752,-6.95038,-1.25395,-5.95977,-773.541,5464.41,16.5574,5780.34,8159.5,-3.05171,-0.376743,2.79118,3.61683,-1.089,-0.476374,6080.56,72.5714,6396.49,0.527937,0.979541,0.0204717,11517.6 
42,-4.01,43.2127,42,7889.05,-0.0246991,27.0923,8.51793,120.956,0.0308408,-17.2618,500,-1.07025,-4.08271,-12.1482,-7.93598,-4.35675,-773.489,5175.89,28.3875,6014.27,7529.66,3.80021,0.787742,-2.40724,-3.06552,0.51371,-5.48674,5792,84.3978,6630.39,0.506833,0.975134,0.0229108,11427.8 
43,-3.965,43.2577,43,8768.48,-0.0109425,28.4442,8.64922,121,0.00728366,-23.7297,500,-1.15564,-1.59988,-13.4487,-6.19976,-6.11089,-723.245,5568.02,13.9827,6319.39,8014.4,3.39844,2.9542,-4.34058,-1.64567,-1.55681,-2.64625,6144.11,66.3547,6895.48,0.511784,0.981451,0.0174177,12005.3 
44,-4.02,43.2027,44,7088.93,-0.0754777,24.0139,8.5924,121.129,0.00410914,-102.616,35.7536,-2.57959,-3.29795,-14.5749,-4.63532,-1.91178,-771.224,5087.24,21.7988,5012.78,6730.68,2.2766,1.55824,-4.86247,0.22087,2.94441,3.27468,5701.55,77.645,5627.09,0.543803,0.976723,0.0247881,10484.6 
45,-4.005,43.2177,45,8732.59,-0.311618,28.543,8.79211,120.971,-0.0347064,264.127,8.91451e-08,-4.43251,-0.557626,-4.24458,-8.91871,-8.10423,-783.989,5739.31,27.162,6175.74,8467.76,0.504061,4.37894,5.62856,-3.98214,-3.16766,-0.674288,6363.79,83.9326,6800.21,0.524029,0.97744,0.022231,12144 
46,-3.945,43.2777,46,6786.53,-0.598757,24.8929,8.6496,120.901,0.969744,1631.58,488.084,-4.29878,-6.23354,-6.88086,-2.23012,-5.46744,-825.222,4873.17,23.9373,5187.95,58515.7,0.897425,-1.03733,3.51154,2.96608,-0.271237,0.421157,5530.49,83.6936,5845.27,0.526765,0.9742,0.0256978,10499 
47,-4.035,43.1877,47,7750.47,-0.243287,26.1268,8.54391,120.803,0.167214,141.058,0.0339792,-2.23961,-4.7896,-6.76311,-7.0119,-8.88882,-720.483,5201.54,21.7484,5460.74,8034.54,2.29709,-0.252913,2.31027,-2.47521,-4.35213,1.93424,5775.43,73.9203,6034.63,0.529619,0.978092,0.0220667,10904.9 
48,-4.015,43.2077,48,7231.5,-0.0733122,26.3761,-8.36853,120.578,0.0229907,3.74935,500,-4.80577,-6.30236,-9.00892,-6.02576,-7.5587,-984.096,5172.62,12.5944,5669.52,7188.27,1.39082,-0.10577,3.38425,0.170828,-1.36211,0.0269602,5956.48,83.8551,6453.39,0.520587,0.975956,0.0233767,11441.9 
49,-4,43.2227,49,8191.26,-0.0291655,27.379,8.51165,120.846,0.00456087,17.0472,500,0.801255,-3.77803,-11.918,-1.45249,-7.24394,-774.912,5677.49,23.9746,5664.14,7588.77,5.68067,1.10139,-2.1592,3.42693,-2.36452,1.37979,6294.74,80.0879,6281.39,0.541068,0.97822,0.0229479,11633.9 
50,-3.985,43.2377,50,5917.96,-0.0900398,21.7309,8.43904,120.923,0.112678,41.6684,8.0718e-07,-1.69139,-4.10634,-13.2768,-2.01489,-1.37868,-783.432,4067.03,12.3095,4877.04,6122.73,3.24167,0.826728,-3.41069,2.91817,3.55438,1.47834,4691.07,69.0398,5501.08,0.500809,0.974891,0.0225964,9366.98 
51,-3.95,43.2727,51,8768.86,-0.107242,29.3221,8.61316,120.89,-0.131265,455.562,0.00356888,-2.00702,-2.35742,-8.3052,-3.87281,-3.59096,-873.62,6040.82,22.935,6151.52,10168.2,3.49393,3.14353,2.6967,1.62814,1.90999,0.790503,6736.69,86.1959,6847.39,0.53649,0.978099,0.0226631,12557 
52,-3.99,43.2327,52,5473.68,-0.0340742,22.2919,8.17311,120.977,0.19128,-57.6652,499.999,-2.51693,-3.74297,-6.90788,-7.29588,-2.66272,-885.55,4306.61,9.16401,4698.97,6290.09,3.05915,1.8331,4.24427,-1.71981,2.91335,0.589134,5011.98,73.2888,5404.34,0.521773,0.975049,0.0243721,9605.67 
53,-3.93,43.2927,53,8459.32,-0.0462254,27.8098,8.52909,120.75,0.0142845,15.3591,0.00761144,-4.73003,-1.1725,-0.364226,-6.99086,-10.5215,-710.119,5512.25,15.1126,5869.95,7728.55,-0.2586,3.29893,8.57863,-2.51943,-6.05004,-1.81314,6077.89,66.534,6435.58,0.526309,0.981203,0.0186886,11548.1 
54,-3.97,43.2527,54,8591.58,0.121246,27.504,8.59845,121.003,-0.0796526,-142.085,4.63047,0.0504575,-6.56456,-9.63705,-9.24126,-3.1517,-741.085,5705.19,14.3834,5909.57,8067.02,4.71687,-1.89814,-0.304222,-4.57485,1.51471,0.442436,6295.49,68.0472,6499.87,0.532596,0.981436,0.0189201,11820.4 
55,-4.025,43.1977,55,8347.36,-0.144407,26.9823,8.65997,121.036,-0.711514,731.823,0.000111941,-2.68824,-3.68971,-9.7446,-9.85037,-3.24916,-673.354,5652.22,11.75,5583.38,24557.2,1.55169,0.550225,-1.26473,-5.61044,0.990774,0.665634,6188.57,60.5092,6119.73,0.543317,0.983177,0.0178881,11390.3 
