cyc,gain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,-9,22,11165.7,-0.342127,23.9673,11.7355,122.54,7.44365,10675,43.6394,-3.2037,-4.73023,-7.98795,1.0151,-3.67651,-561.55,193.287,69.6667,12951.2,2.59588e+06,0.332232,-1.1943,-0.91609,4.55104,-0.140574,1.34802,640.582,110.33,13398.5,0.0443584,0.768398,0.0149421,14441.1,-0.00169287,-0.0132565,16.2922,6.62036,110.032,74.832,1.16192,12.0948,11.5112,122.402,131.944,-12.3692,-57.1122 
23,-8.5,23,11140.6,-0.0258218,24.4797,11.3237,122.753,0.0152414,-4.89589,4.80829e-12,-4.19399,-4.20918,-9.5345,-5.28362,-3.70136,-545.444,308.574,106.594,12894,9026.22,-0.759478,-0.774668,-2.66547,-1.8491,-0.266845,0.577952,743.04,146.091,13328.5,0.0513455,0.744007,0.0197914,14471.4,-0.00160352,-0.0125401,14.4542,6.64486,104.164,74.1945,1.20579,11.7962,11.2485,122.526,132.317,-18.3618,-58.1222 
24,-6.5,24,10637.1,-0.407242,23.9795,11.5613,122.644,0.0794901,228.852,498.769,-1.16861,-0.365091,-8.23706,-5.80575,-6.28551,-503.315,436,92.4431,12428,9617.12,2.00063,2.80415,-1.89858,-2.63651,-3.11627,0.333031,836.909,128.889,12828.9,0.0595636,0.787705,0.0181709,14050.7,-0.00242973,0.0385955,-13.6664,-19.2855,124.142,98,1.14171,11.9064,11.3229,122.441,132.819,1.70139,-34.819 
25,-6,25,12320,0.0694506,25.6267,11.5573,122.665,-0.00985831,-45.8963,2.42994e-13,-3.1177,-1.48872,-5.75884,-6.49316,-6.15163,-565.377,714.173,106.614,13554.9,9656.19,0.442332,2.07131,1.36122,-2.93313,-2.5916,1.82505,1164.52,147.555,14005.2,0.0746969,0.818504,0.0190384,15589.9,-0.0013024,-0.0265614,21.8658,0.0993185,124.106,88.5777,1.20172,12.1284,11.5997,122.429,131.95,1.67722,-43.3719 
26,-7.5,26,10798.5,-0.0282989,23.7141,11.4059,122.597,-0.00251081,19.9883,500,-5.44421,-0.434148,-10.0141,-4.89118,-5.0587,-591.515,288.915,80.29,12672.2,8806.7,-1.7196,3.29046,-2.56492,-1.16657,-1.33409,0.266057,760.078,123.123,13143.4,0.0531608,0.779133,0.0169636,14297.7,-0.00182469,-0.011417,14.4835,5.95713,103.002,74.7279,1.15406,11.9877,11.4679,122.378,131.733,-19.3763,-57.0052 
27,-7,27,10750.6,-0.356876,23.9145,11.4573,122.578,-0.0130226,-621.318,408.088,-0.489625,-1.27439,-6.59511,-8.11202,-4.90524,-538.369,380.005,89.2575,12429.6,9182.87,2.90034,2.11558,0.184824,-4.72205,-1.51528,1.1783,808.836,128.242,12858.5,0.0575559,0.7828,0.0180405,14053,-0.00168254,-0.00189814,88.4606,2.34108,146.931,71.7238,1.12966,11.9966,11.4686,122.404,132.116,24.527,-60.392 
28,-5.5,28,11417.2,-0.0351749,24.8449,11.3742,122.608,0.00471625,3.63804,3.99141e-14,-2.47798,-2.1049,-5.21247,-3.44801,-6.23046,-629.89,531.019,92.2247,12978.1,9199.78,1.48827,1.86135,2.72003,0.51824,-2.26421,0.3709,1032.75,137.837,13479.8,0.0692334,0.810659,0.0184881,14916.9,-0.00232881,0.0420949,13.7175,18.177,124.669,94.3595,1.1887,12.0269,11.3144,122.374,132.183,2.29443,-37.8233 
29,-8,29,11632.2,-0.0173431,24.84,11.4557,122.697,0.0147455,5.58118,500,-0.923725,-0.322978,-8.74539,-5.94688,-4.22109,-621.099,305.273,111.379,13309.6,9266.01,2.98717,3.58792,-0.923598,-2.03598,-0.310192,1.27943,800.001,156.354,13804.3,0.0532678,0.745143,0.0204381,15018.5,-0.00165258,-0.0130104,-13.9066,5.54952,104.284,76.3254,1.19865,12.0161,11.5601,122.483,132.165,-18.1992,-55.8394 
30,-9.5,30,11866.9,-0.355104,25.1446,-11.8529,122.692,-0.15469,183.381,0.903742,-4.86766,-3.39694,-5.88033,-8.89545,-5.67116,-611.308,214.322,100.144,13651.8,10625.5,-1.01841,0.452307,1.81816,-5.0462,-1.82191,1.32374,701.251,144.411,14138.7,0.0459411,0.735087,0.0184675,15264.1,-0.00172485,-0.014386,17.3655,6.71905,107.942,76.3145,1.18837,12.2826,11.7191,122.525,132.699,-14.5834,-56.3846 
31,-9,31,10778.7,-0.401076,23.7083,11.7939,122.65,0.0355579,-40.819,249.769,-3.66736,-2.74787,-7.39868,-9.58447,-2.96266,-619.936,203.893,103.997,12794.2,9149.54,0.236214,1.1557,0.408467,-5.6809,0.940913,1.13895,697.695,148.888,13288,0.0485038,0.728094,0.0202228,14384.3,-0.00192881,-0.0118793,17.3994,5.72731,109.036,75.3925,1.12347,12.1246,11.7501,122.493,131.785,-13.4568,-56.393 
