cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,31,31,10833.5,-0.0653593,23.9001,11.3906,122.525,0.0466684,195.204,3.24872e-07,-7.14606,-2.96587,-7.91982,-3.90124,-2.05942,-587.51,100.405,79.106,12944.7,9158.77,-3.44666,0.733522,-0.521037,-0.201843,1.63998,0.709898,568.378,121.649,13412.7,0.0395161,0.727511,0.0164328,14383.5,-0.00193355,-0.0145649,19.1696,6.18857,108.745,77.26,1.19735,11.9325,11.2924,122.307,132.637,-13.5624,-55.3767 
32,32,32,11471.6,-0.24845,24.1599,11.7874,122.762,-0.0269691,70.2897,500,-1.23384,-0.243736,-7.64317,-5.3056,-2.25495,-574.655,182.145,93.1113,13314.3,9332.37,2.38461,3.37472,-0.406266,-1.68715,1.3635,1.08078,639.879,134.724,13772,0.043162,0.730751,0.0177013,14825,-0.00171036,-0.0122604,18.773,7.09503,109.531,75.4715,1.17368,12.1549,11.6336,122.42,132.724,-12.889,-57.2528 
33,33,33,10493.7,-0.248104,23.1621,11.6562,122.421,0.00385857,13.1288,0.00255671,-3.39451,-1.2591,-8.27623,-7.24603,-5.72518,-630.26,128.212,81.9157,12557.3,8790.45,0.574068,2.70948,-0.339073,-3.27745,-1.7566,0.837731,630.237,127.554,13059.4,0.0447568,0.738452,0.0176743,14081.4,-0.00189051,-0.0163008,16.7684,6.50153,109.342,75.8247,1.15337,12.0096,11.3074,122.115,132.012,-12.7732,-56.1871 
34,34,34,10772.2,-0.0218897,23.5425,11.1395,122.575,0.00277005,1.1828,500,-0.674607,-3.42365,-7.02682,-5.27314,-1.32867,-578.128,143.769,85.6891,12618.6,8537.31,2.96571,0.216663,0.253813,-1.63282,2.31165,0.93832,604.269,127.553,13079.1,0.0429299,0.730247,0.017648,14075.7,-0.00166137,-0.0118482,20.9801,6.402,106.034,76.2175,1.1797,11.7836,11.2708,122.402,132.776,-16.3682,-56.5583 
35,35,35,10392.1,-0.370342,23.5356,11.3755,122.538,0.699125,456.429,3.17376,-5.17231,-6.93941,-7.06968,-8.44279,-2.31518,-613.293,143.519,79.951,12447.3,19103.2,-1.31057,-3.07767,0.6538,-4.58105,1.54656,1.09659,632.029,124.361,12935.8,0.0452875,0.743861,0.0174013,13955.9,-0.00185945,-0.0139061,18.9823,6.78569,108.297,74.765,1.15518,11.8141,11.3548,122.338,131.975,-14.0409,-57.2097 
36,36,36,10339,-0.325209,22.7501,11.4926,122.572,0.344016,-238.948,330.316,-1.26757,-1.0646,-9.3964,-3.87498,-0.0457689,-543.625,164.568,63.5282,12209.6,11187.2,2.15548,2.35846,-2.55028,-0.451925,3.37729,1.52164,597.586,102.893,12642.6,0.0438773,0.768452,0.0147707,13619.5,-0.00170294,-0.011152,19.3097,5.91136,107.614,75.801,1.14609,11.8638,11.151,122.348,132.619,-14.7341,-56.8175 
37,37,37,11383.6,-0.210724,24.3554,11.6653,122.515,0.00853138,35.8902,0.00121988,-4.54428,-6.77581,-11.905,-6.30003,-4.22608,-567.945,227.861,100.135,13196.8,9258.75,-0.968083,-3.19961,-4.75259,-2.72383,-0.649878,0.613422,680.251,141.261,13649.2,0.0461534,0.733458,0.018708,14738.9,-0.00165874,-0.0144188,21.2274,6.19116,104.847,74.8933,1.19063,12.0903,11.4227,122.307,132.75,-17.4598,-57.8571 
38,38,38,11130.7,-0.310379,24.0119,11.5348,122.559,0.16226,57.5462,0.866071,-4.026,-4.2795,-6.59067,-2.80284,-4.31462,-544.324,172.499,93.0264,12830.6,9320.34,-0.598542,-0.852034,0.264259,0.624625,-0.887155,1.18239,606.073,132.442,13264.1,0.0424774,0.72337,0.0180612,14268.1,-0.00153739,-0.0145027,16.8035,6.83793,109.358,76.7008,1.18761,11.8479,11.3299,122.323,132.628,-12.9656,-55.9269 
39,39,39,11071.4,-0.30188,23.3313,11.7747,122.447,0.575903,259.832,406.067,-2.79832,-1.64858,-5.31036,-4.45857,-3.27567,-526.911,170.459,90.079,12596.4,13814.2,0.519496,1.66924,1.32528,-1.14076,0.0421425,0.451322,590.163,128.234,13016.1,0.0421642,0.724507,0.0178248,13996.8,-0.0013866,-0.0136385,20.1632,6.99909,103.415,74.552,1.12563,12.0905,11.5255,122.245,131.973,-18.8298,-57.4208 
40,40,40,10213.1,-0.263356,22.6565,11.4113,122.633,0.274347,40.2976,0.00699036,-5.65744,-3.22772,-8.46397,-1.55841,-2.05508,-512.386,157.289,84.4154,12018,8776.23,-2.43109,-0.00136554,-2.01126,1.66795,1.17128,-0.253521,565.423,121.519,12426.1,0.0423083,0.72669,0.0176956,13364.4,-0.00160522,-0.0106566,20.3283,6.54362,105.756,75.0864,1.12976,11.8003,11.1665,122.45,132.209,-16.6943,-57.123 
