cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
23,0.2,0.65,23,3981.04,-0.122274,14.553,8.47035,124.253,0.249966,145.572,462.862,-1.54482,-0.649833,1.58198,-2.07195,-0.499251,-305.15,3148.8,-5.19561,2687.26,5197.36,0.376622,1.27161,5.42487,-0.150506,1.4222,0.34991,3391.86,16.901,2930.32,0.529144,0.991355,0.0105129,6410.09,-0.00183261,0.530466,8.98771,8.30062,124.479,78.7938,0.42332,9.04467,9.05157,124.007,125.871,0.471436,-47.0773 
24,0.12,0.73,24,4079.89,-0.278328,14.4122,8.33908,124.348,0.469832,39.274,150.846,-1.92747,1.57583,0.0174594,-3.30995,0.527529,-341.708,3044.33,19.5653,2718.26,4513.07,0.224169,3.72747,4.32074,-1.1583,2.67917,0.558804,3316.52,44.3092,2990.44,0.518476,0.977154,0.0265692,6396.67,-0.00158308,0.528263,8.70518,8.18459,124.413,79.1423,0.439773,8.65889,9.0181,124.064,126.016,0.348711,-46.8733 
25,0.14,0.71,25,3548.24,-0.0079237,-12.9671,7.89167,124.06,-0.0303021,2.40491,499.983,-3.62269,-2.44469,-3.9899,-0.238638,-2.47091,-408.667,2691.39,12.5417,2521.98,3333.62,-1.04942,0.128572,1.15664,2.33463,0.102359,0.567252,3016.91,42.1342,2847.5,0.507058,0.976143,0.0265343,5949.83,-0.00154097,0.45808,8.5848,8.47185,124.365,78.9759,0.398525,8.60408,9.20474,123.732,126.126,0.632098,-47.1497 
26,0.02,0.83,26,9086.81,-0.0280135,26.194,8.52081,124.15,-0.00683904,23.3661,500,-1.64738,0.259828,-1.41315,-0.730847,-3.27795,-383.979,6206,14.4375,4474.03,7270.9,0.770433,2.67764,3.42248,1.68697,-0.860131,0.555371,6511.86,42.2424,4779.88,0.56946,0.988775,0.0160189,11435.1,-0.00149392,1.05784,8.85976,8.09261,124.329,78.8898,0.728775,8.79685,8.77483,123.837,125.681,0.492177,-46.7914 
27,0.03,0.82,27,8691.65,-0.0256635,25.0378,8.50771,124.104,-0.00435981,27.8673,500,1.54048,-3.72477,-2.22612,-2.64048,0.200231,-316.704,5828.92,30.8355,4460.13,6938.28,3.53468,-1.73057,1.76228,-0.646284,2.19443,0.655437,6081.19,53.7688,4712.4,0.556124,0.984763,0.0205859,10935,-0.0014506,0.961519,8.93087,8.26805,124.353,78.9779,0.709399,8.67525,9.04371,123.745,125.76,0.608138,-46.7824 
28,0.07,0.78,28,5625.74,-0.00564962,17.7092,-8.55049,123.959,0.00285694,-31.589,500,-2.47259,-1.04449,-1.98099,-4.98264,-2.90449,-386.37,4080.42,16.5027,3285.24,4932.23,-0.0397209,1.38838,2.88474,-2.54978,-0.471623,-1.38015,4388.17,44.4807,3592.99,0.542489,0.98257,0.0222965,8088.96,-0.00160895,0.655617,9.10843,8.34982,124.22,78.8483,0.514507,8.83574,9.11118,123.574,125.682,0.645523,-46.8338 
29,0.1,0.75,29,3769.72,-0.260079,13.9058,8.32405,124.062,-0.444712,-137.272,77.8457,-3.31636,-0.161343,-2.32013,-1.16075,-2.81028,-345.403,2947.57,0.171383,2563.69,5755.4,-1.14144,2.01357,2.02969,1.01416,-0.635371,0.381305,3222.7,25.1829,2838.81,0.524299,0.98651,0.0160784,6146.68,-0.00167348,0.500075,8.73352,8.39934,124.333,78.6135,0.411967,8.73559,9.09997,123.975,125.53,0.358214,-46.9163 
30,0.08,0.77,30,4802.2,-0.0187874,16.7046,8.07839,124.064,-0.0139161,-3.10666,500,-2.97873,1.74614,-1.29169,-1.30037,-0.480941,-291.375,3626.13,9.97227,2963.24,4394.35,-1.14402,3.58086,2.37773,0.534345,1.35377,0.645257,3858.22,31.0715,3195.33,0.539656,0.986103,0.0175975,7149.41,-0.00169348,0.625989,8.69388,8.27767,124.12,78.5946,0.491269,8.4003,9.04177,123.715,125.359,0.405745,-46.7647 
31,0.09,0.76,31,4455.89,-0.0552762,15.5145,8.16848,124.082,0.110806,-50.8116,0.0261401,0.794224,-0.302046,-0.0938913,-3.6258,2.00798,-348.851,3364.68,8.82026,2835.45,4308.75,2.99085,1.89458,4.29936,-1.42917,4.2046,0.640528,3642.55,34.0814,3113.32,0.531816,0.98389,0.0197669,6849.27,-0.00166709,0.567908,8.84412,8.31681,124.316,78.9593,0.469338,8.57339,8.94179,123.682,125.852,0.633276,-46.8926 
32,0.11,0.74,32,3832.56,-0.00510011,13.2375,8.37692,124.195,0.0020908,2.11151,0.00121852,0.653075,-1.04507,-2.87074,-3.27552,-1.80079,-361.194,2904.49,7.99333,2534.31,3609.96,2.92742,1.22928,1.67795,-1.00118,0.473557,0.683825,3192.19,34.1483,2822.02,0.523407,0.981623,0.0218046,6098.87,-0.00149402,0.478715,8.92531,8.42597,124.367,78.5053,0.397232,8.7383,9.13514,123.86,125.464,0.507283,-46.9591 
