cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,21,14639.7,0.0552519,22.0221,13.3478,96.9307,-0.00328305,-258.113,500,2.03475,-0.271245,2.88019,1.32574,0.0609785,-169.866,-16.3708,44.0273,13140.6,9596.51,3.10435,0.798354,5.01939,2.39534,1.13058,0.596772,221.882,61.6757,13378.9,0.0195899,0.672748,0.00842046,11326.4,0.00183103,0.0101208,-10.9881,8.35964,117.44,55.7377,1.03809,12.6999,11.8758,96.6422,122.992,20.7981,-67.2546 
22,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,22,24239.8,0.0127281,39.982,12.5551,97.0055,0.10738,-84.1729,3.91077e-12,-3.29083,-0.0523375,6.19359,0.819635,-1.5271,-281.762,10813.1,77.1207,12225,16635.2,-1.51665,1.72184,9.74195,2.59381,0.247077,0.238198,11208.3,106.395,12620.2,0.516915,0.98366,0.0152924,21683.1,0.00200077,1.12561,11.852,9.6336,97.1159,72.4248,1.00911,12.4399,11.5191,96.4538,123.216,0.662015,-50.7912 
23,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,23,25348.7,0.259075,41.0937,12.684,96.8853,6.99199,-141.118,28.4257,0.651194,-0.599272,3.42125,4.48441,0.267948,-279.687,11552.5,92.1083,12555.3,49088.1,2.41231,1.16185,6.94348,6.24552,2.02907,0.630513,11944.8,121.167,12947.6,0.526404,0.982558,0.0169467,22691.2,0.00177226,1.14197,12.1939,9.96055,97.0598,72.0875,1.0029,12.733,11.8047,96.2593,122.797,0.800486,-50.7096 
24,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,24,15431,-0.000394248,22.9879,13.7124,96.8006,-0.00263771,9.17096,6.41302e-12,1.39504,-0.146526,1.77099,-0.363307,0.935783,-188.027,1128.61,55.6108,12928.5,10262.2,2.579,1.03743,4.13891,0.820652,2.11974,0.613032,1392.34,75.1461,13192.3,0.112814,0.913702,0.0103841,12341.9,0.00192095,0.110017,11.322,9.73948,97.6695,71.2594,0.967623,13.0584,12.1872,96.5099,122.548,1.15958,-51.2881 
25,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,25,25687.7,0.000802396,42.1292,12.8262,97.2631,-0.00852632,-10.555,2.98591e-12,-0.659657,2.38293,8.20032,0.216923,-2.14052,-240.557,11712.2,87.7929,12863.6,17593.4,0.855063,3.89765,11.2298,1.73164,-0.625798,0.34284,12049.6,112.786,13201,0.523748,0.983884,0.0154945,23006.4,0.00179126,1.16095,12.1293,9.92351,97.4693,72.5083,1.01568,12.6914,11.9187,96.6726,123.349,0.796611,-50.8406 
26,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,26,27769.1,0.2538,44.6944,12.8535,96.9717,-0.171999,-171.209,472.266,0.910221,1.46988,-0.837627,-0.775471,0.54621,-318.483,12609.9,96.5355,13898.6,19659.8,2.91563,3.47528,3.17318,1.22993,2.55162,0.762231,13056.6,129.625,14345.3,0.523033,0.982923,0.0163728,24963.2,0.00175595,1.21644,12.3104,10.1373,97.1474,72.0044,1.06433,12.9986,12.107,96.4422,122.842,0.705205,-50.8377 
27,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,27,15114.4,0.252457,23.0637,12.9935,97.164,-0.116236,-438.086,0.000447534,3.04929,1.22749,0.347089,1.44292,0.240372,-161.319,-5.56212,42.3653,13747.7,11413.2,4.06507,2.24327,2.37865,2.4587,1.25615,0.808202,220.703,59.1257,13973.9,0.0186735,0.680819,0.00773393,11819.1,0.00160954,0.0112819,-11.5465,-8.93544,118.862,56.0351,1.08762,12.6862,11.9444,96.82,122.791,22.0417,-66.7558 
28,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,28,25371.4,0.282268,41.1549,12.6132,96.9315,-0.0555009,-162.925,499.595,-0.242522,-1.51743,0.897103,-2.06633,1.33672,-275.601,11486.7,70.2417,12576.3,17192.6,1.49286,0.217956,4.36787,-0.330945,3.0721,0.504768,11873.2,98.8756,12962.9,0.524612,0.985636,0.0138561,22632.4,0.00206547,1.1878,12.0233,9.58664,97.0767,72.1345,1.01987,12.6024,11.6166,96.2975,122.84,0.779207,-50.7057 
29,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,29,26143.7,0.252147,42.6988,12.6347,96.7345,-0.54351,-344.69,24.9463,1.16492,2.15424,3.28373,1.17867,0.802393,-297.672,11828.3,94.0173,13184.7,23660.7,3.03928,4.0286,7.03245,3.05303,2.67676,0.645365,12245.8,124.944,13602.2,0.52031,0.982458,0.0166393,23535.6,0.00182463,1.18856,12.1388,9.80832,96.8091,72.0022,1.04042,12.7174,11.8694,96.1795,122.898,0.629623,-50.8955 
30,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,30,14584.6,0.227597,21.6681,13.4294,96.8338,-0.0593025,-150.579,11.3624,0.875296,-2.05445,0.766411,2.86205,1.27285,-144.652,1026.07,50.0004,12269.5,9763.37,1.78613,-1.14362,2.58808,3.77288,2.18368,0.718294,1228.96,65.0292,12472.3,0.106118,0.915248,0.00951313,11581,0.00177226,0.114542,10.689,9.07313,97.2899,71.2997,0.924883,13.1028,12.0825,96.5359,122.99,0.753972,-51.6902 
31,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,31,24621.6,-0.0184449,40.4528,12.6608,96.9659,0.00953092,-26.8837,500,1.66122,0.750837,2.75117,2.09735,-1.20497,-295.724,11040.6,75.6344,12423.4,16681,3.52331,2.61293,6.47536,3.95945,0.657131,0.624142,11455.3,106.359,12838.2,0.518082,0.984012,0.0150316,22111.1,0.00190792,1.13583,11.982,9.6594,97.1321,72.0398,1.02518,12.608,11.4079,96.3552,122.714,0.776936,-50.6744 
32,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,32,27643,0.309864,45.0942,12.5307,97.0661,-0.593759,196.241,64.5737,3.51573,3.04043,2.88733,2.79273,2.38915,-306.904,12576.7,97.8409,13604.3,22187.8,5.44822,4.97292,6.75232,4.72522,4.32164,0.742478,13007.1,129.727,14034.8,0.527544,0.982846,0.016742,24656,0.00221721,1.27496,12.0774,9.76972,97.2306,72.2443,1.10616,12.4652,11.7347,96.529,122.911,0.701666,-50.6667 
