cyc,sweep,VVA,drop time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,45.9,7,0.8,10,7841.83,0.0166581,10.3605,16.2584,96.5494,-0.0265178,8.04108,0.0109343,1.28858,-0.145094,2.70224,-0.787282,1.20853,-69.7905,1308.24,58.4893,5980.16,5490.41,1.72803,0.294359,3.58115,-0.347829,1.64799,0.481271,1406.12,65.7402,6078.05,0.208166,0.92437,0.019535,6754.81,1109.36,1439.39,25569.4,0.000802202,0.0759487,14.7683,12.7586,96.7745,70.3967,0.325036,15.7352,14.1155,96.4783,121.568,0.296187,-51.1717 
11,45.9,0,0.8,11,7529.38,0.0467891,10.4536,15.1378,96.8075,0.434748,-403.382,255.705,1.41455,0.0865326,1.56285,-0.894611,0.815218,-59.8309,146.22,30.7756,6855.62,10860.2,1.79129,0.463272,2.31633,-0.517871,1.19196,0.558372,230.138,36.9918,6939.54,0.036317,0.780463,0.00972402,6336.93,1604.43,237.949,39631.7,0.000735231,0.0104434,12.8864,7.54853,119.027,54.564,0.443235,14.5597,12.7778,96.6197,122.462,22.4075,-67.8975 
12,46.05,7,0.8,12,8239.09,0.00773353,10.8945,16.3103,96.3271,0.00165623,-0.625003,1.05707e-10,1.81742,2.72976,5.66225,1.45936,1.03029,-57.3366,1328.07,60.0342,6381.93,5784.51,2.17845,3.09079,6.38432,1.82039,1.39132,0.570521,1408.49,65.9912,6462.35,0.198509,0.924222,0.0184636,7095.36,1264.86,1502.16,29479.6,0.000753309,0.0778163,15.7432,11.9904,96.8632,70.8803,0.350467,15.6617,14.0772,96.1498,122.237,0.713468,-51.3563 
13,46.05,0,0.8,13,9467.48,0.00889725,13.3069,15.0018,96.9735,-0.0274221,-11.6588,500,0.563032,1.0145,6.26232,2.58136,0.742475,-61.5618,180.077,46.632,8544.47,6508.96,0.950671,1.40214,7.03759,2.969,1.13011,0.478292,266.424,53.0281,8630.82,0.0338895,0.741667,0.0111913,7861.55,2483.57,259.027,62209.1,0.00118306,0.00929609,11.179,9.13606,117.184,54.9714,0.567968,14.0259,12.6685,96.7054,121.882,20.4787,-66.911 
14,45.9,7,0.8,14,7968.09,0.00477656,10.4983,16.4348,96.4145,-0.00254834,1.8036,118.652,0.425408,-0.86577,-0.202914,0.57722,0.933721,-74.6498,1395.21,51.0305,6090.49,5616.8,0.895457,-0.39572,0.737185,1.04727,1.40377,0.80011,1499.91,58.7863,6195.19,0.215763,0.935814,0.0171795,6951.68,1153.84,1598.36,26578.2,0.000689976,0.0809703,15.4786,12.268,96.6221,70.6119,0.330048,15.7882,14.2046,96.3336,121.729,0.288444,-51.1173 
15,45.9,0,0.8,15,7301.63,0.0354804,10.221,15.1237,96.3004,-0.0133869,-10.0953,8.96878,0.545606,0.121735,3.26318,1.60961,1.44705,-42.3505,155.075,30.3201,6692.42,5036.45,0.812276,0.388405,3.79652,1.87628,1.71372,0.557887,214.476,34.7201,6751.82,0.0348397,0.779243,0.00938384,6156.08,1531.89,235.269,37694.6,0.000783265,0.0102068,-1.60172,13.1946,108.601,56.0722,0.434557,14.4142,12.755,95.9958,122.69,12.6052,-66.6183 
16,46.05,7,0.8,16,7617.83,0.0208104,10.2488,15.915,96.3515,0.0279519,-25.4641,173.133,3.23144,0.455459,2.03201,1.73711,0.524955,-60.5341,1211.47,65.0839,5868.25,5332.96,3.61261,0.836627,2.79435,2.11827,0.906122,0.727858,1296.37,71.3732,5953.16,0.198369,0.912119,0.021608,6535.15,1104.9,1300.87,25566.3,0.000810952,0.0738936,14.6181,12.2062,96.8953,71.1005,0.333311,15.263,13.8519,96.0501,122.743,0.845223,-51.6423 
17,46.05,0,0.8,17,8743.45,0.0324787,12.1227,15.3628,96.5031,-0.0445386,-16.9817,4.4778,0.964415,0.707582,1.40993,2.1196,0.133451,-58.8246,191.841,44.7637,7945.82,6087.28,1.33482,1.07798,2.15074,2.49,0.503854,0.715413,274.348,50.8753,8028.33,0.0373809,0.75499,0.0115387,7339.28,2102.82,243.804,52398.2,0.00093604,0.008788,12.8116,9.5453,115.75,54.7571,0.50876,14.5563,12.8114,96.2243,122.276,19.5255,-67.5191 
18,45.9,7,0.8,18,8848.58,0.00077124,11.666,16.4681,96.3795,0.000507289,5.17632,0.884799,2.68359,0.806683,1.41107,-0.943902,1.08703,-68.0008,1477.67,54.8763,6813.07,6254.13,3.11178,1.23487,2.26744,-0.515719,1.51521,0.702185,1573.05,61.9414,6908.45,0.20556,0.935533,0.016248,7652.48,1414.24,1908.56,32939.2,0.000754559,0.0935261,14.7636,11.8268,96.9975,71.0742,0.365501,16.0499,14.1626,96.1281,122.783,0.869357,-51.7084 
19,45.9,0,0.8,19,6894.68,0.030265,9.5543,15.2837,96.4161,-0.0257511,-0.384513,457.981,0.655254,0.542685,3.41314,3.44028,2.82811,-54.5822,137.304,38.7944,6300.6,4753.91,0.998943,0.886375,4.10052,3.78397,3.1718,0.683152,213.861,44.4653,6377.15,0.0367095,0.733216,0.0126814,5825.76,1354.8,222.07,33232.5,0.000714674,0.00721169,-14.2161,8.64093,115.974,57.5806,0.407582,14.4814,12.7167,96.3366,123.171,19.6371,-65.5905 
20,46.05,7,0.8,20,8529.25,0.00260507,11.3648,16.1786,96.2857,-0.00067969,3.68785,2.29081e-11,-0.201882,0.0424266,-0.406382,0.55753,-0.290083,-55.7171,1380.37,63.8595,6551.06,5985.56,0.148954,0.393262,0.29529,0.908366,0.0607526,0.836552,1458.52,69.6483,6629.21,0.20001,0.922878,0.0189862,7292.23,1312.77,1537.11,30750.2,0.0008561,0.0783915,15.292,12.5469,96.8721,70.8188,0.357474,15.5128,14.2898,96.2174,122.739,0.654673,-51.9205 
21,46.05,0,0.8,21,9004.82,0.0275712,12.653,15.1031,97.0762,0.0284539,-33.7318,469.292,0.081594,1.59821,0.175453,1.08717,3.77589,-94.4295,170.276,31.7931,8194.21,6252.18,0.676191,2.1928,1.36465,1.68177,4.37049,0.867328,302.722,41.604,8326.66,0.0396743,0.806122,0.0091201,7630.18,2319.07,243.672,58011.1,0.000937684,0.00921791,16.0404,8.02246,116.814,55.2773,0.546722,14.2349,12.5856,96.8981,121.814,19.9159,-66.5367 
22,45.9,7,0.8,22,8140.77,0.00897941,10.6814,16.4596,96.3319,0.00378932,1.86239,58.5639,0.152728,1.27461,2.18255,2.84288,2.66847,-93.2939,1403.99,46.66,6308.21,5723.48,0.740175,1.86206,3.35745,3.43033,3.25592,0.734504,1534.84,56.3529,6439.06,0.213136,0.939627,0.0158658,7201.21,1242.58,1647.46,28798.6,0.000660943,0.0825845,15.6246,12.0741,96.4702,70.9938,0.347604,15.8862,13.8132,96.1233,122.445,0.346933,-51.4513 
23,45.9,0,0.8,23,7406.63,0.0533834,10.1921,15.1911,96.8367,-0.0409117,23.9608,154.577,0.150385,2.45663,1.51302,1.39523,1.76322,-60.1877,157.411,30.0144,6681.63,5072.12,0.52937,2.83561,2.271,1.77421,2.14221,0.762259,241.83,36.2676,6766.05,0.0390303,0.79211,0.00977757,6195.95,1525.67,219.487,37612.9,0.000840246,0.00631021,16.958,10.0509,115.125,56.7102,0.434969,14.4259,12.692,96.673,122.469,18.4517,-65.7589 
24,46.05,7,0.8,24,8921.29,0.0148835,11.8954,16.1487,96.3197,0.0313583,-4.01246,1.63859,-0.272645,-1.08811,1.50219,1.11078,0.00844704,-82.745,1458.31,56.4529,6920.31,6257.45,0.248378,-0.567086,2.54424,1.6318,0.52947,0.420024,1574.37,65.0498,7036.37,0.202716,0.932569,0.0167447,7766.37,1477.57,1830.1,34760,0.000774718,0.0905765,15.0787,11.7245,96.9927,70.8773,0.381435,15.6643,14.0669,96.1294,122.603,0.863244,-51.7262 
25,46.05,0,0.8,25,8652.18,0.0427088,12.0083,15.2474,96.4393,-0.122344,38.6495,100.087,0.341554,-0.240362,3.426,1.33957,0.0707008,-52.4,133.524,33.5692,7886.22,6114.28,0.671503,0.089587,4.08589,1.66951,0.40065,0.409309,207.02,39.0134,7959.71,0.0287066,0.751997,0.00894802,7211.57,2107.47,255.295,52544.5,0.000884595,0.0130331,10.957,-7.45885,118.655,54.5969,0.513269,14.458,12.7187,96.3239,122.39,22.3312,-67.793 
26,45.9,7,0.8,26,8094.96,0.00264956,10.4984,16.6068,96.3117,0.00450184,1.05729,7.41281e-12,-0.616341,-0.141891,3.05474,3.09046,1.06764,-66.7645,1426.55,51.3856,6115.08,5675.68,-0.195942,0.278508,3.89554,3.51086,1.48804,0.566054,1520.2,58.3222,6208.72,0.217672,0.937085,0.0170096,6983.87,1156.24,1640.48,26587.6,0.000804185,0.0820896,15.3936,12.2624,96.3384,70.7935,0.329621,15.9861,14.06,96.1933,122.039,0.145049,-51.2459 
27,45.9,0,0.8,27,7563.01,0.039778,10.5092,15.1828,97.0108,-0.0423752,-23.8058,500,1.44659,0.909493,2.17051,1.04436,0.0456916,-58.6694,154.711,32.8206,6884.15,5227.02,1.81602,1.27892,2.90936,1.41379,0.415117,0.628586,237,38.9161,6966.44,0.0372205,0.776787,0.0101856,6367.47,1603.43,221.221,39605.3,0.000732176,0.0107077,-9.17715,8.14727,117.515,53.8624,0.439025,14.6011,12.9674,96.8997,121.785,20.6157,-67.9228 
28,46.05,7,0.8,28,8138.48,0.0266795,10.5127,16.528,96.316,4.22193e-06,-10.3103,88.6457,2.87498,2.69185,2.95047,-1.26401,2.64689,-83.0213,1339.75,67.9068,6232.37,5656.28,3.39774,3.21461,3.99599,-0.74125,3.16965,0.693482,1456.2,76.5324,6348.82,0.206753,0.915773,0.0217234,7043.16,1194.23,1473.81,27604.6,0.000789969,0.0758143,15.4479,12.5754,96.5656,70.6727,0.335314,15.9397,14.1367,96.1834,122.224,0.382249,-51.5513 
29,46.05,0,0.8,29,9347.8,0.0494143,13.2957,14.8503,96.8192,-0.0745728,-45.4786,0.23327,0.848182,-1.07337,2.5206,1.30324,1.20811,-82.4705,148.273,35.5715,8588.78,6537.88,1.36748,-0.554078,3.55919,1.82254,1.7274,0.550751,263.946,44.1399,8704.45,0.0333103,0.773602,0.00925479,7923.86,2510.98,243.96,62985.1,0.000916281,0.0100151,12.987,-8.39251,115.643,54.2985,0.568406,14.21,12.6906,96.6681,122.348,18.9752,-68.0492 
30,45.9,7,0.8,30,8873.53,0.0128711,11.5664,16.5382,96.2249,-0.017714,-0.577967,389.405,0.436967,1.58208,2.57803,1.54591,1.12985,-75.7291,1465.47,53.5757,6850.15,6227.35,0.913814,2.05892,3.53173,2.02276,1.60669,0.651494,1571.69,61.4437,6956.37,0.204293,0.935966,0.0160103,7693.29,1410.3,1752.58,33018.8,0.000821767,0.0871148,14.846,12.2346,96.9389,70.5911,0.366064,15.893,14.282,96.1659,122.35,0.773078,-51.7593 
31,45.9,0,0.8,31,7020.5,0.0607734,9.84991,14.7823,96.768,-0.00939701,-35.4582,91.7402,1.70131,0.622357,3.28639,2.70872,1.28267,-89.3056,146.974,47.8163,6371.44,4750.73,2.26365,1.18469,4.41105,3.27106,1.84501,0.660046,272.234,57.0948,6496.7,0.0454532,0.731517,0.015931,5989.33,1402.75,228.979,34410.1,0.000809679,0.0097063,10.5944,8.85365,117.624,54.1697,0.419912,14.1728,12.6759,96.4397,122.583,21.1848,-68.4133 
32,46.05,7,0.8,32,8679.36,0.0061084,11.6645,16.1032,96.3258,-0.00229637,0.462334,32.7557,0.929125,-0.681689,3.37167,2.98381,-0.507681,-70.3917,1510.72,49.631,6681.76,6114.72,1.37236,-0.238451,4.25815,3.42704,-0.064443,0.513614,1609.45,56.9445,6780.49,0.212433,0.941693,0.0152348,7576.29,1379.38,1887.42,32091.9,0.000720935,0.0907935,14.9104,12.2407,96.7266,71.1414,0.364197,15.6493,14.2417,96.293,122.781,0.433648,-51.6396 
33,46.05,0,0.8,33,8983.18,0.0585853,12.729,14.8074,97.3319,0.0308827,-56.7261,499.443,0.164117,-0.11749,-0.646167,0.458657,0.587729,-106.656,84.714,30.9892,8207.96,6192.82,0.8357,0.554093,0.696999,1.13024,1.25931,0.844293,234.309,42.0704,8357.55,0.030875,0.760911,0.00918762,7588.96,2297.24,236.591,57487.7,0.000999953,0.0090595,8.64614,7.24941,98.5899,65.0983,0.543352,14.1169,12.7187,97.2138,121.689,1.37614,-56.5912 
34,45.9,7,0.8,34,8236.67,0.0163829,10.7962,16.3998,96.3185,-0.00924255,-1.00965,191.401,-2.57453,-0.740405,1.07331,-0.189838,0.0183631,-67.295,1291.75,56.4592,6399.28,5764.03,-2.15079,-0.316667,1.92079,0.233901,0.442102,-13.8507,1386.13,63.4509,6493.66,0.195215,0.925834,0.0176813,7100.56,1240.6,1452.58,28980.4,0.000750462,0.0789952,14.4209,12.3891,96.4333,69.8435,0.343207,15.9708,14.2026,96.1776,121.693,0.255644,-51.8496 
35,45.9,0,0.8,35,7196.21,0.0569337,9.99233,14.9968,96.5833,-0.0468786,-27.4474,496.775,-0.11866,1.50192,0.140306,1.09517,1.78553,-85.97,131.491,48.5742,6463.37,4920.09,0.422671,2.04325,1.22297,1.6365,2.32686,0.840182,252.073,57.5061,6583.95,0.0416928,0.714677,0.0158347,6045.95,1429.35,204.496,35145.3,0.000901913,0.00725086,-8.93099,8.32136,97.3002,66.1421,0.420404,14.2641,12.8171,96.3371,121.426,0.963069,-55.2838 
36,46.05,7,0.8,36,8109.41,0.00994272,11.0381,15.856,96.2639,0.0067569,-2.50603,8.38922,0.809138,2.05431,1.08266,-0.719381,1.31951,-55.1601,1362.66,60.0676,6257.91,5698.06,1.15647,2.40164,1.77731,-0.372053,1.66683,0.731937,1440.03,65.7985,6335.28,0.205276,0.925959,0.018773,7015.07,1238.41,1574.7,28776.5,0.000728054,0.0840519,14.2736,12.1074,96.479,69.8778,0.348013,15.3814,14.2249,96.0946,121.495,0.384403,-51.6171 
37,46.05,0,0.8,37,8835.93,0.0277786,12.6367,14.8633,97.1873,-0.0271244,-31.9551,3.31975e-11,-1.09983,1.07957,2.26198,2.16783,2.21108,-86.0023,152.925,45.4805,8045.31,6142.5,-0.558292,1.6211,3.34505,2.70937,2.75261,0.661084,273.551,54.4159,8165.94,0.0366711,0.741776,0.0121265,7459.58,2206.87,219.219,55259.6,0.000927237,0.00938896,12.1735,9.32007,115.872,54.0866,0.530849,14.0916,12.8501,97.0013,121.942,18.8706,-67.8558 
38,45.9,7,0.8,38,8198.27,0.0146311,10.6982,16.4906,96.2242,0.00919061,-10.3564,0.477574,-2.5175,0.511525,3.11126,1.74694,0.0417131,-64.4065,1369.43,61.8698,6235.38,5746.14,-2.11195,0.917076,3.92236,2.1525,0.447264,0.263717,1459.76,68.5614,6325.71,0.207755,0.92405,0.0195749,7026.39,1200.47,1599.89,27666.3,0.000825359,0.0829092,15.2354,11.8215,96.2262,70.6818,0.335329,15.9134,14.1791,96.1742,121.869,0.0519882,-51.187 
39,45.9,0,0.8,39,6912.44,0.0144317,9.5594,15.3062,96.803,-5.81207e-05,-2.32649,2.13124e-11,2.072,0.636217,2.34786,0.641111,1.53019,-61.4376,134.753,46.5519,6257.92,4763.15,2.45886,1.02307,3.12157,1.02797,1.91704,0.673083,220.925,52.935,6344.1,0.0380661,0.704568,0.0151378,5803.73,1338.14,228.423,32716.3,0.00076072,0.00965528,12.5476,-7.51015,116.99,54.2997,0.403185,14.5482,12.7353,96.4845,121.775,20.5054,-67.4753 
40,46.05,7,0.8,40,7468.91,0.00848674,9.97103,16.1234,96.5639,0.00769608,-8.3154,1.03386e-11,1.29471,0.236955,1.9179,-0.756559,0.388367,-80.6581,1216.35,51.6909,5761.72,5235.58,1.8026,0.744838,2.93367,-0.248676,0.89625,0.521321,1329.48,60.0709,5874.85,0.204556,0.926723,0.0184875,6499.35,1052.35,1240.15,24258.7,0.000743812,0.0703082,14.7978,12.4415,96.6364,69.4975,0.319,15.4083,14.178,96.2814,120.431,0.354972,-50.9331 
41,46.05,0,0.8,41,8820.68,0.00956175,12.4318,15.1054,96.9132,0.0160875,-7.56394,1.76203e-11,1.1078,-0.191829,-0.818333,0.868596,-0.53508,-74.3868,142.764,49.4311,8045.09,6117.06,1.5762,0.276565,0.118455,1.33699,-0.066686,0.963457,247.098,57.1596,8149.42,0.033308,0.711837,0.0127556,7418.59,2176.79,234.369,54423.1,0.000873072,0.00832962,16.189,-9.22696,116.726,54.6618,0.521439,14.4615,12.7848,96.7202,122.074,20.006,-67.4127 
42,45.9,7,0.8,42,8432.54,0.0198064,11.1086,16.32,96.3893,0.00605117,-6.92411,1.05567,0.803948,1.91178,3.33161,2.53465,2.41683,-66.0422,1450.36,55.0461,6462.06,5902.99,1.2198,2.32763,4.16331,2.9505,2.83268,0.691468,1542.99,61.9076,6554.69,0.211047,0.934393,0.0171008,7311.12,1265.69,1719.76,29314.4,0.000795653,0.0842013,15.1481,12.6063,97.0652,70.4443,0.346981,15.7146,14.2577,96.1915,121.315,0.873741,-50.8711 
43,45.9,0,0.8,43,7052.59,0.00908311,9.58825,15.5413,96.7251,-0.00524885,12.6316,2.11321e-06,0.549053,0.412875,2.91932,1.61878,1.8463,-48.6931,121.136,42.7187,6400.34,4853.05,0.855661,0.719483,3.53253,1.92539,2.15291,0.615443,189.433,47.7777,6468.64,0.0322065,0.693782,0.0134233,5881.84,1377.73,223.851,33790.2,0.000853812,0.0114779,-6.23216,5.0296,99.7957,68.0043,0.409043,14.6306,12.6751,96.4805,122.05,3.31515,-54.0456 
44,46.05,7,0.8,44,7922.11,0.0208879,10.6017,16.0079,96.685,-0.0584215,14.2989,25.9013,0.593341,-0.662188,2.26878,0.508649,1.05487,-61.4818,1289.97,56.3573,6034.44,5551.86,0.980475,-0.275053,3.04304,0.895784,1.442,0.500014,1376.2,62.745,6120.67,0.203508,0.926108,0.018534,6762.39,1161.66,1450.44,26816.5,0.000861596,0.0796752,14.2942,12.0157,96.0729,70.3346,0.335835,15.3436,14.1847,96.6865,120.945,-0.613648,-50.6103 
45,46.05,0,0.8,45,9224.85,0.0619921,13.0915,14.769,97.2041,0.0115279,12.8921,74.7355,-1.94965,-0.759836,2.12043,0.994897,1.76744,-93.6585,113.871,40.8592,8410.3,6298.94,-1.35991,-0.170094,3.29992,1.58464,2.35718,0.422257,245.236,50.59,8541.66,0.0315949,0.734749,0.0107926,7761.9,2383.61,222.684,59796.3,0.000936474,0.0100844,11.8582,8.35969,116.768,53.1193,0.546826,14.1899,12.9967,97.0067,120.925,19.7616,-67.806 
46,45.9,7,0.8,46,8427.05,0.00475543,11.1234,16.356,96.2003,-0.00234567,7.11633,3.63724e-10,0.29244,0.99263,0.743818,3.41616,-0.0558082,-80.3329,1341.52,53.8724,6534.01,5923.15,0.798275,1.49846,1.75549,3.92199,0.450027,0.791615,1454.2,62.2187,6646.69,0.199116,0.930341,0.0169514,7303.28,1291.24,1558.04,30233.3,0.000722414,0.0820447,15.1903,12.0031,96.5908,70.1382,0.350093,15.9115,14.3023,96.1207,121.804,0.470019,-51.6654 
47,45.9,0,0.8,47,7243.17,0.059098,9.88621,15.2364,97.163,0.00905701,-44.6691,86.8143,0.55229,-1.56985,1.2924,-0.591729,2.21564,-71.9965,145.546,30.6764,6485.99,4916.7,1.00563,-1.1165,2.19909,-0.138386,2.66898,0.523884,246.528,38.1566,6586.97,0.0407952,0.78687,0.0105582,6043.06,1435.51,226.46,35232.6,0.000913749,0.0104464,-9.71642,7.94507,117.939,54.591,0.420461,14.3339,12.7805,97.1252,121.835,20.8138,-67.2443 
