cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,46.05,0,21,11711.9,0.0918765,9.50371,14.8162,97.478,-0.356334,-125.314,5.41194e-09,10.8889,9.5178,0.14405,6.3793,8.31534,499.935,662.428,59.5449,5268.85,6037.41,7.74093,6.36984,-6.15186,3.23135,5.16738,1.37609,-38.7791,7.60361,4567.64,-0.00974166,1.52237,0.00305712,3980.75,0.00711726,0.00392666,9.84263,8077.03,105.278,67.0021,0.464431,11.3088,10.3385,96.9216,115.836,8.35599,-48.8337 
22,45.9,3,22,-1417.45,0.000132368,1.13679e-14,126.011,59.4007,0.000371733,5.71924,166.342,-1.90652,-5.09079,-1.08004,-3.67072,-4.10667,-543.494,74.3837,-30.8389,4626.52,0.0692093,1.51572,-1.66856,5.76443,-0.248482,-0.684435,-0.232064,836.687,25.6281,5388.82,0.149975,0.949124,0.00868456,5578.85,-0.00760385,0.0939972,10.6569,9.2134,97.1835,66.067,0.438493,12.9607,11.3273,96.7526,115.234,0.430942,-49.167 
23,45.9,0,23,-943.179,-1.29044,10.1062,12.4529,96.9455,-2.27328,3103.93,480.206,-4.34902,-7.4515,2.81856,-9.85875,-4.2197,-480.186,-635.816,-27.653,4868.39,233796,-1.32542,-4.4279,8.86576,-6.83515,-1.1961,2.80242,37.6908,22.2365,5541.89,0.00766921,0.492017,0.00733709,4914.56,-0.00653675,1.18486,6.41332,-0.0439701,105.382,63.761,0.522854,12.0692,10.5617,96.561,115.074,8.82144,-51.3133 
24,46.05,3,24,20675.3,0.301554,5.59096,77.3101,98.3922,-0.146616,-135.974,4.60036e-05,14.4583,0.463729,18.9505,13.1868,4.42794,1062.95,2305.99,122.673,5649.39,14719.7,7.76517,-6.22937,5.56427,6.49371,-2.26516,0.508831,815.102,12.2369,4158.51,0.182163,0.9744,0.00539137,4474.59,0.016148,0.0850171,11.4162,10.267,96.9413,66.2368,0.363627,12.251,11.2715,96.9862,115.448,-0.0448774,-49.2116 
25,46.05,0,25,4258.91,-0.176234,9.33998,12.05,97.255,-0.5561,502.231,18.0673,10.6603,2.0966,-6.48348,9.32057,1.7323,-76.2066,-64.6049,6.80406,4856.38,12755.6,11.1402,2.57645,-5.52378,9.80042,2.21215,1.27338,42.2822,14.7216,4963.27,0.00958789,0.621385,0.0054342,4409.96,-0.000849689,0.00560886,-9.79095,-103.096,106.193,92.9994,0.504367,11.2643,10.1809,96.8064,114.843,9.38702,-21.8439 
26,45.9,3,26,1099.22,-0.459692,-10.2837,12.018,97.0963,0.20289,911.858,1.34154e-09,-5.88047,-5.76626,4.49514,-5.91595,-5.47053,-453.772,316.727,-24.0371,4875.87,10045.8,-3.02318,-2.90898,10.2097,-3.05866,-2.61325,8.32202,953.187,23.108,5512.33,0.164228,0.959302,0.00766303,5804.04,-0.00513694,0.0929661,11.1584,9.36599,97.2452,66.0848,0.443236,12.9395,11.3709,96.6433,116.18,0.601863,-50.0953 
27,45.9,0,27,13662.2,0.00227917,9.98185,16.276,97.2388,0.00475416,-1.21649,2.11283e-12,10.9748,-3.15612,14.212,11.0596,1.05049,598.694,735.736,72.9342,5749.07,5288.95,7.205,-6.92593,6.67235,7.28975,-2.71932,0.420895,-103.991,10.7322,4909.35,-0.0246644,1.22041,0.00401084,4216.24,0.00933379,-0.00579902,72.5256,7.89567,96.1272,64.4229,0.505057,11.5568,10.0926,96.9955,115.526,-0.868353,-51.1029 
28,46.05,3,28,12680.9,0.177167,9.21668,16.0782,97.3251,-0.149157,-10.8227,4.01905e-13,3.34846,2.46515,8.98096,2.54402,3.25602,493.982,1569.09,68.1929,4713.16,4876.55,0.23799,-0.645326,2.76002,-0.566452,0.145548,-0.428745,876.232,16.8701,4020.3,0.198508,0.967405,0.0076706,4414.09,0.00825185,0.0828265,11.6971,9.75539,97.9986,65.8513,0.366008,12.086,10.6759,96.9924,115.893,1.00615,-50.0419 
29,46.05,0,29,-488.158,-0.983649,-8.71559,11.582,97.291,-2.6721,4896.01,237.91,-1.49753,-1.868,-3.24849,-1.34726,-2.90325,-422.175,-569.154,-19.311,4128.26,429169,1.16079,0.790324,2.06815,1.31106,-0.244924,0.593316,22.987,24.5513,4720.4,0.00550331,0.348543,0.00949005,4176.94,-0.0048515,-0.00370997,106.034,7.96784,70.0004,62.3857,0.482287,11.207,10.0867,97.0037,115.62,-27.0033,-53.2343 
30,45.9,3,30,19443.4,2.60454,8.35653,12.2784,98.4774,-3.90253,5324.27,6.69532,6.74415,5.77034,14.526,5.60397,6.28446,887.304,2041.65,97.515,6805.39,679737,1.15704,0.183224,3.35181,0.0168534,0.697341,0.380014,797.115,5.32761,5560.86,0.140074,0.988439,0.00176173,5690.67,0.0135023,0.0896496,11.181,9.38826,97.2841,66.0996,0.466537,12.7995,11.2741,96.9821,116.02,0.302085,-49.9207 
