cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
38,-4.035,43.1877,38,7390.14,-0.358205,23.8061,8.50093,119.441,0.705236,197.352,339.078,-4.12055,-3.93305,-9.21239,-4.12531,-4.20566,-438.778,4440.17,-23.6054,5016.79,11118.7,-1.35769,-1.17019,-3.68665,-1.36244,-1.44279,0.591269,4789.67,8.16759,5366.29,0.512208,0.997025,0.00279588,9351.02 
39,-3.98,43.2427,39,7477.98,-0.00416195,22.5106,8.66657,119.16,-0.0218714,10.6572,500,-3.28054,-4.51938,-6.48563,-6.7213,-9.10174,-556.707,4476.87,-3.82628,5032.62,6358.39,0.224899,-1.01394,0.52524,-3.21586,-5.5963,1.05787,4920.31,36.4863,5476.06,0.513872,0.987189,0.0121249,9574.96 
40,-4.03,43.1927,40,8596.87,-0.00828329,24.9378,8.71112,119.194,-0.00755464,-10.3868,500,-0.160854,0.714262,-9.41308,-3.2504,-0.947291,-431.284,5064.79,-11.8248,5440.04,7074.31,2.55483,3.42994,-3.98172,-0.534715,1.76839,2.23017,5408.32,19.4055,5783.57,0.523841,0.99376,0.00614281,10324.4 
41,-3.99,43.2327,41,6393.4,-0.0235367,20.7069,-8.45035,119.272,0.00125133,9.01668,1.27481e-11,-4.50039,-2.50876,-5.4363,-6.36395,-7.45375,-448.494,3846.68,-11.6466,4662.11,5696.56,-1.67634,0.315285,0.211791,-3.53991,-4.6297,1.02273,4203.92,20.83,5019.35,0.496309,0.991403,0.00758661,8470.37 
42,-3.97,43.2527,42,8217.18,-0.0482687,24.6265,8.57265,119.042,-0.0206166,85.1773,471.199,-6.19311,-2.48435,-6.00551,0.750308,-4.15492,-404.462,4750.02,-21.129,5477.56,6929.63,-3.64632,0.0624397,-0.911929,3.2971,-1.60813,0.675105,5072.19,8.15907,5799.73,0.50712,0.997193,0.00258478,10002 
43,-4.005,43.2177,43,6897.77,-0.35955,22.4381,8.49465,119.638,40.6792,-20346.9,334.664,-1.67574,1.16827,-4.65796,-0.92549,2.75176,-563.502,4176.9,-6.23083,4909.71,2.69504e+07,1.87249,4.71649,2.43848,2.62273,6.29998,0.864153,4625.75,34.5737,5358.56,0.503866,0.987089,0.0117458,9180.53 
44,-3.975,43.2477,44,8167.48,-0.355667,24.5624,8.88145,119.332,2.52559,27.4796,387.049,-3.79075,-0.894768,-4.36312,-3.03861,-6.3593,-513.699,4620.6,-2.67373,5592.25,9360.77,-0.556125,2.33986,2.10614,0.196012,-3.12467,-1.19113,5029.78,34.5245,6001.43,0.496475,0.988131,0.010486,10131 
45,-3.995,43.2277,45,6822.28,-0.0266741,21.7037,-8.44425,119.172,-0.0279409,5.33527,500,0.846891,-0.692575,-5.79667,-6.80793,-2.94457,-484.536,4164.12,-1.48568,4779.77,5970.93,3.89788,2.35842,0.305317,-3.75694,0.106421,0.89512,4550.07,33.6007,5165.72,0.508903,0.987242,0.0118402,8940.94 
46,-4,43.2227,46,7307,-0.0222343,22.7459,-8.42299,119.088,0.00345423,10.456,500,0.97298,-2.07292,-12.8701,-6.98681,-2.8094,-444.326,4383.55,-12.2679,4919.54,6238.02,3.77078,0.724881,-7.27449,-4.189,-0.011601,-0.0422751,4737.47,19.9068,5273.46,0.51383,0.9927,0.00690574,9219.91 
47,-3.96,43.2627,47,8046.58,-0.0169369,24.329,8.70818,119.271,0.0121317,-34.4838,500,-2.52873,-2.25566,-13.8914,-6.59901,-3.12437,-439.572,4644.34,2.13697,5539.83,6910.4,0.239141,0.512206,-8.35565,-3.83114,-0.356506,0.29141,4994.48,33.9674,5889.96,0.499401,0.988238,0.0105118,10000.9 
48,-3.965,43.2577,48,8102.86,-0.00630684,24.9649,8.51474,119.084,0.0853544,-104.239,500,-4.1395,-3.16073,-5.64723,-7.90569,-9.65207,-444.113,4753.9,-7.17776,5536.87,7209.49,-1.34304,-0.364273,-0.0543128,-5.10923,-6.85561,0.996043,5107.65,24.9815,5890.62,0.504974,0.991513,0.00775162,10114.7 
49,-4.015,43.2077,49,8927.11,-0.0211777,26.2352,8.76906,119.353,-0.0834176,47.1452,500,-2.71374,-1.61725,-4.92284,-4.92069,-6.16026,-420.222,4928.8,-0.438322,6058.97,7617.17,-0.0677129,1.02878,0.369216,-2.27466,-3.51423,1.08281,5263.52,29.991,6393.7,0.492002,0.990127,0.00856677,10698.2 
50,-3.945,43.2777,50,8600.22,-0.210818,26.3641,8.62101,119.363,-0.588606,722.372,0.798015,-1.32653,-0.392954,-8.61491,-9.92894,-4.20483,-411.268,4838.58,0.112867,5873.03,21240.3,1.26311,2.19669,-3.43561,-7.33929,-1.61519,0.615285,5166.17,29.8938,6200.62,0.495001,0.989975,0.00880279,10436.7 
51,-4.025,43.1977,51,9176.08,-0.00737876,26.9187,8.68841,119.498,-0.0194213,-36.4705,500,-1.32162,-5.11607,-6.0912,-4.32008,-10.4883,-506.551,5165.64,-3.28169,6137.31,7636.66,1.86799,-1.92645,0.288033,-1.13047,-7.29869,1.03513,5569.13,33.3989,6540.8,0.500425,0.989614,0.00931858,11128.8 
52,-3.94,43.2827,52,9080.17,-0.0244561,26.0276,8.80888,119.295,-0.0121577,-19.9927,500,-4.39498,-5.13572,-11.2886,-6.4629,-5.77384,-460.272,5191.36,-1.17317,5808.41,7471.55,-1.49677,-2.23751,-5.49217,-3.56469,-2.87563,0.649438,5557.98,32.1563,6175.04,0.514306,0.989977,0.00950155,10806.8 
53,-3.955,43.2677,53,8142.15,-0.107819,25.0696,8.5688,119.183,-1.11231,848.724,1.44265e-09,-6.84484,-8.29984,-4.50493,-5.70137,-5.25899,-419.114,4447.03,-16.54,5732.16,37724.8,-4.2058,-5.66079,0.773166,-3.06232,-2.61994,1.05233,4780.87,13.8091,6066,0.481119,0.994971,0.00417599,9936.97 
54,-3.95,43.2727,54,9038.36,-0.0380788,26.5276,8.61748,119.134,0.00261093,23.0371,499.945,-2.22449,-4.14724,-3.80862,-6.1704,-3.0172,-454.966,5091.87,-5.0182,5851.12,7443.67,0.640303,-1.28244,1.92098,-3.30561,-0.152404,1.88152,5454.27,27.927,6213.52,0.508047,0.991119,0.00821145,10735.8 
55,-4.01,43.2127,55,7505.59,-0.0230005,23.2859,8.54205,119.196,0.00492311,12.9456,500,-3.69678,-3.70587,-6.64727,-5.46917,-7.01906,-545.343,4289.14,-18.3727,5383.12,6477.24,-0.262903,-0.271995,0.220482,-2.0353,-3.58518,1.03715,4723.53,21.1168,5817.5,0.488553,0.992237,0.00664221,9668.41 
56,-3.985,43.2377,56,5926.51,-0.109784,20.6024,-8.3842,119.28,-0.051427,119.002,499.969,-3.95426,-2.07809,-7.53628,-7.21412,-7.35757,-643.208,3730.49,-16.7567,4672.83,5822.32,0.0958509,1.97202,0.563938,-3.16401,-3.30746,1.14687,4242.83,29.8196,5185.17,0.490487,0.98785,0.0104828,8650.22 
57,-4.04,43.1827,57,8513.04,-0.0944497,25.8749,8.55743,119.146,0.337688,-45.9299,0.423413,0.920399,-3.70782,-6.88685,-6.7994,-2.87731,-516.199,4872.24,-4.60359,5678.21,7712.94,4.17077,-0.457448,-0.386118,-3.54904,0.373053,3.5534,5283.41,32.7756,6089.38,0.505136,0.98926,0.00981765,10459.4 
