cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
27,-3.98,43.2427,27,8150.72,-0.515337,26.8793,8.76088,120.191,-0.263316,1112.61,125.268,-7.6608,-3.91951,-8.85615,-6.97272,-5.58169,-762.771,5373.37,13.2196,5752.55,17203,-2.85784,0.883449,0.749778,-2.16976,-0.778727,1.17967,5980.95,68.4537,6360.13,0.525241,0.980364,0.019441,11387.1 
28,-4.04,43.1827,28,7877.75,-0.228221,26.0569,8.65583,120.477,-0.513256,352.209,500,-0.35799,-7.58055,-5.15767,-6.34872,-2.28725,-729.669,4975.85,16.3155,5820.53,13227,4.23654,-2.98602,4.03139,-1.75419,2.30728,0.309102,5557.06,69.1526,6401.74,0.505254,0.978687,0.0195105,10998.5 
29,-3.94,43.2827,29,6226.02,-0.575642,23.4278,-8.56876,120.387,0.370468,-336.216,161.583,-5.35546,-7.30555,-14.9593,-2.35259,-5.13183,-758.635,4313.45,-0.878751,5055.47,10589.7,-0.578531,-2.52862,-5.40542,2.42433,-0.354906,0.161059,4917.74,54.0559,5659.75,0.505497,0.981127,0.0172896,9728.52 
30,-3.96,43.2627,30,6764.08,-0.00488125,23.0242,8.42516,120.357,0.00125269,-14.6422,500,-1.56439,0.000852415,-5.2216,-0.54856,-4.69708,-750.41,4391.23,17.1682,5212.44,6315.38,3.16075,4.72599,4.22867,4.17658,0.0280534,0.740891,4988.96,71.5072,5810.17,0.502534,0.975531,0.0221687,9927.6 
31,-3.995,43.2277,31,7922.06,-0.0173785,26.9803,8.58321,120.073,-0.0616291,71.1593,498.681,0.407566,-3.79332,-7.02591,-5.7466,-8.79346,-739.129,5203.02,14.1592,6064.29,7681.39,5.06166,0.860778,2.28229,-1.0925,-4.13936,0.232294,5791.76,67.6813,6653.03,0.50597,0.97996,0.018395,11446.8 
32,-3.955,43.2677,32,8511.15,-0.0245891,27.9464,8.6093,120.449,-0.0155355,-0.429801,499.288,-2.8435,-7.05184,-13.98,-10.5949,-8.5131,-737.836,5612.76,11.4427,6082.34,7832.51,1.80246,-2.40589,-4.68809,-5.94894,-3.86714,0.689687,6200.47,64.8712,6670.06,0.522364,0.98202,0.0176005,11870 
33,-4.03,43.1927,33,7820.9,-0.236078,26.3169,8.68518,120.268,0.339476,-101.053,6.96422e-09,-5.88029,-3.70652,-11.0117,-7.00114,-3.64861,-797.904,5476.99,11.5357,5490.76,8557.37,-0.856096,1.31767,-0.963273,-1.97695,1.37558,0.126739,6112.55,69.3139,6126.32,0.539981,0.980542,0.0204163,11319.9 
34,-3.935,43.2877,34,7498.43,-0.4656,25.5082,-8.76467,120.346,-0.671703,4664.59,5.96175e-05,-5.50402,-3.50646,-4.30127,-8.10132,-4.75066,-646.5,5036.36,13.1414,5501.45,109274,-1.43318,0.564372,3.8404,-4.03048,-0.679829,3.20876,5551.32,59.9561,6016.41,0.520505,0.98145,0.0180264,10665.3 
35,-3.975,43.2477,35,7590.02,-0.0202831,25.3506,8.61388,120.251,0.00478341,-4.96715,500,-2.50961,-3.73007,-9.65056,-5.65519,-4.42199,-736.259,5147.28,7.77671,5565.5,7109.36,2.12642,0.905956,-0.378496,-1.01916,0.214037,1.20473,5733.74,61.0911,6151.96,0.523013,0.981696,0.0179641,10962.9 
36,-4.01,43.2127,36,6497.22,-0.0316841,24.9994,8.25961,120.296,0.0120548,34.2093,500,0.0383814,-3.92907,-19.8633,-7.72432,-8.90325,-864.256,4724.66,-8.02614,5414.38,6735.21,5.48037,1.51292,-8.97927,-2.28233,-3.46126,-0.161678,5413.07,54.5568,6102.79,0.510646,0.982668,0.016201,10600.4 
37,-3.965,43.2577,37,7878.63,-0.545229,26.9256,8.65221,120.301,0.083691,930.512,492.195,-2.92525,-5.46616,-6.92953,-6.64769,-8.81142,-735.717,5237.48,15.0263,5713.69,10118.9,1.70736,-0.833549,2.3357,-2.01507,-4.1788,1.78265,5823.51,68.3014,6299.71,0.520967,0.979888,0.019581,11178.3 
38,-4.02,43.2027,38,6692.12,-0.57521,24.1408,8.72351,120.273,-0.483993,1331.59,451.237,-1.95524,-4.14458,-11.8831,-9.43437,-7.54075,-758.586,4747.23,6.62764,5086.18,27835.4,2.82137,0.63203,-2.32989,-4.65776,-2.76414,0.630082,5351.47,61.5587,5690.42,0.525255,0.980267,0.0195384,10188.3 
39,-4.005,43.2177,39,8873.16,-0.0259613,27.6435,8.63625,120.264,0.0709473,13.3166,500,-2.07381,-4.61423,-9.46848,-1.96591,-5.64011,-702.848,5416.62,11.3398,6263.13,7802.4,2.35184,-0.188583,-0.617187,2.45973,-1.21447,1.22111,5976.46,62.2347,6822.97,0.507513,0.982103,0.0165248,11776 
40,-3.945,43.2777,40,7442.12,-0.338766,24.2701,8.60491,120.452,0.0565669,504.36,500,-3.78063,-4.50621,-10.2325,-10.2615,-5.4514,-623.077,4982.74,7.00859,5000.54,7727.23,0.142721,-0.582861,-2.38583,-6.33815,-1.52805,0.776862,5479.04,52.1271,5496.85,0.539735,0.983623,0.0171689,10151.4 
41,-4.035,43.1877,41,8204.91,-0.523564,26.8986,8.83323,120.417,1.46899,-260.741,499.968,-3.02894,-3.99414,-10.4217,-6.66404,-6.18449,-671.683,5509.66,20.8964,5674.75,20203.5,1.20047,0.235274,-1.96284,-2.43463,-1.95508,0.60079,6044.68,69.5346,6209.77,0.533841,0.980266,0.0202103,11323 
42,-4.015,43.2077,42,7350.41,-0.10075,25.0843,8.37984,120.292,0.0432637,249.385,500,-3.65041,-3.99864,-12.7908,-4.77382,-8.2478,-763.959,4905.7,-1.4618,5447.68,7194.01,1.16004,0.811811,-3.16987,0.0366237,-3.43735,0.31071,5514.22,53.8584,6056.2,0.517185,0.983195,0.016118,10662 
43,-4,43.2227,43,7020.81,-0.0360431,24.5859,8.32011,120.488,-0.00455617,1.40667,500,-3.27205,-5.59054,-11.7651,-6.44015,-0.780998,-790.685,4971.68,13.0715,5164.5,6659.22,1.70669,-0.611806,-1.80767,-1.46141,4.19774,1.89332,5601.49,70.3269,5794.31,0.532124,0.978501,0.0218691,10526.7 
44,-3.985,43.2377,44,7908.02,-0.0259715,26.895,8.46939,120.405,0.035628,-17.7531,500,-5.08098,-3.73425,-7.70672,-3.80927,-11.9523,-826.945,5373.53,15.7878,5864.09,7435.71,0.126075,1.4728,2.70739,1.39779,-6.74526,3.60025,6032.23,75.6689,6522.78,0.521071,0.978519,0.0209226,11576.6 
45,-3.95,43.2727,45,7191.77,-0.017124,24.888,8.39977,120.281,0.00224993,-18.1332,500,-2.00898,-5.72022,-10.5246,-6.79054,-7.92602,-728.089,5077.85,-1.15113,5215.34,6806.7,2.57561,-1.13563,-1.35547,-2.20596,-3.34144,0.751877,5657.8,51.5716,5795.29,0.534572,0.984299,0.0161283,10583.8 
46,-3.99,43.2327,46,7402.48,-0.0296528,24.3267,8.54285,120.321,-0.0120058,35.4693,2.84841e-12,-6.47477,0.239765,-8.92919,-2.04634,-3.11166,-701.848,4764.77,13.373,5372.56,6779.07,-2.05542,4.65912,-0.0904834,2.37302,1.30769,1.01461,5323.82,64.1955,5931.61,0.5136,0.979334,0.0195467,10365.7 
47,-3.93,43.2927,47,8177.59,-0.304202,26.3343,8.73645,120.404,0.37199,-313.609,3.674e-07,-5.17243,-7.53701,-12.8716,-7.65867,-8.51623,-785.128,5283.42,19.8735,5830.57,11287.1,-0.228693,-2.59326,-2.98416,-2.71493,-3.57249,0.753244,5908.8,76.7265,6455.95,0.518481,0.977781,0.0214237,11396.4 
48,-3.97,43.2527,48,7058.06,-0.0605459,23.677,8.43978,120.217,-0.0325472,17.4847,1.27461e-05,-0.441739,-8.80029,-10.9991,-8.44857,-7.84209,-797.252,4628.52,9.59977,5238.78,6523.6,4.57834,-3.78021,-0.958986,-3.42849,-2.82201,0.850424,5263.56,67.3307,5873.82,0.513202,0.978104,0.0206791,10256.3 
49,-4.025,43.1977,49,7458.21,-0.466283,25.6839,8.52336,120.248,0.436496,831.969,0.0155855,-3.8812,-4.60711,-6.8771,-5.30185,-3.42649,-782.366,5157.61,11.532,5270.27,18948.1,1.04515,0.319241,2.97561,-0.375496,1.49986,0.455452,5780.79,68.185,5893.45,0.535743,0.979776,0.0208677,10790.2 
50,-3.98,43.2427,50,7489.09,-0.00466194,24.1533,8.70302,120.034,0.0140381,3.11302,0.135407,-2.12237,-5.70891,-10.9213,-5.69646,-4.40049,-694.675,4914.01,8.6869,5466.84,6844.33,2.25182,-1.33473,-2.17288,-1.32228,-0.026307,0.16568,5467.35,58.99,6020.17,0.516543,0.981468,0.0177302,10584.5 
51,-4.04,43.1827,51,8106.3,-0.0739858,25.3587,8.65256,120.312,0.125823,121.814,0.000187046,-2.97755,-5.41982,-9.20533,-5.45964,-9.65063,-720.592,5186.1,11.9825,5615.81,7641.72,1.55982,-0.882443,-0.130573,-0.922266,-5.11326,0.976211,5760.08,64.1623,6189.78,0.522627,0.980879,0.0187372,11021.4 
52,-3.94,43.2827,52,6656.43,-0.491274,23.4798,8.53071,120.365,0.935016,-61.3539,405.167,-2.71577,-1.4506,-12.5077,-5.2706,-11.0302,-718.778,4545.41,-0.131892,4994.09,8387.88,1.81018,3.07536,-3.45575,-0.744644,-6.50428,0.40614,5117.94,51.9166,5566.62,0.519611,0.982558,0.0168901,9849.57 
53,-3.96,43.2627,53,6571.48,-0.0502238,22.5362,8.46964,120.498,0.0507755,-30.9102,500,-2.93549,-7.24649,-8.52033,-7.44533,-8.19851,-740.261,4265.75,3.03788,5096.53,6264.65,1.72574,-2.58526,0.802125,-2.7841,-3.53729,1.12575,4855.39,56.642,5686.18,0.501142,0.979993,0.0180192,9688.64 
54,-3.995,43.2277,54,7315.41,-0.512357,25.0572,8.66219,120.391,-0.0225972,522.331,271.963,-7.13134,-2.19181,-10.4629,-7.56304,-10.093,-734.128,5026.39,3.04865,5272.71,7449.92,-2.50873,2.4308,-1.21764,-2.94043,-5.47036,0.874552,5611.15,56.2086,5857.47,0.529853,0.982772,0.0173699,10590 
55,-3.955,43.2677,55,7262.09,-0.0399507,24.1812,8.56375,120.405,-0.010894,80.6973,500,-6.48345,-2.74846,-10.263,-6.36312,-4.61157,-663.748,4854.9,22.6599,5206.98,6769.83,-2.304,1.43099,-1.90408,-2.18367,-0.432123,0.646928,5383.6,70.7236,5735.68,0.524772,0.977527,0.0222095,10258.9 
56,-4.03,43.1927,56,9001.49,-0.00525301,27.9818,8.64455,120.136,0.00731089,-15.9569,4.43595e-12,-3.24455,-5.9663,-10.1676,-3.37238,-2.94812,-773.042,5853.53,15.8855,6009.96,7878.13,1.62309,-1.09866,-0.432295,1.49526,1.91952,1.12327,6469.29,71.8634,6625.72,0.534601,0.980931,0.0195883,12101.1 
57,-3.935,43.2877,57,8613.23,-0.0258399,26.7633,8.66656,120.039,-0.0216405,24.1859,500,-8.21457,-1.48945,-11.4,-2.26889,-6.59668,-672.509,5463.78,29.2572,5891.06,7567.64,-3.97996,2.74516,-2.93076,1.96572,-2.36206,0.357556,5999.45,77.9552,6426.73,0.523413,0.977767,0.0218561,11462.2 
58,-3.975,43.2477,58,8276.63,-0.0223165,26.4498,8.63354,120.282,0.00798603,-24.3932,500,-2.74259,-4.78362,-16.6765,-7.54818,-5.2979,-669.834,4991.35,9.12883,6096.5,7440.06,1.47518,-0.565852,-8.241,-3.33041,-1.08014,0.298174,5524.9,57.6331,6630.05,0.495043,0.982072,0.0157605,11160.4 
