cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,45.9,10,10,6732.15,0.00804637,8.09638,17.9072,95.7509,0.000303462,2.16279,1.50955e-10,1.43475,0.615017,0.314456,1.21004,1.13524,-72.0745,815.831,58.6073,5138.05,4719.72,1.88859,1.06885,1.22212,1.66388,1.58907,0.835571,916.922,66.0955,5239.14,0.165888,0.887983,0.0227117,5527.36,714.73,588.591,15763,0.000836294,0.0338727,16.7468,14.9643,96.4256,68.9535,0.224016,17.1372,16.6732,95.7294,120.904,0.696182,-51.9505 
11,45.9,0,11,6890.11,0.0177415,8.59138,17.186,96.5844,-0.0291664,21.4405,2.6724,-0.562463,-1.0835,1.8599,-0.669012,1.17892,-49.0787,298.371,55.6269,5785.68,4826.9,-0.253428,-0.774461,2.47797,-0.359977,1.48796,0.0388236,367.209,60.726,5854.52,0.0665332,0.775554,0.018749,5519.18,945.36,265.057,22077.3,0.00109545,0.00897232,11.6848,13.846,97.8981,68.5902,0.287599,16.0344,15.1537,96.6493,121.181,1.24875,-52.5904 
12,46.05,10,12,5524.98,0.00555906,6.63666,17.988,95.5965,-0.00823429,8.82361,204.885,0.317355,-0.408643,1.89411,1.36724,-2.26747,-54.801,836.932,62.6114,4111.42,3888.6,0.662423,-0.063575,2.58424,1.71231,-1.92241,0.13076,913.795,68.305,4188.28,0.198673,0.884322,0.0291659,4599.48,490.121,564.537,10095,0.000649243,0.0297064,18.1938,17.2553,95.8489,70.2713,0.1791,17.1916,16.4388,95.592,121.187,0.256837,-50.9159 
13,46.05,0,13,6913.24,0.032496,8.65894,16.9167,96.0725,-0.0266096,7.8144,54.5876,-1.75319,1.82973,-1.40421,-1.94446,0.485403,-66.7704,328.829,57.3725,5798.57,4775.2,-1.33275,2.25017,-0.563336,-1.52402,0.905839,-1.13301,422.481,64.3097,5892.23,0.0753403,0.78965,0.0197091,5607.64,954.97,284.701,22241.2,-3.21268e-06,0.00839087,24.3163,184.447,94.0144,93,0.288017,15.8814,14.1981,96.1069,122.893,-2.09245,-29.8933 
14,45.9,10,14,7013.13,-0.00626842,8.63843,17.7169,95.5817,-0.00242364,1.4853,290.172,-0.316049,-0.275021,2.46492,-2.87642,-0.14387,-59.41,965.603,64.2316,5405.53,4982.29,0.0580402,0.0990678,3.2131,-2.50233,0.230219,-1.92607,1048.93,70.4041,5488.86,0.178416,0.894887,0.0230828,5879.13,785.511,707.461,17514.6,0.00074907,0.0393456,17.2226,14.7782,95.1637,69.5707,0.238671,16.976,16.5289,95.4862,122.058,-0.322416,-52.4876 
15,45.9,0,15,6604.42,0.0329083,8.36768,16.6983,96.6442,-0.0139874,-10.4207,141.057,-1.12333,0.218972,3.47742,0.702686,1.62312,-68.3637,320.612,58.1047,5545.7,4553.29,-0.692862,0.64944,4.33835,1.13315,2.05359,0.420136,416.499,65.2074,5641.58,0.0774005,0.784941,0.0208478,5381.09,888.221,277.533,20649.7,-0.000371389,0.00792392,32.4596,-121.267,86.9697,93,0.278967,15.2853,14.7244,96.9356,121.341,-9.9659,-28.3413 
16,46.05,10,16,5977.56,-0.00354542,7.09236,18.3639,95.9311,-0.0167856,6.43722,344.514,0.281071,0.802263,4.24905,1.20533,3.1624,-53.8603,880.155,61.2418,4408.06,4243.38,0.620215,1.14141,4.92734,1.54448,3.50155,0.580115,955.699,66.8377,4483.61,0.19499,0.890958,0.0267266,4901.27,560.274,643.642,11666.8,0.000729618,0.0330494,18.53,16.155,96.7089,68.8841,0.192339,17.4022,16.3222,96.0622,120.74,0.646681,-51.8559 
17,46.05,0,17,6149.65,0.0493422,7.58574,16.8717,96.3522,-0.0273039,7.48682,330.032,1.05771,0.877152,-0.880481,0.141996,0.282222,-85.7645,322.211,49.7963,5009.81,4172.96,1.59774,1.41719,0.199592,0.682033,0.822259,0.957703,442.504,58.7069,5130.11,0.0892686,0.811575,0.0206451,4957,741.326,267.505,16783.3,0.00105925,0.00780898,14.8528,20.6914,97.6207,66.0799,0.251438,15.8657,15.1131,96.5396,120.729,1.08116,-54.6495 
18,45.9,10,18,7113.01,-0.0122105,8.56871,18.1933,96.102,0.00821592,3.94456,70.4216,-0.171584,-2.32861,0.157117,-0.0664188,-0.713035,-57.9746,952.849,67.0139,5400.21,5075.9,0.193467,-1.96356,0.887218,0.298632,-0.347984,1.95172,1034.16,73.0373,5481.52,0.176542,0.890002,0.0239567,5857.9,776.761,683.884,17277.5,0.000811204,0.0356197,18.4918,15.6769,95.5837,69.0112,0.233986,17.2938,16.5918,96.2777,121.2,-0.694031,-52.1883 
19,45.9,0,19,6733.36,0.0104966,8.37067,17.0764,96.2984,0.00136585,1.08428,1.05622e-11,1.16827,1.40631,1.02699,0.741452,-1.54722,-49.3938,333.052,51.1462,5590.11,4653.25,1.47929,1.71733,1.64903,1.05247,-1.2362,0.646277,402.331,56.278,5659.39,0.0747468,0.803349,0.0179887,5382.59,889.038,268.117,20630.1,-0.0003492,0.00772223,31.7046,177.816,88.4515,93,0.276712,15.635,14.5761,96.6068,120.201,-8.15523,-27.2009 
20,46.05,10,20,5509.24,-0.00162132,6.71437,17.8502,95.7339,-0.0126445,9.93862,342.719,2.11609,-0.650056,0.210985,0.368604,2.08916,-71.438,787.653,64.4041,4082.09,3905.7,2.56591,-0.20023,1.11064,0.818429,2.53898,0.837477,887.852,71.8262,4182.28,0.194352,0.875984,0.030666,4568.26,482.613,533.254,9903.6,0.000666325,0.0293712,17.7014,16.819,95.6195,69.1529,0.175408,16.9841,17.0517,95.8578,120.525,-0.238344,-51.3726 
21,46.05,0,21,6163.69,0.00876484,7.73896,17.0565,96.386,-0.00581164,9.80014,3.18176e-10,0.0841037,2.2514,2.31751,0.0603661,2.75121,-41.4702,359.042,62.9753,5097.23,4298.89,0.345231,2.51253,2.83977,0.321493,3.01234,0.685566,417.208,67.2839,5155.4,0.0842171,0.779894,0.0234772,4953.96,758.425,302.971,17129.1,-0.000371257,0.00932545,30.6341,110.131,89.081,93,0.252592,15.2862,14.4388,96.5958,120.519,-7.51476,-27.5187 
22,45.9,10,22,7081.21,0.00409269,8.55815,17.9186,96.4179,-0.00539671,4.5945,239.249,-0.472697,1.02905,0.81123,1.89273,1.13085,-79.0935,848.51,57.5864,5440.93,4992.87,0.0253337,1.52708,1.80729,2.39076,1.62888,0.755088,959.446,65.8039,5551.86,0.164146,0.892838,0.0213672,5845.09,805.574,622.842,18031.5,0.000845882,0.0343483,16.8653,15.5444,97.4744,69.2472,0.24228,17.2417,16.1959,96.4004,121.851,1.07397,-52.6037 
23,45.9,0,23,5939.61,0.0358069,7.20205,17.3506,96.4331,0.0130331,-64.267,487.403,0.973236,0.386972,2.63285,-0.342686,2.76143,-74.2765,266.463,49.8892,4914.68,4095.11,1.44094,0.854671,3.56825,0.125013,3.22913,0.612904,370.643,57.6062,5018.86,0.0774232,0.78617,0.0207058,4787.24,714.981,271.578,16030.1,-0.000158131,0.00722399,30.3711,-127.475,87.7777,93,0.24379,15.6596,14.4311,96.7733,120.751,-8.9956,-27.7514 
24,46.05,10,24,5787.62,-0.0176256,7.08203,18.0336,96.2865,-0.0402685,5.14632,58.5359,-1.77275,0.312771,1.08957,-0.717074,0.644667,-33.0956,859.843,58.125,4323.67,4164.28,-1.56435,0.521165,1.50635,-0.50868,0.853062,-0.865345,906.263,61.5635,4370.09,0.190714,0.893751,0.0252942,4751.94,538.099,654.79,10968.8,0.000640256,0.0372835,16.2558,15.0806,96.6766,69.4862,0.18297,17.4148,16.9871,96.2957,120.835,0.380945,-51.3488 
25,46.05,0,25,6340.74,0.00112158,8.13492,16.9151,96.3925,-0.0147736,16.746,294.154,3.31799,1.35358,-3.42486,-0.596325,-0.5743,-45.4448,316.602,59.7856,5351.2,4487.49,3.60414,1.63973,-2.85256,-0.310171,-0.288146,2.59094,380.343,64.5071,5414.94,0.0739176,0.771126,0.0214734,5145.49,827.111,271.328,18912.3,-0.000368775,0.00848406,28.63,133.655,90.6984,93,0.26286,15.5954,14.6667,96.5667,120.359,-5.86827,-27.3593 
26,45.9,10,26,6779.11,-0.0131905,8.20907,18.1197,95.7089,-0.00362664,31.1236,64.2105,-0.377795,0.772048,0.803378,-1.60849,-0.0677304,-48.2773,800.591,53.0639,5239.38,4845.84,-0.0738054,1.07604,1.41136,-1.3045,0.236259,-0.0490615,868.305,58.0797,5307.1,0.156775,0.895211,0.0197612,5538.55,736.766,596.318,16223.2,0.000812201,0.0338818,16.709,14.7319,96.4906,68.479,0.226868,17.1993,16.6635,95.6856,120.709,0.80506,-52.2299 
27,45.9,0,27,6721.51,0.01189,8.50151,17.015,96.7878,-0.00310433,3.76094,0.713209,-1.21151,1.0619,1.045,-0.2346,-0.14881,-43.9971,288.994,49.439,5701.89,4709.31,-0.934468,1.33894,1.59908,0.0424375,0.128228,0.264527,350.704,54.0101,5763.6,0.0646737,0.787707,0.0169692,5422.67,932.842,291.805,21650.6,0.000986506,0.00827239,12.0064,16.7864,98.2504,68.8824,0.2859,16.0335,15.0311,96.9218,121.02,1.32864,-52.1377 
28,46.05,10,28,5775.31,0.00818412,7.01662,17.7465,95.7604,-0.00364047,0.631392,306.398,-1.09959,0.918225,1.55016,0.259262,1.63785,-67.0686,913.112,55.1075,4164.55,4053.62,-0.677274,1.34054,2.39479,0.681575,2.06016,0.587091,1007.18,62.0757,4258.62,0.211826,0.902643,0.0261493,4754.77,512.45,678.85,10389.9,0.0007612,0.0361626,17.3845,15.6533,97.0874,69.3583,0.180174,17.0261,16.8951,95.7974,120.536,1.29006,-51.1779 
29,46.05,0,29,6693.78,0.00386817,8.55587,16.8795,96.2766,-0.00447391,9.00666,8.95425e-10,1.7811,0.877948,2.11789,0.111713,0.0253995,-59.387,283.517,52.8096,5627.01,4702.62,2.15504,1.25189,2.86578,0.485657,0.399343,0.599624,366.813,58.9797,5710.31,0.0680306,0.780408,0.0186712,5391.89,913.743,286.471,21109.5,0.000965198,0.0105208,11.9698,16.2,99.7773,68.3307,0.281195,15.9823,15.2297,96.2361,121.684,3.54124,-53.3533 
30,45.9,10,30,7070.52,-0.0191082,8.72156,17.8579,95.9347,0.0224568,1.72527,40.4446,0.179861,0.249731,0.84654,1.01915,2.79135,-63.5848,924.258,68.7232,5387.85,5071.41,0.580237,0.650108,1.64729,1.41952,3.19173,0.780035,1013.44,75.3294,5477.04,0.173736,0.884895,0.0247097,5833.23,793.426,681.055,17541,0.00081744,0.0371256,16.9288,15.5527,96.895,68.8303,0.238161,16.9701,16.601,95.9285,120.947,0.966429,-52.117 
31,45.9,0,31,6156.31,0.0202469,7.83228,16.7803,96.2635,-0.00672736,-16.4641,415.935,-0.946706,-1.23356,0.76658,0.291127,1.96389,-46.5309,272.858,53.9673,5131.65,4282.03,-0.653713,-0.94057,1.35257,0.58412,2.25688,0.479639,338.122,58.8017,5196.92,0.0688443,0.766673,0.0204174,4911.41,777.292,279.833,17622.4,0.00102456,0.00659185,12.8381,-21.6768,98.2205,65.5653,0.25932,15.6576,15.1105,96.3992,121.74,1.82131,-56.1744 
32,46.05,10,32,5781.6,-0.0105545,6.96857,18.1934,95.9321,0.00770817,2.41805,228.707,-0.521684,2.27401,0.743652,-1.03117,0.38839,-55.9068,907.76,69.0881,4283.18,4127.78,-0.169654,2.62604,1.44771,-0.679137,0.740421,0.634912,986.175,74.8966,4361.6,0.204415,0.882685,0.0306624,4824.38,528.595,652.655,10797.4,0.000596348,0.0320587,19.1198,16.7031,95.8525,70.2407,0.181931,17.3949,16.8993,95.9239,121.295,-0.0714042,-51.0545 
33,46.05,0,33,6388.05,0.0283588,7.80511,17.3658,96.5254,0.0159305,-25.9729,48.4451,2.09776,0.336896,-0.491539,-0.684075,-0.943906,-54.2267,391.167,56.9088,5209.77,4425.81,2.43921,0.678347,0.191362,-0.342624,-0.602455,0.919046,467.225,62.5428,5285.82,0.0912773,0.810205,0.0213312,5118.75,783.878,299.654,17823.7,-0.000384895,0.00921778,30.9901,124.33,87.803,93,0.255153,15.6154,14.4539,96.9893,120.183,-9.1863,-27.1826 
34,45.9,10,34,6633.91,-0.00515744,8.1353,17.7846,96.1122,-0.00195634,2.67152,240.134,0.675065,1.96735,2.05657,-0.121132,-1.35528,-38.689,824.38,54.2854,5120.3,4710.1,0.918679,2.21096,2.5438,0.122482,-1.11166,0.456948,878.645,58.305,5174.57,0.161746,0.895956,0.0203341,5432.27,712.023,624.675,15700.2,0.00080684,0.0370932,16.3418,14.0945,96.8513,69.6463,0.225704,17.1218,16.3287,96.1063,121.121,0.744988,-51.4744 
35,45.9,0,35,6450.69,0.0328298,8.19755,16.6385,96.2511,0.0437909,-40.5242,91.2763,0.028055,-0.407631,3.34584,-1.13515,1.01311,-59.1808,263.964,47.1227,5475.23,4497.87,0.4007,-0.0349858,4.09113,-0.762506,1.38575,0.194674,346.971,53.2713,5558.24,0.0662383,0.78822,0.0173488,5238.22,860.718,264.533,19982.9,0.000934985,0.00912207,11.2348,17.6366,97.5651,69.6676,0.27564,15.9335,15.0412,96.1414,120.808,1.42366,-51.1406 
36,46.05,10,36,6049.45,-0.0019598,7.17293,18.3503,95.7041,-0.00232634,8.89621,135.549,2.88686,2.61864,2.1886,-0.925775,-0.671251,-46.1053,937.082,62.5733,4368.68,4285.51,3.17718,2.90896,2.76922,-0.635462,-0.380938,0.646736,1001.75,67.3635,4433.35,0.20431,0.89471,0.0272282,4903.09,535.007,669.675,11076.7,0.000726052,0.0348419,19.307,15.5279,95.6047,70.0059,0.182183,17.3728,17.3787,95.628,121.889,-0.023262,-51.883 
37,46.05,0,37,5678.49,0.0241729,7.01175,17.2003,96.0303,0.0368706,-58.5472,35.9189,0.0640208,0.911459,4.24535,-0.598951,-1.08956,-39.3881,352.357,44.7861,4639.31,3996.33,0.312037,1.15948,4.74138,-0.350935,-0.841545,0.0555795,407.603,48.8783,4694.55,0.0898039,0.826546,0.0188185,4538.81,635.784,271.41,14125.4,0.000837489,0.00688824,23.407,-21.3748,95.9811,68.2915,0.226494,16.2372,15.2608,96.0608,120.168,-0.0796965,-51.8765 
38,45.9,10,38,7290.55,-0.00599771,8.69695,18.535,95.8367,-0.0117963,7.10805,218.165,0.503847,0.889729,-1.08925,0.324403,0.671433,-48.1897,955.557,61.0115,5588.76,5250.25,0.807284,1.19317,-0.482378,0.627841,0.97487,1.15457,1023.15,66.0182,5656.35,0.170504,0.898539,0.0210476,6000.74,809.977,677.126,18198.7,0.000819467,0.0368284,18.5393,14.7193,96.9548,68.0014,0.238669,17.4035,16.7302,95.902,120.141,1.05277,-52.1396 
39,45.9,0,39,6444.52,0.00629531,7.96248,17.3871,96.2934,0.000714188,5.15296,4.0495e-10,0.750382,2.29643,1.06627,0.386809,0.649089,-39.8028,319.374,40.9818,5322.23,4506.95,1.00101,2.54706,1.56753,0.637436,0.899716,0.764379,375.201,45.1172,5378.06,0.0734552,0.82615,0.0152185,5107.89,815.819,264.163,18684.8,0.00103875,0.00753904,17.7613,15.7089,102.973,59.8607,0.262835,16.0515,15.2761,96.3545,119.874,6.61832,-60.0136 
40,46.05,10,40,5831.44,-0.00104907,7.06967,17.9339,95.9958,-0.00485916,3.08842,145.871,0.737443,0.5631,5.25267,1.5117,1.20211,-40.4753,848.3,57.4243,4309.03,4127.81,0.992305,0.817963,5.7624,1.76656,1.45698,0.466257,905.071,61.6295,4365.8,0.190663,0.893524,0.0253449,4746.98,528.791,592.832,11053.2,0.00074332,0.0321384,17.9389,15.8705,96.2973,69.1717,0.18624,16.9977,16.8753,95.986,120.242,0.311325,-51.0706 
41,46.05,0,41,5841.93,0.0119713,7.37193,17.0292,96.3663,-0.00673944,8.89104,294.598,0.0107544,0.353147,2.36902,-1.3676,0.82911,-50.1299,301.776,51.9324,4828.97,4088.63,0.326409,0.668802,3.00033,-1.05195,1.14476,0.266128,372.088,57.1407,4899.28,0.0794472,0.788181,0.0210327,4683.46,687.241,262.848,15480.2,0.000910929,0.0104036,14.0042,15.9549,98.3943,68.0646,0.238975,15.885,15.3763,96.4092,119.919,1.98514,-51.8547 
42,45.9,10,42,7007.98,-0.00335296,8.39644,18.1748,95.8156,-0.00626406,13.1869,56.7846,2.2707,1.52422,3.73614,-0.763603,-0.421239,-66.4677,872.382,63.0036,5330.05,4970.46,2.68923,1.94275,4.57319,-0.345073,-0.00270957,0.483686,965.609,69.9093,5423.28,0.16828,0.887549,0.023195,5738.1,765.131,629.708,16981.2,0.000901378,0.0347489,18.0041,14.4843,95.905,68.4228,0.233541,17.246,16.396,95.9217,120.575,-0.0167522,-52.1524 
43,45.9,0,43,6622.95,-0.0025234,8.54967,16.8833,96.429,-0.0294656,6.96483,500,1.25604,1.28915,0.927521,-0.415017,-0.774405,-15.3447,307.264,55.556,5678.67,4705.64,1.35266,1.38577,1.12076,-0.318395,-0.677784,0.608537,328.787,57.1503,5700.2,0.0615134,0.766761,0.0181341,5344.96,929.322,261.586,21816.9,-0.000463241,0.00815019,30.6738,138.757,90.4014,93,0.289377,15.3733,14.3488,96.6223,121.199,-6.22089,-28.1992 
44,46.05,10,44,5311.16,-0.0059767,6.38649,18.1703,95.964,0.00540454,3.72546,34.4205,-0.880095,1.67313,3.28176,-0.854265,1.18643,-30.5289,815.055,58.7612,3887.77,3778.28,-0.687862,1.86536,3.66623,-0.662033,1.37866,0.340649,857.874,61.9331,3930.59,0.19873,0.887832,0.0282068,4316.79,447.684,584.251,9077.38,0.000715374,0.0328852,17.1525,15.766,95.903,69.1521,0.170617,17.1213,16.3072,96.0882,120.456,-0.1852,-51.3044 
45,46.05,0,45,5828.97,0.00333888,7.32126,17.2423,96.4754,-0.00618945,4.52,221.029,0.450262,1.15207,2.12303,0.89037,1.435,-34.4896,334.407,43.3572,4813.18,4110.29,0.667433,1.36925,2.55738,1.10754,1.65217,0.652236,382.782,46.9406,4861.56,0.0821253,0.823315,0.0174755,4660.95,671.163,256.536,15190,0.000884806,0.00814578,18.8111,17.6515,97.6226,67.474,0.236606,16.1353,15.2295,96.4342,120.254,1.18847,-52.7796 
46,45.9,10,46,5997.1,-0.00550002,7.34497,17.9438,95.7813,-0.0385812,-20.6966,499.998,0.92745,0.269556,1.22704,0.650575,-0.127343,-46.65,708.098,66.5909,4732.75,4316.41,1.22119,0.563298,1.81452,0.944318,0.1664,0.614729,773.53,71.4377,4798.18,0.154832,0.860869,0.026694,4995.93,604.705,488.82,13287.1,0.000571412,0.0306865,16.5719,14.4635,96.8827,68.5304,0.204227,17.3957,16.6926,95.5874,120.581,1.2953,-52.0502 
47,45.9,0,47,5944.71,0.0167676,7.55177,16.8472,96.5035,0.00541231,3.75712,263.457,-0.373294,2.8438,2.25837,-0.289182,0.0693244,-38.6842,293.45,38.7919,4973.25,4142.31,-0.12971,3.08738,2.74554,-0.0455983,0.312908,0.540151,347.708,42.811,5027.51,0.0728655,0.82273,0.0154439,4771.92,721.335,259.001,16456.9,0.000927172,0.00875929,14.0452,17.8813,99.4025,67.0637,0.250162,15.7784,15.0893,96.4256,121.312,2.97692,-54.2481 
48,46.05,10,48,5430.65,-0.0219953,6.61823,18.2007,95.7788,-0.00332516,13.4432,2.72148,-0.837334,2.23352,1.0078,-1.08595,-0.683809,-30.3251,833.772,59.8152,4004.91,3922.7,-0.646385,2.42447,1.3897,-0.894997,-0.492859,0.219239,876.306,62.9659,4047.44,0.197453,0.888301,0.0278592,4438.05,473.449,566.852,9707.79,0.000675237,0.0313831,18.5768,15.4942,95.754,68.5829,0.176504,16.8272,16.6465,95.9129,120.208,-0.158961,-51.6252 
49,46.05,0,49,6320.25,0.0167192,7.98625,16.9528,96.3836,-0.0167044,17.28,245.852,-0.0442335,1.88901,1.89654,0.864312,-1.26733,-36.2099,336.762,68.1008,5240.94,4416.76,0.183771,2.11702,2.35255,1.09232,-1.03932,0.500131,387.55,71.8629,5291.73,0.0768298,0.755002,0.0244057,5044.27,782.109,264.773,18045.5,0.00092096,0.0101615,14.1432,-19.3769,99.2211,70.1355,0.258043,15.9843,15.4316,96.2962,120.683,2.92482,-50.5471 
50,45.9,10,50,6711.32,-0.0117883,8.05149,18.272,95.8393,-0.0094245,13.1334,430.06,0.234727,0.282065,-0.653823,-1.65997,-0.955527,-72.8673,857.089,63.9804,5051.27,4793.17,0.693553,0.740891,0.263829,-1.20114,-0.496701,-610.362,959.292,71.551,5153.47,0.174596,0.884543,0.024938,5494.35,696.411,613.964,15311.2,0.000945784,0.0366702,16.4112,14.1866,96.2242,69.283,0.222193,17.0913,16.4301,95.8731,121.881,0.351081,-52.5983 
51,45.9,0,51,6097.52,0.0259872,7.58997,17.062,96.3474,-0.0190417,14.9614,48.0055,0.513227,-0.865015,2.95199,-0.995541,-1.506,-59.7664,254.928,48.642,5087.8,4224.94,0.88956,-0.488681,3.70466,-0.619207,-1.12966,-0.57199,338.756,54.8515,5171.63,0.0692782,0.779204,0.0191634,4889.79,758.272,245.87,17351.4,-0.00017097,0.00617759,28.6034,6653.13,90.4841,79.7099,0.252391,15.8221,14.5565,96.4105,119.56,-5.9264,-39.8504 
52,46.05,10,52,6106.79,-0.0165457,7.70742,17.454,96.2696,-0.0225379,41.5806,53.4059,-0.10676,0.485779,3.6149,1.09891,0.398113,-43.2139,923.013,56.9683,4542.17,4409.74,0.165347,0.757886,4.15912,1.37102,0.670219,0.416149,983.625,61.458,4602.78,0.195394,0.901435,0.024006,5034.07,586.269,711.868,12431,0.000665974,0.0401913,16.7687,15.2611,97.115,69.6123,0.199236,16.8344,16.8711,96.0588,120.774,1.05617,-51.1616 
