cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
28,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,28,10050.4,0.0205436,15.4806,12.4726,95.4814,0.0160426,-28.5165,3.16755e-10,-0.0665461,-2.31333,0.870189,-1.453,-1.38728,-154.188,623.067,42.7264,8031.22,6300.4,0.904336,-1.34245,2.81195,-0.482117,-0.416399,-0.905989,839.331,58.746,8247.48,0.103658,0.890881,0.0129512,8097.12,0.00203648,0.0713878,10.9129,-7.8815,96.4636,76.1159,0.736154,11.4525,10.9911,95.2125,127.529,1.25109,-51.4128 
29,97,43.248,4.2,48.55,-0.2,0.19,0.01,29,16243.6,0.295249,28.5135,11.2001,96.0395,-0.814326,-339.472,16.1957,-0.816524,-2.4996,-0.141158,0.526566,2.89937,-193.334,6802.91,22.1671,8078.27,19395.1,0.400847,-1.28223,2.29358,1.74394,4.11674,0.684639,7074.08,42.2537,8349.44,0.49052,0.989655,0.00923618,14421.6,0.00195189,0.857159,10.5995,8.91755,96.2987,75.0876,0.785103,11.2714,10.7006,95.3272,126.594,0.971572,-51.5063 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,18035.9,0.3286,32.1307,11.042,95.9127,0.801835,-1146.27,412.174,-2.05728,-1.47562,-0.567271,1.172,-1.77521,-209.649,7745.55,29.678,8968.7,41469.9,-0.737179,-0.155516,2.07293,2.49211,-0.455107,0.355679,8039.6,51.4597,9262.75,0.496553,0.988923,0.0101302,16190.8,0.00209994,0.995606,10.5595,8.72417,96.1939,76.1445,0.91172,10.9436,10.4423,95.3005,127.762,0.893355,-51.6171 
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,9260.17,0.0434784,15.0485,11.7583,95.6215,-0.0911874,-52.1923,500,-1.27597,-2.02849,1.96777,0.150651,-1.0656,-157.421,55.1721,38.4056,7923.88,5915.05,-0.284731,-1.03725,3.95025,1.14189,-0.0743566,-0.0688457,275.971,54.7611,8144.68,0.0370765,0.742251,0.012234,7443.29,0.0017989,0.00611323,0.00066048,-6.45336,102.004,78.5795,0.793943,11.1052,10.4301,95.2259,126.192,6.77818,-47.6129 
32,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,32,10148.6,0.268841,15.7448,12.0646,95.6552,-0.0767969,-192.122,499.461,2.00243,-5.3037,-2.41096,0.581864,-3.14618,-195.212,717.454,44.8681,8135.53,6663.99,3.23162,-4.0745,0.0474356,1.81106,-1.91698,1.05263,991.258,65.1499,8409.33,0.118127,0.896847,0.0140706,8391.47,0.0018638,0.0781459,10.9141,8.60257,96.3545,74.1593,0.737815,11.5239,11.142,95.272,126.43,1.08251,-52.2706 
33,97,43.248,4.2,48.55,-0.2,0.19,0.01,33,16500,0.0638432,29.1469,11.3257,95.9519,0.071372,-4.31924,500,-4.12012,-0.541304,4.27158,0.0576497,0.00887845,-241.1,6919.07,37.993,8372.65,10756.2,-2.60197,0.976841,7.30787,1.57579,1.52702,0.168195,7257.24,63.0424,8710.82,0.48632,0.985026,0.0131564,14922.8,0.00201576,0.881961,10.586,8.68448,96.137,75.3717,0.831452,11.1729,10.4426,95.2823,127.017,0.854657,-51.6458 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,18267.2,0.296093,32.6152,11.1363,95.9821,-1.26275,356.588,439.526,-3.03485,-0.330186,2.81904,0.263572,-1.41776,-246.522,7621.32,22.7007,9359.74,26482,-1.48257,1.2221,5.9236,1.81585,0.134519,0.221961,7967.09,48.3134,9705.51,0.482622,0.989499,0.00908656,16507.9,0.00198247,1.01074,10.6336,8.44471,96.3527,74.677,0.963957,11.1081,10.2155,95.2603,126.188,1.09239,-51.511 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,9692.13,0.143078,15.3382,11.7898,95.6372,0.133368,-22.2824,500,-0.568679,-1.40145,3.03114,1.2809,-1.44255,-188.602,90.0662,32.4452,8251.68,5983.49,0.618899,-0.213872,5.40629,2.46848,-0.254967,0.326304,354.599,52.0402,8516.22,0.0451784,0.795655,0.0111313,7848.87,0.00187031,0.0206625,6.06879,-5.62771,122.409,59.1626,0.824591,11.0855,10.4685,95.3702,126.195,27.039,-67.0325 
36,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,36,10606.2,0.0580701,16.9504,12.173,95.7769,0.101001,-116.94,500,-1.33901,0.401823,3.69702,0.67039,-0.951765,-185.8,727.799,51.8718,8682.38,7101.44,-0.169073,1.57176,6.03689,1.84032,0.21817,0.364409,988.402,71.1758,8942.98,0.11158,0.888084,0.0144492,8858.23,0.0019077,0.0787397,10.1239,8.27909,95.9344,74.5402,0.790665,11.6118,10.9525,95.4379,127.068,0.496515,-52.5277 
37,97,43.248,4.2,48.55,-0.2,0.19,0.01,37,14791.4,0.0235033,26.8234,11.009,95.7106,-0.0167951,-42.338,500,-2.77269,0.0949563,-0.752327,-1.52304,-1.93992,-246.179,5873.04,99.4116,7708.66,9636.08,-1.22256,1.64508,2.34792,0.0270877,-0.389791,0.0248423,6218.33,124.989,8053.95,0.46734,0.96602,0.027793,13305.8,0.00192248,0.805669,10.2727,8.41845,95.9769,75.7095,0.826735,10.6683,10.0447,95.0191,127.49,0.957771,-51.781 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,17995.1,0.333219,32.398,10.8986,95.9339,0.238918,-898.47,32.6587,-1.81485,-0.208735,-0.952971,0.127783,0.212614,-226.698,7687.25,32.5158,8962.3,18482.3,-0.387385,1.21872,1.90195,1.55524,1.64007,0.679191,8005.22,56.0689,9280.27,0.495009,0.987891,0.011007,16171.9,0.00216421,1.02722,10.3561,8.54981,96.2139,75.8335,0.929313,10.8989,10.2368,95.2476,127.499,0.966273,-51.6655 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,9016.92,0.255644,14.309,11.6621,95.7183,-0.109205,-150.741,373.203,2.2704,-3.74191,-2.21507,2.12529,0.824601,-136.643,136.434,59.3585,7683.2,5968.14,3.1308,-2.8815,-0.494259,2.98569,1.68501,1.11168,328.09,73.5552,7874.85,0.0452041,0.718217,0.0169152,7257.96,0.00180298,0.0179184,6.24577,5.63359,122.963,59.0252,0.774812,11.031,10.3312,95.3472,126.568,27.616,-67.5431 
40,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,40,9713.99,0.0551907,14.9509,12.3747,95.4934,0.62087,-344.839,499.934,-3.26569,-3.05213,2.11119,1.76445,0.563919,-173.636,671.463,53.4761,7684.52,12992.5,-2.17235,-1.95879,4.29787,2.85779,1.65726,0.0820005,915.004,71.5162,7928.07,0.115945,0.879678,0.0163454,7891.7,0.0019386,0.0711946,10.2532,8.79274,97.2544,74.4999,0.710394,11.5938,10.8585,95.1544,127.511,2.10001,-53.0113 
41,97,43.248,4.2,48.55,-0.2,0.19,0.01,41,16099.3,0.313796,28.2824,11.1064,95.8366,-0.998002,-687.244,282.473,-3.77002,-2.39371,-2.33621,0.266606,0.570144,-227.51,6612.92,43.0014,8275.03,32552.9,-2.33746,-0.961146,0.528926,1.69917,2.00271,0.432612,6932.03,66.6388,8594.13,0.47824,0.983455,0.0140825,14494.9,0.00211988,0.836829,10.5181,8.71288,96.1607,76.0007,0.832834,11.0653,10.3353,95.1548,127.737,1.00594,-51.7367 
42,97,43.248,0,48.55,-0.2,0.19,0.01,42,17715.8,0.292887,31.9096,11.0186,96.0017,-0.31631,-186.762,276.53,-2.48416,0.253493,-1.15029,3.26367,-0.168794,-223.78,7644.39,32.5614,8811.92,13368.8,-1.07507,1.66258,1.66788,4.67275,1.24029,0.795814,7958.26,55.8112,9125.8,0.497735,0.987876,0.0111404,15989,0.00209824,1.01976,10.5765,8.37977,96.1628,75.4596,0.941853,10.736,10.0502,95.3443,127.16,0.81855,-51.7001 
43,75,46.2227,0,46.05,0.2,-0.19,-0.01,43,9295.68,0.0467924,14.9293,11.8323,95.4756,-0.221039,11.9775,497.218,1.9576,-2.04066,-2.02412,2.10897,-1.29535,-181.171,92.5445,39.6102,8054.36,5836.65,3.09839,-0.899876,0.257456,3.24975,-0.154566,0.953621,346.655,58.4331,8308.47,0.0452664,0.77221,0.0127898,7658.11,0.00166079,0.0152376,8.44582,6.44372,120.465,59.0137,0.787959,11.2092,10.5542,95.0851,125.635,25.3797,-66.6215 
44,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,44,9579.59,0.231977,15.3171,11.8675,95.5828,-0.200138,-69.6583,97.139,-0.119087,-2.294,-0.484204,-0.745137,-0.812536,-145.723,576.971,31.9242,7859.45,6371.26,0.79849,-1.37642,1.35095,0.17244,0.105041,-0.286009,781.362,47.0642,8063.84,0.0991885,0.904643,0.010637,7877.54,0.00157553,0.0722888,10.7803,8.65384,96.7973,74.6416,0.720324,11.5782,11.0076,95.2433,126.787,1.554,-52.1451 
45,97,43.248,4.2,48.55,-0.2,0.19,0.01,45,16587,0.00796593,29.904,11.3318,95.8021,0.00986326,-1.49092,500,-1.85957,-0.800281,1.53333,1.22482,0.144063,-198.687,7064.32,20.9166,8443.67,11031.7,-0.608493,0.450796,4.03549,2.4759,1.39514,0.479213,7342.99,41.5594,8722.34,0.488925,0.990193,0.00870072,15018.7,0.00166583,0.902627,10.6317,8.74501,96.1082,75.1726,0.847017,11.1384,10.5384,95.0407,126.524,1.06753,-51.3514 
