cyc,freq,VVA,pulsetime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
46,43.368,5,0.01,0.78,46,11867,-0.0245718,21.2614,12.2548,90.7076,0.0301597,-36.1939,21.4935,-1.87561,1.23993,0.59841,-0.0405674,-1.40213,93.8728,5871.69,13.402,6204.09,8517.48,-2.4667,0.648843,-0.583774,-0.631659,-1.99322,0.883861,5747.33,10.9638,6079.74,0.517894,0.996673,0.00331093,11097.5,3570.1,43233.5,45751.5,0.000335962,0.584437,11.6095,10.023,91.5082,68.9852,0.576965,11.5341,11.0305,90.0339,119.702,1.47433,-50.7169 
49,43.158,5,0.01,0.78,49,11231.5,-0.0159259,19.8252,12.3969,90.6049,0.00870567,4.69713,170.714,-3.33544,0.505375,0.558613,0.877526,-0.781401,49.5869,5534.56,15.2333,5835.85,8001.99,-3.64768,0.193139,-0.0658575,0.565291,-1.09364,0.983734,5468.87,13.9454,5770.16,0.518543,0.995557,0.00443228,10546.6,3077.54,36827.3,39608.5,0.000362422,0.527032,11.824,10.2953,91.3341,71.0865,0.528864,11.5364,11.3339,90.0601,122.277,1.27402,-51.191 
50,42,0,0.01,0.78,50,14221.5,-0.0193645,25.2012,12.3819,90.7035,-0.0446243,-13.8604,3.18743e-08,0.386745,0.815315,0.309189,0.0487176,0.451214,56.5211,7089.17,18.9749,7344.11,10178,0.0308466,0.459416,-0.402608,-0.307181,0.0953158,-2.24134,7014.3,17.5069,7269.24,0.523017,0.995651,0.00441684,13411.2,4931.58,61115.1,63275.8,0.000287976,0.68179,11.8214,10.2791,91.5749,70.0632,0.668736,11.7747,11.175,90.0664,121.137,1.50845,-51.0741 
52,43.548,5,0.01,0.78,52,13308.3,-0.0335074,24.2757,12.0649,90.812,0.0460139,55.6656,13.8617,-1.00019,-1.79626,0.498121,1.51533,0.511513,72.9682,6956.14,13.5953,6478.09,9617.76,-1.45965,-2.25572,-0.420801,1.05587,0.052052,0.861041,6859.48,11.7001,6381.43,0.549852,0.997024,0.00336605,12475.1,4524.28,61908.9,51853.6,0.000280598,0.701191,11.5464,10.0965,91.6307,69.4865,0.616969,11.4406,11.0495,90.125,120.317,1.50568,-50.831 
54,43.608,5,0.01,0.78,54,12984.8,-0.0163172,23.7966,11.9303,90.8631,-0.0241913,16.9711,117.731,1.29223,1.10739,0.395845,-0.390195,0.951769,83.7103,6570.55,20.2167,6538.1,9255.25,0.765124,0.580293,-0.658358,-0.917296,0.424667,4.38608,6459.66,18.0424,6427.22,0.533169,0.995136,0.00514452,12115.6,4369.31,55436.7,54270.1,0.000278526,0.662352,11.5509,10.1154,91.5891,69.5446,0.642585,11.2216,10.8735,90.2855,120.207,1.30361,-50.662 
55,43.188,5,0.01,0.78,55,12716.5,-0.0188044,22.9252,12.2955,90.662,-0.0490338,27.6981,499.953,-2.0347,0.47228,-2.47031,0.240476,-1.50752,97.0735,6263.32,13.4916,6659.58,9220.25,-2.64594,-0.138966,-3.6928,-0.37077,-2.11877,0.58819,6134.73,10.9702,6530.99,0.516304,0.99688,0.00308467,11882,4087.05,48258,54095.3,0.000145319,0.602483,12.0481,10.2023,91.4065,69.276,0.627289,11.4857,11.11,90.1118,119.936,1.29473,-50.6604 
56,43.068,5,0.01,0.78,56,13590.7,0.00592197,24.6834,12.1136,90.5352,-0.006022,-1.01456,6.92938e-11,-0.387425,2.46,-0.70048,0.972746,-0.81163,88.968,6764.26,19.7786,6999.7,9733.8,-0.947633,1.89979,-1.8209,0.412538,-1.37184,0.00390784,6646.4,17.4678,6881.85,0.523239,0.995422,0.00465394,12702.4,4730.86,58531.8,60492,0.000260618,0.680837,11.6274,10.051,91.2698,69.5493,0.670206,11.4713,10.909,90.0253,120.255,1.24456,-50.7055 
57,43.488,5,0.01,0.78,57,12585.7,-0.043931,22.7786,12.2203,90.8015,-0.00210123,-12.0528,5.51152,-0.281507,-0.626758,-4.03257,0.420394,0.345146,69.6366,6393.65,18.2228,6394.12,9062.42,-0.71999,-1.06524,-4.90953,-0.0180887,-0.0933371,0.278666,6301.4,16.4141,6301.87,0.531896,0.995462,0.00477511,11847,4020.21,50221.2,50608.4,0.00023094,0.618512,11.8684,10.2139,91.556,70.3385,0.613986,11.4074,10.922,90.2253,121.377,1.33071,-51.0381 
59,43.578,5,0.01,0.78,59,13590.8,-0.0533437,24.6689,12.2122,90.6453,0.097039,-89.3062,337.912,-1.63813,-1.67093,0.0234488,1.39227,0.56765,75.8518,6738.13,19.8438,7116.77,10089.2,-2.11575,-2.14855,-0.931789,0.914656,0.090031,0.77769,6637.65,17.8736,7016.29,0.518081,0.99531,0.00467075,12812,4576.72,55856.3,59336.2,0.000196396,0.655334,11.6033,10.3584,91.4652,69.9765,0.64613,11.7093,11.293,90.0277,120.919,1.43754,-50.9429 
61,43.218,5,0.01,0.78,61,13235.9,-0.017154,24.124,11.9983,90.7545,0.00175385,5.40578,286.023,0.0282347,-2.50178,-0.444106,-1.16549,-0.356216,58.4376,6341.98,13.9068,7134.35,9422.81,-0.339731,-2.86974,-1.18004,-1.53345,-0.724182,0.822475,6264.57,12.3889,7056.94,0.502183,0.996551,0.00322351,12474.7,4400.74,49759.2,60849.1,0.000248044,0.620026,11.6765,10.2264,91.5607,69.8717,0.664026,11.4645,11.1921,90.1584,120.726,1.40232,-50.8539 
