cyc,detuning,freq,VVA,time,buffer,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,-4.04,43.1827,5,10,11,10,21121.9,-0.309752,39.858,-12.3921,118.907,0.12704,-62.0588,74.7551,-9.64147,-6.7621,-12.2859,-4.18484,-6.52695,-162.503,11242.3,26.042,11058.7,16335.6,-8.61823,-5.73886,-10.2395,-3.1616,-5.50372,0.692156,11371.7,37.8092,11188.2,0.504068,0.994215,0.00618669,22559.9,-0.00143736,1.12876,12.4463,10.054,118.461,83.1996,1.02123,12.4887,10.7857,118.171,131.541,0.290656,-48.3415 
11,-4.14,43.0827,5,10,11,11,19902.5,-0.109489,38.1474,12.2283,119.005,0.673994,-411.392,500,-6.19366,-2.76025,-11.4071,-3.55589,0.508069,-183.363,11145.6,28.9222,10097.8,24211.7,-5.03907,-1.60566,-9.09794,-2.40131,1.66266,0.447985,11291.6,42.2,10243.9,0.524325,0.993502,0.00753145,21535.5,-0.00153842,1.13665,12.4564,9.87859,118.414,82.7341,0.949326,12.3627,10.6847,118.384,130.868,0.0303299,-48.1341 
12,-3.92,43.3027,5,10,11,12,19703.3,0.313024,37.6276,-11.8659,118.695,-0.356408,70.4802,500,-6.03607,-4.33036,-9.68642,-2.22903,-1.64918,-239.978,11064.6,43.499,10005.5,15352.3,-4.52499,-2.81928,-6.66426,-0.717948,-0.138099,0.551668,11255.8,60.8764,10196.6,0.524686,0.990624,0.0108782,21452.4,-0.00142877,1.14822,12.1699,9.87061,118.138,82.4131,0.971466,12.0872,10.5067,118.108,130.661,0.0297973,-48.2481 
13,-3.82,43.4027,5,10,11,13,20740.8,-0.20498,39.1787,12.3666,118.805,0.464977,-150.601,500,-10.0875,-9.37069,-12.1341,-3.08976,-1.6132,-284.737,11806.9,35.1016,10165.4,18052,-8.29455,-7.57777,-8.54826,-1.29685,0.179714,0.665269,12033.7,55.7201,10392.2,0.536599,0.991962,0.00978026,22425.9,-0.0013989,1.18288,12.5084,9.97973,118.273,82.9383,0.97368,12.3468,10.476,118.25,131.215,0.0220858,-48.2768 
14,-4.2,43.0227,5,10,11,14,22642.8,-0.00995008,41.6237,12.4235,118.621,-0.00977605,-13.9654,8.70112e-11,-9.2541,-4.49219,-2.22674,-1.47227,-2.2721,-77.594,12097.8,31.0654,11415.3,16838.1,-8.76551,-4.0036,-1.24957,-0.983684,-1.78351,0.925558,12159.6,36.6842,11477.1,0.514438,0.994748,0.00585346,23636.7,-0.00121105,1.22034,12.6004,9.88494,118.194,83.0987,1.06205,12.6292,10.6095,117.923,131.383,0.270484,-48.2844 
15,-4.12,43.1027,5,10,11,15,20209.9,-0.320934,38.6158,12.3105,118.778,-0.000856862,33.4501,448.558,-7.00706,-4.29255,-9.47865,-0.950908,-3.75352,-280.796,11503.6,37.1338,10118.4,15476.1,-5.23896,-2.52446,-5.94245,0.817191,-1.98542,0.600483,11727.3,57.467,10342.1,0.531383,0.991497,0.0101322,22069.4,-0.00158931,1.16491,12.5064,9.91168,118.289,82.8966,0.945148,12.3729,10.7178,118.081,131.069,0.208406,-48.1729 
16,-4.1,43.1227,5,10,11,16,20826.9,0.0192556,39.9348,-12.0195,118.749,-0.0633089,-14.3818,0.0162454,-6.1008,-5.63691,-6.81581,-4.02514,-3.04822,-170.637,11465.8,35.8246,10648.9,15655.1,-5.02634,-4.56246,-4.6669,-2.95068,-1.97376,0.756681,11601.8,48.1809,10784.8,0.518247,0.992785,0.00816241,22386.5,-0.00144986,1.16459,12.3056,10.0176,118.322,83.1349,1.01587,12.2346,10.6046,118.048,131.35,0.274398,-48.2156 
17,-4.16,43.0627,5,10,11,17,22246.3,-0.0202319,41.9416,12.1421,119.04,-0.052938,22.8961,500,-6.9488,-4.94817,-11.198,-4.47312,-5.88676,-256.641,12023.4,37.6309,11429.4,16617.6,-5.3328,-3.33217,-7.96596,-2.85712,-4.27076,0.664715,12227.8,56.2149,11633.8,0.512447,0.992019,0.00882255,23861.7,-0.00134735,1.22879,12.4512,9.84946,118.612,82.8807,1.08958,12.258,10.5299,118.354,131.142,0.258152,-48.2611 
18,-5,42.2227,0,10,11,18,20574.5,-0.302038,39.7031,-12.119,118.762,0.289921,105.875,299.795,-6.42352,-5.97824,-7.99487,-1.95572,-2.32864,-255.94,11285.2,18.5044,10590.5,16662.6,-4.81193,-4.36665,-4.7717,-0.344129,-0.717051,0.68213,11489.1,37.0377,10794.4,0.515588,0.99439,0.00628095,22283.4,-0.00143965,1.16444,12.244,9.88051,118.259,83.4928,1.01554,12.2601,10.5424,118.126,131.662,0.132817,-48.169 
19,-4.18,43.0427,5,10,11,19,20948.9,0.0694771,40.2518,-11.9194,118.692,0.00952,-173.214,500,-5.25134,-6.81074,-10.961,-4.62147,-1.76282,-265.757,11330.1,32.7348,10896.9,15672,-3.57794,-5.13734,-7.61418,-2.94808,-0.0894207,0.606847,11541.8,51.9789,11108.6,0.509561,0.99218,0.00854581,22650.4,-0.00145393,1.18782,12.1821,9.79674,118.247,82.8251,1.05357,12.194,10.5202,118.1,130.983,0.147165,-48.1578 
20,-3.98,43.2427,5,10,11,20,18243.3,-0.0167277,35.1851,-11.9891,118.822,0.0395264,-10.4615,0.000715179,-7.72084,-2.49239,-8.61532,-4.23862,-5.19999,-187.737,10460,44.1171,9059.4,13745.7,-6.5387,-1.31026,-6.25105,-3.05649,-4.01786,0.704782,10609.6,57.7117,9208.94,0.535336,0.99057,0.0114126,19818.5,-0.00135671,1.07945,12.2846,9.85348,118.362,82.3288,0.853819,12.195,10.732,118.275,130.643,0.0875449,-48.3145 
21,-3.86,43.3627,5,10,11,21,21763.5,0.0381013,40.3644,12.3743,118.745,-0.0423929,-28.4797,500,-5.43308,-1.53776,-7.08025,-6.47114,-1.92859,-102.794,11917.3,27.4025,10980,16299.1,-4.78581,-0.890494,-5.78572,-5.82387,-1.28132,0.688391,11999.1,34.846,11061.8,0.520322,0.994944,0.00576936,23061,-0.00136281,1.18023,12.6874,9.9971,118.273,83.3316,1.00861,12.3981,10.8707,118.102,131.622,0.170658,-48.2909 
22,-4,43.2227,5,10,11,22,19217.3,0.0158764,36.933,-12.1638,118.697,-0.0169302,-32.3268,500,-5.40472,-5.34727,-7.37829,-6.60099,-2.4526,-212.016,10529.6,36.1944,10229.3,14642.2,-4.06971,-4.01227,-4.70827,-5.26598,-1.11759,0.754443,10698.4,51.5469,10398.2,0.507117,0.991639,0.00904926,21096.6,-0.00166863,1.06229,12.3959,10.0165,118.236,83.1892,0.960826,12.4091,10.6331,117.965,131.559,0.271459,-48.3699 
23,-4.06,43.1627,5,10,11,23,20902.2,-0.322407,39.8977,12.2962,118.77,-0.914157,591.52,23.7294,-0.810325,-1.08785,-7.39463,-7.63861,-7.32849,-28.3962,11374.8,34.2384,10764.1,33573.3,-0.631522,-0.90905,-7.03702,-7.45981,-7.14968,0.696511,11397.4,36.2946,10786.7,0.513764,0.994458,0.00616003,22184.1,-0.00146567,1.16643,12.3957,9.88492,118.321,82.8061,1.01004,12.3352,10.7219,118.081,130.858,0.240003,-48.0521 
24,-4.08,43.1427,5,10,11,24,21102,-0.356801,39.8778,-12.509,118.762,-0.0927653,135.86,13.4445,-7.60942,-4.68933,-6.98609,-5.31865,-2.29934,-153.774,11502.4,33.2001,10917,16648.8,-6.64115,-3.72106,-5.04954,-4.35038,-1.33107,0.760608,11624.9,44.3352,11039.5,0.512914,0.99337,0.00734366,22664.4,-0.00151712,1.16296,12.5114,9.93145,118.269,83.3598,1.02353,12.5408,10.5302,118.079,131.879,0.190316,-48.5194 
25,-3.88,43.3427,5,10,11,25,19860.1,-0.296609,38.6989,12.1989,118.628,0.414515,0.582909,500,-7.13584,-8.06463,-12.2683,-2.98462,-5.04181,-234.827,11200.3,44.3723,10253.8,15375.7,-5.6572,-6.58599,-9.31102,-1.50597,-3.56316,0.650269,11387.4,61.3767,10440.8,0.521681,0.990656,0.0107128,21828.2,-0.0017321,1.14442,12.3569,9.95125,118.174,83.0851,0.94771,12.2383,10.9247,117.965,131.44,0.209108,-48.3546 
26,-3.9,43.3227,5,10,11,26,21009.2,-0.115073,39.9282,12.166,118.698,0.0589302,54.2149,499.519,-6.05947,-4.49635,-8.08849,-3.58462,-1.53974,-305.287,11410.8,41.3242,10847.5,15917.3,-4.13716,-2.57405,-4.24387,-1.66231,0.382565,0.653132,11654,63.4308,11090.7,0.512384,0.990565,0.0104257,22744.7,-0.00142912,1.16033,12.3978,9.9275,118.297,83.404,1.04403,12.232,10.5318,117.943,131.718,0.354504,-48.3135 
27,-3.96,43.2627,5,10,11,27,17905.4,-0.202771,35.3079,12.0025,118.718,0.0636928,56.0357,500,0.321172,-6.08641,-9.3159,-4.53797,-2.24577,-200.278,10084.2,11.6931,9318.8,13911.7,1.58227,-4.82531,-6.7937,-3.27687,-0.984673,0.524859,10243.7,26.1958,9478.32,0.519404,0.995545,0.00506534,19722,-0.00164951,1.06473,12.2292,9.74185,118.27,83.5768,0.913731,12.2214,10.3417,118.083,131.789,0.186516,-48.2118 
28,-3.84,43.3827,5,10,11,28,21926.7,-0.336999,41.5899,-12.371,118.928,0.336484,-29.065,446.053,-2.781,-4.27553,-12.7233,-5.49243,-6.77059,-326.512,11661,41.8961,11529.2,17067.3,-0.725039,-2.21957,-8.61134,-3.43646,-4.71463,0.563032,11921.1,65.5397,11789.3,0.502779,0.990471,0.0101369,23710.4,-0.00145026,1.19383,12.4813,9.81812,118.36,83.0921,1.08417,12.3878,10.6141,118.34,131.405,0.0195412,-48.3129 
29,-3.94,43.2827,5,10,11,29,20560.9,-0.264532,38.3382,12.4318,118.826,0.209658,-27.3845,106.938,-3.94965,-2.34077,-12.1816,-3.86308,-6.37919,-191.063,11315.5,22.5821,10280.9,15702.2,-2.74658,-1.1377,-9.77544,-2.66001,-5.17612,0.545241,11467.7,36.4174,10433.1,0.523619,0.994473,0.0063889,21900.8,-0.00130384,1.13571,12.5368,9.98927,118.19,83.4646,0.928286,12.6156,10.917,118.265,131.773,-0.0744399,-48.308 
30,-3.8,43.4227,5,10,11,30,19808.5,-0.114464,37.8068,12.0383,118.858,0.391632,-168.414,500,-6.79548,-2.68076,-13.6634,-2.34677,-1.5064,-243.654,11035.1,25.3845,9804.32,16963,-5.26126,-1.14654,-10.595,-0.812543,0.0278218,0.404358,11229.2,43.0281,9998.4,0.528991,0.993339,0.00786514,21227.6,-0.00118875,1.16829,12.2781,9.65363,118.338,82.7761,0.96423,12.1411,10.3175,118.236,130.919,0.102146,-48.1431 
31,-4.02,43.2027,5,10,11,31,18530.8,-0.310039,35.6646,12.272,118.706,0.486061,-780.139,375.927,-4.76723,-8.77652,-10.0769,-4.33807,-3.45298,-205.997,10396,21.3453,9384.37,26591.8,-3.47012,-7.47942,-7.4827,-3.04097,-2.15587,0.683327,10560.1,36.262,9548.45,0.525154,0.994027,0.00694714,20108.5,-0.00138938,1.07109,12.4906,9.74874,118.101,83.1219,0.887479,12.2941,10.6282,118.137,131.254,-0.0364511,-48.1318 
32,-4.04,43.1827,5,10,11,32,20970.8,-0.0441246,39.3786,-12.2268,118.687,0.032213,-13.7789,3.21224e-06,-5.67825,-7.51195,-9.09816,-1.13038,-4.04578,-130.122,10701.1,34.6614,11236.5,15688.1,-4.8589,-6.69261,-7.45947,-0.311032,-3.22643,0.66918,10804.7,44.0839,11340.2,0.48791,0.992911,0.00711009,22144.9,-0.00116565,1.08486,12.4098,9.94699,118.23,83.4579,1.07164,12.2732,10.5886,118.038,131.86,0.1919,-48.4021 
33,-4.14,43.0827,5,10,11,33,22420.2,-0.0298028,42.1998,12.2395,118.695,-0.0663004,-93.8775,500,-9.56225,-4.5765,-5.93714,-6.71011,-7.06272,-273.104,11839.4,50.4279,11647.4,17016.5,-7.84258,-2.85684,-2.49781,-4.99045,-5.34306,0.893849,12057,70.204,11864.9,0.504014,0.989913,0.0107821,23921.9,-0.00127045,1.19569,12.4535,9.96931,118.167,82.9143,1.09138,12.2607,10.7578,118.159,131.222,0.0071643,-48.3078 
34,-3.92,43.3027,5,10,11,34,19986.5,0.0223077,37.7933,12.1744,118.845,-0.150457,25.0393,8.04943e-12,-5.10752,-7.30433,-12.4941,-7.68468,-3.42653,-107.558,11260.8,26.8699,9864.25,15100.7,-4.43025,-6.62707,-11.1395,-7.00742,-2.74927,0.651384,11346.5,34.6585,9949.93,0.532789,0.994683,0.00637567,21296.4,-0.00133403,1.17879,12.41,9.67011,118.305,83.3776,0.945937,12.304,10.4817,118.215,131.597,0.089165,-48.2194 
35,-3.82,43.4027,5,10,11,35,21393,-0.193,40.7602,12.2911,118.695,0.206927,80.3271,1.68756e-05,-8.95273,-4.93423,-12.652,-11.186,-9.17582,-336.428,11500.5,46.1038,11278.5,16850,-6.83433,-2.81583,-8.41517,-9.06757,-7.05742,0.753873,11768.5,70.4654,11546.4,0.504762,0.98963,0.011117,23314.9,-0.00155096,1.17045,12.4943,9.88155,118.324,82.8479,1.0613,12.286,10.6753,117.902,131.118,0.422107,-48.2704 
36,-4.2,43.0227,5,10,11,36,21730,-0.0118973,40.91,12.2141,118.667,-0.0289787,13.2657,0.00282869,-5.6871,-5.80568,-11.9576,-4.80838,-3.34937,-219.774,11733.1,48.7162,11091.5,16278.7,-4.30324,-4.42183,-9.18987,-3.42453,-1.96551,0.605669,11908.1,64.6306,11266.5,0.513843,0.990591,0.0104568,23174.6,-0.00131149,1.18552,12.4337,9.99781,118.11,83.3075,1.03166,12.3207,10.7892,118.133,131.663,-0.0225163,-48.3556 
37,-4.12,43.1027,5,10,11,37,21551.6,-0.315111,40.4361,12.4608,118.65,0.223028,297.8,320.63,-4.99816,-6.05654,-9.04489,-3.5735,-7.73269,-239.68,11596.8,35.983,11104,18564.6,-3.48896,-4.54734,-6.02648,-2.0643,-6.22348,0.730365,11787.7,53.3388,11294.9,0.510676,0.992144,0.00862413,23082.6,-0.00131492,1.14715,12.5609,10.0644,118.075,83.3135,1.0202,12.491,10.7782,118.085,131.74,-0.0107255,-48.4262 
38,-4.1,43.1227,5,10,11,38,20154.8,-0.0236554,38.891,11.9445,118.545,0.00263613,-26.009,500,-4.55175,-7.18818,-10.0572,-3.23989,-7.96458,-206.497,11198,26.9442,10190.8,15124.3,-3.25149,-5.88792,-7.45668,-1.93963,-6.66432,0.704101,11362.5,41.8971,10355.3,0.523188,0.993589,0.00739795,21717.8,-0.00138332,1.16189,12.1892,9.88145,118.012,83.4588,0.987861,12.1834,10.4904,118.049,131.73,-0.037428,-48.2713 
39,-4.16,43.0627,5,10,11,39,19875.8,-0.358044,38.7242,12.1974,118.661,0.0568192,219.784,39.9334,-5.88724,-1.69076,-11.5032,-6.75342,-7.01961,-198.929,11139.5,31.0004,10245.6,15782.6,-4.63464,-0.43816,-8.99805,-5.50082,-5.76701,0.644889,11298,45.4053,10404.1,0.520595,0.993016,0.00797518,21702,-0.0016385,1.14782,12.4138,9.84712,118.322,83.3201,0.990761,12.0388,10.5652,118.011,131.596,0.310203,-48.2761 
40,-5,42.2227,0,10,11,40,20323.9,-0.0379359,39.3642,12.0047,118.508,0.0258387,-3.83575,500,-6.32468,-2.89775,-9.47207,-3.88481,-5.35781,-266.269,11198,47.9235,10565.9,15386.5,-4.64805,-1.22112,-6.11882,-2.20819,-3.68118,0.657734,11410.1,67.2046,10778,0.514245,0.989798,0.0113558,22188.1,-0.00148568,1.16177,12.2268,9.83917,118.02,83.5444,1.01313,12.1639,10.5435,117.906,132.011,0.113473,-48.4667 
41,-4.18,43.0427,5,10,11,41,19689.6,-0.38561,39.0764,-12.064,118.527,0.45818,-44.85,334.734,-7.06342,-8.75378,-14.295,-2.57789,-3.07929,-133.585,11177.4,24.1418,10098.2,16015.1,-6.22227,-7.91263,-12.6127,-1.73674,-2.23814,0.589462,11283.8,33.815,10204.6,0.525112,0.994783,0.00606717,21488.4,-0.00167373,1.166,12.2199,9.81619,118.097,83.2099,0.986943,12.0116,10.5164,117.965,131.36,0.13186,-48.1506 
42,-3.98,43.2427,5,10,11,42,18768.7,-0.370778,36.3731,12.3644,118.615,-0.0156434,188.782,480.832,-6.8772,-1.54656,-5.92615,-4.70639,-4.07743,-119.788,10296,36.9353,9930.35,14736.4,-6.12293,-0.792291,-4.4176,-3.95211,-3.32316,0.762598,10391.4,45.6094,10025.8,0.508953,0.992378,0.0083105,20417.1,-0.00160733,1.05624,12.3984,9.86867,118.171,83.0298,0.925798,12.3976,10.7242,117.913,131.348,0.25828,-48.3178 
43,-3.86,43.3627,5,10,11,43,19873.2,-0.379294,38.6702,12.2753,118.74,0.492479,42.1288,377.247,-6.82234,-6.9299,-10.3772,-3.60309,-7.40896,-158.196,11252.3,51.0474,10059.7,16128.1,-5.82622,-5.93378,-8.38496,-2.60697,-6.41284,0.712497,11378.3,62.5028,10185.7,0.527652,0.990478,0.0111774,21564,-0.00153935,1.13502,12.3039,10.0609,118.313,83.5655,0.947675,12.2103,10.752,118.128,132.084,0.18521,-48.5185 
44,-4,43.2227,5,10,11,44,18397.2,-0.0281007,35.9414,12.0295,118.797,0.0236148,-13.4867,2.92084e-11,-6.75884,-5.77943,-15.5986,-5.47397,-3.5797,-207.597,10217.9,18.9958,9706.68,14085,-5.45166,-4.47225,-12.9842,-4.16679,-2.27252,0.557569,10383.3,34.0284,9872.04,0.512621,0.994298,0.00630958,20255.3,-0.00163782,1.06645,12.2683,9.76206,118.321,83.4107,0.918868,12.3278,10.6356,118.139,131.654,0.181689,-48.2431 
45,-4.06,43.1627,5,10,11,45,18781.1,-0.351433,36.906,12.1337,118.597,0.168658,-45.2349,461.13,-8.1966,-3.54057,-13.5779,-2.36588,-3.65282,-211.744,10482.7,19.8758,9753.84,14825.9,-6.86331,-2.20728,-10.9113,-1.03259,-2.31952,0.532385,10651.3,35.2087,9922.51,0.517712,0.994249,0.00649402,20573.8,-0.00158817,1.09382,12.3616,9.72254,118.115,83.1339,0.948162,12.1107,10.5158,117.967,131.399,0.148051,-48.2656 
46,-4.08,43.1427,5,10,11,46,19666.7,0.0303772,38.2938,-12.0835,118.439,-0.056522,-344.395,500,-7.29107,-6.44872,-12.1636,-5.83049,-1.25023,-152.331,11311.1,47.4778,10080.1,15696.8,-6.33189,-5.48953,-10.2452,-4.87131,-0.291048,0.623739,11432.4,58.5084,10201.5,0.52845,0.991123,0.0104546,21633.9,-0.00180754,1.15555,12.3571,9.9137,117.874,83.3767,0.959224,12.1678,10.6712,117.873,131.881,0.000382545,-48.504 
47,-3.88,43.3427,5,10,11,47,19690.7,-0.136442,38.2184,12.1201,118.66,0.093588,30.2418,500,-4.86485,-3.47059,-8.99433,-4.05859,-2.281,-182.771,10855.2,58.6508,10283.7,15171.2,-3.71399,-2.31973,-6.69261,-2.90773,-1.13014,0.60078,11000.8,71.8857,10429.2,0.513335,0.988694,0.0125379,21430,-0.00152754,1.09966,12.3247,10.0041,118.129,83.7467,0.963886,12.1899,10.8032,118.156,132.344,-0.0271429,-48.597 
48,-3.9,43.3227,5,10,11,48,19941.9,-0.343465,38.313,-12.3227,118.527,0.115102,190.374,220.245,-6.32125,-3.60258,-9.5616,-1.81383,-8.03502,-153.114,11297.7,38.8425,10035.3,16082.3,-5.35713,-2.63846,-7.63337,-0.849709,-7.07091,0.67586,11419.7,49.9298,10157.3,0.529253,0.992407,0.0089739,21577,-0.00152751,1.13545,12.5018,9.96178,118.037,83.8598,0.92513,12.2683,10.9419,117.864,132.314,0.172493,-48.4544 
49,-3.96,43.2627,5,10,11,49,19699.5,0.0085832,37.4804,-12.147,118.585,-0.000194316,0.180706,500,-2.30831,-2.41996,-10.2828,-4.99344,-6.87464,-108.047,10760,42.7735,10156.8,14820.7,-1.62796,-1.73962,-8.9221,-4.3131,-6.19429,0.60863,10846,50.5974,10242.8,0.514301,0.991902,0.00901754,21088.9,-0.00136364,1.08306,12.4129,10.0293,118.137,83.626,0.950072,12.2374,10.7959,117.945,132.063,0.191901,-48.4368 
50,-3.84,43.3827,5,10,11,50,20095.9,-0.408797,39.0405,-12.3685,118.57,1.23426,-88.9909,305.293,-6.83972,-1.70745,-6.78607,-4.14666,-8.43976,-161.187,10884.6,50.2811,10768.9,19294.7,-5.82477,-0.692497,-4.75617,-3.13171,-7.42481,0.782127,11013,61.953,10897.3,0.50264,0.990251,0.0103642,21910.2,-0.00172778,1.09331,12.4238,10.0691,118.17,83.7724,1.00246,12.2833,10.8413,117.979,132.311,0.191271,-48.5387 
51,-3.94,43.2827,5,10,11,51,20279.8,-0.0546072,38.9702,12.2022,118.59,0.134207,-154.582,0.00767461,-4.45094,-6.0372,-15.4214,-7.14148,-6.6559,-302.511,11396.2,39.6771,10405.9,16155.1,-2.54611,-4.13237,-11.6117,-5.23665,-4.75107,0.589371,11637.1,61.5827,10646.8,0.52222,0.990824,0.0105426,22284,-0.00169607,1.13174,12.5704,10.0695,118.097,83.7672,0.969734,12.298,10.8022,118.012,132.263,0.0841478,-48.4957 
52,-3.8,43.4227,5,10,11,52,19702.4,0.0819446,38.5433,-11.8064,118.605,-0.0821488,12.9673,500,-7.87213,-1.10714,-13.0825,-5.33905,-6.69667,-243.275,10924.5,33.5637,10210.7,14848.3,-6.34029,0.424703,-10.0188,-3.80721,-5.16483,0.597743,11118.3,51.1798,10404.5,0.516584,0.992009,0.00897998,21522.8,-0.00155457,1.16095,12.1127,9.71153,118.163,83.8591,0.998758,12.037,10.52,117.969,132.144,0.193635,-48.2848 
