cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,97,43.248,4.2,48.55,-0.2,0.19,0.01,21,13421.7,-0.0388484,27.2816,10.8472,98.5802,0.118387,-106.212,0.296241,1.09578,4.44647,1.27921,3.24203,0.209714,-107.152,5965.54,7.39408,7537.08,10042.8,1.77049,5.12118,2.62862,3.91674,0.884419,0.816456,6115.83,18.5267,7687.37,0.489409,0.994727,0.00441989,12496.4,0.000279821,0.829713,10.2535,8.54356,98.5866,67.9593,0.818348,10.7558,10.049,97.9421,117.131,0.644517,-49.172 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,16802.9,-0.045247,33.4504,11.0646,98.7165,0.00158266,12.3176,463.667,0.441092,0.95067,1.02402,0.693435,1.95989,-133.999,7958.08,5.7616,8925.71,12049.1,1.28485,1.79443,2.71154,1.53719,2.80365,0.73237,8146.03,19.6836,9113.66,0.518513,0.995789,0.0039628,15710.4,0.000162357,1.01554,10.6688,8.96431,98.6672,68.4338,0.921895,11.0468,10.4922,98.0838,117.87,0.583394,-49.4366 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,7061.7,-0.053177,14.1672,11.257,98.1421,0.0839414,-131.313,16.5747,2.51899,0.35521,-2.23229,2.65645,-3.71817,-48.3233,-118.665,8.63965,7215.89,5550.42,2.82326,0.659489,-1.62373,2.96073,-3.41389,2.15497,-50.887,13.6603,7283.67,-0.00848886,1.88599,0.00344291,5994.56,-0.000140318,0.00340194,155.394,-6.90144,103.884,48.3999,0.72859,11.045,10.673,97.8229,118.006,6.06146,-69.6064 
24,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,24,6711.84,-0.0730516,13.7293,11.2224,98.5015,0.0190743,46.4034,477.596,0.578142,2.34384,-1.80978,1.89166,2.53862,-72.9514,477.415,-0.402031,6382.76,5044.48,1.0375,2.80319,-0.89107,2.35101,2.99798,1.10738,579.736,7.17734,6485.09,0.0972327,0.978794,0.00203459,5962.36,-4.73239e-05,0.0743926,9.43781,9.97245,98.6899,66.9298,0.623504,11.123,10.9323,98.0405,117.031,0.649361,-50.1016 
25,97,43.248,4.2,48.55,-0.2,0.19,0.01,25,14254.5,-0.0151619,27.879,11.2183,98.6202,0.00701143,4.08581,2.78656e-11,-0.171301,2.66822,1.25668,-1.55315,-2.34176,-99.5129,5980.51,57.3406,8155.59,10182.1,0.455306,3.29483,2.50989,-0.926546,-1.71515,0.30634,6120.08,67.6796,8295.17,0.470592,0.981015,0.014807,13005.1,0.000234769,0.795674,10.6595,8.7978,98.6798,68.3131,0.837032,11.2224,10.3541,98.0686,117.88,0.611279,-49.5673 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,15615.1,0.00704537,31.1643,11.0997,98.6527,-0.00771424,8.54423,1.99416e-11,0.260239,0.597602,-0.0240249,0.998913,-2.41845,-114.551,7238.35,-3.51562,8495.59,11262.9,0.981537,1.3189,1.41857,1.72021,-1.69716,0.620912,7399.02,8.3858,8656.26,0.507348,0.998021,0.00178137,14583.7,4.44702e-05,0.935879,10.6864,8.88501,98.7367,68.3222,0.880903,11.1598,10.3727,97.8963,117.876,0.840423,-49.554 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,6477.4,-0.040903,13.0022,11.1779,98.5858,0.00129298,78.3976,338.149,-2.83709,0.0168345,-1.35193,1.90804,-1.37001,-36.834,-197.077,-3.03038,6684,4734.51,-2.60516,0.248768,-0.888066,2.13997,-1.13808,0.603995,-145.414,0.796525,6735.66,-0.0267051,1.00968,0.000217791,5445.18,0.000230904,-0.0146234,9.30821,21.8335,113.422,92.9999,0.711114,10.8889,10.2787,98.2768,117.388,15.1448,-24.3885 
28,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,28,7082.52,-0.00949392,13.4259,11.6345,98.6396,-0.0386394,64.1676,500,-0.102351,-1.13379,0.414909,0.977274,-3.82128,-62.6388,470.756,2.67484,6583.15,5165.66,0.292068,-0.739374,1.20375,1.37169,-3.42686,1.92687,558.613,9.18276,6671,0.0916428,0.972037,0.00252928,6095.55,0.000201604,0.0678512,10.4348,8.78189,98.8112,67.2709,0.627826,11.273,11.0445,98.1784,117.781,0.632829,-50.5097 
29,97,43.248,4.2,48.55,-0.2,0.19,0.01,29,14365.1,-0.0276138,28.7543,10.9605,98.7783,0.00231401,4.51988,497.861,0.354981,1.32497,4.15502,0.861928,-1.54288,-96.6171,6490.15,3.43758,7895.86,10259.9,0.963353,1.93334,5.37176,1.4703,-0.934503,0.389867,6625.67,13.4757,8031.37,0.498481,0.996453,0.00308132,13291.7,0.000243832,0.857122,10.4698,8.83927,98.8655,68.7823,0.827005,10.8854,10.4201,98.1673,118.362,0.698269,-49.5796 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,14785,-0.0281579,29.8333,10.975,98.6418,0.00404185,-10.6103,500,0.781478,0.835153,5.60892,2.27976,0.503212,-126.229,6758.26,-7.03672,8197.2,10660,1.57631,1.62998,7.19858,3.07459,1.29804,0.512869,6935.31,6.07795,8374.25,0.499449,0.998469,0.0013352,13885.9,7.48982e-05,0.912667,10.5684,8.65309,98.6562,68.0155,0.882889,10.9736,9.99454,97.9298,117.465,0.72641,-49.4499 
