cyc,sweep,VVA,drop time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
68,46.05,10,1.2,68,8415.58,-0.0115767,10.8156,17.0291,96.1571,-0.0397681,9.70709,500,0.659466,-1.47099,1.41646,0.305632,0.201025,-37.2224,1081.1,82.1571,6556.04,6008.22,0.893846,-1.23661,1.88522,0.540012,0.435404,0.251266,1133.31,86.0244,6608.25,0.1631,0.882742,0.0234184,6948.57,1192.07,886.343,28079.1,0.000946625,0.0495414,16.2081,14.6496,96.528,70.7842,0.322234,16.1504,15.3807,95.9371,121.924,0.590832,-51.1399 
69,46.05,0,1.2,69,9201.6,0.00711471,12.5021,15.8063,96.5963,-0.0463298,1.70683,500,-0.315402,1.2041,2.05843,1.3192,1.37768,-36.4605,294.329,58.1511,8083.92,6435.52,-0.0858201,1.43368,2.51759,1.54878,1.60727,0.641445,345.468,61.9393,8135.06,0.0460359,0.761175,0.0138316,7504.32,1928.64,246.275,47816,0.00118018,0.00849225,11.5787,-19.6638,97.9085,69.4924,0.454253,14.9713,14.2202,96.4939,122.252,1.41458,-52.7596 
70,45.9,10,1.2,70,7631.74,-0.00783131,9.6557,17.2604,95.9497,0.0253696,4.25288,95.7911,-0.290664,-0.536013,-1.24572,1.61611,1.34399,-45.5407,1139.66,62.3472,5858.31,5428.88,-0.00390682,-0.249255,-0.672202,1.90287,1.63075,1.25772,1203.53,67.0787,5922.19,0.187611,0.911132,0.0204385,6415.06,962.658,928.592,22213.3,0.000804592,0.0494719,16.8207,15.0121,96.6242,70.8594,0.284857,16.2653,15.4121,95.8182,122.827,0.806009,-51.968 
71,45.9,0,1.2,71,6636.13,0.0293506,8.794,16.013,96.3956,-0.0135757,-0.167021,7.58973,1.18474,0.201995,2.28907,0.906157,0.837824,-42.9272,169.373,54.4458,5846.06,4584.17,1.45504,0.472296,2.82967,1.17646,1.10813,0.598149,229.583,58.9058,5906.27,0.042303,0.690126,0.0180407,5427.1,1029.93,218.869,24766.9,0.000894478,0.00660096,6.17008,17.4224,99.0546,70.922,0.324959,15.2474,14.1105,96.3054,122.034,2.74918,-51.1125 
72,46.05,10,1.2,72,8202.31,-0.00619159,10.6932,16.7273,96.3395,-0.00831323,9.79047,420.871,-0.124859,0.788354,-0.75888,0.344112,-0.464715,-53.3953,1064.05,68.489,6343.98,5825.41,0.211357,1.12457,-0.0864474,0.680328,-0.128499,1.04799,1138.94,74.0366,6418.87,0.167799,0.897861,0.0208052,6787.55,1134.75,921.011,26575.8,0.000890138,0.053274,15.6067,14.016,96.272,69.8544,0.311939,16.1056,15.5686,96.3104,121.881,-0.0384019,-52.0264 
73,46.05,0,1.2,73,9099.33,0.0244622,12.2593,15.8963,96.5657,0.00270741,-2.44196,491.053,0.55438,1.35958,1.65752,2.53744,1.85622,-71.336,256.72,56.0511,7970.4,6344.11,1.00356,1.80876,2.55588,2.98663,2.3054,0.760241,356.775,63.4626,8070.46,0.047833,0.76261,0.0142787,7458.78,1886.99,234.77,46664.8,0.00114497,0.0076967,17.1279,11.6731,110.997,56.9355,0.446626,15.1684,14.2111,96.3293,121.828,14.6675,-64.8921 
74,45.9,10,1.2,74,6919.06,-0.0104314,8.90935,17.0018,95.7804,0.000710073,14.7471,102.871,0.251645,0.27806,-0.643935,2.63438,-1.48057,-67.2696,987.486,58.7115,5376.19,4931.36,0.675223,0.701638,0.203222,3.05796,-1.057,0.943251,1081.84,65.7005,5470.54,0.183489,0.903932,0.0216446,5895.92,831.154,781.596,18995.5,0.000746004,0.0485823,15.2189,13.9052,96.2026,70.0093,0.264172,16.3776,15.1593,95.4733,121.064,0.729351,-51.0543 
75,45.9,0,1.2,75,6923.57,0.0150043,9.37438,15.8612,96.2218,-0.00345062,-7.86627,293.525,-1.80461,-0.656473,-0.520154,-0.268765,0.0836069,-21.1652,192.808,49.7846,6157.39,4841.2,-1.67133,-0.523202,-0.253611,-0.135493,0.216879,0.892845,222.495,51.9835,6187.07,0.0392606,0.709789,0.0152414,5667.12,1164.99,226.562,28095.2,0.00088472,0.00471183,-19.2498,12.3367,104.949,59.7751,0.352131,15.0372,13.8138,96.1755,122.211,8.77392,-62.4362 
76,46.05,10,1.2,76,7715.75,-0.00594555,10.0054,16.8181,96.1367,-0.0597838,81.5464,127.912,-0.0733549,-2.45531,-0.856648,0.391319,0.624427,-56.0282,1022.71,70.6145,6059.51,5636.51,0.279439,-2.10251,-0.151059,0.744113,0.977221,0.402448,1101.29,76.4356,6138.1,0.169356,0.891695,0.0224247,6502.82,1042.2,804.899,24268.1,0.00077571,0.0459219,15.593,15.047,96.3057,70.6009,0.298512,16.2547,15.3541,95.9731,122.238,0.332658,-51.6371 
77,46.05,0,1.2,77,8804.72,0.0210606,12.1411,15.5557,96.7744,-0.160824,-15.4054,102.419,-0.685417,-0.675325,0.41528,-1.34299,-0.874297,-57.1271,260.976,55.0844,7753.34,6228.78,-0.325703,-0.315611,1.13471,-0.983277,-0.514583,2.12966,341.102,61.0196,7833.46,0.047149,0.761582,0.0141463,7234.55,1816.27,254.925,44754.9,0.00109746,0.00848218,13.729,17.4645,100.586,65.3637,0.444228,14.8551,14.0532,96.6232,122.612,3.96316,-57.2486 
78,45.9,10,1.2,78,7813.13,-0.00563273,9.95356,17.1146,95.7545,0.00164779,6.94323,468.564,0.0553216,-0.46638,4.19831,-0.288887,-0.598285,-66.7817,971,66.6912,6139.05,5545.88,0.475828,-0.0458729,5.03932,0.13162,-0.177778,0.0707704,1064.67,73.6296,6232.71,0.162558,0.89204,0.0212981,6549.46,1057.35,774.744,24603.2,0.000836828,0.0437323,16.7716,14.8165,96.1142,71.3009,0.301586,16.4109,15.1276,95.7616,122.902,0.352552,-51.6014 
79,45.9,0,1.2,79,7011.98,0.0375207,9.16779,16.1496,96.4747,0.0157762,-16.0291,1.34409,0.562371,-1.80355,-0.64954,1.12855,1.84377,-72.0109,169.522,48.3162,6135.92,4827.94,1.0158,-1.35011,0.257328,1.58198,2.2972,0.932321,270.525,55.7978,6236.92,0.0469741,0.73478,0.016213,5759.02,1143.66,225.422,27485.4,0.000918298,0.0048225,14.9337,14.4211,101.539,63.6406,0.340974,15.3514,14.1194,96.5827,121.893,4.95653,-58.2522 
80,46.05,10,1.2,80,7913.22,-0.0104487,10.3228,16.766,96.2188,-0.00527659,7.54082,405.448,2.0277,2.14279,0.452381,2.76438,-0.0338333,-49.2752,1060.64,72.2978,6183.95,5635.36,2.33797,2.45306,1.07293,3.07465,0.27644,0.883568,1129.76,77.4173,6253.06,0.170338,0.892921,0.022298,6632.45,1087.16,907.083,25347.6,0.000852852,0.0534371,15.4165,13.6812,96.4686,70.9368,0.308074,16.0305,15.2883,96.1277,122.993,0.340852,-52.0559 
81,46.05,0,1.2,81,9198.97,0.0159347,12.2499,16.1641,96.6198,-0.0745996,13.6346,0.125873,1.48699,-0.755633,1.87122,0.616734,0.502213,-62.6183,275.223,50.7849,8108.44,6478.94,1.88129,-0.361342,2.6598,1.01102,0.896504,0.563056,363.051,57.2907,8196.27,0.0479227,0.783603,0.0127124,7575.77,1920.72,248.616,47592.8,0.00110949,0.0111838,12.632,10.2585,98.167,67.2468,0.447472,15.3919,14.2303,96.4696,122.325,1.69744,-55.0785 
82,45.9,10,1.2,82,7357.57,-0.0230414,9.49984,17.0982,95.7507,-0.0243766,43.3561,44.2701,-0.738494,-0.209377,2.2318,0.700439,1.10874,-45.2653,989.847,61.7439,5789.29,5322.05,-0.45347,0.075646,2.80185,0.985462,1.39377,0.416677,1053.34,66.4468,5852.78,0.169789,0.900581,0.0204851,6203.78,924.008,798.461,21264.8,0.000631622,0.0475339,15.8043,14.551,95.2991,69.0047,0.271636,16.6289,15.8687,95.7427,120.901,-0.443559,-51.896 
83,45.9,0,1.2,83,7428.29,0.00660885,9.90911,16.1186,96.7318,-0.00254456,2.54433,8.13348e-11,-2.17767,-1.07958,3.24059,0.120313,-1.50655,-62.8824,279.174,65.2411,6516.77,5199.67,-1.78172,-0.68363,4.0325,0.516267,-1.1106,-3.14514,367.373,71.7743,6604.97,0.0594479,0.745212,0.0196248,6179.75,1266.25,229.344,30742.4,0.000897734,0.00646016,15.9447,21.2875,98.0119,68.2916,0.360842,15.247,14.1955,96.5564,121.349,1.45551,-53.0573 
84,46.05,10,1.2,84,8574.17,-0.00516972,11.0664,16.8826,96.2216,-0.0144834,7.27219,30.0371,-0.344045,-0.702374,1.09621,-0.205009,-1.21632,-36.7179,1104.6,79.9065,6690.46,6085.37,-0.112842,-0.471171,1.55861,0.0261936,-0.985118,-98.4191,1156.1,83.7214,6741.96,0.163083,0.887524,0.0223636,7089.02,1220.54,902.044,28723.5,0.000970119,0.0502768,15.8395,14.4235,96.6122,70.9268,0.321863,16.1142,15.807,96.1757,122.182,0.436571,-51.2557 
85,46.05,0,1.2,85,8798.68,0.0204416,12.2055,15.4686,96.5943,-0.00988277,-18.2567,88.5702,0.95783,0.170486,2.58959,0.804173,-0.41774,-48.883,288.693,49.2553,7774.57,6152.02,1.26563,0.478289,3.2052,1.11198,-0.109937,0.461416,357.256,54.3341,7843.13,0.0492142,0.789794,0.0126006,7259.21,1842.47,247.963,45608,0.00107668,0.00936419,11.8475,17.541,97.5097,65.6979,0.450871,14.6758,14.055,96.5897,121.882,0.919958,-56.1838 
86,45.9,10,1.2,86,7810.69,-0.0192911,9.81954,17.5006,96.1271,-0.00680247,43.7673,477.652,-1.0033,0.117489,2.44809,0.529544,-0.056471,-61.9011,1145.5,53.3016,6050.7,5603.9,-0.613529,0.507264,3.22764,0.919319,0.333304,0.262085,1232.33,59.7329,6137.52,0.185778,0.921807,0.0176124,6633.34,1019.63,952.782,23581.5,0.000774328,0.0521112,16.8077,13.8824,96.2618,69.9082,0.290899,16.5045,15.4748,96.1375,122.295,0.124349,-52.3865 
87,45.9,0,1.2,87,7329.82,0.0268902,9.84397,15.8641,96.3381,-0.0363392,12.1069,418.799,-0.237808,0.748242,2.52278,0.175921,1.0812,-66.3963,251.499,44.0553,6392.62,5098.02,0.180272,1.16632,3.35894,0.594001,1.49928,0.505953,344.626,50.9536,6485.75,0.0569434,0.794445,0.0142656,6052.08,1243.88,251.263,30102.5,0.000929659,0.00870422,10.4367,19.7653,94.6138,68.6266,0.358314,15.0806,14.233,96.3877,122.487,-1.77392,-53.8609 
88,46.05,10,1.2,88,8305.98,-0.015971,10.6823,17.0591,96.3071,-0.0248477,27.0017,425.823,2.10332,-0.0290043,0.74504,1.20017,0.904384,-47.6806,1098.65,61.2091,6514.39,5954.02,2.40355,0.271228,1.3455,1.5004,1.20462,0.799934,1165.53,66.1629,6581.26,0.167532,0.909636,0.0181824,6957.04,1181.09,898.534,27777.1,0.000799331,0.0473712,16.5835,15.5691,96.5349,70.3734,0.319429,16.3165,15.3486,96.2234,122.888,0.31141,-52.515 
89,46.05,0,1.2,89,8780.92,0.0244723,11.8164,15.9086,96.5273,0.0401295,-37.7393,487.993,1.00801,-0.0249714,2.70869,0.907215,-0.778418,-40.2576,300.519,51.7503,7732.48,6168.77,1.2615,0.22852,3.21568,1.16071,-0.524926,0.39798,356.984,55.9329,7788.94,0.0495037,0.78481,0.0130556,7211.26,1777.82,252.34,43863.4,0.00113013,0.00896609,12.4728,18.3734,97.3267,68.8015,0.438234,14.9928,14.0076,96.4353,123.206,0.891408,-54.405 
90,45.9,10,1.2,90,7690.72,0.00399683,9.7455,17.0952,95.9679,-0.0146856,5.1298,311.085,1.49441,-0.00725569,5.69938,1.78054,-0.118392,-60.4354,1020.75,72.4163,6025.62,5425.86,1.87495,0.37329,6.46047,2.16109,0.262154,0.419646,1105.52,78.6953,6110.38,0.170534,0.889227,0.0231746,6482.65,1023.98,803.333,23839.2,0.000853432,0.0456351,16.2451,14.5674,95.9678,70.4797,0.297649,16.3776,15.0242,95.8977,122.038,0.070036,-51.5582 
91,45.9,0,1.2,91,6833,0.0217587,9.06279,16.1049,96.4333,-0.00602843,0.607828,123.296,0.796333,0.404331,3.10287,-0.343063,-0.261434,-53.6901,227.766,60.708,5983.43,4751.46,1.13441,0.742403,3.77902,-0.00499072,0.0766388,0.340195,303.072,66.2861,6058.73,0.0537861,0.723196,0.0197556,5634.76,1098.05,226.444,26447.6,0.000884652,0.00618059,11.6464,20.6526,95.966,70.9013,0.337618,15.2854,13.8875,96.3523,122.232,-0.386328,-51.331 
92,46.05,10,1.2,92,7883.83,0.00191489,10.3417,16.538,95.9451,0.000510868,5.61123,58.9785,-0.565171,-1.47525,1.81742,0.558087,0.268225,-74.5481,1029.73,64.9648,6167.87,5567.73,-0.0957618,-1.00584,2.75624,1.0275,0.737635,0.194028,1134.3,72.7101,6272.43,0.170467,0.899137,0.0209073,6654.03,1095.85,878.091,25462.5,0.000852845,0.0509718,15.3082,14.1047,95.1855,69.8684,0.309271,15.9182,15.3172,96.0809,121.706,-0.895375,-51.8379 
