cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
30,-3.94,43.2827,30,8573.3,-0.0096271,27.2333,8.32007,119.224,0.00739514,-14.5458,500,-1.583,-1.73045,-8.40103,-9.75642,-6.05242,-577.753,5037.27,-7.74595,5988.01,7379.52,2.05496,1.90751,-1.12511,-6.11846,-2.41446,0.802458,5497.48,34.0906,6448.21,0.500751,0.989265,0.00964496,10978.5 
31,-3.955,43.2677,31,9204.46,-0.0203507,27.8601,8.58273,119.308,-0.00961068,-28.1973,500,-5.03375,-5.65556,-9.99946,-6.93367,-5.2276,-519.467,5133.56,-11.0584,6441.7,7792.83,-1.7628,-2.38462,-3.45757,-3.66273,-1.95666,0.738546,5547.33,26.5575,6855.47,0.4877,0.991692,0.00708558,11374.5 
32,-4.03,43.1927,32,8706.49,-0.349193,26.6958,8.83302,119.374,-0.460436,481.339,493.528,-3.26326,-3.34378,-9.10434,-5.02177,-2.80073,-505.212,5049.67,-15.619,5993.87,14890.9,-0.0820782,-0.162596,-2.74197,-1.84058,0.380457,0.383379,5452.09,20.9646,6396.29,0.5007,0.993316,0.00600149,10888.9 
33,-3.995,43.2277,33,8772.82,-0.109731,27.2878,8.54228,119.021,0.0446107,-204.944,0.000460515,-4.65339,-3.74795,-11.7601,-4.71538,-7.46657,-480.092,4981.22,-11.5898,6118.01,7885.8,-1.63038,-0.724943,-5.71411,-1.69237,-4.44356,0.59775,5363.63,23.1748,6500.42,0.492574,0.992495,0.00652449,10889 
34,-4.02,43.2027,34,8807.8,-0.4194,27.2877,8.75412,119.046,0.122051,286.815,107.711,-4.53048,-4.55888,-10.0726,-4.42712,-8.57936,-732.561,5224.41,-11.3848,6030.35,8915.88,0.0822611,0.0538669,-0.847156,0.185627,-3.96661,0.811408,5807.93,41.6617,6613.86,0.508143,0.987602,0.0114706,11429.7 
35,-3.975,43.2477,35,10024.8,-0.248057,29.3978,8.83152,119.31,0.535161,574.732,0.00021299,0.887087,-1.60836,-13.723,-6.73221,-10.4258,-624.126,5849.27,-13.1387,6426.22,18464.3,4.81704,2.32159,-5.86312,-2.80226,-6.49581,0.269171,6346.41,32.0557,6923.36,0.518868,0.991238,0.00845698,12231.3 
36,-4.015,43.2077,36,9144.13,-0.278241,28.6923,8.65302,119.391,0.0237899,-433.207,6.01415e-05,-7.9168,-3.59294,-6.50688,-7.51633,-4.46591,-600.437,5342.68,-16.2281,6295.04,8417.67,-4.13601,0.187854,1.05471,-3.73554,-0.685117,1.1442,5820.95,27.2511,6773.31,0.502748,0.991874,0.00735682,11578.3 
37,-4.035,43.3027,37,9280.59,-0.378303,28.0837,8.70571,119.313,-0.052863,544.261,478.657,-0.100949,-3.0489,-10.2727,-3.34946,-4.31779,-471.497,5133.88,-16.3025,6304,8895.52,2.86794,-0.0800045,-4.3349,-0.380563,-1.3489,-0.323058,5509.45,17.8397,6679.57,0.492483,0.994365,0.00489579,11187.1 
38,-3.95,43.2727,38,8061.72,-0.140061,25.3077,8.49385,119.676,0.0795751,-34.5864,0.208172,-0.038719,-0.706488,-16.0631,-6.74026,-6.66291,-533.892,4649.04,-20.039,5637.78,7087.24,3.32305,2.65529,-9.33955,-3.37849,-3.30114,0.0698435,5074.3,18.6214,6063.04,0.496124,0.993619,0.00562581,10227.9 
39,-3.99,43.2327,39,8817.66,-0.0285022,26.1967,-8.66766,119.119,0.0438651,-101.605,7.56241e-05,-2.33051,-2.3284,-11.955,-7.0364,-4.986,-496.984,4892.94,-27.9861,6038.67,7536.77,0.798864,0.800979,-5.69623,-3.90702,-1.85662,0.42229,5288.8,8.0017,6434.54,0.491609,0.997359,0.00228552,10758.2 
