cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,43,0.01,0.64,0,21,13913.4,-0.401204,25.7019,13.5289,91.1099,-1.86691,-1880.31,435.482,-2.00298,1.90727,6.11129,2.58386,1.62389,106.249,7235.6,16.5749,8249.45,125593,-2.67201,1.23825,4.77324,1.91484,0.954867,0.231262,7094.85,13.8152,8108.7,0.498566,0.996604,0.00312866,14230.5,4833.91,54520.6,67433.3,-0.00133243,0.59117,13.0878,11.1715,91.8232,67.355,0.635092,12.8148,12.289,90.6557,118.049,1.16744,-50.694 
22,43.163,0.01,0.64,5,22,14323.1,-0.334129,26.712,13.0665,90.941,0.697695,-80.5251,490.455,0.945247,1.79562,2.98176,-1.5023,-1.58579,26.1714,7287.63,15.2697,8545.69,13191,0.780453,1.63083,2.65218,-1.6671,-1.75059,-0.611506,7252.96,14.5899,8511.02,0.491971,0.996492,0.00314787,14742.7,5188.8,56726.1,74661.1,-0.00130036,0.609392,12.8743,11.0811,91.6939,67.3053,0.6741,12.7226,12.1441,90.3488,117.922,1.34508,-50.6167 
23,43.188,0.01,0.64,5,23,14924.9,0.0296851,27.1546,13.2126,91.4459,-0.0383109,-9.79157,2.33768e-12,-2.20641,-0.520892,-1.18352,0.000506754,-2.10012,50.3164,7781.26,17.7734,8952.06,11691.8,-2.52324,-0.837721,-1.81718,-0.316322,-2.41695,0.770309,7714.61,16.4665,8885.4,0.496635,0.996279,0.00340219,15533.8,5582.86,61202,80249.1,-0.00171422,0.61592,13.3522,11.3641,92.1655,66.8824,0.688975,13.0854,12.1965,90.9208,117.492,1.24465,-50.6097 
24,43.2755,0.01,0.64,5,24,14639.4,-0.201689,26.9545,13.1972,90.9867,0.664701,-1953.86,499.997,-1.65945,0.587962,-0.667978,-0.307774,0.122866,60.7346,7668.33,16.4546,8473.93,53858.1,-2.04188,0.205532,-1.43284,-0.690203,-0.259563,0.660381,7587.87,14.8771,8393.47,0.506732,0.996581,0.00325444,14974.1,5348.53,61887.5,73487.2,-0.00133447,0.634609,12.9087,11.1582,91.7071,67.3941,0.665531,12.8934,12.1158,90.5474,118.056,1.15963,-50.6619 
25,43.338,0.01,0.64,5,25,14451.8,-0.352953,25.9191,13.6559,91.0714,1.19362,197.736,52.9475,-2.53879,-0.909613,2.08667,-1.37884,1.75021,88.713,7385.13,20.732,8466.67,19205.4,-3.09739,-1.46821,0.969471,-1.93744,1.19161,1.22328,7267.61,18.4278,8349.15,0.497275,0.995582,0.00404933,14614.9,5097.76,55974.2,72618.6,-0.00117726,0.595967,13.3818,11.0283,91.8222,67.1708,0.660857,12.9895,12.0268,90.6335,117.799,1.18865,-50.6284 
26,43.388,0.01,0.64,5,26,13410.9,-0.00859465,24.1769,13.3716,91.0591,-0.0237086,5.5547,499.974,-2.96176,0.648216,4.70127,3.8691,4.94005,109.523,6799.65,25.0139,8142.06,10528.3,-3.6514,-0.0414204,3.32199,3.17946,4.25041,0.529399,6654.57,22.1692,7996.98,0.486022,0.994204,0.00508073,13691.9,4445.63,46645.4,65523.5,-0.00127723,0.53654,13.4532,11.274,91.6603,67.42,0.626945,12.8661,12.1808,90.752,118.065,0.908322,-50.6446 
27,43,0.01,0.64,0,27,14735.7,-0.193741,27.026,13.2292,91.1438,-1.80208,616.587,0.567743,-0.290596,-0.740276,-1.02937,0.548161,1.32372,102.287,7692.08,13.7479,8657.53,47810.1,-0.93467,-1.38435,-2.31752,-0.095912,0.679644,0.428169,7556.58,11.0911,8522.03,0.501899,0.997438,0.0023917,15056,5402.27,61635.2,75123.8,-0.00140765,0.626399,13.1581,11.1982,91.9043,67.028,0.67337,12.7211,12.2729,90.6221,117.73,1.28224,-50.7017 
28,42.888,0.01,0.64,5,28,15071.1,-0.0166392,27.7003,13.1392,91.0807,-0.0043925,-0.567393,500,1.44994,0.85235,0.118776,3.69943,2.09874,112.523,7750.93,21.8627,8981.42,11848.1,0.741407,0.143822,-1.29828,2.9909,1.39021,1.32718,7601.87,18.94,8832.36,0.494452,0.995659,0.00393464,15374.3,5613.49,61735.1,80562.7,-0.00149275,0.626571,13.0684,11.3001,91.8523,67.7226,0.690216,12.902,12.3556,90.5958,118.329,1.25648,-50.6065 
29,43,0.01,0.64,0,29,14730.8,-0.0417931,27.0875,13.0449,91.0465,-0.714307,528.985,0.000847742,-0.681005,0.342488,3.07124,-0.393759,-2.35676,77.2877,7676.55,19.4485,8682.5,23803.4,-1.16767,-0.144172,2.09792,-0.880419,-2.84342,1.71413,7574.17,17.4411,8580.11,0.500782,0.995986,0.00373053,15124.7,5394.69,61867.6,74728.8,-0.00145763,0.631958,12.9896,11.1673,91.8909,67.0623,0.663202,12.9271,12.3984,90.5224,117.856,1.36849,-50.7939 
30,43.588,0.01,0.64,5,30,15218,-0.389325,27.9868,13.3887,91.0235,0.213923,-119.037,447.932,-1.16798,0.563612,5.0981,3.8134,2.20783,186.538,7895.61,24.1957,8943.2,13026.9,-2.34256,-0.61097,2.74894,2.63881,1.03325,0.207221,7648.5,19.3506,8696.1,0.499867,0.995592,0.00408232,15301.1,5632.67,63814.1,78762.4,-0.00148788,0.634652,13.1317,11.3007,91.9478,66.9684,0.674418,13.0624,12.4999,90.5539,117.684,1.39397,-50.7159 
31,43.138,0.01,0.64,5,31,14736.4,0.000770087,27.0636,13.1096,90.9119,-0.145907,104.618,451.726,-1.4446,0.539049,0.0594183,0.4491,0.0444327,105.15,7614.13,24.3134,8718.12,12046.6,-2.1067,-0.12305,-1.26478,-0.212999,-0.617666,0.707579,7474.84,21.5823,8578.84,0.497519,0.994973,0.00461292,15024.2,5388.47,60091.1,76586.5,-0.00142736,0.617321,13.2615,11.1506,91.6618,67.4703,0.678888,12.9013,12.1467,90.5038,118.317,1.15804,-50.847 
32,42.988,0.01,0.64,5,32,15592.2,-0.15054,28.484,13.2458,90.803,0.337982,-276.657,1.45661e-07,-0.686601,0.986605,0.21622,-0.371113,-1.09051,84.179,8041.39,22.3063,9164.89,15326.1,-1.21665,0.456552,-0.843885,-0.901165,-1.62056,0.795457,7929.88,20.1198,9053.38,0.498833,0.99558,0.00407712,15896.8,5757.39,65031.2,81065.3,-0.00156386,0.633219,13.0544,11.6707,91.5959,68.0462,0.675171,13.0612,12.8501,90.2852,119.084,1.31068,-51.0373 
33,43.288,0.01,0.64,5,33,14571.9,-0.365052,26.9366,13.2875,90.9641,0.0743169,524.776,406.271,0.996947,1.30492,3.29172,1.12981,-0.563721,68.1737,7294.39,15.409,8838.2,12921.1,0.567675,0.875643,2.43317,0.700535,-0.992993,0.321108,7204.08,13.6383,8747.9,0.483423,0.996698,0.00286368,14902.2,5317.54,55844.2,78890,-0.00139827,0.597677,13.0359,11.248,91.8005,66.9696,0.690658,12.8287,12.1524,90.4846,117.786,1.31593,-50.8167 
34,43.313,0.01,0.64,5,34,15076.4,-0.370529,28.4091,13.0064,91.0191,0.112588,-37.496,36.7006,-2.05284,-1.47154,4.2028,4.54513,1.83656,97.2679,7831.86,20.1471,8904,12165.9,-2.66531,-2.08401,2.97786,3.93266,1.22409,0.120354,7703.01,17.6206,8775.15,0.49938,0.996013,0.00368534,15425.1,5652.66,63963.3,79106,-0.00156184,0.641614,12.8362,11.3698,91.8017,68.4334,0.680307,12.8031,12.607,90.5422,119.804,1.25947,-51.3706 
35,43.2005,0.01,0.64,5,35,13918.2,-0.385158,26.1423,13.2353,91.1249,0.674339,-615.751,469.159,-0.0832588,0.209325,2.82425,-0.766646,0.281712,118.675,7187.14,14.8233,8404.59,24780.4,-0.830525,-0.537941,1.32972,-1.51391,-0.465554,1.65886,7029.93,11.7408,8247.38,0.492029,0.997086,0.00261553,14287.6,4997.94,54444.3,71679.5,-0.00158057,0.58903,12.9883,11.3331,91.9907,67.0563,0.657117,12.8861,12.1374,90.674,117.71,1.31669,-50.6535 
36,43.263,0.01,0.64,5,36,13864.4,-0.0415737,25.0438,13.4148,90.8273,0.0109565,-73.4135,500,-0.273512,-0.250896,4.95436,2.246,1.12011,127.266,7124.82,10.4051,8322.91,10962.7,-1.07487,-1.05226,3.35164,1.44464,0.318754,-0.121734,6956.24,7.0995,8154.32,0.492232,0.998217,0.00160125,14132,4711.25,51961.9,67228.4,-0.00150672,0.568784,13.2806,11.3375,91.7008,66.7352,0.619877,13.1736,12.5269,90.2916,117.689,1.40916,-50.9538 
37,42.938,0.01,0.64,5,37,14483.7,-0.0549564,27.0345,13.1136,91.1586,0.257121,-258.421,4.03401e-05,-3.22758,-0.256317,1.07096,0.747539,-0.0750526,100.887,7574,18.2863,8789.32,13703.8,-3.86284,-0.891577,-0.199558,0.112279,-0.710313,0.964057,7440.35,15.6658,8655.68,0.494134,0.996329,0.00332293,15057.3,5311.5,58336.3,75899.9,-0.0017666,0.605034,13.2445,11.3174,91.969,66.7278,0.664259,12.9656,12.5334,90.7518,117.627,1.21716,-50.8995 
38,43.2255,0.01,0.64,5,38,14142.4,-0.417813,26.3988,13.4315,90.8483,0.486862,183.258,93.6661,1.03919,2.11217,3.28457,1.6144,-1.52105,89.8195,7276.68,18.9563,8508.92,14447.1,0.47362,1.5466,2.15343,1.04883,-2.08662,0.313291,7157.69,16.6234,8389.93,0.492248,0.995952,0.00363657,14540.8,4945.97,53751.3,71007.1,-0.00142078,0.581904,13.1467,11.3118,91.7509,66.5945,0.644646,12.8038,12.5731,90.4247,116.984,1.32625,-50.3899 
39,43,0.01,0.64,0,39,15464.7,-0.406346,28.2968,13.4997,90.6444,-0.0479573,-18.5553,126.198,1.09691,1.71879,2.35476,-0.981039,-0.161025,106.71,8358.09,11.0241,8716.94,12464.3,0.424982,1.04686,1.0109,-1.65297,-0.832952,319.943,8216.73,8.25242,8575.58,0.521259,0.998245,0.00176955,15763.2,5877.05,73821.8,74904.6,-0.00156197,0.688544,13.101,11.1521,91.4898,67.2072,0.656114,13.1034,12.5167,90.2023,117.999,1.28746,-50.7919 
40,43.038,0.01,0.64,5,40,13806.7,-0.365093,25.3621,13.4492,90.8308,-0.202892,-409.544,0.779416,0.493386,3.87935,1.43845,-0.0547467,-0.244692,87.0128,7080.77,20.691,8268.9,13808.9,-0.05451,3.33146,0.342659,-0.602643,-0.792589,0.845952,6965.51,18.4309,8153.63,0.492586,0.995391,0.00414673,14140.7,4821.93,52138.3,68973.9,-0.00139651,0.575487,13.2101,11.1552,91.7424,66.4571,0.641744,12.796,12.3123,90.4602,116.888,1.28222,-50.4304 
41,43.238,0.01,0.64,5,41,13903,-0.434205,26.1488,13.4324,90.8986,-2.45541,3583.73,496.133,1.04169,1.98155,6.85883,1.19161,0.650563,13.0992,7260.29,19.5084,8380.81,297887,0.95921,1.89907,6.69386,1.10913,0.56808,0.403896,7242.93,19.1681,8363.45,0.495997,0.99539,0.00420416,14602.8,4868.16,53543.4,68942.3,-0.00163737,0.57835,13.134,11.4411,91.5726,67.2324,0.630949,12.9149,12.6481,90.3764,117.786,1.19613,-50.5539 
42,43.2505,0.01,0.64,5,42,14955.5,-0.407561,27.5689,13.4599,90.9841,-0.050889,-207.631,4.08212,-0.740245,-0.0335464,0.767599,-2.2985,0.257443,78.3732,7687.21,24.271,8939.94,12423.7,-1.23374,-0.527041,-0.219392,-2.79199,-0.236052,0.956194,7583.39,22.2354,8836.12,0.493737,0.994895,0.00461412,15359.2,5469.82,59989.6,78343.9,-0.00161502,0.609712,13.1145,11.5616,91.8473,67.6585,0.671579,13.1536,12.4701,90.4963,118.489,1.35099,-50.8306 
43,43.438,0.01,0.64,5,43,15060.7,-0.389188,27.5379,13.4824,90.7484,-0.0167829,-70.4736,431.426,-0.835337,-1.1966,-0.493351,-1.17782,0.305996,74.9166,7898.49,23.6713,8694.82,12124.7,-1.30707,-1.66833,-1.43681,-1.64955,-0.165734,0.769279,7799.25,21.7254,8595.58,0.507653,0.995149,0.00463437,15363.4,5399.52,63349.7,73380.4,-0.00142154,0.627145,13.1612,11.4836,91.4714,67.4441,0.648104,13.0667,12.6103,90.3968,118.398,1.07458,-50.9542 
44,43,0.01,0.64,0,44,14948.3,-0.373365,27.7409,13.231,90.6893,0.251332,-174.67,213.156,-3.85507,-0.141852,0.40279,-1.88511,0.608595,65.4359,8056.82,21.0777,8430.9,13377.5,-4.2671,-0.553885,-0.421274,-2.29714,0.196563,0.942628,7970.14,19.3781,8344.22,0.52048,0.995763,0.00425976,15313.1,5555.26,68426.1,72363.9,-0.00145377,0.663855,12.9704,11.2375,91.4293,67.5257,0.657008,12.8868,12.2628,90.3345,118.252,1.09486,-50.7261 
45,43.538,0.01,0.64,5,45,17122.6,-0.0430917,30.9397,13.1235,90.7428,-0.18978,163.872,1.30074e-09,-1.07073,1.58639,1.72684,-1.67712,0.133825,21.2922,9126.28,31.5177,9576.17,14230.2,-1.2048,1.45232,1.4587,-1.81119,-0.000246639,14.8627,9098.07,30.9647,9547.97,0.519881,0.994079,0.00593859,17500.3,6741.15,83206.9,88290.3,-0.00156167,0.707958,13.2494,11.7667,91.5038,67.5015,0.705414,13.0611,12.8236,90.2494,118.375,1.25442,-50.8739 
46,43.488,0.01,0.64,5,46,14762.4,-0.00284957,27.0913,13.1182,90.5098,-0.0313417,26.6701,500,0.813682,0.491213,3.13595,1.91277,0.508841,182.009,7881.56,22.1443,8471.97,11596.3,-0.332383,-0.654852,0.843821,0.766707,-0.637224,61.5755,7640.45,17.4168,8230.87,0.513347,0.996027,0.00388283,14883.6,5374.25,64859.7,71176.8,-0.00143703,0.645882,13.007,11.2103,91.2933,67.6091,0.645117,12.8529,12.5343,89.9967,118.445,1.29662,-50.8359 
47,43.088,0.01,0.64,5,47,14748.9,-0.397833,27.0265,13.5232,90.3631,-1.09097,992.633,168.207,0.385116,0.107719,6.50324,0.669826,2.49901,45.7548,7931.36,28.8655,8613.89,47150.6,0.0970105,-0.180386,5.92702,0.38172,2.2109,0.297435,7870.75,27.6771,8553.28,0.511166,0.993884,0.00592544,15397.6,5348.1,63596.9,71556.2,-0.00162135,0.62457,13.2317,11.5472,91.1224,67.7824,0.644483,12.8722,12.623,89.8386,118.524,1.28374,-50.7417 
48,43.213,0.01,0.64,5,48,14562,-0.378925,27.1111,13.2521,90.7258,1.75995,761.543,487.979,-0.133245,1.38855,5.40458,-0.94461,-0.545358,53.3416,7666.16,18.9454,8582.42,55326.1,-0.469123,1.05267,4.73282,-1.28049,-0.881236,-0.500269,7595.5,17.5599,8511.76,0.503485,0.995971,0.00378589,15085.9,5305.41,60415.9,73447.1,-0.00160055,0.616082,13.0612,11.4552,91.5695,67.8697,0.657255,12.8381,12.4948,90.1194,118.564,1.45008,-50.6947 
49,43,0.01,0.64,0,49,15800.9,-0.395978,28.8309,13.462,90.6029,-0.380845,-6.57035,2.8799,0.40837,-0.396331,2.1119,-0.509854,1.34478,123.392,8291.62,18.9552,9093.62,12716.1,-0.368595,-1.1733,0.557974,-1.28682,0.567819,1.32766,8128.17,15.7502,8930.17,0.508433,0.99662,0.00323841,15986.7,6019.15,71548.1,81236.9,-0.00148046,0.675208,13.1414,11.206,91.549,67.6791,0.685079,13.1542,12.4196,90.0846,118.539,1.46439,-50.8595 
50,43,0.01,0.64,0,50,15096.6,-0.00963764,27.1538,13.2746,90.7263,0.0832778,-59.7048,499.427,-0.595643,0.337153,2.61904,-0.511289,0.565312,94.9988,7961.81,25.4331,8688.4,11895.9,-1.19383,-0.261029,1.42267,-1.10947,-0.03287,2.21128,7835.96,22.9656,8562.56,0.509788,0.994897,0.00491642,15371,5428.34,63586.7,73991.1,-0.00134579,0.626688,13.3564,11.3634,91.513,67.2063,0.657736,13.0185,12.3788,90.304,117.725,1.20896,-50.5186 
